Fecha,Temperatura,Humedad,Lluvia,Condición,Día_semana
2024-05-01,29.2,73,2.7,Soleado,1
2024-05-02,27.7,52,1.5,Nublado,2
2024-05-03,29.6,56,1.0,Nublado,3
2024-05-04,31.8,38,0.6,Nublado,4
2024-05-05,27.4,48,0.0,Soleado,5
2024-05-06,27.4,56,0.0,Soleado,6
2024-05-07,31.9,41,0.3,Lluvia,7
2024-05-08,29.9,60,3.3,Nublado,1
2024-05-09,26.8,48,1.9,Lluvia,2
2024-05-10,29.4,51,0.0,Soleado,3
2024-05-11,26.8,48,1.8,Nublado,4
2024-05-12,26.8,77,0.4,Soleado,5
2024-05-13,28.6,55,0.0,Nublado,6
2024-05-14,23.2,42,2.4,Lluvia,7
2024-05-15,23.7,65,3.3,Nublado,1
2024-05-16,26.6,40,3.1,Soleado,2
2024-05-17,25.5,58,0.0,Soleado,3
2024-05-18,28.8,31,0.6,Nublado,4
2024-05-19,25.7,39,1.9,Soleado,5
2024-05-20,24.5,57,3.2,Nublado,6
