DATOS HORARIOS 2010_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2010,MZO,1,0,NA,14.85,NA,0.65,21.32,4.82,163.05,16.23,42.31,621.14,,,
2010,MZO,1,1,NA,12.55,NA,0.65,21.61,2.71,185.66,14.9,47.58,621.02,,,
2010,MZO,1,2,NA,11.08,NA,0.67,23.68,1.53,222.57,13.8,52.02,621.07,,,
2010,MZO,1,3,NA,11.37,NA,0.72,22.31,1.01,212.41,12.64,56.06,621.02,,,
2010,MZO,1,4,NA,10.19,NA,0.59,20.31,1.43,205.78,12.09,58.48,621,,,
2010,MZO,1,5,NA,11.63,NA,0.56,18.11,1.23,239.98,10.94,61.21,620.98,,,
2010,MZO,1,6,NA,11.73,NA,0.62,16.1,1.18,188.34,11.03,58.4,620.98,,,
2010,MZO,1,7,NA,11.66,NA,0.82,22.05,1,243.98,9.73,62.3,621.35,,,
2010,MZO,1,8,NA,11.67,NA,2.87,78.99,1.29,224.99,9.79,64.09,621.72,,,
2010,MZO,1,9,NA,9.94,NA,2.7,110.99,1.3,261.9,10.25,66.46,622.22,,,
2010,MZO,1,10,NA,8.01,NA,1.59,56.85,2.17,215.16,12.7,61.66,622.54,,,
2010,MZO,1,11,NA,7.62,NA,1.35,34.01,2.24,203.84,15.43,53.28,622.71,,,
2010,MZO,1,12,NA,11.82,NA,1.5,11.76,3.68,189.48,18.23,36.71,622.34,,,
2010,MZO,1,13,NA,12.72,NA,1.08,115.58,5.08,189.67,20.53,22.02,621.8,,,
2010,MZO,1,14,NA,12.87,NA,1.06,90.8,6.19,191.07,21.83,18.5,621.25,,,
2010,MZO,1,15,NA,12.76,NA,1.1,59.1,5.88,194.43,23.26,18.05,620.57,,,
2010,MZO,1,16,NA,12.91,NA,0.98,65.66,6.45,195.5,24.28,13.73,619.9,,,
2010,MZO,1,17,NA,12.42,NA,0.88,56.1,5.81,198.79,24.72,14.64,619.52,,,
2010,MZO,1,18,NA,13.44,NA,0.87,51.66,5.4,196.5,24.7,14.58,619.44,,,
2010,MZO,1,19,NA,13.42,NA,0.93,41.74,4.78,189.79,23.86,15.5,619.6,,,
2010,MZO,1,20,NA,14.35,NA,1.57,41.87,3.26,168.23,21.59,17.79,619.98,,,
2010,MZO,1,21,NA,13.66,NA,2.52,55.2,2.64,189.51,19.48,21.16,620.48,,, 
2010,MZO,1,22,NA,12.81,NA,1.92,64.53,1.54,203.63,17.95,24.68,621.13,,,
2010,MZO,1,23,NA,14.77,NA,1.49,58.44,1.61,220.42,17.06,27.82,621.56,,,
2010,MZO,2,0,NA,15.49,NA,1.57,54.69,1.44,200.41,16.16,31.19,621.98,,,
2010,MZO,2,1,NA,12.55,NA,0.65,21.61,2.71,185.66,14.9,47.58,621.02,,,
2010,MZO,2,2,NA,11.08,NA,0.67,23.68,1.53,222.57,13.8,52.02,621.07,,,
2010,MZO,2,3,NA,11.37,NA,0.72,22.31,1.01,212.41,12.64,56.06,621.02,,,
2010,MZO,2,4,NA,10.19,NA,0.59,20.31,1.43,205.78,12.09,58.48,621,,,
2010,MZO,2,5,NA,11.63,NA,0.56,18.11,1.23,239.98,10.94,61.21,620.98,,,
2010,MZO,2,6,NA,11.73,NA,0.62,16.1,1.18,188.34,11.03,58.4,620.98,,,
2010,MZO,2,7,NA,11.66,NA,0.82,22.05,1,243.98,9.73,62.3,621.35,,,
2010,MZO,2,8,NA,11.67,NA,2.87,78.99,1.29,224.99,9.79,64.09,621.72,,,
2010,MZO,2,9,NA,9.94,NA,2.7,110.99,1.3,261.9,10.25,66.46,622.22,,,
2010,MZO,2,10,NA,8.01,NA,1.59,56.85,2.17,215.16,12.7,61.66,622.54,,,
2010,MZO,2,11,NA,7.62,NA,1.35,34.01,2.24,203.84,15.43,53.28,622.71,,,
2010,MZO,2,12,NA,11.82,NA,1.5,11.76,3.68,189.48,18.23,36.71,622.34,,,
2010,MZO,2,13,NA,12.72,NA,1.08,115.58,5.08,189.67,20.53,22.02,621.8,,,
2010,MZO,2,14,NA,12.87,NA,1.06,90.8,6.19,191.07,21.83,18.5,621.25,,,
2010,MZO,2,15,NA,12.76,NA,1.1,59.1,5.88,194.43,23.26,18.05,620.57,,,
2010,MZO,2,16,NA,12.91,NA,0.98,65.66,6.45,195.5,24.28,13.73,619.9,,,
2010,MZO,2,17,NA,12.42,NA,0.88,56.1,5.81,198.79,24.72,14.64,619.52,,,
2010,MZO,2,18,NA,13.44,NA,0.87,51.66,5.4,196.5,24.7,14.58,619.44,,,
2010,MZO,2,19,NA,13.42,NA,0.93,41.74,4.78,189.79,23.86,15.5,619.6,,,
2010,MZO,2,20,NA,14.35,NA,1.57,41.87,3.26,168.23,21.59,17.79,619.98,,,
2010,MZO,2,21,NA,13.66,NA,2.52,55.2,2.64,189.51,19.48,21.16,620.48,,,
2010,MZO,2,22,NA,12.81,NA,1.92,64.53,1.54,203.63,17.95,24.68,621.13,,,
2010,MZO,2,23,NA,14.77,NA,1.49,58.44,1.61,220.42,17.06,27.82,621.56,,,
2010,MZO,3,0,NA,15.49,NA,1.57,54.69,1.44,200.41,16.16,31.19,621.98,,,
2010,MZO,3,1,NA,13.13,NA,1.05,69.38,2.07,90.48,16.05,39.51,621.82,,,
2010,MZO,3,2,NA,15.45,NA,0.67,49.85,4.77,76.31,13.53,51.67,621.84,,,
2010,MZO,3,3,NA,20.08,NA,0.6,68.81,5.01,74.15,12.25,57.65,621.72,,,
2010,MZO,3,4,NA,19.01,NA,0.6,48.41,4.48,75.4,11.19,61.77,621.59,,,
2010,MZO,3,5,NA,18.05,NA,0.59,36.8,4.31,76.3,10.36,64.42,621.4,,,
2010,MZO,3,6,NA,16.41,NA,0.58,34.79,4.29,78.71,9.39,67.5,621.48,,,
2010,MZO,3,7,NA,15.27,NA,0.68,48.66,4.21,75.37,9.01,68.15,621.68,,,
2010,MZO,3,8,NA,13.68,NA,0.87,66.52,3.87,72.69,8.96,68.12,622.07,,,
2010,MZO,3,9,NA,13.25,NA,1.05,60.4,3.95,76.65,9.53,66.1,622.55,,,
2010,MZO,3,10,NA,11.62,NA,1.02,59.32,3.73,78.2,12.27,59.54,622.88,,,
2010,MZO,3,11,NA,12.38,NA,1.02,68.45,3.21,85.18,15.58,51.37,622.88,,,
2010,MZO,3,12,NA,11.28,NA,0.95,47.41,1.89,120.59,19.58,40.14,622.47,,,
2010,MZO,3,13,NA,17.94,NA,0.98,34.11,2.15,197.53,21.42,35.42,621.82,,,
2010,MZO,3,14,NA,17.41,NA,1.13,26.76,3.09,199.92,23.38,26.85,621.06,,,
2010,MZO,3,15,NA,17.65,NA,0.99,29.62,3.43,206.65,24.78,18.38,620.4,,,
2010,MZO,3,16,NA,17.23,NA,1,24.96,4.1,203.1,26.44,7,619.77,,,
2010,MZO,3,17,NA,18.58,NA,0.97,34.75,3.86,191.56,26.93,10.51,619.39,,,
2010,MZO,3,18,NA,19.51,NA,0.96,33.12,4.11,195.39,26.73,9.96,619.38,,,
2010,MZO,3,19,NA,19.18,NA,1.12,47.6,3.61,214.44,25.44,9.82,619.46,,,
