DATOS HORARIOS 2011_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2011,ENE,1,0,NA,23.93,NA,2.64,120.43,0.68,106.6,13.06,30.95,625.23,,,
2011,ENE,1,1,NA,32.45,NA,2.73,195.76,0.61,86.49,11.9,36.68,625.06,,,
2011,ENE,1,2,NA,51.25,NA,4.26,523.12,0.69,85.76,11.51,40.15,625.01,,,
2011,ENE,1,3,NA,41.03,NA,3.34,502.51,0.81,60.77,10.01,40.61,624.68,,,
2011,ENE,1,4,NA,37.55,NA,3.28,250.72,1.04,114.37,9.16,46.17,624.49,,,
2011,ENE,1,5,NA,32.76,NA,2.32,194.2,1.15,136.62,8.32,45.48,624.61,,,
2011,ENE,1,6,NA,48.66,NA,1.91,124.44,1.06,102.35,8.26,45.25,624.64,,,
2011,ENE,1,7,NA,35.9,NA,1.71,96.7,0.76,121.32,7.62,47.66,624.92,,,
2011,ENE,1,8,NA,31.08,NA,1.93,90.35,0.62,94.68,7.09,51.45,625.54,,,
2011,ENE,1,9,NA,34.78,NA,1.65,84.1,1.66,126.15,9.19,44.19,626.35,,,
2011,ENE,1,10,NA,44.46,NA,1.41,79.35,1.38,111.98,13.46,37.61,626.8,,,
2011,ENE,1,11,NA,49.24,NA,1.18,58.53,2.03,118.76,16.58,34.48,626.83,,,
2011,ENE,1,12,NA,26.39,NA,1.09,33.74,1.28,178.22,19.32,28.4,626.64,,,
2011,ENE,1,13,NA,22.03,NA,1.12,43.92,1.71,189.68,21.43,22.76,625.9,,,
2011,ENE,1,14,NA,19.13,NA,1.02,13.66,2.05,214.77,22.67,17.91,625.13,,,
2011,ENE,1,15,NA,18.55,NA,1.06,12.46,2.69,273.1,23.09,17.91,624.55,,,
2011,ENE,1,16,NA,15.95,NA,1.07,18.03,2.73,290.31,23.21,19.76,624.23,,,
2011,ENE,1,17,NA,17.55,NA,1.05,21.3,2.14,295.38,23.37,20,624.1,,,
2011,ENE,1,18,NA,17.87,NA,1.05,15.84,1.74,293.02,22.65,21.65,624.2,,,
2011,ENE,1,19,NA,20.68,NA,1.61,32.85,0.58,119.69,21.65,24.64,624.63,,,
2011,ENE,1,20,NA,26.32,NA,2.87,93.54,1.22,172.42,21.17,26.08,625.06,,,
2011,ENE,1,21,NA,27.99,NA,2.98,171.14,1.54,145.94,19.55,31.85,625.6,,, 
2011,ENE,1,22,NA,22.24,NA,1.92,91.75,2.62,180.15,19.47,34.79,626.01,,,
2011,ENE,1,23,NA,19.7,NA,1.39,48.7,2.88,167.05,19.02,36.15,626.37,,,
2011,ENE,2,0,NA,19.14,NA,1.17,25.64,2.03,200.2,18.29,38.44,626.61,,,
2011,ENE,2,1,NA,17.95,NA,1.11,27.1,2.16,181.68,18.07,39.92,626.92,,,
2011,ENE,2,2,NA,12.86,NA,0.91,34.28,3.71,130.85,16.29,54.05,627.23,,,
2011,ENE,2,3,NA,13.07,NA,0.9,44.96,3.83,121.56,13.68,74.49,627.19,,,
2011,ENE,2,4,NA,21.37,NA,0.86,29.12,3.78,95.43,12.52,81.86,626.51,,,
2011,ENE,2,5,NA,26.2,NA,0.87,25.45,3.56,118.27,12.36,82.33,626.26,,,
2011,ENE,2,6,NA,23.35,NA,0.89,19.06,3.15,103.83,12.28,82.3,626.11,,,
2011,ENE,2,7,NA,21.09,NA,0.96,15.95,2.9,118.15,12.22,81.92,626.37,,,
2011,ENE,2,8,NA,18.21,NA,1.01,14.68,1.63,101.9,12.03,83.7,627.01,,,
2011,ENE,2,9,NA,19.78,NA,1.05,14.9,2.63,118.69,13.04,79.57,627.49,,,
2011,ENE,2,10,NA,24.27,NA,1.09,21.57,3.37,112.72,14.51,71.42,627.8,,,
2011,ENE,2,11,NA,40.61,NA,1.02,31.32,3.87,104.15,16.18,65.99,627.78,,,
2011,ENE,2,12,NA,37.33,NA,1.05,38.07,3.25,113.77,18.5,59.13,627.43,,,
2011,ENE,2,13,NA,30.49,NA,1.07,28.06,2.58,118.72,20.55,50.69,626.65,,,
2011,ENE,2,14,NA,21.42,NA,1.16,19.88,2.37,153.3,22.36,37.92,625.48,,,
2011,ENE,2,15,NA,19.1,NA,1.09,7.65,1.69,161.66,23.8,31.42,624.69,,,
2011,ENE,2,16,NA,22.38,NA,1.08,12.87,1.99,131.96,24.24,31.34,624.18,,,
2011,ENE,2,17,NA,20.57,NA,1.04,12.15,1.8,181.26,24.42,31.07,623.86,,,
2011,ENE,2,18,NA,21.83,NA,1.07,16.41,1.29,163.66,23.93,32.66,623.9,,,
2011,ENE,2,19,NA,23.73,NA,1.35,32.42,1.84,211.79,21.52,39.86,624.34,,,
2011,ENE,2,20,NA,24.47,NA,1.4,48.52,0.96,99.52,20.05,43.53,624.66,,,
