DATOS HORARIOS 2011_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2011,SEP,1,0,NA,11.38,12.74,2.57,18.28,2.17,54.48,17.97,84.92,625.63,,,
2011,SEP,1,1,NA,14.81,12,2.59,15.21,2.16,42.43,17.97,85.23,625.38,,,
2011,SEP,1,2,NA,67.35,12.72,2.52,33.4,2.6,30.49,18.31,82.77,625,,,
2011,SEP,1,3,NA,32.5,10.86,2.5,32.79,3.04,34.31,18.05,84.13,624.81,,,
2011,SEP,1,4,NA,43.59,10.25,2.5,36.44,3.22,35.53,17.87,85.03,624.64,,,
2011,SEP,1,5,NA,17.65,11.13,2.54,33.04,1.84,46.09,17.47,87.63,624.7,,,
2011,SEP,1,6,NA,14.84,15.63,2.61,31.22,1.65,42.21,17.68,86.51,624.98,,,
2011,SEP,1,7,NA,44.8,16.21,2.74,29.94,2.93,28.75,18.13,83.97,625.17,,,
2011,SEP,1,8,NA,19.32,22.88,3.04,36.88,2.29,42.33,18.16,84.48,625.38,,,
2011,SEP,1,9,NA,16.61,32.56,3.11,38.02,2.72,46.87,18.8,82.43,625.58,,,
2011,SEP,1,10,NA,23.88,28.92,2.89,33.63,3,42.23,20.68,72.95,625.58,,,
2011,SEP,1,11,NA,21.38,22.02,2.82,40.75,2.6,45.52,21.52,68.68,625.74,,,
2011,SEP,1,12,NA,13.63,15.38,2.9,31.88,2.07,50.19,22.12,65.07,625.74,,,
2011,SEP,1,13,NA,12.2,11.01,2.77,16.6,2.13,45.93,22.76,63.25,625.18,,,
2011,SEP,1,14,NA,16.81,10.16,2.64,12.95,2.64,31.72,23.36,59,624.5,,,
2011,SEP,1,15,NA,11.55,8.74,2.7,6.38,2.51,48.62,25.89,48.87,623.83,,,
2011,SEP,1,16,NA,10.89,9.51,2.79,145.82,3.77,70.43,24.18,57.27,623.45,,,
2011,SEP,1,17,NA,11.26,11.56,2.92,33.84,3.23,96.08,20.23,76.17,623.76,,,
2011,SEP,1,18,NA,11.04,13.66,3.31,21.8,1.42,101.51,18.48,84.49,624.03,,,
2011,SEP,1,19,NA,11.64,19.14,3.11,19.38,1.72,129.93,18.7,87.45,624.24,,,
2011,SEP,1,20,NA,11.21,20.28,2.96,16.79,1.53,117.79,18.54,87.03,624.65,,,
2011,SEP,1,21,NA,10.82,19.38,2.89,10.94,0.85,101.04,18.36,86.15,625.07,,, 
2011,SEP,1,22,NA,10.4,17.93,2.84,8.66,1.15,35.55,18.36,85.11,625.32,,,
2011,SEP,1,23,NA,10.88,17.31,2.74,14.54,2.16,45.76,18.02,88.21,625.64,,,
2011,SEP,2,0,NA,10.43,14.06,2.61,11.49,1.83,47.62,17.64,88.43,625.74,,,
2011,SEP,2,1,NA,10.31,12.01,2.53,7.95,2.1,43.4,17.29,88.96,625.52,,,
2011,SEP,2,2,NA,10.58,12.15,2.5,14.19,2.06,40.04,17.2,89.22,625.42,,,
2011,SEP,2,3,NA,11.04,14.46,2.5,20.89,2.09,41.89,17.09,89.5,625.14,,,
2011,SEP,2,4,NA,12.44,21.02,2.48,41.08,1.58,36.31,17.12,89.68,624.97,,,
2011,SEP,2,5,NA,26.54,19.38,2.47,42.39,1.65,35.37,17.25,88.65,624.97,,,
2011,SEP,2,6,NA,19.6,15.72,2.59,20.47,1.59,35.81,17.44,86.72,625.1,,,
2011,SEP,2,7,NA,15,19.77,3.05,14.85,1.75,38.01,17.61,86.46,625.47,,,
2011,SEP,2,8,NA,13.63,29.17,3.25,15.89,2,44.06,17.7,86.23,625.63,,,
2011,SEP,2,9,NA,14,36.41,3.06,34.71,1.51,39.61,18.19,84.35,625.8,,,
2011,SEP,2,10,NA,12.34,34.99,2.9,39.53,1.61,50.66,19.74,76.98,625.77,,,
2011,SEP,2,11,NA,11.44,24.33,2.97,19.7,1.82,100.21,21.7,69.47,625.68,,,
2011,SEP,2,12,NA,11.26,19.34,3.05,28.72,1.83,99.69,23.09,63.14,625.48,,,
2011,SEP,2,13,NA,10.66,14.43,2.81,23.53,1.82,93.62,24.39,56.13,624.97,,,
2011,SEP,2,14,NA,10.7,9.57,2.77,17.96,1.72,98.29,25.55,52.96,624.35,,,
2011,SEP,2,15,NA,10.69,9.07,2.86,22.98,2.45,96.53,25.49,52.98,623.84,,,
2011,SEP,2,16,NA,10.78,10.66,3.08,32.58,2.47,88.24,24.85,56.55,623.13,,,
2011,SEP,2,17,NA,10.68,11.08,2.97,24.02,3.06,87.25,25.76,52.82,622.6,,,
2011,SEP,2,18,NA,10.66,12,3.08,45.29,3.17,99.13,25.39,56.34,622.45,,,
2011,SEP,2,19,NA,10.69,13.21,3.12,41.78,2.75,94.4,24.11,61.63,622.78,,,
2011,SEP,2,20,NA,10.75,14.26,3.12,37.4,3.36,89.83,22.67,66.95,623.16,,,
2011,SEP,2,21,NA,10.83,14.64,3.08,35.02,2.55,89.8,21.37,74.38,623.64,,,
2011,SEP,2,22,NA,10.73,15.26,3.04,29.67,2.03,86.88,20.62,78.43,624.3,,,
2011,SEP,2,23,NA,10.48,14.8,2.8,18.25,1.42,114.09,20.09,80.91,624.86,,,
2011,SEP,3,0,NA,10.45,12.73,2.66,19.46,2.16,131.36,18.77,85.09,625.17,,,
