DATOS HORARIOS 2011_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2011,DIC,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2011,DIC,1,1,12.71,35.52,33.66,2.22,112.56,2.91,86.11,11.04,21.75,626.48,,,
2011,DIC,1,2,14.21,26.7,32.26,2.21,96.78,3.12,90.27,10.21,24.74,626.41,,,
2011,DIC,1,3,11.84,31.05,33.61,2.21,93.18,2.53,91.47,9.57,26.42,626.33,,,
2011,DIC,1,4,11.51,34.3,34.68,2.15,77.79,1.93,87.83,8.79,29.04,626.26,,,
2011,DIC,1,5,11.9,33.13,34.59,2.1,71.07,1.07,91.69,8.56,30.65,626.49,,,
2011,DIC,1,6,13.08,51.2,34.29,2,67.62,2.3,70.2,8.44,30.66,626.83,,,
2011,DIC,1,7,12.1,29.48,32.36,2.21,66.57,1.47,67.31,7.63,31.71,627.2,,,
2011,DIC,1,8,12.61,21.42,34.6,3.01,115.06,1.69,100.44,7.64,33.37,627.72,,,
2011,DIC,1,9,17.01,43.39,33.23,2.86,119.07,1.94,87.78,9.55,30.04,628.2,,,
2011,DIC,1,10,19.72,27.4,35.81,2.62,166.1,2.87,96.06,12,27.57,628.56,,,
2011,DIC,1,11,26.41,21.11,41.73,2.49,187.63,2.24,103.04,15.65,24.64,628.48,,,
2011,DIC,1,12,45.5,14.49,35.5,2.35,140.27,1.2,125.74,19.54,19.43,627.93,,,
2011,DIC,1,13,63.93,10.83,28.46,2.27,57.31,1.39,271.74,21.49,17.3,627.19,,,
2011,DIC,1,14,68.23,10.92,29.32,2.29,151.88,1.9,255.25,22.66,14.75,626.23,,,
2011,DIC,1,15,69.71,10.85,29.87,2.29,117.91,2.38,238.5,23.71,12.66,625.45,,,
2011,DIC,1,16,67.84,10.77,31,2.29,105.57,2.14,250.81,24.37,12.13,624.97,,,
2011,DIC,1,17,73.53,10.58,28.67,2.21,103.76,1.88,278.21,24.49,12.69,624.75,,,
2011,DIC,1,18,57.48,10.68,41.22,2.41,113.72,1.5,306.36,23.82,14.4,624.74,,,
2011,DIC,1,19,18.69,12.82,71.95,3.88,189.92,0.77,352.81,22.04,17.66,625.18,,,
2011,DIC,1,20,12.98,15.42,81.68,4.9,199.75,0.79,50.32,20.43,20.21,625.75,,,
2011,DIC,1,21,19.64,19.46,79.34,6.82,223.54,0.98,96.93,19.35,22.77,626.12,,, 
2011,DIC,1,22,28.53,25.88,72.08,7.71,436.7,1.03,261.97,17.22,29.53,626.48,,,
2011,DIC,1,23,11.35,16.33,59,4.33,238.46,0.96,313.89,15.6,29.93,626.83,,,
2011,DIC,2,0,10.95,14.5,56.35,3.45,204.07,0.99,359.86,14.19,32.59,626.98,,,
2011,DIC,2,1,11.67,13.62,50.18,2.9,180.8,0.95,58.09,12.42,33.91,626.97,,,
2011,DIC,2,2,15.06,17.22,49.85,2.41,134.46,1.67,101.09,13.11,31.89,627,,,
2011,DIC,2,3,24.62,18.55,48.21,2.4,153.15,1.87,125.45,12.11,33.58,626.8,,,
2011,DIC,2,4,15.85,34.47,55,2.37,172.36,1.72,114.23,11.81,34.54,626.63,,,
2011,DIC,2,5,27.32,22.16,49.33,2.26,136.31,0.92,96.6,10.71,37.33,626.76,,,
2011,DIC,2,6,20.59,19.88,45.56,2.25,122.87,1.11,101.64,9.69,40.52,626.94,,,
2011,DIC,2,7,19.43,19.38,45.13,2.52,129.72,1.65,104.72,9.42,41.45,627.23,,,
2011,DIC,2,8,19.92,21.48,44,2.96,162.04,1.87,103.94,9.22,41.85,627.72,,,
2011,DIC,2,9,15.66,25.98,44.84,2.76,162.57,2.45,96.29,11,38.63,628.27,,,
2011,DIC,2,10,21.12,30.61,45.7,2.56,207.2,2.79,84.27,14.05,33.92,628.67,,,
2011,DIC,2,11,33.67,26.29,44.52,2.36,180.66,2.74,95.55,17.52,29.47,628.41,,,
2011,DIC,2,12,47.4,29.65,43.16,2.24,157.52,2.29,103.23,20.24,22.11,627.89,,,
2011,DIC,2,13,71.79,15.83,35.27,2.15,138.92,1.58,131.4,22.76,20.34,627.17,,,
2011,DIC,2,14,86.76,13.63,27.06,2.04,120.47,1.47,106.03,24.64,17.32,626.12,,,
2011,DIC,2,15,81.56,12.53,28.97,2.1,99.58,1.44,230.85,25.83,15.25,625.29,,,
2011,DIC,2,16,81.19,11.56,26.96,1.94,92.14,1.75,332.88,26,16.12,624.79,,,
