DATOS HORARIOS 2012_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2012,MAY,1,0,24.73,65.03,24.27,NA,122.97,2.15,78.72,24.78,29.21,623.97,,,
2012,MAY,1,1,20.88,16.36,22.35,NA,91.82,0.87,122.76,23.49,33.03,623.65,,,
2012,MAY,1,2,18.96,16.31,21.71,NA,81.49,0.94,105.66,22.64,37.62,623.46,,,
2012,MAY,1,3,18.72,14.39,20.57,NA,79.58,0.92,118,21.41,46.6,623.18,,,
2012,MAY,1,4,23,12.55,17.56,NA,72,0.9,133.01,20.71,49.81,623.06,,,
2012,MAY,1,5,21.33,12.15,17.14,NA,76.25,0.95,101.77,19.79,55.62,623.16,,,
2012,MAY,1,6,9.59,12.91,25.2,NA,73.85,0.94,164.61,18.9,52.41,623.32,,,
2012,MAY,1,7,8.77,17.17,27.08,NA,90.51,0.91,129.76,18.3,56.2,623.73,,,
2012,MAY,1,8,9.28,27.53,25.55,NA,116.73,0.91,97.05,18.79,54.88,624.17,,,
2012,MAY,1,9,23.67,16.44,20.46,NA,123.17,0.87,102.57,20.91,48.78,624.41,,,
2012,MAY,1,10,38.72,15.34,14.88,NA,112.72,0.84,114.98,22.64,41.09,624.52,,,
2012,MAY,1,11,46.53,13.98,17.29,NA,111.45,0.89,199.58,24.8,32.21,624.24,,,
2012,MAY,1,12,62.23,11.94,18.13,NA,106.02,0.89,250.88,27.04,24.82,623.69,,,
2012,MAY,1,13,64.02,10.36,NA,NA,102.51,0.88,244.03,28.69,19.12,623.02,,,
2012,MAY,1,14,67.03,10.3,15.24,NA,83.5,0.88,222.94,30.12,14.18,622.26,,,
2012,MAY,1,15,64.52,12.91,NA,NA,70.96,0.9,294.12,31.36,9.7,621.58,,,
2012,MAY,1,16,69.14,12.37,NA,NA,70.66,0.91,297.01,31.65,9.68,621.03,,,
2012,MAY,1,17,68.01,12.06,NA,NA,93.85,0.88,263.4,32.27,9.49,620.6,,,
2012,MAY,1,18,67.63,11.95,17.59,NA,81.86,0.87,282.49,32.41,9.29,620.32,,,
2012,MAY,1,19,59.53,11.8,NA,NA,71.05,0.91,254.17,31.73,10.47,620.45,,,
2012,MAY,1,20,26.49,12.96,37.71,NA,78.35,0.91,253.34,30.73,11.79,620.72,,,
2012,MAY,1,21,18.7,14.45,40.16,NA,93.9,0.93,236.67,29.37,14.12,621.39,,, 
2012,MAY,1,22,36.88,12.18,23.43,NA,139.13,0.89,209.58,26.77,25.54,622.17,,,
2012,MAY,1,23,39.32,20.23,18.83,NA,120.61,0.86,124.37,25.85,28.37,622.97,,,
2012,MAY,2,0,40.98,11.66,16.71,NA,108.32,0.91,136.62,25.14,28.34,623.4,,,
2012,MAY,2,1,40.48,10.84,15.89,NA,95.45,0.9,209.3,24.06,30.18,623.38,,,
2012,MAY,2,2,35.53,10.53,17.32,NA,89.94,0.91,259.63,22.25,35.32,623.12,,,
2012,MAY,2,3,41.69,10.48,14.72,NA,86.47,0.91,252.4,21.66,37.41,622.74,,,
2012,MAY,2,4,37.8,10.49,14.64,NA,78.93,0.92,283.8,20.23,44.49,622.86,,,
2012,MAY,2,5,26.74,11.14,17.32,NA,72.94,0.94,311.11,18,51.51,623.02,,,
2012,MAY,2,6,12.59,14.88,25.37,NA,77.4,0.93,295.02,17.8,51.48,623.28,,,
2012,MAY,2,7,5.78,17.88,30.88,NA,92.06,0.87,272.44,17.87,52.04,623.72,,,
2012,MAY,2,8,11.28,14.3,30.51,NA,147.67,0.89,217.08,19.01,49.65,624.22,,,
2012,MAY,2,9,25.48,13.06,24.38,NA,139.85,0.87,220.56,21.44,42.67,624.45,,,
2012,MAY,2,10,39.8,11.99,17.13,NA,104.98,0.89,246.64,23.39,38.64,624.7,,,
2012,MAY,2,11,47.75,11.67,16.5,NA,105.42,0.91,283.37,24.89,36.88,624.68,,,
2012,MAY,2,12,54.79,11.43,15.67,NA,85.85,0.86,261.56,26.84,29.49,624.19,,,
2012,MAY,2,13,53.96,11.43,16.98,NA,85.21,0.84,280.05,28.58,22.56,623.7,,,
2012,MAY,2,14,55.97,11.9,16.59,NA,91.35,0.89,297.02,30.24,16.9,623.07,,,
2012,MAY,2,15,55.09,12.16,19.89,NA,84.74,0.88,223.82,31.23,13.27,622.18,,,
2012,MAY,2,16,62.25,13.37,17.61,NA,81.18,0.9,206.98,32.2,9.9,621.52,,,
2012,MAY,2,17,67.68,19.33,17.16,NA,86.87,0.89,165.72,32.51,8.15,620.98,,,
2012,MAY,2,18,58.7,14.81,21.47,NA,77.09,0.84,232.87,32.53,6.89,620.76,,,
2012,MAY,2,19,48.21,13.46,26.17,NA,65.49,0.88,248.35,32.35,7.06,620.84,,,
2012,MAY,2,20,22.32,13.48,38.27,NA,71.16,0.94,242.54,30.8,10.08,621.41,,,
2012,MAY,2,21,27.88,11.9,28.64,NA,93.51,0.89,226.46,28.67,15.29,622.26,,,
2012,MAY,2,22,36.31,58.76,21.92,NA,127.29,0.92,71.08,27.17,23.81,623.55,,,
2012,MAY,2,23,32.7,85.29,21.33,NA,315.77,0.92,73.17,24.51,32.86,624.13,,,
2012,MAY,3,0,37.86,33.98,15.02,NA,279.31,0.92,88.6,23.49,34.48,624.31,,,
2012,MAY,3,1,37.36,18.84,14.16,NA,141.59,0.86,92.92,22.79,36.27,623.86,,,
2012,MAY,3,2,32.56,14.77,17.1,NA,98.54,0.88,107.02,21.82,38.06,623.48,,,
2012,MAY,3,3,23.66,18.24,19.77,NA,96.67,0.91,93.21,21.01,39.45,623.29,,,
2012,MAY,3,4,14.34,14.72,24.82,NA,86.38,0.94,271.9,19.71,42.56,623.34,,,
2012,MAY,3,5,7.22,13.42,28.28,NA,90.13,0.96,3.99,18.18,46.91,623.38,,,
2012,MAY,3,6,6.84,15.66,29.62,NA,87.23,0.89,16.99,18.27,46.32,623.68,,,
2012,MAY,3,7,10.15,17.45,30.66,NA,93.24,0.93,92.02,18.76,45.77,624.28,,,
2012,MAY,3,8,15.15,25.71,34.48,NA,158.81,0.92,116.41,19.61,43.73,624.72,,,
2012,MAY,3,9,15.76,15.91,26.14,NA,198.34,0.87,105.19,21.06,39.89,625.13,,,
2012,MAY,3,10,35.52,17.29,16.87,NA,126.56,0.91,44.48,23.88,32.77,625.31,,,
2012,MAY,3,11,46.45,14.69,20.36,NA,116.61,0.89,284.62,25.7,28.66,625.14,,,
2012,MAY,3,12,59.85,16.01,16.54,NA,101.48,0.92,246.06,28.24,23.55,625.89,,,
2012,MAY,3,13,68.76,17.36,14.93,NA,87.98,0.86,123.16,31.19,18.69,628.2,,,
2012,MAY,3,14,62.27,13.57,17.36,NA,82.14,0.89,151.09,32.48,14.84,627.61,,,
2012,MAY,3,15,63.27,27.41,15.55,NA,80.78,0.93,82.41,33.39,12.87,626.82,,,
2012,MAY,3,16,58.82,14.46,16.68,NA,72.28,0.92,113.97,34.04,10.42,625.81,,,
2012,MAY,3,17,58.64,12.21,19.11,NA,86.01,0.94,119.84,33.91,10.05,625.34,,,
2012,MAY,3,18,47.68,12.15,24.89,NA,76.5,0.97,156.26,33.3,12.09,625.25,,,
2012,MAY,3,19,34.27,12.19,30.2,NA,95.65,0.89,179.8,32.71,12.94,625.33,,,
2012,MAY,3,20,21.16,10.14,26.1,NA,108.88,0.93,188.81,31.14,11.4,626.05,,,
2012,MAY,3,21,24.74,10.42,23.45,NA,78.66,0.86,106.29,29.79,16.66,627.38,,,
2012,MAY,3,22,36.39,32.58,20.81,NA,101.2,0.91,57.73,28.11,26.72,628.61,,,
2012,MAY,3,23,39.72,10.28,15.18,NA,98.5,0.95,16.03,26.34,29.99,629.11,,,
2012,MAY,4,0,38.83,9.2,12.86,NA,164.74,3.99,18.46,25.53,30.73,628.94,,,
2012,MAY,4,1,37.7,10.23,12.67,NA,74.01,2.43,15.8,25.22,30.81,628.81,,,
2012,MAY,4,2,29.34,21.67,16.42,NA,40.53,1.63,141.66,24.54,32.32,628.67,,,
2012,MAY,4,3,26.38,16.35,17.27,NA,49.17,1.56,126.75,23.23,35.53,628.53,,,
2012,MAY,4,4,17.75,11.2,19.72,NA,46.76,1.01,242.62,21.56,39.84,628.65,,,
2012,MAY,4,5,9.17,11.9,23.88,NA,52.91,1.26,317,20.28,43.37,628.85,,,
2012,MAY,4,6,9.45,14.21,24.8,NA,69.41,1.02,206.1,20.04,43.73,629.15,,,
2012,MAY,4,7,4.85,17.7,29.18,NA,84.65,1.03,164.21,20.74,42.19,629.64,,,
2012,MAY,4,8,8.39,16.78,27.44,NA,118.81,1.68,99.16,21.18,41.66,630.19,,,
2012,MAY,4,9,17.04,16.79,24.12,NA,120.39,2.25,105.61,23.03,39.28,630.37,,,
2012,MAY,4,10,27.24,15.14,18.97,NA,99.03,2.44,94.91,24.68,42.31,630.48,,,
2012,MAY,4,11,41.4,32.08,18.19,NA,111.55,1.84,114.09,26.49,38.66,630.38,,,
2012,MAY,4,12,61.99,62.44,23.51,NA,110.11,1.58,162.6,28.56,32.11,629.95,,,
2012,MAY,4,13,88.62,75.69,21.89,NA,118.98,1.73,6.46,30.29,25.98,629.33,,,
