DATOS HORARIOS 2012_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2012,JUL,1,0,27.14,14.84,14.37,NA,19.09,2.85,37.76,18.87,81.82,629.03,,,
2012,JUL,1,1,25.1,10.82,13.12,NA,9.07,1.69,172.54,19.77,79.02,630.54,,,
2012,JUL,1,2,22.37,10.29,12.7,NA,7.98,1.6,196.54,19.46,81.14,630.29,,,
2012,JUL,1,3,18.91,10.05,13.79,NA,8.41,0.93,245.17,19.45,82.14,629.78,,,
2012,JUL,1,4,16.5,9.93,14.08,NA,8.96,0.98,321.15,19.29,83.69,629.49,,,
2012,JUL,1,5,12.16,9.68,15.46,NA,11.66,0.74,239.98,19.28,84.59,629.43,,,
2012,JUL,1,6,8.13,9.56,17.15,NA,14.72,0.67,11.12,19.24,85.09,629.81,,,
2012,JUL,1,7,5.28,10.35,19.42,NA,35.38,0.98,295.91,19.17,84.89,630.04,,,
2012,JUL,1,8,5.58,11.52,19.26,NA,42.65,1.45,213.21,19.06,85.13,630.29,,,
2012,JUL,1,9,11.18,11.53,16.82,NA,38.88,1.62,199.81,20.06,81.42,630.17,,,
2012,JUL,1,10,13.62,21.12,17.38,NA,58.3,1.59,313.55,21.72,73.62,630.08,,,
2012,JUL,1,11,25.14,43.65,16.51,NA,47.46,1.9,67.67,23.05,64.93,629.89,,,
2012,JUL,1,12,38.23,49.6,11.61,NA,37.39,2.77,95.69,25.05,56.23,629.51,,,
2012,JUL,1,13,47.05,32.64,10.32,NA,29.65,3.23,98.72,26.33,49.83,628.9,,,
2012,JUL,1,14,46.05,40.26,11.4,NA,24.42,2.71,81.24,27.1,46.6,628.27,,,
2012,JUL,1,15,39.26,63.1,13.55,NA,37.04,2.72,90.03,28.14,42.78,627.42,,,
2012,JUL,1,16,43.66,47.15,12.73,NA,28.89,2.94,85.9,29.49,38.62,626.78,,,
2012,JUL,1,17,45.45,42.69,12.44,NA,25.75,3.01,79.47,29.93,36.03,626.27,,,
2012,JUL,1,18,43.15,47.11,13,NA,35.87,3.24,81.68,29.63,35.28,625.86,,,
2012,JUL,1,19,34.11,63.03,15.65,NA,49.88,2.52,72.52,28.94,39.22,626.18,,,
2012,JUL,1,20,24.95,19.96,18.61,NA,NA,2.13,0.3,25.58,51.64,626.88,,,
2012,JUL,1,21,27.4,69.89,14.85,NA,29.58,3.76,42.58,26.01,42.64,627.49,,, 
2012,JUL,1,22,27.29,13.72,11.57,NA,14.45,4.3,36.02,24.47,50.67,627.71,,,
2012,JUL,1,23,17.94,48.96,13.77,NA,31.71,2.49,78.15,23.18,56.55,628.14,,,
2012,JUL,2,0,15.5,92.59,15.81,NA,34.07,3.46,70.86,22.54,58.92,628.72,,,
2012,JUL,2,1,17.47,93.87,15.74,NA,30.71,2.7,75.05,19.82,73.83,629.55,,,
2012,JUL,2,2,22.28,53.82,12.81,NA,22.84,2.62,80.33,19.8,72.9,629.34,,,
2012,JUL,2,3,20.91,47.76,12.62,NA,24.69,3.48,71.6,19.76,72.64,629.08,,,
2012,JUL,2,4,15.05,63.13,15.57,NA,32.64,3.31,78.5,19.41,75.59,628.97,,,
2012,JUL,2,5,16.26,50.22,13.07,NA,28.95,2.37,80.81,19.15,77.74,628.98,,,
2012,JUL,2,6,19.72,28.18,11.28,NA,21.17,2.84,90.86,19.21,76.51,629.12,,,
2012,JUL,2,7,10.02,19.54,15.55,NA,38.19,2.49,101.14,18.98,77.71,629.3,,,
2012,JUL,2,8,4.99,16.79,17.13,NA,64.79,2.29,113.62,18.52,80.72,629.78,,,
2012,JUL,2,9,6.62,16.27,14.63,NA,79.25,2.54,97.2,19.42,77.44,630.19,,,
2012,JUL,2,10,11.52,46.93,15.66,NA,72.32,3.08,91.43,20.74,73.63,630.51,,,
2012,JUL,2,11,17.18,28.82,14.99,NA,50.48,2.47,101.01,21.75,66.94,630.61,,,
2012,JUL,2,12,24.73,32.88,13.14,NA,40.71,2.26,93.92,22.94,61.36,630.51,,,
2012,JUL,2,13,25.72,104.37,14.11,NA,63,2.11,102.82,24.06,58.63,630.03,,,
2012,JUL,2,14,34.14,60.92,14.15,NA,49.71,1.48,9.73,25.57,53.68,629.35,,,
2012,JUL,2,15,40.67,84.41,14.83,NA,54.15,1.5,28.63,27.03,47.28,628.63,,,
2012,JUL,2,16,38.79,53.91,13.76,NA,39.17,2.67,113.81,28.05,40.91,627.96,,,
2012,JUL,2,17,37.58,23.8,11.5,NA,37.68,3.95,123.43,27,42.9,627.72,,,
2012,JUL,2,18,28.41,21.94,15.35,NA,36.99,2.17,29,24.34,56.21,627.61,,,
2012,JUL,2,19,26.89,13.18,16.3,NA,37.59,1.51,30.73,24.68,54.77,627.44,,,
2012,JUL,2,20,22.51,13.3,17.8,NA,46.36,1.38,323.38,24.56,57.78,627.66,,,
2012,JUL,2,21,10.18,13.12,21.55,NA,59.17,1.71,295.75,23.4,63.84,628.14,,,
2012,JUL,2,22,21.4,13.85,17.4,NA,43.18,3.36,357.08,20.51,74.19,629.15,,,
2012,JUL,2,23,23.57,35.13,13.86,NA,37.7,2.33,63.54,18.12,85.61,630.06,,,
2012,JUL,3,0,21.19,24.84,15.12,NA,28.7,1.23,178.72,18.56,87.07,630.74,,,
2012,JUL,3,1,30.53,12.86,12.33,NA,11.11,1.2,194.48,18.55,85.39,630.77,,,
2012,JUL,3,2,29.95,10.87,11.73,NA,11.5,1.15,263.05,18.5,85.4,630.5,,,
2012,JUL,3,3,25.74,10.15,12.76,NA,13.74,1.21,276.66,18.35,86.83,630.15,,,
2012,JUL,3,4,22.11,9.95,13.09,NA,15.93,1.44,273.01,18.3,87.86,629.99,,,
2012,JUL,3,5,25.73,9.25,12.4,NA,12.84,1.78,219.48,18.15,88.07,629.96,,,
2012,JUL,3,6,24.81,9.1,12.21,NA,11.96,1.53,237.93,18.16,87.36,629.89,,,
2012,JUL,3,7,19.84,8.61,14.29,NA,12.55,0.78,330.94,17.92,88.14,629.87,,,
2012,JUL,3,8,12.91,9.14,16.88,NA,24.72,1.34,29.77,18.32,86.58,629.96,,,
2012,JUL,3,9,17.12,55.23,19.33,NA,36.26,1.97,76.39,19.58,75.94,630.04,,,
2012,JUL,3,10,15.53,38.35,15.33,NA,45.52,3.28,93.07,20.52,72.61,630.35,,,
2012,JUL,3,11,23.41,67.03,11.33,NA,40,4.32,79.44,21.81,66.55,630.38,,,
2012,JUL,3,12,28.81,71.5,11.07,NA,36.95,3.68,79.1,22.78,61.47,630.39,,,
2012,JUL,3,13,33.29,55.26,9.72,NA,38.46,3.14,84.27,23.8,56.9,630.38,,,
2012,JUL,3,14,39.62,53.79,10.72,NA,32.04,2.55,91.17,25.05,50.59,629.92,,,
2012,JUL,3,15,39.73,50.44,12.49,NA,39.03,2.21,126.36,25.58,48.92,629.42,,,
2012,JUL,3,16,42.49,25.33,12.82,NA,37.16,2.14,145.9,26.85,45.29,628.68,,,
2012,JUL,3,17,44.39,56.57,13.59,NA,42.56,1.78,112.13,27.84,41.53,628,,,
2012,JUL,3,18,44.66,53.03,14.54,NA,48.26,1.63,99.47,28.1,40.47,627.29,,,
2012,JUL,3,19,41.15,20.55,18.3,NA,50.63,2.42,318.46,26.46,49.03,627.11,,,
2012,JUL,3,20,29.52,18.32,18.42,NA,63.31,3.57,174.79,24.59,57.42,627.36,,,
2012,JUL,3,21,27.07,27.82,13.98,NA,49.48,3.34,62.52,20.52,71.77,628.44,,,
2012,JUL,3,22,26.87,15.96,15.68,NA,28.41,1.79,4.16,18.82,78.92,629.32,,,
2012,JUL,3,23,24.82,27.8,15.37,NA,30.42,2.36,72.56,18.59,82.34,629.78,,,
2012,JUL,4,0,28.93,13.65,13.46,NA,21.89,1.43,26.51,18.66,81.51,630.34,,,
2012,JUL,4,1,25.54,12.11,14.01,NA,20.56,1.08,269.33,18.99,79.88,630.4,,,
2012,JUL,4,2,20.59,13.26,16.02,NA,24.29,1.42,283.67,18.76,81.91,630.25,,,
2012,JUL,4,3,20.58,12.56,15.48,NA,22.65,1.22,292.93,18.45,83.57,630.01,,,
2012,JUL,4,4,18.14,11.28,16.48,NA,20.78,0.6,11.66,18.41,84.11,629.8,,,
2012,JUL,4,5,13.66,12.39,16.81,NA,27.98,1.07,153.21,18.48,84.22,629.76,,,
2012,JUL,4,6,6.67,11.88,19.7,NA,33.61,0.95,245.26,18.05,85.21,629.75,,,
2012,JUL,4,7,5.16,11.36,18.77,NA,32.93,0.69,311.44,17.44,87.33,630,,,
2012,JUL,4,8,5.09,12.05,20.38,NA,44.93,0.73,321.85,17.39,87.12,630.38,,,
2012,JUL,4,9,5.32,13.52,21.13,NA,61.36,0.96,347.05,18.28,84.56,630.74,,,
2012,JUL,4,10,7.64,17.05,21.53,NA,84.96,1.59,309.64,19.07,82.02,631.05,,,
2012,JUL,4,11,14.29,29.18,20.2,NA,84.17,1.03,343.95,20.97,73.96,630.92,,,
2012,JUL,4,12,20.03,67.38,16.01,NA,65.53,2.39,94.13,22.32,66.46,630.76,,,
2012,JUL,4,13,28.69,63.68,13.55,NA,56.48,2.69,101.94,23.24,61.13,630.47,,,
2012,JUL,4,14,37.48,82.67,12.43,NA,49.46,1.91,56,24.79,55.1,630.02,,,
2012,JUL,4,15,38.57,106.19,15.48,NA,50.84,1.4,75.21,26.14,48.87,629.42,,,
2012,JUL,4,16,40.33,66.81,13.86,NA,34.57,1.88,91.29,27.51,40.19,628.74,,,
2012,JUL,4,17,42.58,81.73,12.72,NA,33.44,2.2,94.55,28.5,33.52,628.12,,,
2012,JUL,4,18,39.68,20.64,11.91,NA,44.12,2.96,35.88,25.08,51.2,628.02,,,
2012,JUL,4,19,30.15,17.34,15.25,NA,46.59,2.33,33.91,23.54,60.21,627.79,,,
2012,JUL,4,20,29.58,13.77,14.66,NA,32.03,1.83,26.02,24.33,53.04,627.78,,,
2012,JUL,4,21,18.77,14.23,19.94,NA,63.98,3.07,172.64,23.79,57.07,628.15,,,
2012,JUL,4,22,26.79,22.66,15.44,NA,45.92,2.89,99.46,22.25,58.89,628.97,,,
2012,JUL,4,23,27.28,17.64,12.31,NA,26.58,1.67,22.87,19.51,71.39,629.41,,,
2012,JUL,5,0,12.86,16.96,19.16,NA,25.22,0.57,57.75,19.17,77.34,629.72,,,
2012,JUL,5,1,6.93,16.43,20.65,NA,26.27,0.83,58.11,19.17,80.42,629.75,,,
2012,JUL,5,2,7.72,15.6,19.81,NA,26.97,1.07,104.82,19.02,79.54,629.76,,,
2012,JUL,5,3,6.06,14.1,20.68,NA,35.73,1.01,102.79,19.05,77.71,629.46,,,
2012,JUL,5,4,6.07,12.84,19.65,NA,27.39,0.78,51.44,18.51,80.29,629.24,,,
2012,JUL,5,5,7.14,11.87,18.87,NA,24.64,0.76,309.6,18.63,78.89,629.11,,,
2012,JUL,5,6,5.1,12.05,19.26,NA,34.66,0.83,167.91,18.48,80.95,629.34,,,
2012,JUL,5,7,5.09,12.53,17.74,NA,34.53,0.79,18.5,18.12,81.68,629.59,,,
2012,JUL,5,8,4.39,14.15,18.43,NA,60.59,0.7,233.42,17.77,84.13,629.62,,,
2012,JUL,5,9,5.12,14.55,17.29,NA,70.49,1.33,123.26,18.12,80.5,630.01,,,
2012,JUL,5,10,9.43,27.27,19.49,NA,67.17,0.94,116.2,19.92,74.28,630.17,,,
2012,JUL,5,11,20.02,65.57,16.09,NA,39.73,2.56,62.22,21.88,64.55,630.09,,,
2012,JUL,5,12,27.16,73.19,11.84,NA,22.66,3.91,61.25,22.47,60.85,629.98,,,
2012,JUL,5,13,30.64,58.52,11.43,NA,25.33,2.89,60.61,23.61,56.82,629.83,,,
2012,JUL,5,14,31.95,69.54,11.52,NA,36.49,3.17,70.75,24.5,53.32,629.73,,,
2012,JUL,5,15,35.67,67.39,8.23,NA,34.79,3.09,69.35,25.7,47.9,629.32,,,
2012,JUL,5,16,38.06,65.04,10.78,NA,21.57,3.32,60.54,26.65,44.49,628.74,,,
2012,JUL,5,17,39.32,19.85,10.68,NA,16.96,2.83,36.55,27.95,38.82,628.08,,,
2012,JUL,5,18,41.01,35.29,10.95,NA,17.61,3.54,44.76,28.62,35.34,627.44,,,
2012,JUL,5,19,39.39,11.74,11.07,NA,20.4,3.53,33.77,29.09,35.48,626.87,,,
2012,JUL,5,20,32.57,10.29,11.41,NA,17.59,3.09,33.85,27.83,38.06,626.71,,,
2012,JUL,5,21,30.36,10.03,11.6,NA,20.01,3.33,29.5,27.53,37.4,626.65,,,
2012,JUL,5,22,26.87,10.13,11.56,NA,27.11,3.34,32.32,25.91,40.16,627.2,,,
2012,JUL,5,23,23.14,10.54,11.89,NA,34.57,4.54,31.15,24.09,49.88,628.04,,,
2012,JUL,6,0,17.92,148.42,12.52,NA,38.41,3.8,59.11,21.71,61.28,629.41,,,
2012,JUL,6,1,17.12,226.78,12.83,NA,40.96,3.96,70.3,20.8,65.39,629.75,,,
2012,JUL,6,2,12.42,141.87,15.12,NA,49.53,3.95,46.89,20.56,65.63,629.7,,,
2012,JUL,6,3,18.22,42.12,11.7,NA,33.5,2.52,40.8,19.99,66.35,629.68,,,
2012,JUL,6,4,16.21,51.01,13.42,NA,35.02,2.48,37.52,20.11,64.29,629.61,,,
2012,JUL,6,5,16.68,40.57,13.54,NA,34.32,2.7,34.24,19.78,64.31,629.59,,,
2012,JUL,6,6,19.21,18.06,11.58,NA,27.83,1.86,31.53,19.26,66.3,629.59,,,
2012,JUL,6,7,15.66,92.46,14.3,NA,34.48,2.28,42.63,19.56,65.43,629.7,,,
2012,JUL,6,8,14.31,36.76,14.34,NA,37.85,1.57,37.49,19.33,66.47,629.95,,,
2012,JUL,6,9,19.13,168.87,12.91,NA,41.72,4.03,62.45,19.83,65.34,630.28,,,
2012,JUL,6,10,12.43,62.71,15.31,NA,55.93,1.82,327.58,19.81,67.47,630.74,,,
2012,JUL,6,11,11.88,38.84,16.06,NA,72.57,1.98,116.68,20.64,65.86,630.79,,,
2012,JUL,6,12,19.64,49.7,12.55,NA,60.2,3.13,92.28,21.71,62.51,630.62,,,
2012,JUL,6,13,24.33,91.04,11.66,NA,56.63,2.41,77.27,23.13,57.83,630.32,,,
2012,JUL,6,14,29.42,111.79,13.78,NA,54.66,1.82,55.69,24.23,53.48,629.85,,,
2012,JUL,6,15,32.13,33.15,13.32,NA,43.21,1.34,333.76,25.78,48.36,629.14,,,
2012,JUL,6,16,38.56,75.49,16.23,NA,51.34,1.62,304.68,26.54,45.84,628.43,,,
2012,JUL,6,17,47.39,79.13,15.67,NA,62.21,1.59,310.02,27.74,41.95,627.68,,,
2012,JUL,6,18,43.71,47.47,14.53,NA,64.85,3.67,23.84,26.7,45.04,627.2,,,
2012,JUL,6,19,26.41,14.68,13.84,NA,33.16,2.26,14.85,24.72,53.79,627.19,,,
2012,JUL,6,20,22.4,15.88,14.88,NA,36.03,3.38,98.47,24.92,53.68,627.46,,,
