DATOS HORARIOS 2013_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2013,OCT,1,0,14.05,11.45,11.5,NA,35.45,2.05,189.42,21.6,53.15,621.84,,,
2013,OCT,1,1,8.12,11.76,11.8,NA,43.43,1.46,22.02,19.85,63.83,621.83,,,
2013,OCT,1,2,5.86,12.82,12.4,NA,39.9,0.94,313.79,20.07,64.31,621.65,,,
2013,OCT,1,3,8.86,12.13,11.6,NA,36.43,1.23,250.34,19.99,65.75,621.63,,,
2013,OCT,1,4,11.77,11.5,9.9,NA,34.52,1.8,185.88,19.21,70.01,621.45,,,
2013,OCT,1,5,18.08,11.21,7.4,NA,31.75,2.28,214.99,19.3,72.47,621.45,,,
2013,OCT,1,6,14.53,11.49,8.1,NA,42.74,1.68,202.66,19.12,73.54,621.83,,,
2013,OCT,1,7,8.33,11.68,11.1,NA,66.86,1.74,209.82,19.33,73.03,622.36,,,
2013,OCT,1,8,7.12,12.14,11.8,NA,86.27,1.33,226.47,19.69,72.06,622.63,,,
2013,OCT,1,9,7.89,12.2,12.6,NA,85,1.4,150.85,20.71,68.67,622.96,,,
2013,OCT,1,10,11.53,12.18,11.9,NA,72.3,1.81,149.05,21.53,66.61,623.23,,,
2013,OCT,1,11,23.11,11.91,8.3,NA,55.01,1.93,182.46,23.41,61.28,623.14,,,
2013,OCT,1,12,32.85,11.71,5.5,NA,35.32,1.65,272.56,25.59,51.53,622.63,,,
2013,OCT,1,13,39.43,11.31,8.2,NA,40.87,2.05,214.47,25.89,50.23,621.9,,,
2013,OCT,1,14,33.33,11.25,9.1,NA,31.59,2.57,242.39,27.3,44.15,621.1,,,
2013,OCT,1,15,34.73,11.21,8.6,NA,35.1,2.42,203.48,28.06,42.26,620.27,,,
2013,OCT,1,16,37.56,11.03,8.9,NA,35.35,2.6,241.64,28.32,41.14,619.88,,,
2013,OCT,1,17,37.05,11.11,9.1,NA,38.09,3.11,263.37,28.66,39.35,619.68,,,
2013,OCT,1,18,33.12,10.87,8.3,NA,43.53,3.34,296.48,27.05,46.57,619.96,,,
2013,OCT,1,19,23.65,11.12,9.0,NA,48.42,2.74,299.73,24.86,57.1,620.48,,,
2013,OCT,1,20,20.63,11.09,9.5,NA,53.49,2.76,297.13,23.24,60.79,621.07,,,
2013,OCT,1,21,16.69,11.17,9.3,NA,43.87,2.95,298.95,21.8,63.4,621.68,,, 
2013,OCT,1,22,14.15,11.25,9.9,NA,53.16,2.48,276.78,21.52,67.09,622.09,,,
2013,OCT,1,23,14.54,11.32,9.5,NA,37.7,2.38,242.81,21.15,67.94,622.21,,,
2013,OCT,2,0,19.74,11.05,7.2,NA,23.18,2.68,250.49,20.29,70.71,622.38,,,
2013,OCT,2,1,14.03,11.3,7.7,NA,20.24,1.82,286,19.63,73.83,622.39,,,
2013,OCT,2,2,12.63,11.94,9.0,NA,24.18,1.6,244.63,19.64,72.82,621.95,,,
