DATOS HORARIOS 2014_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2014,FEB,1,0,5.28,6.81,13.78,0.89,102.45,1.49,264.38,18.52,39.43,621.87,,,
2014,FEB,1,1,4.45,7.21,13.91,1.16,107.32,1.12,234.62,17.62,42.89,621.84,,,
2014,FEB,1,2,4.7,7.6,13.51,1.11,88.37,1.08,304.51,16.56,42.36,621.82,,,
2014,FEB,1,3,4.6,6.61,12.77,0.99,85.16,1.1,234.98,16.23,44.12,621.71,,,
2014,FEB,1,4,4.18,7.04,10.93,1.01,90.31,0.9,285.14,15.1,49.77,621.41,,,
2014,FEB,1,5,4.22,6.82,10.69,0.86,75.24,1.44,329.39,13.06,51.55,621.34,,,
2014,FEB,1,6,3.97,6.3,8.57,0.65,61.81,0.99,317.13,12.36,53.25,621.47,,,
2014,FEB,1,7,8.8,6.45,8.01,0.54,85.47,1.23,98.96,12.24,57.47,621.55,,,
2014,FEB,1,8,7.48,8.02,8.25,0.68,129.06,1.75,123.72,12.32,62.15,621.89,,,
2014,FEB,1,9,9.31,11.25,8.71,0.77,173.42,1.74,107.26,14.3,56.31,622.25,,,
2014,FEB,1,10,14.39,11.56,9.43,0.74,169.48,1.98,110.64,17.21,49.94,622.52,,,
2014,FEB,1,11,19.82,8.88,8.24,0.64,104.57,1.72,140.27,19.95,44.1,622.47,,,
2014,FEB,1,12,26.17,6.28,5.65,0.54,57.15,1.53,167.35,22.17,36.56,622.02,,,
2014,FEB,1,13,33.21,5.66,5.31,0.47,61.56,1.98,286.53,23.85,32.62,621.32,,,
2014,FEB,1,14,31.44,5.6,3.97,0.38,33.15,2.81,254.79,24.8,25.81,620.6,,,
2014,FEB,1,15,30.57,5.28,5.69,0.29,47.89,3.86,253.86,25.7,21.78,619.93,,,
2014,FEB,1,16,35.33,5.16,5.2,0.19,47.17,3.3,278.99,26.3,21.67,619.48,,,
2014,FEB,1,17,34.91,5.3,6.15,0.11,45.82,3.86,264.4,26.91,20.1,619.39,,,
2014,FEB,1,18,28.77,5,7.2,0.02,39.8,3.84,260.33,26.97,16.48,619.53,,,
2014,FEB,1,19,14.69,5,10.89,0.04,75.76,2.62,247.73,25.26,19.7,620,,,
2014,FEB,1,20,7.92,5.22,11.83,0.32,76.59,2.73,264.75,23.1,23.94,620.45,,,
