DATOS HORARIOS 2014_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2014,JUN,1,0,10.08,8.29,6.53,0.1,31.09,3.83,50.13,21.36,60.24,619.92,,,
2014,JUN,1,1,8.14,56.56,7.25,0.12,32.32,3.72,68.99,20.68,64.01,619.79,,,
2014,JUN,1,2,4.47,65.05,8.88,0.19,34.01,4.09,70.84,20.06,64.99,619.68,,,
2014,JUN,1,3,3.97,36.75,7.74,0.21,27.26,3.28,56.16,19.22,65.95,619.74,,,
2014,JUN,1,4,5.09,26.08,6.74,0.3,23.62,2.71,55.19,18.71,66.18,619.75,,,
2014,JUN,1,5,7.72,36.15,5.8,0.24,24.47,2.84,56.72,18.39,66.96,619.71,,,
2014,JUN,1,6,5.34,8.38,6.35,0.21,23.04,1.6,41.97,17.59,69.74,619.86,,,
2014,JUN,1,7,8.09,5.77,5.75,0.21,23.38,2.25,56.37,18.29,66.29,619.98,,,
2014,JUN,1,8,5.67,9.22,7.23,0.27,34.52,1.68,128.44,19.34,64.84,620.15,,,
2014,JUN,1,9,16.57,28.88,5.9,0.35,25.22,3.01,86.69,20.89,58.64,620.3,,,
2014,JUN,1,10,20.27,25.53,3.97,0.32,21.63,3.95,73.74,22,53.8,620.26,,,
2014,JUN,1,11,21.46,29.28,3.97,0.29,27.34,3.29,92.13,22.96,50.61,620.14,,,
2014,JUN,1,12,22.54,30.03,4.79,0.26,26.51,3.49,100.04,24.35,45.82,619.73,,,
2014,JUN,1,13,23.91,17.91,5.11,0.22,24.62,2.9,113.32,25.7,42.15,619.29,,,
2014,JUN,1,14,25.03,26.7,5.51,0.22,24.54,2.99,90.55,26.68,38.43,618.62,,,
2014,JUN,1,15,24.27,30.08,5.8,0.25,16.93,3.69,78.77,27.64,33.84,618.09,,,
2014,JUN,1,16,22.81,8.57,5.39,0.17,18.07,4.36,84.15,28.31,30.88,617.71,,,
2014,JUN,1,17,23.58,8.54,5.75,0.1,12.17,4.33,77.01,28.88,27.42,617.26,,,
2014,JUN,1,18,23.54,9.21,5.86,0.03,16.85,4.34,69.68,28.66,26.13,617.14,,,
