DATOS HORARIOS 2015_ CRUZ ROJA,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
FEB,1,0,22.82,15,0.99,NA,36.32,1.41,221.03,19.18
FEB,1,1,25.5,14.64,1.02,NA,28.62,1.61,198.18,18.89
FEB,1,2,28.17,14.93,1.04,NA,21.67,1.7,214.02,18.22
FEB,1,3,27.97,15.21,1,NA,14.5,1.99,246.08,17.99
FEB,1,4,29.57,14.91,0.87,NA,14.47,1.57,223.57,17.71
FEB,1,5,27.26,15.11,0.79,NA,14.15,1.61,275.32,17.41
FEB,1,6,27.2,15.01,0.72,NA,15.79,2.15,249.06,17.41
FEB,1,7,25.62,15.17,0.68,NA,15.18,2.27,275.31,16.96
FEB,1,8,27.06,15.06,0.65,NA,15.07,1.36,339.11,16.21
FEB,1,9,25.48,15.44,0.66,NA,15.29,1.35,114.78,17.03
FEB,1,10,26.13,15.31,0.77,NA,23.75,1.94,189.45,18.3
FEB,1,11,30.11,15.26,0.82,NA,28.81,2.11,192.74,19.47
FEB,1,12,32.58,15.1,0.82,NA,24.42,1.87,241.8,20.51
FEB,1,13,36.09,14.89,0.81,NA,23.09,2.15,223.68,21.45
FEB,1,14,36.93,14.78,0.76,NA,21.09,3.44,265.32,22.09
FEB,1,15,34.59,14.65,0.83,NA,27.22,2.93,262.18,21.84
FEB,1,16,36.88,14.54,0.83,NA,26.86,2.33,268.78,22.72
FEB,1,17,34.52,14.67,0.8,NA,21.75,3.14,239.09,23.49
FEB,1,18,30.57,14.97,0.79,NA,27.9,3.28,181.92,23.14
FEB,1,19,30.64,14.58,0.79,NA,47.83,3.99,199.6,22.52
FEB,1,20,27.72,14.67,0.76,NA,29.43,3.38,206.78,21.64
FEB,1,21,25.04,14.51,0.81,NA,20.64,2.24,179.2,21.1
FEB,1,22,22.49,14.5,0.85,NA,42.22,1.7,143.54,19.98
FEB,1,23,20.04,14.59,0.91,NA,41.37,1.52,303.73,18.13
FEB,2,0,19.53,14.47,0.91,NA,39.12,1.54,324.52,17.16
FEB,2,1,21.4,14.5,0.9,NA,29.9,1.33,346.37,17.06
FEB,2,2,21.01,14.62,0.87,NA,20.92,1.16,306.82,16.96
FEB,2,3,19.07,14.69,0.84,NA,23.23,1.07,199.15,16.86
FEB,2,4,18.87,14.5,0.86,NA,25.23,1.06,191.37,16.68
FEB,2,5,16.95,14.73,0.81,NA,29.97,1.2,313.24,15.55
FEB,2,6,16.63,15.07,0.75,NA,22.02,1.76,125.15,16.29
FEB,2,7,16.64,15.62,0.7,NA,27.44,2.06,101.38,16.38
FEB,2,8,17.08,17.12,0.72,NA,32.03,3.06,96.51,16.47
FEB,2,9,20.07,18.46,0.68,NA,37,4.57,86.64,16.97
FEB,2,10,27.12,20.16,0.64,NA,50.02,5.92,79.72,17.98
FEB,2,11,32.78,19.6,0.67,NA,64.68,5.78,82.95,19.54
FEB,2,12,35.55,19.63,0.76,NA,64.16,5.22,84.64,20.77
FEB,2,13,40.28,18.17,0.82,NA,55.41,4.68,87.24,21.86
FEB,2,14,41.38,17.68,0.8,NA,71.13,4.22,95.22,22.97
FEB,2,15,40.36,15.78,0.72,NA,70.37,3.38,98.24,23.73
FEB,2,16,28.56,15.5,0.74,NA,56.8,4.08,146.4,24.09
FEB,2,17,28.67,14.71,0.82,NA,52.18,3.07,173.78,23.6
FEB,2,18,24.1,14.59,0.87,NA,58.64,2.3,155.76,21.9
FEB,2,19,21.04,14.8,0.97,NA,45.9,3.03,140.13,22.08
FEB,2,20,22.28,14.85,0.93,NA,50.13,3.44,148.33,21.47
FEB,2,21,23.73,14.79,0.88,NA,45.04,3.43,155.4,21.18
FEB,2,22,26.24,14.65,0.75,NA,31.45,3.77,138.94,20.73
FEB,2,23,25.36,15.08,0.66,NA,32.63,3.59,105.8,19.74
FEB,3,0,23.93,18.18,0.61,NA,26.61,2.94,87.51,18.3
FEB,3,1,23.94,16.2,0.59,NA,41.23,2.94,112.37,17.93
FEB,3,2,29.34,15.1,0.53,NA,24.89,4.32,140.48,18.24
FEB,3,3,30.07,15.03,0.43,NA,21.44,4.9,138.45,17.49
FEB,3,4,27.39,14.99,0.4,NA,10.01,4.45,132.82,16.44
FEB,3,5,26.02,14.96,0.38,NA,4.75,3.27,127.68,15.8
FEB,3,6,25.54,14.85,0.38,NA,NA,3.35,131.73,15.89
FEB,3,7,23.69,15.02,0.43,NA,NA,3.31,129,16.09
FEB,3,8,21.5,15.13,0.57,NA,NA,3.48,134.47,16.23
FEB,3,9,19.7,15.2,0.74,NA,8.43,3.17,143.33,16.65
FEB,3,10,18.61,15.47,0.84,NA,22.78,3.2,152.12,17.88
FEB,3,11,22.86,14.81,0.84,NA,29.81,3.18,142.45,18.82
FEB,3,12,25.08,14.77,0.8,NA,25.55,3.63,167.82,20.49
FEB,3,13,26.19,14.37,0.82,NA,42.14,3.47,210.01,21.3
FEB,3,14,28.54,14.36,0.83,NA,29.84,3.31,199.19,22.09
FEB,3,15,27.78,14.35,0.91,NA,22.74,3.45,184.82,22.92
FEB,3,16,27.18,14.2,0.88,NA,31.51,3.93,238.27,22.64
FEB,3,17,30.21,14.08,0.86,NA,32.03,3.81,246.77,22.52
FEB,3,18,27.17,13.96,0.89,NA,31.06,3.12,244.56,22.13
FEB,3,19,21.25,13.97,0.98,NA,31.58,2.43,239.78,21.68
FEB,3,20,19.32,14.25,1.09,NA,43.6,2.52,237.26,20.4
FEB,3,21,18.07,14.32,1.14,NA,41.49,2.47,190.05,19.55
FEB,3,22,18.4,14.41,1.15,NA,46.02,2.18,193.31,18.83
FEB,3,23,17.81,14.9,1.12,NA,33.56,1.34,77.64,17.81
FEB,4,0,16.01,14.5,1.19,NA,41.47,1.25,286.25,16.47
FEB,4,1,14.55,14.36,1.15,NA,43.52,1,331.29,15.41
FEB,4,2,14.98,14.51,1.1,NA,33.38,1.02,77.13,14.56
FEB,4,3,13.59,14.32,1.01,NA,36.6,1.3,301.69,13.23
FEB,4,4,13.75,14.37,0.88,NA,18.5,0.99,206.02,12.51
FEB,4,5,14.45,14.45,0.79,NA,16.5,1.14,275.91,12.38
FEB,4,6,13.35,14.5,0.74,NA,24.22,1.05,296.64,11.09
FEB,4,7,11.63,14.84,0.81,NA,34.53,1.18,171.98,11.13
FEB,4,8,10.13,15.63,1.32,NA,56.09,1.45,118.89,11.25
FEB,4,9,11.45,15.57,1.54,NA,78.26,1.42,106.32,12.85
FEB,4,10,16.55,21.2,1.73,NA,82.5,1.37,126.79,15.98
FEB,4,11,30.72,24.71,1.73,NA,81.03,1.48,69.87,18.45
