DATOS HORARIOS 2015_ CRUZ ROJA,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
JUN,1,0,24.09,111.27,1.86,16.98,44.4,4.91,53.83,18.48
JUN,1,1,34.22,25.79,1.82,14.18,28.24,4.04,48.62,17.66
JUN,1,2,24.53,95.92,1.75,17.4,26.69,3.77,50.38,17.01
JUN,1,3,29.44,53.24,1.7,18.05,29.36,2.53,59.48,16.44
JUN,1,4,26.21,88.02,1.85,20.06,25.8,2.88,49.57,16.17
JUN,1,5,30.86,18.01,1.61,16.59,30.47,2.22,51.27,15.41
JUN,1,6,21.34,23.68,1.66,19.48,16.71,2.32,69.82,15.13
JUN,1,7,17.46,25.97,1.9,21.08,29.71,1.47,65.84,16.21
JUN,1,8,23.18,31.31,1.89,21.43,35.93,2.03,100.65,17.21
JUN,1,9,36.84,84.04,2.09,17.29,34.01,3.56,70.57,19.04
JUN,1,10,41.87,54.06,1.98,16.7,33.1,3.81,79.58,20.28
JUN,1,11,41.33,57.21,1.8,16.43,21.75,3.15,91.03,21.75
JUN,1,12,42.69,25.8,1.74,16.3,30.95,3.32,117.23,22.6
JUN,1,13,42.52,16.8,1.7,15.83,27.21,3.32,121.2,23.46
JUN,1,14,45.47,24.54,1.69,19.08,27.81,3.16,114.14,24.42
JUN,1,15,48.82,14.07,1.7,17.38,29.14,3.58,110.74,24.62
JUN,1,16,53.81,15.85,1.64,17.28,32.69,3.43,108.95,24.88
JUN,1,17,54.71,29.57,1.69,19.18,41.43,2.98,91.76,24.96
JUN,1,18,47.4,46.95,1.56,20.2,47.51,2.87,82.66,25.13
JUN,1,19,34.24,81.16,1.52,22.83,44.64,3.36,69.53,24.83
JUN,1,20,25.29,52.53,1.58,19.81,51.56,3.92,95.96,23.4
JUN,1,21,36.13,281.77,1.54,19.3,60.43,4.68,69.38,22.63
JUN,1,22,25.17,230.19,1.75,19.43,50.08,3.94,67.22,21.56
JUN,1,23,27.04,165.21,1.63,21.53,44.59,3.84,63.7,20.29
JUN,2,0,24.45,202.97,1.6,20.27,42.02,3.77,75.25,19.03
JUN,2,1,24.53,173.35,1.64,18.77,45,4.62,74.6,18.26
JUN,2,2,21.93,174.64,2.24,19.03,42.53,3.79,66.19,17.57
JUN,2,3,23.25,100.72,2.37,18.32,NA,1.99,72.86,16.76
JUN,2,4,22,28.02,1.69,16.85,NA,1.48,72.19,15.76
JUN,2,5,18.35,18.09,1.59,18.14,NA,2,106.98,14.79
JUN,2,6,12.78,24.38,1.72,18.19,NA,2.08,110.35,14.04
JUN,2,7,11.37,50.35,2.07,19.31,NA,2.09,97.6,14.54
JUN,2,8,16.97,61.12,2.13,17.51,NA,2.77,100.91,16.06
JUN,2,9,32.46,115.7,1.93,18.86,NA,3.15,89.81,18.65
JUN,2,10,33.53,38.49,1.69,15.4,NA,3.87,103.06,19.89
JUN,2,11,39.36,26.99,1.5,16.97,45.61,3.04,112.79,21.56
