DATOS HORARIOS 2016_ CRUZ ROJA,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
MAY,1,0,7.17,4.31,NA,NA,88.99,1.23,211.5,20.77,14.73,622.21
MAY,1,1,7.09,2.95,NA,NA,101.77,1.03,275.66,18.95,18.16,622.23
MAY,1,2,0.99,3,NA,NA,85.2,1.09,332.32,17.97,21.38,621.9
MAY,1,3,9.17,2.02,NA,NA,89.5,0.7,359.39,16.65,23.95,621.76
MAY,1,4,4.84,2.43,NA,NA,73.95,0.94,317.64,16.06,26.59,621.86
MAY,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,8,6.1,20.78,NA,NA,105.67,1.38,97.02,15.36,31.97,623.06
MAY,1,9,8.52,7.18,NA,NA,144.73,1.09,2.86,17.89,29.98,623.47
MAY,1,10,31.04,3.61,NA,NA,127.86,1.13,303.29,22.29,18.68,623.42
MAY,1,11,49.27,2.22,NA,NA,79.97,1.45,239.28,24.47,14.77,623.33
MAY,1,12,53.75,1.56,NA,NA,63.92,2.24,248.31,26.13,11.09,622.86
MAY,1,13,55.18,1.9,NA,NA,53.15,3.1,252.16,27.95,7.63,622.18
MAY,1,14,54.65,1.79,NA,NA,55.3,4.16,256.38,29.59,2.68,621.49
MAY,1,15,53.92,1.42,NA,NA,41.97,4.09,237.57,30.99,2.68,620.91
MAY,1,16,52,0.95,NA,NA,47.27,4.67,235.12,31.61,2.68,620.51
MAY,1,17,49.56,0.67,NA,NA,38.26,4.88,236.35,31.15,2.69,620.55
MAY,1,18,48.31,0.67,NA,NA,44.83,4.26,252.2,30.83,2.66,620.54
MAY,1,19,40.35,0.67,NA,NA,35.31,3.14,263.15,30.21,2.67,620.68
MAY,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,22,NA,NA,NA,NA,NA,NA,163.63,NA,NA,NA
MAY,1,23,15.03,1.86,NA,NA,89.97,1.68,160.06,23.7,11.24,622.69
MAY,2,0,9.48,5.84,NA,NA,106.91,1.12,295.81,21.97,14.8,622.87
MAY,2,1,2.19,13.87,NA,NA,103.35,0.59,352.5,20.67,17.42,622.85
MAY,2,2,1.35,4.81,NA,NA,105.66,1.03,284.59,19.63,18.55,622.63
MAY,2,3,1.46,2.17,NA,NA,96.37,0.65,285.63,18.21,21.73,622.42
MAY,2,4,0.99,1.36,NA,NA,86.79,0.63,346.04,17.78,25.3,622.46
