DATOS HORARIOS 2016_ CRUZ ROJA,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
JUN,1,0,26.32,2.35,NA,NA,27.48,1.36,354.85,25.31,44.14,623.04
JUN,1,1,22.12,1.03,NA,NA,35.47,1.35,186.47,25.18,44.71,622.8
JUN,1,2,24.07,0.71,NA,NA,40.14,2.29,202.46,24.02,49.59,622.72
JUN,1,3,22.84,0.8,NA,NA,35.3,2.05,215.69,23.2,54.47,622.68
JUN,1,4,17.46,1.03,NA,NA,47.9,1.83,273.42,22.5,59.77,622.92
JUN,1,5,10.39,1.02,NA,NA,45.58,1.55,258.43,21.94,62.57,622.98
JUN,1,6,4.45,1.82,NA,NA,50.11,2,145.66,21.42,65.17,623.21
JUN,1,7,0.99,2.21,NA,NA,62.23,2.49,120.24,20.27,67.62,623.7
JUN,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,1,10,13.94,1.45,NA,NA,60.69,2.72,249.57,24.45,53.86,624.07
JUN,1,11,19.35,1.06,NA,NA,67.13,2.5,251.66,25.9,46.62,623.91
JUN,1,12,28.64,0.67,NA,NA,45.4,2.22,275.59,27.06,41.81,623.64
JUN,1,13,39.12,6.49,NA,NA,39.91,2.25,199.2,28.59,37.42,622.96
JUN,1,14,59.69,13.27,NA,NA,53.9,2.36,149.75,29.91,33.42,622.21
JUN,1,15,50.62,3.7,NA,NA,61.99,2.21,188.87,31.26,27.1,621.44
JUN,1,16,49.32,0.8,NA,NA,45.35,2.23,253.32,31.32,27.16,620.72
JUN,1,17,43.68,0.67,NA,NA,41.36,3.98,58.77,29.48,35.24,620.51
JUN,1,18,39.21,0.67,NA,NA,68.21,4.23,48.97,28.28,41.78,620.47
JUN,1,19,26.78,19.68,NA,NA,49.22,4.26,88.84,27.85,44.25,620.73
JUN,1,20,17.18,35,NA,NA,56.13,5.1,87.72,26.71,47.78,621.46
JUN,1,21,17.93,67.42,NA,NA,86.11,3.6,83.48,24.83,50.38,622.36
JUN,1,22,16.35,64.69,NA,NA,55.86,3.8,83.55,24.07,51.16,622.99
JUN,1,23,12.83,39.53,NA,NA,60.31,3.86,95.94,23.75,55.22,623.35
JUN,2,0,14.35,44.27,NA,NA,51.96,4.13,72.6,23.28,57.23,623.77
JUN,2,1,14.64,50.81,NA,NA,37.31,4.05,64,22.17,63.35,623.63
JUN,2,2,21.66,6.26,NA,NA,30.96,2.87,54.8,20.84,67.09,623.59
JUN,2,3,19.6,2.03,NA,NA,17.87,1.78,181.43,19.85,73.16,623.77
JUN,2,4,14.98,18.94,NA,NA,17.1,2.11,102.75,19.27,74.52,623.81
JUN,2,5,9.89,5.47,NA,NA,24.71,1.97,124.16,18.9,76.74,623.92
JUN,2,6,4.72,6.44,NA,NA,16.8,2.65,110.34,18.44,76.32,624.08
JUN,2,7,0.99,11.41,NA,NA,19.21,2.66,106.03,18.48,74.47,624.36
JUN,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,2,10,12.52,6.88,NA,NA,43.41,2.55,106.62,22.82,59.36,625.1
JUN,2,11,19.4,2.98,NA,NA,40.23,1.99,158.9,24.52,55.65,624.82
JUN,2,12,27.39,2.72,NA,NA,30.76,2.07,232.03,26.08,47.88,624.45
JUN,2,13,38.71,7.43,NA,NA,47.1,2.33,127.32,27.18,43.19,623.85
JUN,2,14,45.15,11.3,NA,NA,47.93,2.34,177.83,28.53,36.78,623.11
JUN,2,15,21.13,1.64,NA,NA,63.87,3.98,244.53,29.05,31.56,622.62
JUN,2,16,16.57,0.97,NA,NA,45.45,4.09,236.8,28.83,32.49,622.07
JUN,2,17,25.16,1.1,NA,NA,51.47,3.09,169.45,29.05,29.65,621.74
JUN,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUN,2,21,NA,NA,NA,NA,NA,NA,182.46,NA,NA,NA
JUN,2,22,11.7,0.87,NA,NA,55.28,1.45,278.55,24.74,43.99,623.12
JUN,2,23,19.8,0.67,NA,NA,39.25,1.53,331.12,24.53,48.18,623.87
JUN,3,0,14.52,0.67,NA,NA,41.28,2.44,114.34,23.95,54.63,623.97
JUN,3,1,21.04,41.26,NA,NA,47.53,3.76,63.82,21.68,58.16,624.38
JUN,3,2,15.12,57.53,NA,NA,41.48,2.35,90.17,20.81,57.89,624.01
JUN,3,3,14.37,2.84,NA,NA,45.19,3.22,127.9,18.79,65.75,623.71
JUN,3,4,16.88,7.17,NA,NA,23.63,2.28,105.21,18.85,65.17,623.47
JUN,3,5,15.56,30.61,NA,NA,28.45,1.88,94.93,19.07,63.93,623.45
JUN,3,6,14.06,32.18,NA,NA,39.89,2.72,95.93,19.07,64.09,623.72
JUN,3,7,4.17,21.97,NA,NA,36.04,2.01,114.64,18.35,67.99,623.95
JUN,3,8,0.99,4.9,NA,NA,40.78,2.49,120.74,18.8,68.15,624.32
JUN,3,9,2.03,5.87,NA,NA,58.44,2.9,105.58,21.11,61.73,624.69
JUN,3,10,14.52,19.86,NA,NA,54.36,2.53,121.12,23.1,54.28,624.59
JUN,3,11,25.68,98.51,NA,NA,40.46,1.86,164.91,24.52,49.6,624.16
JUN,3,12,25.67,46.12,NA,NA,78.58,2.38,135.32,25.63,45.97,623.88
JUN,3,13,29.63,15.28,NA,NA,60.27,2.35,114.43,26.45,44.19,623.62
JUN,3,14,34.11,19.67,NA,NA,37.88,3.08,85.32,27.82,40.11,622.94
JUN,3,15,32.47,16.31,NA,NA,36.23,3.76,84.95,28.57,34.9,622.24
JUN,3,16,22.62,2.77,NA,NA,31.59,4.52,322.15,26.84,35.46,621.92
JUN,3,17,24.51,5.85,NA,NA,35.84,2.62,71.56,26.61,34.94,621.49
JUN,3,18,37.17,7.44,NA,NA,29.67,2.34,46.39,28.76,25.68,621.1
JUN,3,19,33.12,75.88,NA,NA,12.9,3.33,76.06,29.05,27.36,621.19
JUN,3,20,20.95,32.59,NA,NA,34.85,3.62,92.01,27.44,34.52,621.38
JUN,3,21,4.64,84.74,NA,NA,40.82,4.7,81.47,25.83,41.28,621.87
JUN,3,22,0.99,62.83,NA,NA,58.7,3.82,94.14,24.72,45.55,622.46
JUN,3,23,0.99,49.84,NA,NA,65.88,3.78,92.33,23.79,48.44,622.96
JUN,4,0,1.9,68.37,NA,NA,52.17,3.4,79.48,23.82,46.63,623.41
JUN,4,1,2.6,50,NA,NA,31.97,2.92,81.2,23.09,48.98,623.18
JUN,4,2,7.14,32.94,NA,NA,38.01,2,108.11,22.84,50.37,623.17
JUN,4,3,8.65,7.95,NA,NA,25.85,3.63,267.54,19.94,66.87,623.75
JUN,4,4,11.08,4.16,NA,NA,20.91,5.14,174.53,17.01,71.86,623.49
JUN,4,5,17.19,6.9,NA,NA,9.85,3.97,136.93,18.48,63.06,623.07
JUN,4,6,10.58,2.17,NA,NA,8.89,2.34,293.69,16.68,76.11,623.6
JUN,4,7,1.74,1.76,NA,NA,8.66,2.16,308.26,16.01,80.29,623.61
JUN,4,8,4.91,2.96,NA,NA,15.99,2.2,285.94,17.73,72.68,623.7
JUN,4,9,4.97,3.35,NA,NA,22.6,2.57,241.35,19.5,66.27,623.75
JUN,4,10,8.19,2.46,NA,NA,43.28,2.46,238.71,21.13,61.1,623.7
JUN,4,11,14.74,1.85,NA,NA,34.63,2.74,251.58,22.8,53.44,623.4
JUN,4,12,19.89,1.53,NA,NA,26.17,2.45,236.59,24.4,49.37,623.11
JUN,4,13,22.28,1.1,NA,NA,29.84,2.62,236.25,26.05,43.44,622.5
JUN,4,14,26.03,0.69,NA,NA,27.99,2.65,250.07,27.83,32.58,621.65
JUN,4,15,26.44,0.72,NA,NA,24.41,3.05,213.86,29.05,28.37,621.09
JUN,4,16,25.48,0.67,NA,NA,21.68,3.09,236.82,30,24.22,620.21
