DATOS HORARIOS 2016_ CRUZ ROJA,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
NOV,1,0,5.39,18.18,NA,1.03,26.34,2.91,101.41,17.37,60.02,625.36
NOV,1,1,3.29,83.23,NA,1.67,22.86,1.92,67.32,17.38,62.79,625.27
NOV,1,2,1.85,21.85,NA,1.41,25.42,0.77,90.27,16.57,65.11,625.13
NOV,1,3,1.69,5.01,NA,1.39,35.7,0.68,304.86,15.75,66.53,624.94
NOV,1,4,2.72,15.63,NA,0.81,15.02,1.17,85.66,15.28,67.57,624.77
NOV,1,5,2.23,38.93,NA,1.53,25.77,2.13,105.67,14.97,67.1,624.73
NOV,1,6,1.04,24.23,NA,2.02,17.98,2.73,100.38,14.76,71.6,624.79
NOV,1,7,1.33,17.92,NA,1.52,27.72,2.2,97.33,13.78,73.13,625.23
NOV,1,8,2.16,19.47,NA,1.36,29.05,2.55,102.01,14.04,72.91,625.66
NOV,1,9,2.47,14.03,NA,1.38,37.43,2.68,110.28,15.61,68.73,625.92
NOV,1,10,3.96,20.53,NA,1.57,50.88,3.24,108.29,18.6,62.35,625.92
NOV,1,11,5.56,13.92,NA,1.82,45.72,3.42,110.88,21.3,55.93,625.55
NOV,1,12,9.13,10.44,NA,0.85,28.97,3.31,108.47,23.93,45.79,624.96
NOV,1,13,12.04,9.4,NA,1.15,27.82,3.63,105.14,25.57,38.62,624.19
NOV,1,14,17.99,11.99,1.092,0.13,25.14,2.56,116.56,27.36,33.03,623.3
NOV,1,15,18.61,5.81,0.312,1.02,27.08,2.49,134.02,28.35,28.32,622.64
NOV,1,16,17.79,2.49,0.282,2.19,18.89,2.82,121.26,28.88,25.83,622.31
NOV,1,17,21.45,2.58,0.282,2.23,24.11,2.34,120.68,29.24,25.89,622.05
NOV,1,18,18.26,0.67,0.622,5.35,34.85,1.69,171.03,28.14,27.24,622.23
NOV,1,19,2.96,1.02,1.732,12.1,34.23,1.51,235.04,26.79,30.95,622.49
NOV,1,20,1.5,2.62,1.342,11.79,108.36,1.94,300.47,24.84,35.93,623.12
NOV,1,21,5.55,38.18,0.552,6.4,110.18,4.98,84.97,22.11,51.47,624.26
NOV,1,22,7.34,103.66,0.482,3.78,58.42,4.19,71.25,20.6,58.7,624.98
NOV,1,23,6.09,44.84,0.462,2.59,24.55,2.45,70.28,20.48,59.37,625.05
NOV,2,0,2.19,17.15,0.402,3.46,14.29,3.09,115.7,18.82,66.16,625.13
NOV,2,1,4.6,12.95,0.172,2.69,23.2,1.82,105.43,18.05,66.17,625.09
NOV,2,2,2.46,55.08,0.202,3.33,27.7,0.77,50.11,17.52,68.47,625.07
NOV,2,3,2.21,7.69,0.122,3.16,31.21,0.86,105.1,16.69,71.4,624.94
NOV,2,4,2.38,15.58,0.082,3.24,24.65,2.25,112,16.3,72.37,624.71
NOV,2,5,1.48,5.86,0.062,3.16,28.7,2.61,114.42,15.37,75.42,624.62
NOV,2,6,0.99,8.23,0.122,3.42,24.12,2.45,106.83,15.34,77.13,624.78
NOV,2,7,0.99,4.7,0.132,2.58,37.18,0.97,296.97,13.65,78.64,625.23
NOV,2,8,0.99,11.28,0.352,2.33,18.92,0.91,110.78,15.24,76.53,625.75
NOV,2,9,1.75,12.82,0.382,3.42,45.6,1.96,109.69,17.15,72.65,626.03
NOV,2,10,4.6,80.75,0.482,3.47,66.75,1.17,150.26,19.65,65.47,626.18
NOV,2,11,9.57,119.1,0.462,4.8,66.85,1.16,110.89,22.64,56.26,625.95
NOV,2,12,9.74,33.6,0.172,3.94,72.09,2.33,109.92,24.62,49.77,625.45
NOV,2,13,7.92,12.77,0.112,3.51,37.29,3.05,117.26,25.92,42.37,624.67
NOV,2,14,11.39,15.47,NA,1.75,31.93,2.75,89.34,27.8,33.17,623.83
NOV,2,15,12.15,21.14,NA,1.73,12.04,3.81,79.27,28.62,27.56,623.22
NOV,2,16,14.73,3.75,NA,1.02,19.78,3.46,62.43,28.93,25.85,622.87
NOV,2,17,17.19,1.91,NA,0.78,11.72,2.75,72.11,29.14,27.99,622.84
NOV,2,18,17.11,2.24,NA,0.74,9.18,2.96,65.67,28.39,31.78,622.93
NOV,2,19,9.12,0.67,0.012,1.49,29.23,3.27,50.42,26.26,33.72,623.46
NOV,2,20,6.5,0.67,NA,1.78,24.09,3.5,51.67,23.99,40.67,624.13
NOV,2,21,5.24,1.36,NA,1.44,22.5,4.09,54.19,22.37,51.85,624.81
NOV,2,22,3.93,36.23,NA,1.86,22.69,4.12,65.08,21.38,57.62,625.44
NOV,2,23,2.47,138.15,0.202,2.88,34.65,3.49,66.68,20.56,61.82,625.88
NOV,3,0,4.54,34.96,NA,2.38,47.03,4.7,50.96,20.5,61.25,625.93
NOV,3,1,6.18,18.41,NA,0.92,32.01,2.96,47.63,20.2,62.7,625.92
NOV,3,2,6.56,3.71,NA,0.35,22.86,1.13,70.47,19.41,65.67,625.73
NOV,3,3,6.67,2.16,NA,0.09,17.34,1.78,60.81,18.9,67.88,625.54
NOV,3,4,5.88,1.18,NA,0.44,27.13,2.13,66.18,18.42,69.52,625.36
NOV,3,5,6.98,1,NA,0.53,10.12,2.69,52.17,18.13,70.2,625.2
NOV,3,6,6.83,0.67,NA,0.54,12.79,2.94,47.98,17.68,71.57,625.36
NOV,3,7,0.99,7.07,0.012,2.31,20.17,1.43,117.29,16.7,75.31,625.76
NOV,3,8,1.26,10.74,0.012,2.66,26.81,2.02,56.34,17.59,71.76,626.18
NOV,3,9,3.74,32.35,0.192,2.46,26.41,3.91,58.21,19.47,65.89,626.44
NOV,3,10,6.61,30.56,0.012,2.7,37.77,5.69,70.53,21,61.42,626.8
NOV,3,11,8,44.53,1.262,2.28,22.47,5.24,71.73,22.39,57.45,626.84
NOV,3,12,9.63,29.74,0.232,2.93,32.3,4.92,67.47,23.84,51.95,626.39
NOV,3,13,12.22,23.36,0.042,2.6,32.56,3.93,63.48,25.26,46.16,625.79
NOV,3,14,11.74,18.83,0.192,2.69,28.75,3.37,64.74,26.24,41.72,625.04
NOV,3,15,11.46,12.48,NA,2,37.39,3.56,58.4,26.87,38.69,624.63
NOV,3,16,11.6,6.92,NA,1.7,31.12,3.62,63.66,26.66,38.92,624.36
NOV,3,17,9.71,0.67,NA,1.8,28.19,4.51,54.72,26.76,39.88,624.28
NOV,3,18,7.99,0.67,NA,1.56,26.43,4.88,57.98,25.34,45.46,624.6
NOV,3,19,7.76,0.67,NA,1.52,32.73,5.84,55.41,22.14,56.24,625.17
NOV,3,20,4.63,38.24,NA,2.84,39.68,4.89,54.3,21.48,54.2,625.44
NOV,3,21,5.56,104.15,NA,3.2,43.5,4.32,75.35,20.68,56.46,625.96
