DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,1,0,9.17,5.63,2.04,9.3,56.87,1.76,312,16.45,52.54,624.86,NA
FEB,1,1,7.05,5.72,2.13,10.13,33.28,0.79,271.17,15.8,54.75,624.72,NA
FEB,1,2,5.86,5.97,2.1,10.32,43.2,0.88,227.42,15.24,56.48,624.68,NA
FEB,1,3,5.91,5.53,2.04,10.81,33.66,1.11,247.11,14.59,58.85,624.44,NA
FEB,1,4,4.58,5.58,2.1,10.01,17.46,0.96,256.4,13.79,61.42,624.27,NA
FEB,1,5,4.04,5.66,2.06,8.76,24.01,1.1,240.56,13.69,62.65,624.31,NA
FEB,1,6,3.98,5.9,2.13,9.22,26.58,0.61,281.75,12.92,64.44,624.3,NA
FEB,1,7,4.24,5.92,2.38,9.49,34.67,0.55,309.66,11.63,68.07,624.73,NA
FEB,1,8,4.18,6.15,2.89,9.81,45.88,0.47,320.02,11.66,66.61,624.86,NA
FEB,1,9,4.75,7.37,3.42,10.07,62.94,0.63,NA,13.93,59.84,625.33,NA
FEB,1,10,4.85,29.5,2.52,10.8,111.25,0.94,92.58,16.67,52.22,625.61,NA
FEB,1,11,6.43,68.41,2.35,12.36,91.23,0.91,121.39,19.17,46.31,625.65,NA
FEB,1,12,13.08,50.42,2.44,13.59,97,1.42,269.68,20.38,44.92,625.16,NA
FEB,1,13,21.38,26.22,2.43,12.91,80.49,1.54,258.13,21.77,40.96,624.3,NA
FEB,1,14,26.42,12.11,2.3,10.23,58.52,1.83,270.02,23.1,35.45,623.4,NA
FEB,1,15,19.87,6.18,2.2,10.54,48.12,2.07,269.36,24.09,29.45,622.62,NA
FEB,1,16,20.56,6.01,2.22,11.02,33.51,2.3,236.26,24.65,28.67,622.14,NA
FEB,1,17,20.03,5.64,2.26,11.15,33.52,2.64,231.95,24.96,29.07,622.08,NA
FEB,1,18,19.49,5.51,2.42,12.66,36.83,2.29,250.69,24.59,30.27,622.31,NA
FEB,1,19,13.58,5.38,2.81,13.96,34.98,1.21,246.59,23.72,32.33,622.58,NA
FEB,1,20,6.02,6.13,3.54,15.54,54.37,0.95,224.5,22.96,34.75,622.97,NA
FEB,1,21,4.87,6.15,3.33,14.39,123.49,1.34,237.13,21.5,38.66,623.55,NA
FEB,1,22,3.66,6.09,3.3,14.21,113.68,1.07,227.59,21.02,40.09,623.91,NA
FEB,1,23,6.27,5.92,2.64,13,118.22,1.31,92.19,20.1,43.09,624.31,NA
FEB,2,0,14.76,5.55,2.15,8.91,83.94,2.63,53.8,18.97,47.01,624.56,NA
FEB,2,1,11.75,31.25,2.19,9.03,34.99,3.63,79.96,18.54,49.89,624.79,NA
FEB,2,2,8.05,36.08,2.34,8.68,31.55,2.86,89.33,17.15,60.24,624.78,NA
FEB,2,3,4.82,38.39,2.07,10.53,46.71,2.92,83.8,15.67,68.13,624.71,NA
FEB,2,4,5.98,112.44,2.11,10.55,43.21,2.74,82.84,15.48,67.8,624.81,NA
FEB,2,5,5.33,68.94,2.12,9.85,46.15,2.18,84.85,15.17,68.63,624.81,NA
FEB,2,6,4.54,16.79,2.09,8.83,34.19,2.7,108.39,14.02,72.47,624.87,NA
FEB,2,7,4.11,11.59,2.19,9.29,38.01,2.28,100.84,13.14,73.22,625.09,NA
FEB,2,8,4.36,19.91,2.69,9.43,47.17,1.25,97.91,13.2,74.82,625.37,NA
FEB,2,9,4.47,34.22,2.41,9.06,68.15,2.37,82.59,15.1,66.42,625.81,NA
