DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,1,0,8.34,3.19,0.72,29.77,112.67,1.71,290.56,20.26,38.48,624.35,29.88
MZO,1,1,7.77,4.01,0.6,32.06,71.3,1.67,280.53,19.48,39.42,624.43,41.26
MZO,1,2,6.85,3.37,0.56,28.66,85.31,1.45,194.14,19.31,39.82,624.54,31.58
MZO,1,3,6.24,3.15,0.51,25.37,74.73,1.02,239.85,18.55,41.83,624.54,25.05
MZO,1,4,3.68,4.1,0.52,29.61,60.33,0.75,307.59,16.39,48.37,624.41,28.1
MZO,1,5,4.17,5.51,0.51,29.52,60.6,0.79,287.55,15.89,49.96,624.46,31.11
MZO,1,6,3.92,4.76,0.56,28.26,64.68,0.53,312.88,15.33,51.24,624.6,30.27
MZO,1,7,4.21,5.03,0.78,26.36,66.48,0.49,301.62,13.97,53.22,624.86,27.34
MZO,1,8,4.16,5.3,1.58,25.25,79.48,0.64,304.12,14.06,51.07,625.24,31.37
MZO,1,9,5.84,4.8,1.47,26.78,136.7,0.66,332.19,17.34,42.95,625.69,22.99
MZO,1,10,11.02,4.17,1.08,29.21,106.39,0.87,245.86,19.95,38.51,625.84,26.78
MZO,1,11,17.43,3.79,1.2,29.21,90.94,1.13,218.04,22.34,33.31,625.83,26.52
MZO,1,12,24.42,9.08,0.82,25.92,67.33,1.37,230.83,24.34,30.27,625.32,22.39
MZO,1,13,31.71,28.45,0.96,25.42,75.19,1.34,242.41,26.6,26.59,624.55,31.23
MZO,1,14,36.91,30.13,0.88,23.54,83.95,1.58,122.65,27.99,22.75,623.53,39.38
MZO,1,15,35.48,27.53,0.79,23.92,92.94,1.62,167.89,29.22,18.79,622.66,38.66
MZO,1,16,37.95,14.42,0.68,20.25,85.92,1.65,283.44,30.57,14.77,621.87,27.26
MZO,1,17,36.45,10.43,0.72,22.49,73.75,1.88,252.91,30.89,14.74,621.46,29.26
MZO,1,18,31.05,7.6,0.84,28.13,74.53,2.56,245.74,30.12,17.16,621.4,26.83
MZO,1,19,23.13,6.28,1.17,36.47,84.18,2.02,254.7,28.64,19.35,621.54,32.18
MZO,1,20,15.69,5.21,1.1,39.87,91.02,1.69,301.33,26.43,24.55,621.95,32.15
MZO,1,21,17.59,12.79,0.69,26.26,131.35,2.61,45.22,26.19,21.13,622.64,27.24
MZO,1,22,10.99,37.23,0.86,25.52,86.55,2.97,76.12,24.48,26.71,623.33,17.74
MZO,1,23,10.25,69.03,0.53,23.87,78.83,5.18,80.8,22.42,37.97,623.77,46.93
MZO,2,0,11.44,64.59,0.43,19.94,186.4,4.21,79.29,21.43,41.71,624.03,42.78
MZO,2,1,12.18,69.05,0.42,16.04,89.27,4.44,80.05,20.28,49.44,624.24,51.19
MZO,2,2,11.91,75.44,0.52,14.19,74.23,4.24,74.49,19.23,55.95,624.37,35.39
MZO,2,3,10.37,55.98,1.01,16.21,57.02,3.26,56.21,18.55,59.26,624.34,35.56
MZO,2,4,9.54,57.52,1.74,19.11,51.55,3.16,65.04,18.37,58.94,624.17,39.85
MZO,2,5,10.64,86.01,0.89,16.09,67.12,3.74,69.92,17.91,59.31,624.22,33.13
MZO,2,6,9.71,76.16,0.7,16.14,48.61,3.86,65.01,17.48,61.69,624.51,32.79
MZO,2,7,9.28,57.47,1.54,19.77,44.43,3.68,60.05,17.35,63.46,624.85,31.48
MZO,2,8,8.8,53.39,1.07,18.72,64.3,4.58,66.17,17.43,64.36,625.25,38.69
