DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ABR,1,0,14.14,3.68,0.82,21.39,41.2,2.15,238.29,21.42,31.26,622.6,14.57
ABR,1,1,14.55,3.75,0.69,20.3,45.64,2.16,218.61,20.51,32.9,622.4,17.62
ABR,1,2,10.73,3.95,0.63,21.7,38.23,1.65,309.01,19.06,35.67,622.26,14.11
ABR,1,3,9.85,3.68,0.59,22.16,48.91,1.14,336.27,18.73,34.93,622.19,13.77
ABR,1,4,7.05,3.95,0.63,24.16,43.61,1.42,290.28,17.32,38.82,622.14,18.44
ABR,1,5,5.28,3.97,0.65,26.89,51.91,1.59,269.28,16.78,39.39,622.27,18.9
ABR,1,6,5.99,4.21,0.64,26.47,46.79,1.55,246.76,15.98,41.33,622.55,19.07
ABR,1,7,5.13,4.46,0.86,26.61,66.8,1.5,223.88,15.52,41.02,622.97,25.7
ABR,1,8,8.21,4.56,0.99,25.42,71.76,1.63,275.53,16.88,34.62,623.37,17.98
ABR,1,9,11.82,4.41,0.9,24.67,70.35,2.09,279.14,18.94,32.61,623.67,16.15
ABR,1,10,18.6,4.19,0.78,21.79,77.13,2.12,271.67,21.06,30.51,623.75,14.16
ABR,1,11,21.65,4.15,0.76,21.52,51.04,2.38,266.18,22.86,26.7,623.64,14.78
ABR,1,12,18.79,4.01,0.76,21.42,65.72,3.81,251.11,24.87,15.98,623.18,15.29
ABR,1,13,15.47,3.59,0.67,18.78,42.23,4.91,262.36,26.34,10.48,622.46,5.68
ABR,1,14,20.13,3.41,0.67,16.94,40.37,5.32,252.99,27.49,9.77,621.56,7.18
ABR,1,15,19.56,3.32,0.77,20.81,45.87,5.41,255.06,28.47,9.15,620.8,6.77
ABR,1,16,23.52,3.3,0.72,18.96,49.3,5.62,256.29,28.98,8.35,620.25,10.4
ABR,1,17,23.51,3.08,0.67,18.69,51.78,5.84,256,28.99,7.44,620.05,8.23
ABR,1,18,21.49,3.32,0.68,18.1,59.68,5.72,249.39,28.45,6.76,620.25,10.38
ABR,1,19,20.64,3.31,0.68,18.42,66.56,5.29,251.67,27.66,8.79,620.47,10.25
ABR,1,20,15.4,3.54,0.8,20.76,62.07,3.83,247.18,24.99,14.01,621.02,12.2
ABR,1,21,12.59,3.58,0.93,22.23,55.04,3.08,254.45,22.71,18.49,621.74,21.72
ABR,1,22,8.85,3.62,0.98,23.94,59.96,2.93,197.94,21.52,19.74,622.43,17.43
ABR,1,23,10.18,3.42,0.98,22.26,60.99,2.86,213.03,21.12,20.97,622.85,10.66
ABR,2,0,12.62,3.35,0.81,19.9,50.35,2.38,212.91,20.45,23.28,622.72,11.32
ABR,2,1,14.18,3.29,0.75,18.47,28.96,1.97,244.2,19.31,26.98,622.59,6.73
ABR,2,2,11.7,3.3,0.66,18.36,28.71,1.39,301.01,17.42,32.11,622.26,14.08
ABR,2,3,9.79,3.5,0.63,19.14,43.51,1.15,304,16.36,34.09,622,11.25
ABR,2,4,6.78,4.01,0.76,22.38,29.72,1.49,270.06,16,35.52,621.79,11.86
ABR,2,5,5.12,4.12,0.7,22.97,47.3,1.67,288.99,14.51,40.06,621.88,15.21
ABR,2,6,7.28,4.05,0.67,21.91,47.48,2.22,263.67,14.45,42.15,622.29,19.5
ABR,2,7,7.21,3.82,0.89,22.45,50.52,1.17,231.51,14.54,42.2,622.78,20.18
ABR,2,8,8.69,3.88,0.96,20.79,62.16,1.46,281.2,15.6,37.13,623.32,17.31
ABR,2,9,15.64,4,0.74,16.53,64.91,1.82,283.61,17.56,34.78,623.62,16.82
ABR,2,10,20.35,4.47,0.69,16.35,50.14,2.29,261.61,19.62,35.76,623.63,13.9
ABR,2,11,22.56,4.42,0.69,16.38,38.79,2.98,257.74,21.58,32.42,623.43,16.72
ABR,2,12,19.52,4,0.66,17.19,36.26,3.43,237.91,24.63,20.44,622.94,14.19
ABR,2,13,19.25,3.7,0.63,16.55,30.42,5.5,242.67,26.47,13.36,622.34,8.12
