DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MAY,1,0,10.25,4.47,1.12,26.79,102.75,1.56,244.87,23.89,13.99,622.99,28.48
MAY,1,1,6.4,4.41,1.2,28.16,92.33,0.94,264.57,22.65,17.21,622.98,37.1
MAY,1,2,7.9,4.7,0.92,25.75,101.43,1.03,4.1,20.43,21.33,622.95,40.53
MAY,1,3,7,13.08,0.84,23.48,81.08,0.95,102.8,19.72,24.99,622.93,37.21
MAY,1,4,5.19,11.72,0.9,23.91,111.79,0.73,244.95,19.44,25.88,622.84,38.85
MAY,1,5,5.05,7.13,0.93,23.38,95.2,0.68,248.07,18.38,27.37,622.93,38.24
MAY,1,6,5.28,6.94,0.95,23.38,84.99,1.05,128.33,17.16,28.93,623.31,36.29
MAY,1,7,5.31,14.26,1.12,26.66,100.78,1.18,109.7,17.49,25.94,623.69,37.48
MAY,1,8,5.9,23.96,1.13,25.91,112.7,1.59,100.96,19.26,29.04,624.12,40.14
MAY,1,9,8.78,42.67,0.91,23.9,124.2,3.03,101.94,21.01,27.56,624.52,40.41
MAY,1,10,10.37,51.06,0.89,29.97,110.93,2.5,115.71,23.44,27.3,624.49,48.02
MAY,1,11,22.3,32.66,0.93,21.56,130.19,1.83,179.66,26.2,19.09,624.14,42.25
MAY,1,12,30.09,21.58,0.84,15.31,83.66,1.5,209.74,28.48,12.27,623.49,30.43
MAY,1,13,33.06,13.67,0.87,14.38,51.14,1.83,152.28,30.01,10.79,622.78,28.57
MAY,1,14,30.25,6.51,0.81,14.38,54.87,1.81,231.1,31.31,7.89,622.05,26.97
MAY,1,15,27.7,5.17,0.81,14.47,46.61,2.25,243.76,32.27,6.21,621.27,17.82
MAY,1,16,27.79,4.72,0.76,11.34,51.98,1.73,248.09,33.16,4.63,620.71,14.05
MAY,1,17,26.59,4.58,0.8,11.79,33.54,2.46,260.37,33.56,5.91,620.27,16.51
MAY,1,18,26.42,4.55,0.84,14.07,38.98,2.41,237.87,32.79,6.31,619.99,22.73
MAY,1,19,19.29,4.62,1.03,22.58,41.74,2.97,188.08,32.24,7.11,620.16,23.42
MAY,1,20,17.81,4.76,1.05,21.33,64.79,3.22,185.15,30.78,10.81,620.55,27.75
MAY,1,21,15.25,5.19,1.28,24.43,88.92,2.78,210.72,29.72,13.5,621.14,48.55
MAY,1,22,15.89,4.29,1.1,20,139.35,2.52,235.23,28.04,17.84,621.79,55.68
MAY,1,23,17.59,10.97,1.07,17.44,96.25,2.74,264.41,26.66,20.57,622.2,47.62
MAY,2,0,17.28,37.97,1.17,16.77,96.11,1.12,131.41,26.89,20.53,622.79,51.44
MAY,2,1,15.08,23.01,0.81,15.81,78.53,1.79,111.5,25.92,20.27,622.77,40.97
MAY,2,2,13.41,15.23,0.73,14.86,77.18,1.86,178.07,24.52,22.92,622.67,30
MAY,2,3,11.48,6.71,0.77,17.41,74.93,1.35,103.04,22.98,27.59,622.47,34.59
MAY,2,4,7.52,7.62,0.78,23.25,76.8,1.69,114.74,21.71,30.45,622.47,36.35
MAY,2,5,5.03,6.94,0.86,25.34,90.68,1.34,314.87,20.61,33.3,622.52,30.81
MAY,2,6,5.76,7.14,1.06,24.68,81.64,0.69,317.39,19.81,34.35,622.71,33.74
MAY,2,7,5.12,6.49,1.67,24.99,88.52,0.85,297.42,18.3,38.25,623.08,37.33
MAY,2,8,5.21,8.28,1.89,27.18,130.75,1.61,107.02,20.44,35.06,623.57,44.26
MAY,2,9,7.42,10.57,1.35,29.12,224.47,2.49,115.37,21.9,32.73,623.85,58.52
MAY,2,10,19.34,7.67,1.07,22.28,148.81,1.57,140.7,25.02,25.52,623.94,36.36
MAY,2,11,26.4,6.4,1.07,17.79,106.22,1.58,142.61,27.52,19.79,623.59,49.28
MAY,2,12,31.59,4.88,1.05,15.53,105.55,1.59,283.19,29.86,14.27,622.99,47.02
MAY,2,13,30.81,4.62,1.1,18.35,83.13,2,256.43,30.87,12.39,622.29,47.01
MAY,2,14,29.29,4.31,0.99,15.51,78.34,2.53,250.57,32.17,9.06,621.56,46.47
MAY,2,15,25.56,4.29,0.93,14.65,69.41,2.29,269.88,33.17,5.91,620.75,26.02
MAY,2,16,25.67,4.47,0.97,17.48,52.88,2.76,272.73,33.75,6.59,620.13,29.27
MAY,2,17,25.43,4.46,1.01,18.31,64.76,2.91,255.31,33.79,6.95,619.7,35.85
MAY,2,18,22.24,4.35,1.13,23.04,58.31,3.44,223.54,33.05,8.4,619.61,39.17
