DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
JUL,1,0,12.31,20.84,0.77,12.68,26.93,2.84,82.44,18.33,78.73,625.61,17.4
JUL,1,1,9.6,24.95,0.53,13.5,23.99,1.61,82.52,17.39,82.81,625.35,18.86
JUL,1,2,10.09,22.67,0.51,11.37,28.97,2.37,86.74,17.63,80.24,624.82,11.02
JUL,1,3,8.11,33.06,0.5,13.7,15.57,2.51,84.65,17.51,81.56,624.3,NA
JUL,1,4,8.79,33.82,0.5,15.13,40.79,3.11,86.64,17.41,81.06,623.92,37.63
JUL,1,5,9.47,23.75,0.51,12.91,51.74,1.63,112.12,17.28,81.8,623.71,23.54
JUL,1,6,10.01,22.23,0.54,12.53,18.05,1.89,73.89,17.68,79.28,624.23,13.82
JUL,1,7,9.62,17.57,0.64,14.52,18.63,1.93,101.56,17.74,79.37,624.76,13.44
JUL,1,8,10.81,18.8,0.82,16.78,15.92,1.47,92.67,17.95,79.99,625.21,11.47
JUL,1,9,13.35,15.06,0.75,12.89,20.72,1.43,60.62,19.1,74.28,625.52,5.58
JUL,1,10,15.97,13.66,0.8,12.24,10.91,2.94,74.43,19.7,69.43,625.87,8.04
JUL,1,11,18.07,21.37,0.89,10.72,12.35,3.17,69.3,20.73,66.32,625.91,5.87
JUL,1,12,17.75,20.14,0.82,12.11,13.89,3.76,88.55,21.88,63.27,625.64,4.12
JUL,1,13,18.79,21.06,0.72,15.32,29.39,2.89,106.56,22.99,59.66,625.31,22.97
JUL,1,14,31.42,20.92,0.86,12.39,42.65,1.74,70.5,23.94,56.28,624.65,22.81
JUL,1,15,32.48,16.41,0.87,15.36,43.92,1.91,148.55,24.71,52.91,624.17,21.78
JUL,1,16,31.51,12.22,0.97,19.89,53.6,2.72,179.5,24.24,55.88,623.74,30.61
JUL,1,17,23.11,7.1,1.09,21.98,78.28,3.33,188.6,22.45,67.49,623.32,34.3
JUL,1,18,24.03,6.11,1.06,19.65,42.18,2.09,185.47,22.92,62.46,623.34,9.07
JUL,1,19,28.64,6.3,0.87,15.64,51.02,1.26,107.84,22.89,64.44,624.49,23.34
JUL,1,20,20.16,6.1,0.98,18.47,48.58,2.16,1.18,21.63,71.68,625.12,24.38
JUL,1,21,14.27,11.53,0.67,13.25,56.75,5.06,78.32,20.04,75.83,625.93,20.09
JUL,1,22,9.72,22.02,1.23,12.94,46.18,5.11,72.37,18.5,84.81,626.56,40.34
JUL,1,23,9.68,13.3,0.72,10.3,26.48,4.41,71.66,18.36,84.53,627.06,10.25
JUL,2,0,10.2,11.89,0.58,10.24,17.36,3.99,70.69,18.47,83.33,627.08,6.68
JUL,2,1,9.96,15.76,0.58,10.4,6.34,4.72,72.45,18.81,80.09,626.91,NA
JUL,2,2,11.63,25.78,0.57,9.57,15.16,3.53,70.55,18.84,78.98,626.59,NA
JUL,2,3,10.65,21.31,0.56,8.44,15.23,2.81,60.45,18.68,78.91,626.36,7.86
JUL,2,4,11.97,24.01,0.63,9.08,8.37,2.46,68.62,18.59,78.33,626.35,NA
JUL,2,5,10.05,15.35,0.54,11.24,10.01,2.48,104.4,18.19,81.36,626.39,NA
JUL,2,6,11.4,10.79,0.59,14.65,15.67,2.75,105.77,17.94,83.55,626.64,9.32
JUL,2,7,10.83,24.74,0.79,11.6,24.6,2.38,58.27,18.6,80.17,626.97,14.64
JUL,2,8,10.82,11.16,0.75,8.78,17.17,3.73,51.88,20.1,71.26,627.08,4.85
JUL,2,9,12.71,15.08,0.6,8.95,13.11,5.41,73.85,21.46,64.84,627.37,5.95
JUL,2,10,14.05,19.05,0.61,9.48,17.26,4.41,77.38,22.04,63.93,627.59,11.57
JUL,2,11,13.03,20.48,0.59,10.37,32.66,3.44,86.91,22.83,61.57,627.5,20.07
JUL,2,12,13.82,20.66,0.63,13.47,38.13,3.58,109.12,23.54,59.25,627.44,23.39
JUL,2,13,17.74,26.07,0.65,12.32,40.89,2.75,96.91,24.89,54.98,626.93,26.14
JUL,2,14,19.11,22.51,0.74,12.52,37.75,3.18,103.74,26.28,50.29,626.12,15.18
JUL,2,15,26.39,19.78,0.67,11.26,44.5,2.85,91.03,26.95,47.4,625.52,22.71
JUL,2,16,24.54,14.12,0.7,11.58,29.89,3.47,102.7,27.32,44.07,624.88,23.43
JUL,2,17,25.39,14.99,0.64,13.03,36.57,3.05,111.56,27.75,42.35,624.43,14.97
JUL,2,18,25.42,10.32,0.68,13.21,45.34,3.27,168.7,26.15,48.44,624.52,20.29
JUL,2,19,26.96,6.91,0.66,10.75,36.4,3.16,45.5,21.07,70.16,625.71,16.22
JUL,2,20,17.14,14.85,0.81,16.13,27.77,2.49,72.93,20.41,74.6,626.15,13.74
JUL,2,21,17.97,19.67,0.59,12.04,35.69,2.61,82.16,19.42,75.42,626.66,22.54
JUL,2,22,19.68,6.93,0.7,11.56,22.35,1.3,285.5,19.28,78.08,626.77,10.18
JUL,2,23,13.44,5.9,0.82,15.12,19.86,1.48,164.14,19.35,79.61,627.13,8.52
JUL,3,0,14.9,6.07,0.63,14.81,16.34,1.54,145.59,18.98,80.18,627.27,14.61
JUL,3,1,16.97,21.82,0.55,11.94,25.3,1.15,93.64,19.33,79.18,627.11,22.75
JUL,3,2,12.96,22.92,0.55,13.97,34.97,3.02,77.09,19.7,75.4,626.76,27.29
JUL,3,3,12.91,17.37,0.64,11.6,30.74,1.5,34.35,18.95,78.9,626.56,14.43
JUL,3,4,12.42,8.72,0.56,13.59,18.94,1.13,281.25,17.98,85.17,626.47,12.74
JUL,3,5,10.85,5.86,0.58,13.42,26.62,0.6,293.51,17.73,86.39,626.35,10.56
JUL,3,6,11.67,5.86,0.81,13.31,26.46,0.69,272.3,17.55,86.49,626.59,14.53
JUL,3,7,10.74,6.07,1.43,13.37,38.51,1.04,201.18,17.97,82.77,626.9,16.2
