DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
NOV,1,0,14.03,2.71,0.91,10.45,22.93,1.53,260.97,19.43,69.2,623.8,6.13
NOV,1,1,14.41,2.63,0.85,9.7,22.38,1.65,224.12,18.98,70.67,623.69,1.95
NOV,1,2,13.04,2.5,0.84,8.6,19.37,1.47,219.13,18.71,71.72,623.44,2.86
NOV,1,3,11.44,2.56,0.82,11.36,20,1.2,232.25,18.27,73.29,623.26,5.52
NOV,1,4,9.93,2.5,0.82,14.12,28.57,1.16,269.79,17.4,75.74,623.36,5.8
NOV,1,5,9.46,2.79,0.88,17.34,25.04,1.02,301.8,16.77,77.02,623.45,7.95
NOV,1,6,9.37,2.78,0.88,17,24.58,0.83,258.32,17.02,77.2,623.63,13.01
NOV,1,7,9.15,2.67,1.17,16.36,24.39,0.89,212.19,17.19,77.41,623.91,5.67
NOV,1,8,8.97,3.37,1.6,17.4,42.5,1.05,117.68,17.7,76.28,624.29,6.52
NOV,1,9,11.31,8.14,1.34,20.02,49.26,1.03,126.01,19.32,70.7,624.71,21.89
NOV,1,10,15.91,23.86,1.3,21.02,57.64,1.17,179.36,21.32,63.89,625,21.39
NOV,1,11,22.95,9.87,1.22,16.37,48.35,1.43,271.94,23.06,56.67,624.88,29.44
NOV,1,12,27.97,4.67,1.02,11.88,33,1.81,213.32,24.49,51.24,624.16,13.13
NOV,1,13,29.71,3.4,0.93,8.44,24.83,1.57,210.46,26.09,45.43,623.15,10.23
NOV,1,14,29.03,3.04,0.99,11.04,22.45,1.93,194.52,27.14,41.41,622.38,8.02
NOV,1,15,28.83,2.84,0.99,9.83,27.63,1.92,256.81,27.81,39.01,621.81,7.99
NOV,1,16,28.13,2.83,1.04,11.01,22.31,1.96,267.39,28.64,36.63,621.47,7.51
NOV,1,17,32.78,2.66,1,10.59,31.62,2.08,286.8,28.3,36.88,621.38,5.58
NOV,1,18,29.5,2.82,1.22,17.69,37.31,1.81,278.44,27.88,36.4,621.52,6.53
NOV,1,19,19.13,3.35,1.31,25.31,70.29,1.41,294.86,25.8,41.97,621.91,14.66
NOV,1,20,10.62,3.41,1.77,32.48,77.71,0.94,282,24.43,44.83,622.55,19.1
NOV,1,21,12.52,3.63,1.72,29.99,99.14,1.4,226.89,23.56,49.31,623.42,19.43
NOV,1,22,13.82,3.12,1.34,22.04,52.73,1.69,230.6,22.06,55.13,624.05,21.35
NOV,1,23,11.43,3.05,1.27,23.52,61.37,1.49,237.52,21.13,59.56,624.3,6.29
NOV,2,0,10.06,3.14,1.22,22.36,49.13,1.16,233.16,20.39,63.22,624.5,7.67
NOV,2,1,12.51,2.67,1,17.59,69.97,1.12,214.04,19.72,65.23,624.5,9.63
NOV,2,2,13.4,2.8,0.98,17.14,8.42,0.94,265.3,19.11,66.84,624.52,NA
NOV,2,3,9.71,2.9,0.99,24.95,38.4,0.86,308.37,17.65,70.67,624.26,1.04
NOV,2,4,10.1,2.81,1.01,23.3,39.94,1.25,296.19,17.02,71.26,624.38,20.44
NOV,2,5,9.71,3.21,1.04,21.18,45.14,0.79,281.9,16.07,73,624.44,14.29
NOV,2,6,9.41,3.62,1.1,21.45,47.41,0.73,218.39,16.44,73.79,624.76,20.18
NOV,2,7,9.56,3.66,1.32,21.58,50.99,0.55,251.38,16.33,74.36,625.14,21.59
NOV,2,8,10.04,4.09,1.65,18.98,77.62,0.87,314.58,15.89,73.66,625.76,23.56
NOV,2,9,12.79,3.83,1.42,23.96,64.99,0.74,269.48,18.25,68.37,626.2,34.6
NOV,2,10,17.82,3.8,1.28,22.16,52.47,0.82,199.06,21.16,61.46,626.52,26.14
NOV,2,11,25.41,3.07,1.06,14.69,35.74,0.82,154.8,23.75,54.81,626.34,22.26
NOV,2,12,36.31,3.25,1.02,11.45,33.81,0.96,78.76,25.57,49.24,625.69,10.36
NOV,2,13,41.09,18.16,1.54,14.26,39.56,1.21,140.64,27.21,44.26,624.85,13.66
NOV,2,14,43.75,70.28,1.95,23.32,61.39,1.4,248.57,27.93,41.99,623.98,24.98
NOV,2,15,39.74,34.63,1.43,16.51,63.7,1.56,149.94,29.62,34.39,623.29,48.56
NOV,2,16,36.1,13.31,1.08,12.8,36.06,1.71,123.21,29.97,30.82,622.91,26.56
NOV,2,17,41.2,11.5,1.16,13.63,41.13,1.15,291.75,29.49,34.1,622.73,13.07
NOV,2,18,36.05,14.65,1.2,12.08,44.87,1.6,77.72,29.3,34.61,622.91,18.95
NOV,2,19,31.86,7.19,0.99,11.82,44.91,1.78,49.9,27.51,38.92,623.38,14.7
NOV,2,20,18.74,4.39,1.34,26.97,54.45,1.34,71.31,25.88,43.19,623.78,11.72
NOV,2,21,17.1,3.67,1.1,18.55,59.56,1.52,66.25,23.95,48.82,624.46,24.66
NOV,2,22,11.14,42.87,1.19,26.28,47.09,1.66,109.88,23.14,52.73,624.96,19.61
NOV,2,23,9.85,59.84,1.06,19.73,56.99,1.77,110.61,22.22,56.72,625.19,23.22
NOV,3,0,9.77,41.42,1.01,18.01,45.76,1.41,103.94,21.41,59,625.34,17.19
NOV,3,1,9.82,66.64,0.98,21.74,49.27,1.95,83.87,21.21,56.01,625.16,22.65
NOV,3,2,10.32,114.11,1.06,21.08,57.28,2.27,62.88,20.44,59.1,625.01,35.07
NOV,3,3,9.58,53.54,0.91,19.82,43.68,0.73,107.73,19.46,62.41,624.93,29.53
NOV,3,4,9.29,13.74,0.83,14.56,29.86,0.92,99.81,18.5,64.76,624.91,18.58
NOV,3,5,8.99,11.38,0.94,19.42,29.92,0.77,330.87,17.44,68.04,625.07,9.72
NOV,3,6,8.87,14.45,1.17,22.14,43.31,1.13,254.78,16.55,70.67,625.34,19.77
NOV,3,7,9.09,26.42,1.32,23.04,53.38,1.37,63.06,16.56,70.98,625.68,22.06
NOV,3,8,9.15,13.45,1.73,21.54,63.24,0.86,292.77,16.19,71.3,626.14,37.17
NOV,3,9,10.39,65.8,1.38,24.63,63.1,2.59,105.4,19.25,64.86,626.27,27.13
NOV,3,10,11.78,26.64,1.22,23.25,70.42,2.04,113.26,22.24,53.27,626.44,54.03
NOV,3,11,18.42,32.13,0.99,16.68,45.12,2.36,111.33,24.91,38.76,626.44,37.33
NOV,3,12,23.38,30.38,0.89,12.84,36.75,3.45,99.03,26.89,28.01,625.87,20.68
NOV,3,13,25.93,25.71,0.86,10.88,28.21,3.56,100.49,28.36,22.38,625.02,14.92
NOV,3,14,27.59,25.06,1.15,12.88,32.43,3.03,103.43,29.51,22.38,624.15,11.46
NOV,3,15,27.7,11.69,1.06,6.62,23.1,2.34,81.64,30.42,20.96,623.52,10.88
NOV,3,16,31.94,3.64,0.85,6.29,41.51,2.35,64.46,30.51,22.14,622.99,7.56
NOV,3,17,30.7,3.09,0.82,6.26,29.26,3.42,51.35,30.27,22.05,622.76,3.93
NOV,3,18,24.67,5.05,0.85,9.94,23.98,3.24,45.46,29.19,23.99,622.93,1.44
NOV,3,19,20.15,5.49,0.92,12.33,37.16,2.74,46.08,27.34,28.62,623.34,0.4
NOV,3,20,20.03,19.05,1.35,8.92,33.07,3.16,49,25.82,31.28,623.92,2.77
NOV,3,21,12.38,150.38,1.38,13.28,44,3.35,70.51,24.35,34.19,624.5,3.75
NOV,3,22,13.92,108.53,0.85,11.81,30.66,3.36,78.95,23.49,34.17,624.86,16.27
NOV,3,23,12.1,64.72,0.83,17.87,37.2,2.89,83.84,21.58,38.34,625.09,10.62
NOV,4,0,10.32,50.84,0.87,19.84,46.95,2.16,99.86,20.44,42.57,625.16,28.65
NOV,4,1,9.54,16.57,1,24.57,41.75,2.02,124.31,19.25,41.82,625.05,26.82
NOV,4,2,9.58,12.59,1.02,25.17,44.4,1.9,115.62,18.56,43.9,624.98,7.4
NOV,4,3,10.31,74.11,0.9,21.44,51.61,1.86,86.52,18.63,47.45,624.81,14.46
NOV,4,4,9.66,65.21,0.92,23.71,51.12,1.47,94.38,17.68,50.68,624.75,35.24
NOV,4,5,9.4,25.41,0.94,23.75,41.65,1.72,100.04,16.79,52.97,624.7,31.7
NOV,4,6,9.67,23.19,1.05,23.5,40.76,1.57,106.11,16.08,56.14,624.85,16.24
NOV,4,7,9.62,16.77,1.27,22.46,51.48,1.07,124.68,15.35,59.39,625.32,21.14
