DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
DIC,1,0,9.58,197.81,1.775,3.28,38.06,3.33,77.56,15.23,53.45,626.51,18.01
DIC,1,1,7.49,166.39,0.535,5.65,41.06,3.18,80.84,14.32,57.34,626.47,19.8
DIC,1,2,5.37,125.59,0.085,6.62,50.02,3.6,85.12,12.77,66.59,626.37,37.94
DIC,1,3,6.42,153.76,0.055,5.71,35.09,2.66,86.62,12.39,67.72,626.12,NA
DIC,1,4,3.56,139.91,0.195,6.12,60.89,2.56,89.52,11.2,72.66,626.04,46.51
DIC,1,5,4.1,108.65,0.025,3.49,56.56,2.44,87.03,10.44,74.33,626.17,NA
DIC,1,6,6.68,88.32,0.145,1.7,40.09,2.8,77.6,10.34,73.83,626.32,NA
DIC,1,7,3.7,116.03,0.125,6.91,34.12,2.06,93.01,9.92,74.65,626.58,NA
DIC,1,8,2.82,135.37,0.195,8.32,60.61,2.3,88.21,9.95,73.87,627.06,44.33
DIC,1,9,6.02,142.71,0.105,5.52,65.49,3.08,86.1,11.31,68.87,627.39,51.94
DIC,1,10,9.92,63.39,0.145,3.03,58.9,3.24,97.06,14.01,59.54,627.56,NA
DIC,1,11,13.26,66.42,0.125,2.18,51.14,3.64,94.65,15.9,50.68,627.5,35.02
DIC,1,12,16.05,56.78,0.085,1.86,49.56,3.9,93.17,17.64,40.37,626.95,26.65
DIC,1,13,19.63,40.52,0.145,2.03,42.04,3.86,102.78,19.38,33.56,626.14,29
DIC,1,14,25.59,34.76,0.085,1.7,45.52,3.11,95.57,21.57,24.78,625.05,21.02
DIC,1,15,28.24,23.55,0.175,2.57,46.12,2.75,112.85,22.94,18.66,624.2,17.92
DIC,1,16,33.31,18.29,0.215,1.7,45.48,2.22,108.75,23.69,15.25,623.71,16.76
DIC,1,17,26.4,21.97,0.305,8.04,48.49,1.68,132.7,23.94,15.7,623.58,12.14
DIC,1,18,16.1,3.07,0.645,19.31,57.45,1.49,140.46,23.03,16.62,623.69,21.33
DIC,1,19,2.38,4.19,1.935,34.42,105.89,1.25,293.77,21.6,19.93,624.08,22.53
DIC,1,20,0.85,4.42,0.975,26.81,203.4,1.32,21.17,19.6,26.08,624.59,36.1
DIC,1,21,3.3,0.8,0.645,17.17,111,1.41,54.09,18.33,29.61,625.04,33.51
DIC,1,22,8.4,32.18,1.225,9.31,47.24,1.95,79.2,17.52,39.16,625.4,31.53
DIC,1,23,2.98,81.68,0.265,9.47,71.77,2.59,88.5,15.67,48.46,625.71,25.74
DIC,2,0,2.29,124.56,0.225,9.92,79.87,2.72,89.35,14.87,53.05,625.73,37.55
DIC,2,1,4,140.88,0.065,7.72,77.49,3.41,87.08,14.35,56.56,625.63,53.75
DIC,2,2,5.72,99.52,0.045,4.53,38.38,2.87,93.2,13.73,59.26,625.61,NA
DIC,2,3,5.08,78.04,0.005,3.33,40.99,2.87,86.12,12.87,62.99,625.51,28.57
DIC,2,4,3.95,110.34,0.005,6.52,40.78,2.34,89,12.32,66.24,625.44,32.73
DIC,2,5,3.47,54.79,0.005,2.93,44.27,1.85,108.59,11.03,68.71,625.41,NA
DIC,2,6,3.62,68.51,0.005,2.03,36.19,2,89.5,10.38,71.04,625.48,22.73
DIC,2,7,2.36,73.44,0.005,3.58,32.45,2.12,99.46,9.86,72.61,625.82,28.8
DIC,2,8,1.64,67.51,0.315,6.25,42.79,2.44,100.08,9.87,73.54,626.24,27.73
DIC,2,9,3.67,116,0.165,5.95,47.42,3.01,85.67,11.24,69.43,626.8,25.29
DIC,2,10,7.4,69.66,0.195,4.97,75.76,3.87,95.22,13.72,63.29,627.14,60.82
DIC,2,11,11.83,51.86,0.125,4.25,56.69,4.17,103.66,16.05,56.04,626.99,32.58
DIC,2,12,14.6,38.22,0.095,4.28,40.77,3.57,102.89,18.22,47.78,626.37,34.55
