DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,1,0,6.07,154.39,0.38,12.14,47.15,25.8,4.49,79.39,21.96,28.56,624.23
ABR,1,1,9.23,128.12,0.95,5.78,32.32,25.88,4.06,73.78,21.74,27.73,624.38
ABR,1,2,8.48,152.72,0.14,7.16,37.35,22.91,4.37,80.97,20.75,30.58,624.19
ABR,1,3,7.68,108.02,0.76,8.23,30.34,19.28,3.18,63.56,19.86,32.81,624.03
ABR,1,4,5.06,122,0.29,9.86,37.02,28.34,2.32,93.99,18.05,38.59,623.73
ABR,1,5,1.93,104.67,0.02,13.92,44.85,30.35,2.78,88.58,16.68,41.74,623.56
ABR,1,6,2.51,40.13,0.11,10.5,50,37.24,1.67,152.63,16.02,45.69,624.04
ABR,1,7,0.8,49.34,0.21,12.46,49,25.17,1.07,98.03,15.39,48.58,624.53
ABR,1,8,6.98,75.01,0.26,12.18,41.13,33.42,1.91,78.9,16.44,46.59,624.86
ABR,1,9,7.23,67.24,0.21,12.33,50.52,49.5,2.72,107.15,18.48,43.97,625.07
ABR,1,10,8.3,109.97,0.11,15.58,75.34,41.02,2.12,115.29,20.96,37.36,625.2
ABR,1,11,14.47,57.63,0.07,10.73,59.45,60.15,2.22,109.61,23.1,32.33,625.04
ABR,1,12,21.17,19.71,0.08,5.14,47.65,37.98,1.86,141.93,25.09,26.73,624.63
ABR,1,13,23.96,14.75,0.07,3.73,33.2,23.64,2.12,159.73,26.88,24.6,623.9
ABR,1,14,25.05,17.96,0.07,4.35,36.52,22.93,1.91,177.87,28.39,19.83,622.99
ABR,1,15,21.83,15.84,0.09,4.59,26.37,NA,2.72,222.95,29.01,13.48,622.18
ABR,1,16,23.55,11.48,0.04,2.79,22.11,20.22,3.44,273.11,29.38,12.01,621.54
ABR,1,17,23.68,11.42,0.01,2.7,16.48,NA,3.43,280.32,29.43,12.68,621.04
ABR,1,18,25.76,10.98,0.01,2.7,28.27,14.11,2.85,274.46,29.53,13.39,620.75
ABR,1,19,26.35,10.64,0.03,2.7,28.66,15.11,1.85,288.69,28.74,14.21,620.66
ABR,1,20,13.52,10.28,0.41,18.53,41.36,18.76,1.34,268.32,27.4,17.45,620.87
ABR,1,21,5.26,10.6,0.92,27.53,61.57,24.59,1.01,185.23,26.26,21.05,621.11
ABR,1,22,6.92,10.58,0.91,21.08,77.81,21.91,1.69,230.89,24.51,24.95,621.71
ABR,1,23,10.29,10.03,0.3,10.13,56.24,27.81,1.99,260.06,22.87,33.13,622.19
ABR,2,0,5.65,19.07,0.15,11.88,56.4,15.54,2.07,45.98,20.89,38.87,622.52
ABR,2,1,5.6,65.99,0.21,12.47,64.22,27.24,1.63,128.74,21.68,38.31,622.72
ABR,2,2,6.08,30.38,0.21,9.83,61.57,48.24,1.55,212.35,21.44,39.37,622.58
ABR,2,3,5.45,15.34,0.11,8.42,46.05,39.15,1.73,277.36,19.97,43.03,622.3
ABR,2,4,NA,12.88,0.05,5.08,38.65,21,1.69,257.97,19.19,46.02,622.27
ABR,2,5,NA,11.52,0.09,8.96,33.54,18.76,1.25,256.19,17.76,50.12,622.37
ABR,2,6,0.8,11.79,0.25,9.2,41.74,23.1,1.31,258.24,17.91,51.63,622.51
ABR,2,7,NA,11.65,0.7,10.88,62.44,23.16,1.27,277.76,16.62,54.92,622.91
ABR,2,8,NA,12.13,0.92,10.61,69.94,32.25,1.07,252.72,17.87,52.46,623.3
ABR,2,9,0.8,11.51,0.69,11.41,69.52,33.76,1.32,282.49,19.91,46.48,623.67
ABR,2,10,6.99,11.36,0.31,7.74,62.87,39.89,2.49,288.68,22.06,42.76,623.86
ABR,2,11,10.2,11.58,0.2,4.31,38.61,19.3,3.35,276.17,23.72,38.77,623.68
ABR,2,12,11.12,11.07,0.17,3.62,30.52,20.71,3.15,264.72,25.16,33.4,623.18
ABR,2,13,12.15,10.52,0.13,2.7,26.5,15.86,3.3,262.34,26.39,28.56,622.56
ABR,2,14,14.51,10.18,0.14,3.97,28.58,16.02,3.56,264.11,27.31,27.34,621.57
ABR,2,15,15.24,9.52,0.16,4.99,29.22,15.57,3.39,249.7,28.41,23.65,620.92
ABR,2,16,16.42,9.35,0.12,4.77,22.43,13.89,3.8,256.57,29.23,21.13,620.26
ABR,2,17,16.42,9.03,0.17,6.09,34.11,17,3.44,250.64,29.83,18.13,619.76
ABR,2,18,17.06,8.79,0.12,5.25,31.32,19.91,3.78,278.17,29.76,16.36,619.48
ABR,2,19,15.39,8.85,0.16,8.16,35.55,17.8,2.96,280.09,28.74,18.92,619.66
ABR,2,20,9.4,8.9,0.33,14.48,47.36,19.18,2.5,275.6,27.25,21.45,620.01
ABR,2,21,6.37,9.17,0.47,15.91,53.7,21.62,2.69,235.38,26.1,25.32,620.45
ABR,2,22,7.51,9.24,0.27,9.97,56.76,25.57,3.41,234.54,24.35,33.91,620.96
ABR,2,23,8.16,9.02,0.13,4.84,39.66,18.15,3.1,241.65,22.35,39.79,621.45
ABR,3,0,7.84,8.92,0.08,4.71,36,21.18,2.34,258.46,21.45,41.66,621.62
ABR,3,1,6.59,9.15,0.06,6.21,34.07,19.8,2.74,294.96,20.96,42.57,621.81
ABR,3,2,6.34,9.06,0.05,5.45,36.88,20.69,2.39,255.41,21.04,41.14,621.75
ABR,3,3,5.93,8.99,0.02,4.8,30.24,21.9,1.79,249.47,20.18,43.1,621.63
ABR,3,4,6.08,9.18,0.01,5.75,30.34,18.4,1.58,242.53,19.09,46.06,621.62
ABR,3,5,4.43,9.21,0.01,8.37,30.52,19.95,1.21,252.8,17.85,49.39,621.74
ABR,3,6,2.55,9.56,0.18,10.27,41.15,24.53,1.38,245.34,17.31,50.79,621.97
ABR,3,7,0.8,10.07,0.41,12.66,49.55,20.82,1.54,241.59,16.9,52.4,622.29
