DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,1,0,8.57,12.64,0.07,4.34,40.12,25.68,2.18,109.71,22.19,42.61,625.24
MAY,1,1,6.9,12.26,0.02,4.47,37.89,18.47,2.55,108.06,21.2,45.94,625.4
MAY,1,2,5.9,81.11,0.03,9.54,45.25,20.77,3.16,78.57,21.25,46.95,625.3
MAY,1,3,6.33,53.89,0.08,7.08,55.77,36.01,2.5,91.38,20.54,51.08,625.06
MAY,1,4,4.73,23.81,0.11,9.15,45.02,43.21,1.87,107.69,19.2,54.58,624.81
MAY,1,5,3.08,31.45,0.15,11.99,45.78,35.42,1.31,102.86,18.44,57.29,624.83
MAY,1,6,1.55,25.51,0.26,15.25,49.11,35.87,0.91,112.76,17.96,58.84,624.89
MAY,1,7,0.8,21.03,0.41,18.97,53.77,31.03,1.05,121.44,17.64,59.24,625.08
MAY,1,8,0.8,25.31,0.51,16.28,60.61,44.46,1.46,112.79,19.41,54.01,625.52
MAY,1,9,2.44,26.68,0.47,15.66,74.46,37.7,1.36,110.5,21.36,48.75,625.79
MAY,1,10,7.27,21.49,0.47,11.59,61.85,41.83,1.38,243.37,23.26,43.34,625.93
MAY,1,11,13.38,15.57,0.31,6.8,52.67,41.55,2.15,283.09,24.99,39.9,625.78
MAY,1,12,17.64,12.26,0.23,3.2,44.61,39.32,2.37,270.97,26.7,35.3,625.33
MAY,1,13,19.54,11.69,0.23,3.04,46.48,33.2,2.43,253.68,28.08,31.73,624.78
MAY,1,14,19.57,10.64,0.16,2.7,35.75,28.65,1.79,224.03,29.44,26.55,623.92
MAY,1,15,20.37,9.98,0.21,2.84,35.65,26.01,2.33,263.93,30.13,23.97,623.32
MAY,1,16,14.35,10.08,0.28,7.54,46.39,31.12,3.87,212.81,29.32,21.63,623.15
MAY,1,17,9.73,10.09,0.23,5.34,201.01,24.99,7.12,226.21,25.58,32.1,623.42
MAY,1,18,9.54,9.65,0.28,5.14,104.38,52.73,4.52,226.35,24.07,37.13,624.45
MAY,1,19,9.32,9.9,0.31,6.02,35.53,22.03,3.42,239.3,22.72,43.46,624.95
MAY,1,20,7.68,9.74,0.41,7.97,33.37,19.53,2.58,247.65,22.57,43.67,625.27
MAY,1,21,8.72,9.38,0.23,3.71,36.65,32.37,2.13,236.03,21.68,47.21,625.98
