DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
DIC,1,0,1.13,1.92,0.82,8.54,59.53,19.81,0.67,309.23,13.94,74.32,622.03
DIC,1,1,0.8,1.85,0.74,7.35,58.71,22.27,0.47,288.65,12.92,77.71,622.22
DIC,1,2,0.9,1.86,0.67,5.72,47.77,25.2,0.45,271.56,11.65,79.22,621.73
DIC,1,3,0.8,1.75,0.54,4.37,51.72,23.98,0.54,271.17,11.12,80.53,621.68
DIC,1,4,1.55,1.28,0.14,4.37,34.3,16.95,0.69,228.01,10.95,79.38,621.66
DIC,1,5,1.08,1.14,0.01,3.62,22.9,7.03,0.63,283.88,10.6,78.36,621.71
DIC,1,6,0.83,1.53,0.12,4.22,33.13,9.43,0.59,272.59,8.88,81.35,621.45
DIC,1,7,1.82,1.29,0.27,4.7,39.83,16.93,0.54,258.21,9.35,82.64,622.05
DIC,1,8,2.35,1.76,0.7,4.49,60.07,19.39,0.58,277.28,9.06,81.98,622.23
DIC,1,9,3.38,2.04,0.49,9.22,56.04,23.96,1.15,281.87,11.07,75.52,622.67
DIC,1,10,5.71,2.14,0.29,8.35,47.37,23.74,1.75,275,14.33,66.82,622.86
DIC,1,11,11.67,1.87,0.15,5.82,30.55,13.35,2.03,281.79,17,59.58,622.58
DIC,1,12,18.63,1.54,0.01,4.08,12.9,8.72,1.92,267.22,19.16,52.33,621.92
DIC,1,13,23.35,1.59,0.06,4.3,21.79,5.56,1.65,188.48,21.29,46.38,621.07
DIC,1,14,31.22,1.37,0.01,4.48,25.26,8.17,1.7,224.95,22.8,41.62,620.1
DIC,1,15,23.21,1.11,0.14,6.24,14.98,9.57,2.3,229.84,24.36,25.41,619.39
DIC,1,16,23.97,1.31,0.18,7.55,23.74,6.21,2.41,234.01,25.02,32.03,619
DIC,1,17,24.15,1.29,0.12,6.56,26.23,5.24,1.86,250.72,25.62,31.07,618.81
DIC,1,18,21.3,1.22,0.32,11.89,29.77,7.11,1.76,273.31,25.07,29.94,618.85
DIC,1,19,10.89,1.53,0.75,21.1,45.49,4.95,1.52,304.39,22.54,33.06,619.24
DIC,1,20,8.76,1.79,1.33,25.06,67.38,17.02,1.35,141.29,20.77,40.2,619.82
DIC,1,21,4.6,1.86,1.15,15.81,94.55,27.37,1.7,185.25,19.13,56.99,620.5
DIC,1,22,1.39,1.76,1.16,16.33,69.24,23.45,1.21,259.87,17.08,57.57,621.08
