DATOS HORARIOS 2019_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MZO,1,0,9.12,1.79,0.518,15.53,44,20,1.56,237.54,21.86,34.65,622.76
MZO,1,1,11.06,1.95,0.368,13.80,48,18,1.65,240.08,21.34,39.00,622.59
MZO,1,2,9.57,1.78,0.226,5.90,42,17,2.28,266.22,19.89,44.65,622.53
MZO,1,3,5.80,1.69,0.189,4.28,29,15,1.32,275.52,18.37,48.73,622.39
MZO,1,4,2.10,1.68,0.170,6.36,29,11,0.88,287.07,17.67,51.42,622.12
MZO,1,5,2.10,15.99,0.170,14.05,35,10,1.16,225.85,17.32,52.21,622.56
MZO,1,6,3.22,8.74,0.170,15.33,41,22,1.11,109.83,16.93,55.61,622.79
MZO,1,7,7.25,5.51,0.462,14.90,42,22,1.18,112.60,16.48,57.31,623.23
MZO,1,8,9.39,16.73,0.763,11.84,69,24,1.86,110.62,15.09,55.58,624.01
MZO,1,9,16.54,13.95,0.612,13.64,64,29,2.02,111.65,17.41,50.28,624.62
MZO,1,10,18.40,6.09,0.377,11.57,71,30,1.83,103.59,20.49,45.94,625.00
MZO,1,11,29.20,5.34,0.368,9.73,55,36,1.57,181.53,22.47,45.00,624.96
MZO,1,12,43.60,2.98,0.386,6.97,44,30,1.77,199.19,24.75,37.13,624.48
MZO,1,13,33.19,2.85,0.349,3.08,34,19,1.91,253.29,26.30,33.39,623.63
MZO,1,14,24.25,1.25,0.396,3.61,28,21,2.41,235.14,27.59,25.26,622.58
MZO,1,15,27.62,0.77,0.396,2.36,19,10,2.50,242.57,28.81,19.78,621.96
MZO,1,16,34.54,0.60,0.264,0.20,19,12,2.66,266.34,29.76,17.44,621.55
MZO,1,17,23.65,0.64,0.321,0.66,17,11,3.11,269.55,30.17,17.82,621.23
MZO,1,18,15.50,0.60,0.405,4.70,40,11,2.67,223.71,30.40,15.66,621.07
MZO,1,19,3.48,1.02,0.772,12.12,135,10,2.35,215.61,29.61,18.07,621.21
MZO,1,20,3.71,1.43,1.478,20.96,101,10,1.95,217.59,27.77,22.60,621.58
MZO,1,21,4.83,1.37,1.149,17.97,47,18,1.86,223.08,26.09,25.94,622.17
MZO,1,22,4.14,1.16,0.725,11.62,52,15,1.96,245.41,24.66,26.37,622.68
MZO,1,23,7.48,1.16,0.528,10.56,49,13,1.69,178.87,22.92,30.24,623.19
MZO,2,0,8.40,1.17,0.424,8.03,44,22,1.64,304.65,22.06,31.23,623.52
MZO,2,1,5.48,7.94,0.377,10.06,47,15,1.69,155.76,20.57,36.38,623.83
MZO,2,2,5.51,6.22,0.377,9.36,55,19,0.81,120.61,20.02,38.25,623.99
MZO,2,3,4.22,3.50,0.283,7.03,49,31,1.21,251.07,19.63,42.69,623.68
MZO,2,4,3.09,4.30,0.292,8.89,39,15,1.01,252.69,17.96,46.74,623.44
MZO,2,5,2.10,2.16,0.189,7.07,37,21,1.02,215.84,16.88,49.21,623.52
MZO,2,6,2.44,2.04,0.170,6.62,30,19,0.73,236.81,16.42,51.98,623.76
MZO,2,7,2.10,4.27,0.170,6.75,37,14,1.00,114.38,16.09,54.92,624.12
MZO,2,8,2.15,5.75,0.725,8.02,86,29,0.69,98.19,16.20,54.80,624.64
MZO,2,9,18.37,5.09,0.678,13.94,104,58,0.93,109.31,18.78,49.48,625.01
MZO,2,10,25.71,4.26,0.481,17.70,79,40,1.12,143.93,20.89,49.42,625.37
MZO,2,11,33.11,2.19,0.321,8.73,57,37,2.24,264.05,22.30,51.27,625.51
