DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,1,0,14.88,11.37,2.53,19.45,123.99,1.11,173.77,19.07,43.89,623.21,68.10
ENE,1,1,15.90,20.54,2.77,19.87,228.82,0.65,236.56,18.68,46.78,623.17,68.68
ENE,1,2,17.48,19.56,3.13,18.57,374.67,0.58,133.48,17.88,50.15,623.10,263.97
ENE,1,3,18.62,15.60,2.98,15.66,309.08,1.02,230.53,16.61,52.07,622.67,267.17
ENE,1,4,19.84,12.97,3.08,15.25,207.46,0.67,177.33,15.98,53.87,622.40,192.99
ENE,1,5,23.28,11.67,2.64,15.20,160.24,1.16,100.18,15.59,57.69,622.20,134.13
ENE,1,6,26.42,11.88,1.98,14.29,141.86,1.74,111.98,14.76,62.51,622.12,108.76
ENE,1,7,22.26,10.92,2.08,14.81,94.66,1.55,106.76,14.24,64.43,622.24,74.06
ENE,1,8,21.40,10.60,2.22,13.87,102.81,0.74,130.32,13.75,63.76,622.70,80.23
ENE,1,9,25.95,10.88,1.86,12.26,83.19,1.29,129.58,15.99,60.20,623.03,83.66
ENE,1,10,31.37,8.61,1.55,9.37,44.12,1.17,136.56,19.38,51.76,623.15,53.51
ENE,1,11,37.08,7.55,1.25,6.38,32.62,3.54,137.03,20.95,45.76,622.61,42.43
ENE,1,12,39.86,7.11,1.21,5.69,7.45,3.33,150.24,23.09,38.85,621.99,15.45
ENE,1,13,38.23,6.99,1.25,6.50,16.79,4.01,168.93,24.82,33.99,620.89,8.03
ENE,1,14,36.76,7.25,1.32,6.85,48.20,6.27,200.82,26.16,27.05,619.74,8.22
ENE,1,15,34.81,6.70,1.29,6.25,132.46,7.50,209.95,26.63,23.77,619.13,15.76
ENE,1,16,35.05,7.02,1.34,6.36,99.25,6.80,211.51,25.54,28.36,619.15,22.10
ENE,1,17,34.24,8.35,1.54,8.83,53.63,6.15,204.70,24.46,32.10,619.60,21.85
ENE,1,18,35.08,6.99,1.39,7.39,45.56,4.67,216.42,23.15,36.64,620.24,54.59
ENE,1,19,31.90,7.02,1.42,8.45,32.71,4.01,214.37,22.00,41.55,620.51,18.89
ENE,1,20,32.36,6.92,1.36,7.83,17.81,4.02,213.14,21.43,43.13,620.82,20.11
ENE,1,21,31.16,7.09,1.49,9.23,19.85,2.86,172.55,20.63,46.36,621.22,3.88
ENE,1,22,29.55,7.01,1.49,9.38,17.52,3.08,183.50,20.07,47.50,621.43,6.26
ENE,1,23,34.41,6.78,1.23,6.23,10.54,4.15,186.39,19.94,45.77,621.27,15.69
ENE,2,0,34.69,6.76,1.21,5.86,9.91,2.92,161.74,19.17,49.11,621.24,2.92
ENE,2,1,34.82,6.72,1.20,6.02,12.62,2.04,154.18,18.26,52.28,620.89,6.25
ENE,2,2,34.59,6.86,1.17,6.26,11.46,2.11,271.67,17.59,51.03,620.47,10.63
ENE,2,3,29.70,6.78,1.15,7.17,7.25,1.47,225.10,16.77,52.31,620.46,7.50
ENE,2,4,32.99,6.56,1.12,6.07,10.45,2.34,234.05,16.62,49.33,620.34,7.02
ENE,2,5,37.74,7.09,1.12,4.93,5.99,3.77,185.71,17.88,43.67,620.13,8.00
ENE,2,6,36.50,6.60,1.13,5.54,9.65,4.24,166.03,17.35,47.58,619.92,6.34
ENE,2,7,34.64,6.40,1.19,5.83,8.71,5.95,154.74,16.83,50.17,619.62,14.79
ENE,2,8,32.78,6.55,1.28,7.40,18.13,5.07,149.97,16.39,53.50,619.50,7.82
ENE,2,9,31.58,6.64,1.34,7.58,20.73,6.16,145.71,16.77,53.76,619.83,8.03
ENE,2,10,30.66,6.71,1.38,8.03,33.72,5.73,144.30,17.64,53.31,620.27,8.73
ENE,2,11,26.05,6.68,1.45,8.25,32.77,5.86,176.38,19.43,50.86,620.44,8.25
ENE,2,12,26.13,6.74,1.44,7.31,59.99,6.76,202.80,20.97,48.80,620.24,8.69
ENE,2,13,25.46,6.79,1.50,7.99,29.52,6.77,199.67,21.43,47.16,619.57,11.38
ENE,2,14,27.16,6.70,1.49,7.83,32.08,7.15,200.74,21.86,45.14,618.69,9.01
ENE,2,15,25.63,6.67,1.54,8.96,27.21,6.50,200.82,21.77,45.59,618.38,5.10
ENE,2,16,26.88,6.62,1.54,8.99,34.41,5.95,208.04,21.59,44.47,618.39,4.82
ENE,2,17,28.81,6.48,1.49,8.97,18.99,6.11,200.68,21.29,43.00,618.51,7.07
ENE,2,18,25.78,6.54,1.56,10.39,23.09,5.15,201.79,20.57,44.68,618.79,9.29
ENE,2,19,22.94,6.71,1.81,12.77,23.60,3.63,206.46,19.59,46.38,619.33,11.40
ENE,2,20,19.31,6.75,1.82,13.74,23.99,2.86,205.30,18.58,49.32,619.87,12.13
ENE,2,21,21.43,6.64,1.63,12.47,27.86,2.60,219.91,17.38,52.08,620.70,10.40
ENE,2,22,28.42,6.56,1.46,11.02,20.39,2.38,236.07,16.75,50.28,621.25,11.64
ENE,2,23,31.98,6.41,1.33,9.08,13.02,2.31,222.70,16.34,52.86,621.45,15.29
ENE,3,0,32.38,6.46,1.28,8.18,10.73,2.57,243.25,15.70,56.01,621.42,8.77
ENE,3,1,29.40,6.46,1.23,8.70,15.27,1.61,262.93,14.97,58.00,621.54,10.91
ENE,3,2,29.97,6.94,1.26,10.98,12.02,1.36,219.21,14.22,58.78,621.62,12.15
ENE,3,3,26.69,6.70,1.24,13.39,14.85,1.25,231.17,13.00,63.85,621.58,9.50
ENE,3,4,22.82,6.69,1.25,13.45,17.10,0.52,284.83,12.23,66.67,621.65,9.63
ENE,3,5,18.75,6.69,1.25,15.28,11.29,0.47,308.21,11.13,68.83,621.58,10.79
ENE,3,6,17.58,7.49,1.39,16.43,15.96,0.45,279.20,10.34,70.88,621.68,18.77
ENE,3,7,18.18,8.14,1.81,15.91,27.62,0.45,270.16,9.63,74.02,622.11,12.06
ENE,3,8,20.76,7.52,1.91,15.57,33.47,1.18,282.15,9.23,75.39,622.75,23.59
ENE,3,9,21.51,8.30,2.20,17.14,35.88,1.15,256.49,11.51,68.60,623.43,16.69
ENE,3,10,23.60,7.18,1.96,17.19,50.93,1.15,248.21,13.99,61.75,624.06,25.19
ENE,3,11,35.68,6.83,1.55,12.63,30.19,0.61,278.40,15.56,55.49,624.29,22.09
ENE,3,12,44.88,6.80,1.44,10.54,12.93,0.99,233.49,17.65,49.95,623.79,11.11
ENE,3,13,56.05,6.75,1.39,9.63,20.16,1.52,236.09,19.51,41.82,623.08,12.22
ENE,3,14,59.61,6.64,1.50,10.96,16.29,2.72,254.21,21.36,27.66,622.27,12.53
ENE,3,15,62.19,6.51,1.53,12.17,20.57,3.15,218.34,22.76,23.10,621.76,12.57
ENE,3,16,55.18,6.67,1.67,13.84,23.44,3.69,230.88,24.34,13.80,621.36,13.11
ENE,3,17,54.13,6.60,1.62,15.31,39.21,4.20,246.79,24.61,9.83,621.47,18.93
ENE,3,18,47.80,7.18,1.92,21.71,48.88,3.68,249.95,23.64,12.81,622.17,26.25
ENE,3,19,25.82,7.58,2.88,31.87,62.51,2.21,250.73,21.85,19.24,622.74,29.48
ENE,3,20,19.51,8.03,2.36,28.44,76.42,2.00,292.11,19.49,20.58,623.33,40.33
ENE,3,21,16.50,8.59,2.99,30.08,70.35,1.46,235.19,18.40,22.20,623.96,38.20
ENE,3,22,17.31,7.65,2.61,28.25,76.14,1.51,173.82,17.60,24.05,624.28,41.12
ENE,3,23,15.03,8.47,2.57,27.48,66.84,0.91,189.19,16.29,28.73,624.71,35.57
ENE,4,0,16.53,8.70,3.22,25.98,68.96,0.45,191.05,15.76,29.99,625.05,42.61
ENE,4,1,16.81,8.08,2.51,24.09,82.83,1.00,296.81,14.46,32.98,625.06,49.44
ENE,4,2,15.70,7.22,1.69,22.06,55.04,1.33,319.33,12.61,36.90,625.44,41.24
ENE,4,3,16.40,7.14,1.41,20.64,34.89,1.12,231.47,10.86,41.60,625.75,23.21
ENE,4,4,31.42,7.33,1.21,12.21,22.73,1.34,53.06,11.84,44.11,626.05,13.92
ENE,4,5,24.38,7.31,1.33,17.24,19.19,1.10,271.80,10.82,44.60,626.78,12.91
ENE,4,6,24.01,6.83,1.43,17.79,36.02,1.05,245.70,10.15,45.63,627.37,10.71
ENE,4,7,23.00,6.81,1.51,18.17,33.03,1.52,243.42,9.34,48.62,627.98,20.39
ENE,4,8,20.44,7.14,2.13,21.39,46.39,1.40,220.96,8.71,50.84,628.52,20.93
ENE,4,9,22.00,7.09,2.13,19.27,56.48,1.59,228.49,9.84,49.96,629.26,20.94
ENE,4,10,27.75,20.53,2.10,17.99,45.40,1.29,203.89,12.59,50.32,629.78,29.52
ENE,4,11,47.27,32.01,2.51,12.28,46.65,1.62,121.04,15.31,44.36,629.57,30.77
ENE,4,12,48.54,33.79,1.83,14.37,32.65,1.80,190.67,17.31,40.60,629.05,18.08
ENE,4,13,55.27,20.33,1.65,11.04,31.33,1.98,202.77,18.74,34.28,628.26,34.71
ENE,4,14,60.06,26.20,2.19,11.25,23.93,2.17,178.11,20.00,27.40,627.36,20.99
ENE,4,15,62.41,10.40,1.57,9.81,25.00,3.05,159.19,20.96,20.71,626.77,18.76
ENE,4,16,71.96,6.64,1.23,6.00,20.96,4.66,66.43,21.30,11.53,626.51,13.42
ENE,4,17,68.47,6.71,1.24,6.23,20.34,4.67,69.74,21.21,7.41,626.57,12.40
ENE,4,18,66.25,7.35,1.25,7.29,16.78,4.16,65.76,20.74,11.69,626.76,9.00
ENE,4,19,58.59,19.04,1.84,8.54,19.76,4.00,53.10,19.02,10.94,627.08,8.51
ENE,4,20,53.81,26.34,3.07,7.92,16.70,4.37,54.72,17.19,10.04,627.52,9.73
ENE,4,21,54.57,16.63,2.17,7.27,12.79,4.14,50.36,15.94,11.59,628.09,7.52
ENE,4,22,56.34,6.55,1.27,7.33,7.07,3.54,50.12,14.65,18.36,628.41,5.84
ENE,4,23,55.36,6.53,1.21,6.44,13.56,3.25,52.11,13.28,28.92,628.63,8.75
ENE,5,0,58.32,9.39,1.23,6.17,8.55,2.86,65.36,12.53,27.97,628.67,10.24
ENE,5,1,39.68,42.28,1.35,12.89,16.95,1.51,121.84,10.85,32.96,628.45,9.29
ENE,5,2,44.98,44.85,1.19,8.46,24.95,2.50,90.98,9.86,35.99,628.47,15.06
ENE,5,3,46.45,44.44,1.19,8.60,18.54,2.63,90.78,9.35,39.69,628.24,8.30
ENE,5,4,39.68,61.86,1.17,15.61,17.01,2.70,77.80,8.88,42.88,628.08,11.16
ENE,5,5,46.95,44.84,1.17,8.22,19.55,1.86,86.80,7.98,46.21,627.97,15.80
ENE,5,6,39.87,14.85,1.24,9.30,18.78,1.80,106.98,6.35,49.65,628.15,13.17
ENE,5,7,42.06,19.99,1.27,9.24,18.95,1.96,101.55,6.08,50.83,628.29,13.16
ENE,5,8,35.65,14.95,1.47,13.03,27.29,2.41,110.87,5.79,51.08,628.59,11.67
ENE,5,9,34.81,81.98,1.42,13.49,31.52,3.00,102.12,7.30,48.02,629.24,11.43
ENE,5,10,36.86,154.51,1.40,15.80,55.71,2.13,85.78,10.70,39.80,629.55,30.19
ENE,5,11,54.55,112.84,1.71,15.31,45.98,1.13,149.84,14.74,29.79,629.26,39.40
ENE,5,12,63.56,50.98,1.67,10.08,35.63,3.26,136.40,17.64,13.31,628.32,27.42
ENE,5,13,63.19,37.06,1.99,6.32,10.72,3.56,67.56,19.83,6.61,627.40,6.19
ENE,5,14,64.66,42.43,1.90,7.05,13.69,3.63,73.07,21.66,4.05,626.31,9.96
ENE,5,15,66.47,24.38,1.83,8.30,10.23,2.68,90.68,23.33,2.84,625.46,12.88
