DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
FEB,1,0,16.68,3.46,1.7,14.59,34.8,14.69,1.23,279.66,18.03,40.19,624.91
FEB,1,1,9.06,3.91,1.66,18.41,39.92,12.23,1.28,305.88,17.06,40.86,624.83
FEB,1,2,8.41,3.79,1.55,18.21,32.26,17.03,1.08,248.23,16.27,43.49,624.74
FEB,1,3,10,3.7,1.62,17.75,29.11,16.81,0.62,212.42,16.25,44.86,624.61
FEB,1,4,10.86,3.75,1.58,17.37,34.34,12.98,1.08,261.89,15.86,45.65,624.81
FEB,1,5,9.98,7.12,1.55,16.59,28.81,16.8,1.22,163.69,15.21,47.02,625.12
FEB,1,6,9.58,8.83,1.63,15.94,35.98,18.51,1.53,128.53,14.92,47.98,625.38
FEB,1,7,14.79,17.54,1.65,13.48,30.37,25.33,1.99,80.96,14.1,54.55,625.97
FEB,1,8,16.24,18.93,1.66,13.06,31.33,21.47,1.81,89.66,13.14,61.91,626.68
FEB,1,9,19.4,41.56,1.56,14,32.71,14.47,4.25,86.59,13.58,61.63,627.21
FEB,1,10,32.77,46.08,1.45,7.46,32.17,35.48,4.95,80.53,15.06,56.94,627.52
FEB,1,11,35.99,31.52,1.81,7.96,19.03,15.7,4.07,78.2,16.74,51.21,627.91
FEB,1,12,40.63,33.18,1.91,6.55,27.02,11.73,4.03,64.6,17.48,47.61,627.91
FEB,1,13,43.39,15.4,2.16,6.41,20.47,12.96,3.5,60.84,18.23,44.39,627.58
FEB,1,14,44.15,6.84,1.59,6.96,17.75,14.41,2.98,74.01,19.19,41.33,626.74
FEB,1,15,47.18,4.45,1.5,6.29,19.48,12.49,1.78,77.21,20.46,37.68,625.97
FEB,1,16,44.73,3.99,1.52,7.14,18.84,11.71,1.91,98.95,21.47,36.86,625.44
FEB,1,17,45.34,3.73,1.42,5.91,20.84,12.98,2.11,70.78,21.74,36.82,625.32
FEB,1,18,41.05,3.64,1.4,6.06,26.26,10.08,3.49,51.63,20.22,39.91,625.73
FEB,1,19,37.69,3.7,1.45,7,20.59,6.92,3.12,60.12,18.81,42.94,626.28
FEB,1,20,36.94,3.49,1.43,7,20.18,8.33,3.22,52.26,17.7,46.42,626.92
FEB,1,21,37.74,3.46,1.42,6.48,13.44,11.45,2.73,55.23,16.72,49,627.57
