DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MZO,1,0,31.09,NA,1.93,16.48,53.27,23.84,1.78,271.17,21.21,44.66,624.82
MZO,1,1,19.92,NA,2.08,20.33,45.44,17.46,1.38,279.77,20.07,46.31,624.83
MZO,1,2,15.41,NA,1.83,23.71,63.50,29.61,1.84,283.82,19.12,49.38,624.55
MZO,1,3,13.45,NA,1.98,25.93,60.41,24.15,1.48,269.95,18.92,49.69,624.45
MZO,1,4,19.38,NA,1.80,22.61,61.33,28.47,1.39,251.16,18.02,53.18,624.46
MZO,1,5,14.36,NA,1.76,22.55,58.86,30.44,1.29,295.20,16.72,56.47,624.59
MZO,1,6,15.87,NA,1.84,23.35,61.75,29.89,0.80,148.05,16.45,60.65,624.62
MZO,1,7,19.47,NA,1.82,19.65,99.67,35.40,0.96,282.43,16.12,63.51,624.93
MZO,1,8,17.56,NA,2.01,19.40,64.11,33.07,0.84,224.83,15.87,62.68,625.48
MZO,1,9,31.72,NA,1.79,14.33,36.79,68.72,0.92,214.03,18.00,57.18,625.82
MZO,1,10,33.71,NA,1.88,13.09,39.15,27.68,1.74,225.13,20.13,51.88,625.96
MZO,1,11,46.83,NA,1.66,9.22,27.24,23.06,3.13,233.65,22.27,49.38,625.90
MZO,1,12,49.65,NA,1.64,9.02,28.86,18.35,3.39,235.27,24.13,48.32,625.39
MZO,1,13,53.50,NA,1.63,8.24,29.35,26.25,3.81,243.10,25.48,44.97,624.56
MZO,1,14,51.22,NA,1.73,9.57,29.86,17.59,4.14,247.80,27.31,37.06,623.59
MZO,1,15,48.51,NA,1.70,9.48,25.78,23.17,4.33,239.74,28.78,28.76,622.71
MZO,1,16,51.55,NA,1.65,9.33,26.32,9.56,4.24,236.85,29.70,26.55,621.92
MZO,1,17,53.28,NA,1.61,8.92,26.60,16.40,3.80,240.89,30.39,23.34,621.47
MZO,1,18,47.84,NA,1.58,8.49,30.71,17.22,3.79,256.88,30.47,19.08,621.48
MZO,1,19,42.11,NA,1.66,11.36,30.52,7.10,2.92,241.13,29.02,23.49,621.64
MZO,1,20,28.31,NA,1.91,15.00,37.44,8.82,2.44,234.61,26.25,31.69,622.15
MZO,1,21,24.96,NA,1.95,15.96,42.26,12.14,2.36,241.79,24.78,35.94,622.68
MZO,1,22,22.29,NA,1.86,16.17,39.71,14.87,2.10,251.45,23.33,39.19,623.38
MZO,1,23,26.94,NA,1.67,13.64,37.11,12.83,2.12,277.15,22.40,38.48,623.81
MZO,2,0,26.48,NA,1.56,13.38,35.97,19.39,1.85,299.31,20.96,38.84,623.95
MZO,2,1,25.48,NA,1.50,13.64,46.91,14.95,1.81,271.02,19.87,41.85,623.88
MZO,2,2,24.44,NA,1.48,10.44,37.32,NA,1.24,272.77,19.07,44.59,623.77
MZO,2,3,17.20,NA,1.48,12.36,39.56,NA,1.52,292.10,18.04,46.30,623.50
MZO,2,4,15.91,NA,1.47,12.30,35.28,15.38,1.20,271.73,17.24,48.91,623.37
MZO,2,5,11.27,NA,1.48,18.98,39.87,14.92,1.07,271.89,16.58,51.92,623.22
MZO,2,6,12.95,NA,1.60,17.74,40.42,18.27,0.68,249.31,16.38,57.95,623.43
MZO,2,7,11.47,NA,2.16,18.25,38.75,19.84,0.79,243.72,16.11,60.99,623.77
MZO,2,8,10.46,NA,3.17,18.51,69.66,25.65,0.98,253.51,16.04,61.15,624.14
MZO,2,9,13.14,NA,2.17,18.51,66.90,30.66,0.90,236.98,17.64,54.04,624.53
MZO,2,10,23.11,NA,2.04,17.03,50.02,21.62,1.64,247.55,19.86,51.01,624.67
MZO,2,11,42.18,NA,1.65,10.57,32.30,24.51,1.56,222.43,22.30,46.50,624.61
