DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,1,0,26.38,100.88,0.99,NA,83.12,42.25,5.34,65.98,22.96,55.52,622.49
ABR,1,1,19.55,67.45,0.96,NA,59.96,28.21,4.77,72.02,22.28,57.35,622.33
ABR,1,2,23.40,117.19,1.04,NA,40.57,31.99,5.17,69.06,21.56,57.48,622.09
ABR,1,3,19.04,61.76,1.85,NA,41.07,32.56,3.99,67.16,21.10,58.75,622.10
ABR,1,4,22.31,55.78,1.60,NA,37.97,34.90,3.98,67.42,20.62,58.98,621.88
ABR,1,5,24.92,63.46,1.27,NA,34.97,33.46,2.74,64.57,20.29,59.22,621.71
ABR,1,6,20.60,34.42,0.39,NA,38.90,31.96,2.91,84.06,19.47,61.93,621.89
ABR,1,7,20.51,74.38,0.39,NA,40.88,31.38,3.16,79.27,19.02,63.93,622.19
ABR,1,8,15.66,24.62,0.46,NA,45.44,45.48,2.91,86.90,19.20,63.90,622.62
ABR,1,9,15.29,31.72,0.48,NA,46.40,39.19,2.90,88.48,20.83,59.26,623.08
ABR,1,10,25.71,24.25,0.49,NA,52.62,46.22,2.26,118.63,22.45,54.36,623.28
ABR,1,11,38.67,10.02,0.52,NA,49.28,36.47,1.60,206.03,24.35,48.60,623.02
ABR,1,12,52.45,7.65,0.49,NA,50.15,33.88,2.19,230.22,25.93,43.61,622.66
ABR,1,13,57.22,6.42,0.50,NA,42.70,26.26,2.44,214.43,27.23,38.80,621.83
ABR,1,14,55.36,5.46,0.51,NA,34.14,24.14,2.55,209.36,28.86,31.76,620.94
ABR,1,15,61.11,4.92,0.50,NA,37.70,21.52,2.96,240.52,29.79,29.33,620.15
ABR,1,16,62.52,4.52,0.48,NA,35.61,23.38,2.74,234.39,30.74,26.14,619.35
ABR,1,17,64.55,4.40,0.43,NA,37.12,23.51,3.14,267.91,31.05,25.10,618.90
ABR,1,18,60.83,7.46,0.56,NA,48.15,22.55,2.90,240.39,30.72,24.96,618.87
ABR,1,19,54.52,10.80,0.64,NA,40.92,18.72,2.91,242.79,29.97,26.69,619.22
ABR,1,20,47.75,6.35,0.60,NA,59.56,19.74,3.91,217.75,27.65,33.08,619.88
ABR,1,21,46.67,4.31,0.45,NA,46.12,22.81,2.90,278.81,26.69,37.03,620.88
ABR,1,22,36.26,4.41,0.57,NA,41.82,16.36,2.52,256.31,25.48,44.44,621.25
ABR,1,23,31.64,4.45,0.57,NA,41.67,17.51,1.89,228.98,25.40,43.48,621.67
ABR,2,0,35.29,4.43,0.51,NA,34.51,27.63,2.22,199.14,24.76,43.71,622.23
ABR,2,1,34.74,4.26,0.43,NA,29.48,21.47,1.58,216.54,24.37,45.16,622.61
ABR,2,2,29.33,11.63,0.45,NA,32.90,18.28,2.39,107.44,22.79,48.19,622.61
ABR,2,3,27.40,6.17,0.39,NA,33.43,16.72,1.82,125.27,21.54,54.37,622.37
ABR,2,4,27.58,4.78,0.35,NA,22.98,24.79,2.29,217.03,21.16,51.06,622.00
ABR,2,5,24.49,4.52,0.35,NA,26.35,19.93,2.20,248.26,20.34,53.75,621.89
ABR,2,6,22.56,4.46,0.37,NA,26.07,19.34,1.33,221.01,19.77,56.15,622.16
ABR,2,7,14.73,4.49,0.51,NA,30.04,16.16,1.47,220.73,19.37,57.90,622.45
ABR,2,8,12.04,4.58,0.65,NA,38.50,18.65,1.72,247.55,19.55,58.20,622.88
ABR,2,9,29.51,4.61,0.52,NA,32.54,22.18,2.42,279.78,21.13,52.14,623.19
ABR,2,10,35.51,4.75,0.58,NA,37.86,22.99,2.88,244.01,23.07,45.37,623.26
ABR,2,11,46.69,4.53,0.49,NA,34.70,15.08,2.59,259.47,24.77,37.94,623.03
ABR,2,12,52.55,4.53,0.45,NA,33.41,19.29,3.29,278.43,26.84,28.96,622.58
ABR,2,13,55.37,4.32,0.44,4.56,32.40,23.24,3.11,265.08,28.19,25.23,621.80
ABR,2,14,57.32,4.34,0.53,6.95,37.55,19.25,2.89,222.35,29.33,24.19,620.98
ABR,2,15,61.11,4.21,0.46,5.20,42.58,27.20,2.43,192.53,30.25,24.21,620.23
ABR,2,16,58.88,4.08,0.49,5.61,33.97,19.51,2.88,223.79,30.77,23.05,619.64
ABR,2,17,62.13,4.13,0.43,4.92,31.91,22.75,2.62,239.10,31.25,22.30,619.29
ABR,2,18,61.89,4.12,0.51,7.63,41.27,22.79,2.61,251.55,31.53,21.54,619.11
ABR,2,19,56.54,5.31,0.62,10.28,39.52,24.49,2.24,260.02,30.87,21.88,619.12
ABR,2,20,35.12,5.43,0.99,24.66,45.77,17.34,1.96,236.09,29.76,23.47,619.47
ABR,2,21,32.08,5.57,0.77,18.44,64.29,22.88,2.34,194.78,28.20,28.38,620.10
ABR,2,22,36.09,5.27,0.56,8.81,57.69,24.25,2.89,219.70,26.70,33.75,620.69
ABR,2,23,35.52,5.27,0.53,5.42,46.97,20.28,2.62,208.21,24.97,41.89,621.09
ABR,3,0,31.76,5.28,0.49,4.80,43.83,21.39,2.09,257.00,23.86,46.17,621.29
ABR,3,1,23.53,5.70,0.45,11.05,40.16,16.72,1.95,304.02,22.60,45.72,621.21
ABR,3,2,27.42,5.81,0.43,8.56,45.09,26.44,1.59,251.72,22.13,42.72,621.23
ABR,3,3,25.59,5.62,0.41,10.26,35.60,26.21,1.85,253.78,21.37,43.66,621.24
ABR,3,4,26.59,5.41,0.38,4.84,32.95,24.52,1.85,212.94,20.69,46.19,620.92
ABR,3,5,28.03,5.28,0.37,2.48,28.81,15.37,1.70,248.99,20.09,48.17,620.78
ABR,3,6,16.94,5.80,0.42,12.09,34.80,26.34,1.70,277.05,18.63,52.04,621.31
ABR,3,7,5.73,6.52,0.62,19.69,42.50,27.08,1.03,242.22,18.13,53.67,621.92
ABR,3,8,10.26,6.68,0.80,20.98,49.67,22.67,1.15,254.07,19.20,50.14,622.16
ABR,3,9,19.82,5.85,0.64,13.20,56.95,38.52,1.30,219.64,21.24,45.18,622.51
ABR,3,10,34.22,5.63,0.56,7.63,42.11,38.28,1.70,240.96,23.60,38.72,622.71
ABR,3,11,40.01,5.63,0.57,7.92,35.85,21.57,1.98,224.56,25.50,33.95,622.61
