DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,1,1,39.67,9.27,0.58,1.99,23.59,NA,2.09,195.39,18.09,623.79
JUL,1,2,40.06,6.81,0.58,1.93,15.44,NA,1.86,211.31,17.69,623.66
JUL,1,3,32.18,6.06,0.6,4.84,6.82,NA,1.26,243.01,17.6,623.68
JUL,1,4,28.67,5.77,0.59,5.09,12.72,NA,1.24,275.27,17.55,623.68
JUL,1,5,33.93,5.63,0.59,3.19,5.9,NA,0.98,216.76,17.34,623.85
JUL,1,6,26.61,5.58,0.72,11.2,7.31,NA,1.21,193.51,17.45,623.65
JUL,1,7,21.15,5.55,0.82,13.33,12.41,NA,1.14,206.05,17.56,624.07
JUL,1,8,16.74,5.6,0.92,16.48,11.23,NA,1.1,283.39,17.78,624.35
JUL,1,9,24.86,5.79,1,12.84,7.18,NA,1.2,274.07,18.46,624.61
JUL,1,10,29.43,41.63,2.29,15.64,22.47,NA,1.65,279.38,20.08,624.71
JUL,1,11,43.98,39.11,1.47,10.51,44.01,NA,1.32,214.91,22.17,624.62
JUL,1,12,63.63,42.36,1.48,13.29,34.51,NA,1.4,179.69,23.78,624.38
JUL,1,13,82.15,51.28,1.76,11.78,223.47,NA,1.76,194.23,24.83,624
JUL,1,14,89.29,48.71,1.71,11.59,163.97,NA,2.28,227.49,25.71,623.45
JUL,1,15,86.81,34.05,1.36,8.32,43.54,46.47,1.99,218.65,27,622.74
JUL,1,16,74.34,17.22,0.89,6.46,36.82,35.5,2.72,273.18,27.95,621.95
JUL,1,17,60.3,9.25,0.77,6.48,36.06,31.85,2.16,263.07,28.91,621.14
JUL,1,18,57.07,8.09,0.77,7.46,76.15,23.76,1.94,268.56,29.87,621.1
JUL,1,19,50.85,7.63,0.97,15.99,99.09,16.46,2.35,215.15,29,621.34
JUL,1,20,41.31,7.07,0.83,11.42,46.98,21.81,3.53,191.6,26.6,621.7
JUL,1,21,41.23,6.75,0.67,6.45,34.09,18.24,3.4,143.81,23.13,622.78
