DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
AGO,1,0,13.91,2.91,0.622,7.33,10,9,1.55,77.66,19.38,81.98,625.45
AGO,1,1,9.41,4.11,0.698,9.25,9,10,0.57,169.12,19.32,82.62,625.14
AGO,1,2,8.85,9.64,0.722,9.08,18,12,0.45,175.89,19.24,81.23,624.93
AGO,1,3,11.22,6.18,0.674,6.63,20,13,0.89,134.48,19.25,79.82,624.77
AGO,1,4,4.91,5.52,0.653,11.48,71,42,0.91,267.61,18.89,83.15,624.59
AGO,1,5,2.43,3.63,0.682,14.80,25,26,0.47,178.94,18.79,85.09,624.34
AGO,1,6,1.72,3.44,0.764,16.29,60,28,0.71,220.33,18.72,84.45,624.36
AGO,1,7,2.45,3.06,0.914,15.69,33,28,1.50,285.92,18.58,85.71,624.85
AGO,1,8,1.91,2.85,1.030,17.06,32,19,1.30,281.49,19.00,84.97,625.03
AGO,1,9,NA,2.75,1.034,15.37,35,22,1.62,292.56,19.68,81.12,625.49
AGO,1,10,3.90,4.10,1.319,17.64,41,26,1.77,234.24,20.66,76.39,625.64
AGO,1,11,6.60,4.16,1.264,15.84,49,33,2.31,219.86,21.28,74.85,625.75
AGO,1,12,16.40,4.63,1.210,11.17,25,33,2.32,217.55,23.10,66.34,625.37
AGO,1,13,29.13,13.21,1.196,11.88,41,22,1.85,172.89,23.94,61.87,624.74
AGO,1,14,38.85,12.85,1.053,6.94,34,27,2.03,195.34,25.16,57.15,624.35
AGO,1,15,19.84,5.79,0.926,11.85,47,NA,2.39,218.11,23.15,67.41,624.50
AGO,1,16,24.46,3.70,0.914,8.50,20,34,1.28,204.20,24.81,55.82,624.18
AGO,1,17,22.21,9.63,0.724,4.80,26,8,3.02,66.76,22.84,64.36,624.24
AGO,1,18,16.91,12.52,0.754,7.40,19,17,2.37,93.98,22.01,69.05,624.05
AGO,1,19,13.36,18.25,0.771,8.02,27,17,2.76,96.88,21.81,70.61,624.36
AGO,1,20,9.43,13.87,0.869,13.35,30,21,2.44,101.30,21.30,74.11,624.57
AGO,1,21,5.31,28.35,0.805,12.53,35,25,3.21,86.59,21.22,72.93,625.10
AGO,1,22,8.72,13.03,0.815,11.47,30,30,2.68,113.63,20.84,73.20,625.58
AGO,1,23,5.40,10.56,0.849,12.50,43,21,2.34,102.72,20.62,73.81,626.00
AGO,2,0,4.26,13.88,0.785,12.72,56,60,2.23,99.72,20.33,75.04,626.14
AGO,2,1,3.80,7.32,0.817,13.32,85,23,2.15,106.75,20.03,77.73,625.98
AGO,2,2,5.38,4.08,0.767,13.06,136,165,1.57,80.93,19.87,78.73,625.75
AGO,2,3,3.52,3.12,0.753,15.04,72,42,2.01,103.37,19.76,78.50,625.43
AGO,2,4,4.32,5.91,0.665,7.27,76,94,1.93,87.00,20.16,75.73,625.26
AGO,2,5,3.50,7.23,0.711,8.54,30,23,1.45,96.66,19.86,78.04,625.28
AGO,2,6,2.51,15.03,0.849,14.62,72,46,1.43,214.67,19.78,79.36,625.40
AGO,2,7,2.70,7.89,0.826,13.50,49,49,1.02,235.66,19.26,82.78,625.56
AGO,2,8,1.93,5.54,0.752,13.69,21,24,0.66,157.13,19.73,81.21,625.67
AGO,2,9,3.09,5.47,0.947,13.84,19,20,0.99,262.04,21.22,74.67,625.85
AGO,2,10,5.76,11.31,0.940,9.61,33,27,2.12,156.77,22.11,70.15,625.90
AGO,2,11,16.27,9.47,0.751,4.17,27,28,2.27,118.30,23.09,64.33,625.83
AGO,2,12,20.77,14.99,0.906,5.17,24,19,1.69,122.72,24.61,57.77,625.56
AGO,2,13,24.66,13.67,1.224,8.75,25,25,1.21,198.91,25.67,53.61,625.15
AGO,2,14,25.67,15.47,1.102,11.77,34,22,1.25,198.55,26.10,53.43,624.48
AGO,2,15,25.78,10.70,1.180,10.31,39,29,1.87,181.95,25.41,57.60,623.93
AGO,2,16,23.77,15.36,1.201,9.57,41,27,2.14,199.40,25.16,58.70,623.38
AGO,2,17,23.53,6.51,0.701,3.50,24,32,3.61,257.25,23.23,62.02,623.30
AGO,2,18,17.31,4.11,0.744,7.12,17,19,2.17,245.60,23.03,63.87,623.32
AGO,2,19,15.97,3.14,0.771,7.45,16,18,1.96,248.31,23.51,60.15,623.56
AGO,2,20,11.12,2.80,0.886,9.76,23,24,1.07,184.39,23.19,62.81,624.17
AGO,2,21,9.48,3.75,1.004,12.63,32,24,3.31,148.82,21.68,70.45,624.96
AGO,2,22,20.50,3.20,0.619,2.28,22,26,4.94,108.96,19.98,72.81,626.01
AGO,2,23,16.09,3.22,0.758,1.82,14,7,3.86,106.47,18.62,81.98,626.51
AGO,3,0,4.50,53.18,1.006,4.55,22,21,3.52,82.23,19.10,79.12,626.63
AGO,3,1,12.09,95.43,1.016,5.24,19,14,3.80,73.09,18.96,76.59,626.52
AGO,3,2,4.51,77.02,1.361,7.09,25,12,4.00,88.46,18.71,77.09,626.28
AGO,3,3,7.49,68.21,0.865,5.48,30,41,2.77,92.40,18.39,77.45,625.90
AGO,3,4,9.84,36.53,0.740,3.16,22,28,2.45,92.23,18.06,79.22,625.57
AGO,3,5,6.31,16.46,0.710,3.35,13,14,2.03,100.09,17.90,81.65,625.61
AGO,3,6,2.30,13.93,0.702,9.91,18,17,0.76,155.67,17.64,82.62,625.84
AGO,3,7,2.14,8.23,1.017,18.26,24,14,1.03,139.58,17.54,83.70,626.15
AGO,3,8,2.05,8.68,0.955,13.74,31,16,1.00,113.26,18.95,79.06,626.37
AGO,3,9,4.38,10.36,0.825,7.02,24,15,1.50,149.31,20.27,73.76,626.66
AGO,3,10,9.31,39.44,1.032,3.22,18,15,3.17,79.94,22.48,62.55,626.99
AGO,3,11,17.89,24.11,0.799,1.42,15,37,3.10,77.66,23.05,58.94,627.17
AGO,3,12,18.93,21.61,0.750,4.89,26,16,2.47,102.03,23.58,58.25,626.98
AGO,3,13,23.80,21.51,0.978,5.13,17,17,1.75,133.55,24.41,54.69,626.46
AGO,3,14,30.48,37.29,0.844,4.22,22,17,1.34,142.81,26.39,49.29,625.80
AGO,3,15,32.14,21.55,0.875,7.51,28,27,2.44,161.42,26.90,48.64,625.19
AGO,3,16,34.55,6.92,0.822,7.41,33,28,4.05,159.17,25.89,53.71,624.88
AGO,3,17,23.01,4.17,0.906,9.09,39,21,4.03,178.75,23.14,61.86,625.11
AGO,3,18,23.56,3.28,0.870,7.93,24,13,2.18,147.48,21.51,69.26,625.55
AGO,3,19,22.18,3.12,0.894,10.16,16,22,1.28,290.83,20.54,73.09,625.54
AGO,3,20,12.69,2.70,0.969,17.98,17,21,1.47,231.54,20.52,76.75,625.66
AGO,3,21,7.44,2.62,0.856,20.33,22,18,1.31,291.18,20.13,80.01,625.90
AGO,3,22,2.57,2.69,0.842,21.03,25,16,0.82,273.04,19.64,82.72,626.22
AGO,3,23,4.74,2.83,0.768,18.67,25,22,0.55,234.51,19.40,83.51,626.80
AGO,4,0,2.20,2.89,0.859,19.24,29,25,0.45,157.37,19.26,84.37,626.94
AGO,4,1,2.62,2.65,0.738,15.72,29,24,0.59,142.00,18.86,84.19,626.88
AGO,4,2,2.86,2.46,0.677,15.23,26,15,0.47,112.00,18.13,85.59,626.60
AGO,4,3,1.68,6.78,0.700,15.05,26,14,1.01,118.66,18.00,86.53,626.46
AGO,4,4,1.70,18.92,0.669,13.88,45,27,0.72,156.36,17.35,87.07,626.24
AGO,4,5,1.83,9.13,0.708,14.45,33,20,0.65,172.95,17.05,87.49,625.78
AGO,4,6,2.49,9.24,0.810,13.62,52,26,0.78,123.74,16.49,87.33,626.00
AGO,4,7,2.15,5.90,1.228,13.81,158,27,0.82,182.38,16.09,87.85,626.42
AGO,4,8,1.67,4.04,1.098,13.89,122,59,1.70,133.13,16.45,87.99,626.92
AGO,4,9,2.66,8.98,0.930,12.66,113,73,2.22,114.33,19.39,75.80,627.02
AGO,4,10,8.86,7.33,0.755,5.93,58,64,3.39,115.16,21.38,68.52,626.96
AGO,4,11,18.50,13.75,0.747,6.39,25,19,4.07,106.12,22.84,63.87,626.90
AGO,4,12,33.36,19.69,0.702,6.40,36,28,3.43,101.17,24.34,59.60,626.62
AGO,4,13,39.10,22.78,0.704,6.17,40,35,2.93,98.53,24.97,56.88,626.24
AGO,4,14,46.64,14.12,0.741,5.16,47,33,2.75,117.26,26.80,49.88,625.63
AGO,4,15,50.40,8.25,0.680,3.77,116,28,2.52,108.18,28.06,44.55,624.83
AGO,4,16,52.60,8.99,0.671,3.54,44,20,2.86,118.06,28.85,42.17,624.30
AGO,4,17,50.92,17.98,0.703,6.55,27,25,3.88,122.01,28.67,43.67,623.89
AGO,4,18,33.18,35.99,0.682,6.62,55,35,4.27,97.96,27.45,47.46,623.91
AGO,4,19,36.78,11.10,0.747,10.65,49,31,2.95,100.05,26.48,49.83,624.29
AGO,4,20,24.71,21.69,0.789,13.12,44,19,1.74,115.29,25.58,52.77,624.78
AGO,4,21,26.68,7.78,0.652,6.96,36,30,2.90,287.10,22.35,67.79,625.59
AGO,4,22,23.07,5.17,0.665,10.81,26,21,1.96,304.69,20.94,74.38,625.77
AGO,4,23,19.68,4.68,0.653,11.95,21,21,1.54,240.53,20.85,74.75,625.81
AGO,5,0,19.40,5.16,0.658,9.90,16,16,1.20,214.73,21.52,71.04,626.15
AGO,5,1,8.02,8.99,0.679,11.01,33,19,2.32,99.17,20.74,77.96,626.19
AGO,5,2,16.09,8.42,0.607,2.44,38,44,1.34,160.79,19.58,82.96,625.96
AGO,5,3,12.25,10.31,0.626,6.58,16,15,0.89,108.12,20.10,80.05,625.60
AGO,5,4,2.02,10.16,0.653,16.60,39,30,1.22,132.29,19.58,82.76,625.24
AGO,5,5,2.25,6.75,0.625,12.45,23,27,1.91,67.21,19.57,80.90,625.00
AGO,5,6,2.44,7.01,0.726,11.73,18,19,1.18,114.92,19.20,80.03,625.11
AGO,5,7,3.89,8.35,1.228,14.12,28,18,1.01,211.27,18.58,83.31,625.42
AGO,5,8,7.73,7.98,1.102,11.92,35,22,1.50,123.74,19.58,79.25,625.73
AGO,5,9,4.49,33.94,0.901,10.94,29,27,1.63,133.63,21.65,70.89,625.98
AGO,5,10,12.48,38.49,0.709,3.12,29,30,3.60,76.30,22.77,64.96,626.07
AGO,5,11,18.39,47.42,0.757,1.16,22,19,3.70,66.55,23.39,61.17,626.10
AGO,5,12,24.12,21.11,0.833,1.27,17,18,3.40,88.47,24.67,56.19,625.87
AGO,5,13,28.54,21.47,0.983,1.62,14,15,2.78,85.92,25.92,51.69,625.33
AGO,5,14,31.67,19.24,0.961,3.26,21,19,2.24,127.17,26.95,48.78,624.83
AGO,5,15,34.46,17.93,0.865,2.94,22,21,2.53,104.69,27.71,46.62,624.03
AGO,5,16,36.38,20.30,0.782,1.97,23,18,2.93,101.56,28.63,42.76,623.26
AGO,5,17,37.50,25.63,0.844,2.93,40,21,2.73,83.14,28.97,42.30,622.77
AGO,5,18,35.82,19.72,0.693,1.53,35,23,3.14,79.56,29.03,40.33,622.47
AGO,5,19,27.82,25.02,0.645,6.09,144,21,2.88,88.08,28.30,42.32,622.36
AGO,5,20,28.05,6.32,0.788,12.11,94,25,1.37,113.00,27.27,45.91,622.90
AGO,5,21,13.53,5.96,0.880,22.11,61,24,1.45,105.58,26.47,49.95,623.43
AGO,5,22,12.55,3.68,0.636,10.52,50,17,2.57,87.42,24.96,53.33,623.94
AGO,5,23,12.74,41.60,0.799,8.66,14,13,3.09,82.93,23.64,58.49,624.53
AGO,6,0,5.59,50.80,0.567,7.25,44,32,2.90,87.89,22.52,63.47,624.88
AGO,6,1,4.89,61.29,0.575,9.45,36,15,2.87,92.83,21.72,67.40,624.97
AGO,6,2,5.07,63.03,0.831,13.87,30,31,2.92,82.40,21.00,68.70,624.89
AGO,6,3,5.57,72.37,0.556,10.43,38,21,2.78,95.43,20.31,70.67,624.81
AGO,6,4,7.45,53.50,0.553,8.76,33,28,1.85,100.46,19.77,72.72,624.68
AGO,6,5,4.96,25.09,0.611,6.08,39,24,2.03,57.10,19.47,71.87,624.49
AGO,6,6,9.51,10.17,0.709,7.00,12,17,1.95,58.60,19.40,70.52,624.38
AGO,6,7,5.44,31.25,0.908,12.18,30,13,1.74,89.84,18.64,74.81,624.49
AGO,6,8,5.67,81.30,0.900,10.26,36,28,1.72,100.17,19.86,72.11,624.75
AGO,6,9,6.64,50.97,0.774,3.75,25,35,3.65,76.70,21.74,64.43,624.97
AGO,6,10,14.07,40.74,0.688,4.40,24,15,3.66,88.16,22.80,61.35,625.15
AGO,6,11,22.47,35.77,0.794,3.24,25,24,3.55,82.67,23.77,57.11,625.18
AGO,6,12,27.81,40.91,0.631,2.26,25,21,3.96,78.42,24.90,51.85,624.92
AGO,6,13,31.87,42.44,0.673,3.06,22,20,3.53,82.48,26.12,48.35,624.42
AGO,6,14,32.88,29.98,0.701,2.47,25,23,3.07,83.81,27.16,45.34,623.98
AGO,6,15,33.39,18.86,0.780,3.02,15,20,3.09,100.83,28.36,41.20,623.31
AGO,6,16,34.05,21.73,0.809,2.48,17,14,2.51,103.92,29.25,38.05,622.69
AGO,6,17,35.22,13.99,0.635,2.76,21,14,3.18,105.52,29.46,37.41,622.18
AGO,6,18,31.68,10.73,0.696,5.33,31,20,2.83,166.15,28.14,41.16,621.98
AGO,6,19,19.06,4.00,0.744,9.16,24,16,2.46,234.11,25.84,48.19,622.19
AGO,6,20,14.58,3.21,0.797,10.02,24,15,1.74,156.16,26.11,48.93,622.63
AGO,6,21,15.73,3.02,0.547,4.25,15,9,3.98,55.78,25.24,51.33,622.99
