DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,1,0,NA,0.0109,NA,0.0096,27,10,3.37,87.08,19.57
SEP,1,1,0.0161,0.0118,NA,NA,26,31,1.91,173.96,18.7
SEP,1,2,0.0141,0.0023,NA,NA,12,17,1.35,277.85,18.48
SEP,1,3,0.0109,0.0014,NA,NA,7,12,1.58,278.13,18.09
SEP,1,4,0.0127,0.0011,NA,0.0076,17,10,2,285.92,18.27
SEP,1,5,0.0098,0.001,0.169,NA,13,9,1.62,293.96,18.22
SEP,1,6,0.006,0.0011,0.281,0.0177,23,22,1.22,290.68,18.15
SEP,1,7,0.0044,0.001,0.346,0.0174,18,17,1.06,296.18,18.14
SEP,1,8,0.006,0.0009,0.493,0.0163,8,15,0.47,190.6,19.34
SEP,1,9,0.0091,0.0008,0.506,0.0154,19,10,0.87,86.21,20.64
SEP,1,10,0.0152,0.0008,0.392,0.0102,12,8,1.34,238.9,21.93
SEP,1,11,NA,0.0007,0.46,NA,19,10,1.61,251.01,23.11
SEP,1,12,NA,0.0007,0.375,NA,17,16,1.55,231.66,24.76
SEP,1,13,NA,0.0137,0.354,NA,21,17,2.12,257.43,25.43
SEP,1,14,NA,0.0011,0.349,NA,21,26,2.35,268.01,26.28
SEP,1,15,NA,0.001,0.238,NA,12,15,2.42,262.92,27.32
SEP,1,16,0.0591,0.001,0.233,NA,22,11,1.99,263.05,27.96
SEP,1,17,0.0658,0.0019,0.258,NA,20,17,1.92,251.66,28.67
SEP,1,18,0.0579,0.0011,0.245,NA,25,22,1.42,281.52,29.21
SEP,1,19,0.0528,0.001,0.351,NA,17,16,1.81,279.4,28.22
SEP,1,20,0.0347,0.0011,0.632,NA,60,34,2.73,227.76,26.19
SEP,1,21,0.0279,0.0009,0.181,NA,31,24,3.49,215.55,22.34
SEP,1,22,0.0277,0.0008,0.145,NA,12,4,2.98,223.49,21.59
SEP,1,23,0.0257,0.0008,NA,NA,10,8,1.95,265.34,21.24
SEP,2,0,0.0252,0.0007,NA,NA,9,12,1.47,239.72,20.71
SEP,2,1,0.0279,0.0007,NA,NA,10,12,1.37,233.89,20.65
SEP,2,2,0.0269,0.0007,NA,NA,13,12,1.91,230.3,19.57
SEP,2,3,0.0232,0.0007,NA,NA,62,11,1.15,244.98,19.21
SEP,2,4,0.0237,0.0007,NA,NA,115,9,2.34,171.29,19.22
SEP,2,5,0.024,0.0007,NA,NA,7,16,2.66,226.9,18.23
SEP,2,6,0.0191,0.0006,0.207,NA,5,16,1.34,252.49,18.05
SEP,2,7,0.0186,0.0007,0.318,NA,11,8,1.84,219.12,17.7
SEP,2,8,0.0209,0.0007,0.421,NA,10,7,2.56,248.34,16.68
SEP,2,9,0.0226,0.0007,0.519,0.0168,NA,7,1.92,234.64,17.37
SEP,2,10,0.0289,0.0007,0.375,0.0119,4,9,1.85,258.67,19.75
SEP,2,11,0.0364,0.0007,0.387,0.0119,16,8,1.92,258.81,21.84
SEP,2,12,0.0465,0.0007,0.346,0.0109,18,19,2.25,273.45,23.7
SEP,2,13,0.0599,0.0007,0.41,0.0126,22,14,2.21,273.53,25.55
SEP,2,14,0.0541,0.0007,0.347,0.0112,25,24,2.29,244.71,26.74
SEP,2,15,0.0567,0.0006,0.332,0.0099,18,13,2.59,253.32,27.84
SEP,2,16,0.0529,0.0006,0.358,0.0118,23,13,3.1,237.94,28.32
SEP,2,17,0.0529,0.0007,0.341,0.0119,24,16,2.48,246.66,28.83
SEP,2,18,0.0486,0.0008,0.445,0.0153,28,20,2.65,221.46,28.51
SEP,2,19,0.0425,0.0008,0.473,0.0186,31,15,2.3,237.06,27.7
SEP,2,20,0.032,0.0021,1.635,0.0279,35,12,1.13,265.25,26.55
SEP,2,21,0.018,0.0033,1.897,0.0367,35,20,0.76,286.65,25.45
SEP,2,22,0.0161,0.001,0.375,0.031,33,23,0.97,204.36,24.12
SEP,2,23,0.0184,0.0059,0.248,0.0254,26,23,1.12,101.57,23.68
SEP,3,0,0.0192,0.0023,0.231,0.0238,42,25,1.52,123.8,22.86
SEP,3,1,0.0206,0.003,0.166,NA,35,22,2,135.99,22.53
SEP,3,2,0.0172,0.0386,NA,0.0177,37,19,3.03,93.16,21.74
SEP,3,3,0.0232,0.0878,NA,NA,26,23,3.25,67.04,21.47
SEP,3,4,0.0271,0.0145,NA,NA,22,17,2.06,71.18,20.36
SEP,3,5,0.0218,0.0051,NA,NA,23,24,0.84,186.82,18.86
SEP,3,6,0.0136,0.0067,0.27,0.0178,28,16,1.36,142.31,17.78
SEP,3,7,0.0086,0.0161,0.523,0.022,48,18,0.65,213.96,17.16
