DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,1,0,0.035,NA,0.42,0.0062,30,15,17.31,2.19,86.31,45.34
OCT,1,1,0.035,NA,0.43,NA,27,10,16.58,1.58,92.65,44.81
OCT,1,2,0.036,0.033,0.42,0.0088,25,15,16.03,1.56,81.58,43.47
OCT,1,3,0.034,NA,0.42,0.0083,20,20,15.35,1.1,78.66,44.86
OCT,1,4,0.028,0.028,0.44,0.0116,20,17,14.15,1,101.75,49.13
OCT,1,5,0.020,0.012,0.46,0.0164,17,15,13.04,0.91,101.27,50.13
OCT,1,6,0.020,NA,0.52,0.0182,17,8,12.68,1.17,99.29,51.2
OCT,1,7,0.012,NA,0.70,0.0231,27,10,11.84,1.12,104.77,53.88
OCT,1,8,0.019,NA,0.71,0.0186,30,13,13.03,1.69,95.03,48.53
OCT,1,9,0.034,NA,0.52,0.0107,36,13,15.94,2.57,86.45,38.92
OCT,1,10,0.046,NA,0.51,0.0075,29,13,19.48,2.81,91.53,24.44
OCT,1,11,0.052,0.013,0.45,0.0044,20,13,21.87,3.37,73.6,12.61
OCT,1,12,0.052,0.007,0.46,0.004,15,10,23.81,3.19,66.91,6.7
OCT,1,13,0.058,0.001,0.44,0.0036,16,8,25.04,3.51,54.53,6.28
OCT,1,14,0.059,0.001,0.48,0.0055,21,10,26.53,3,82.18,7.91
OCT,1,15,0.056,0.001,0.49,0.0045,12,8,27.37,3.7,84.68,6.22
OCT,1,16,0.058,0.001,0.48,0.0049,15,7,27.91,3.55,89.51,4.94
OCT,1,17,0.055,0.001,0.49,0.0053,21,5,27.73,3.54,95.67,5.9
OCT,1,18,0.050,0.001,0.45,0.0042,30,7,26.29,3.76,77.25,8.71
OCT,1,19,0.045,0.001,0.46,0.0059,30,6,23.8,3.22,57.21,12.83
OCT,1,20,0.044,0.002,0.45,0.0055,21,4,21.3,3.39,54.86,16.08
OCT,1,21,0.046,0.001,0.41,0.0032,22,4,19.76,4.1,46.81,18.27
OCT,1,22,0.048,0.001,0.40,0.0025,9,2,18.72,4.26,51.39,21.23
OCT,1,23,0.047,0.001,0.41,0.0026,10,2,17.72,3.03,56.86,24.98
OCT,2,0,0.043,0.024,0.43,NA,7,5,16.5,1.68,104.63,27.83
OCT,2,1,0.037,0.015,0.45,0.0079,18,8,14.04,1.2,125.94,34.84
OCT,2,2,0.035,0.013,0.44,NA,20,10,13.04,1.6,113.75,38.94
OCT,2,3,0.035,0.023,0.44,0.0076,16,12,12.76,1.24,101.68,42.94
OCT,2,4,0.038,0.041,0.46,0.007,15,12,12.49,1.39,82.13,46.82
OCT,2,5,0.037,0.033,0.47,0.0091,11,12,12.51,1.45,77.86,48.49
OCT,2,6,0.039,0.030,0.48,NA,10,10,12,2.2,80.83,52.47
OCT,2,7,0.035,0.037,0.53,NA,20,10,11.39,2.15,85.08,58.57
OCT,2,8,0.032,0.058,0.57,0.0097,21,NA,12.4,2.4,89.31,59.46
OCT,2,9,0.045,0.047,0.52,0.0055,21,NA,14.72,3.47,73.13,56.23
OCT,2,10,0.048,0.018,0.51,0.0043,20,12,16.25,3.55,76.37,51.02
OCT,2,11,0.052,0.019,0.52,0.0043,24,15,17.83,3.14,74.88,46
OCT,2,12,0.054,0.019,0.52,0.0052,30,13,20.09,3.26,79.26,39.77
OCT,2,13,0.055,0.023,0.51,0.0043,25,19,22.07,3.36,75.72,34.18
OCT,2,14,0.055,0.013,0.50,0.0042,25,14,23.43,3.82,77.46,30.93
OCT,2,15,0.054,0.015,0.50,0.0043,25,13,24.61,3.61,75.84,28.22
OCT,2,16,0.054,0.005,0.48,0.003,22,12,25.03,4.69,60.77,26.03
OCT,2,17,0.052,0.003,0.49,0.0033,23,8,25.4,4.39,56.18,24.98
OCT,2,18,0.047,0.001,0.52,0.0041,28,4,24.25,4.75,63.77,26.78
OCT,2,19,0.044,0.001,0.51,0.0045,30,8,21.9,3.85,56.46,33.75
OCT,2,20,0.043,0.001,0.50,0.0041,22,10,19.64,3.47,53.72,40.53
OCT,2,21,0.042,0.001,0.47,0.0035,18,9,17.98,3.42,53.88,45.58
OCT,2,22,0.039,0.005,0.48,NA,14,8,16.96,2.92,56.76,49.44
OCT,2,23,0.035,0.002,0.48,0.0056,14,5,15.92,2.46,52.03,54.11
OCT,3,0,0.036,0.001,0.47,NA,12,4,15.09,1.39,59.25,57.52
OCT,3,1,0.035,0.001,0.47,NA,5,6,14.44,1.11,57.27,59.94
OCT,3,2,0.032,0.010,0.49,0.0057,12,9,13.82,1.05,79.95,63.02
OCT,3,3,0.026,0.019,0.48,0.0107,14,11,13.1,0.88,119.12,66.4
OCT,3,4,0.025,0.003,0.50,0.0094,11,12,12.39,0.72,177.99,68.22
OCT,3,5,0.024,0.005,0.53,0.0096,14,12,12.32,1.03,158.82,69.27
OCT,3,6,0.017,0.014,0.64,0.0164,25,11,11.84,0.65,146.57,71.99
OCT,3,7,0.009,0.009,1.03,0.0219,40,16,11.57,0.81,189.21,72.72
OCT,3,8,0.014,0.017,0.93,0.0191,61,19,12.56,0.98,132.69,71.27
OCT,3,9,0.021,0.033,0.80,0.0155,52,28,15.28,1.12,122.37,65.03
OCT,3,10,0.041,0.032,0.55,0.0057,36,30,18.38,2.87,75.84,56.38
OCT,3,11,0.051,0.034,0.54,0.0046,17,15,20.03,3.61,67.78,51.05
OCT,3,12,0.057,0.015,0.55,0.0049,18,13,21.56,3.22,68.68,45.7
OCT,3,13,0.059,0.019,0.57,0.0058,25,11,22.91,3.3,82.84,41.53
OCT,3,14,0.061,0.014,0.57,0.0054,20,13,24.24,3.47,87.35,37.28
OCT,3,15,0.063,0.015,0.53,0.0047,18,14,25.27,3.71,78.73,30.6
OCT,3,16,0.064,0.021,0.54,0.0052,22,14,26.09,3.57,84.1,28.06
OCT,3,17,0.064,0.014,0.55,0.0054,29,18,26.36,3.87,96.82,26.85
OCT,3,18,0.059,0.015,0.59,0.0074,28,13,26.52,3.4,96.55,24.96
OCT,3,19,0.054,0.008,0.58,0.0072,34,16,25.32,2.59,79.36,27.62
OCT,3,20,0.041,0.001,0.59,NA,31,14,22.98,3.31,50.07,41
OCT,3,21,0.040,0.001,0.52,NA,25,11,21.2,4.33,43.56,47
OCT,3,22,0.041,0.001,0.50,NA,25,8,19.76,4.36,48.87,50.28
OCT,3,23,0.041,0.001,0.50,0.003,15,8,18.82,3.72,51.86,53.78
OCT,4,0,0.038,0.005,0.50,NA,12,7,17.78,2.83,73.83,58.63
OCT,4,1,0.035,0.032,0.51,NA,8,5,17.22,1.74,86.25,61.84
OCT,4,2,0.038,0.046,0.51,NA,17,8,16.58,2.6,70.26,63.95
OCT,4,3,0.038,0.012,0.51,0.0042,12,12,16.12,3,62.07,65.47
OCT,4,4,0.039,0.002,0.50,NA,10,9,15.38,1.84,57,67.32
OCT,4,5,0.038,0.002,0.51,0.0027,10,10,14.91,1.79,56.27,68.53
OCT,4,6,0.035,0.002,0.53,NA,9,11,14.5,1.56,69.77,68.81
OCT,4,7,0.020,0.007,0.72,0.014,21,9,13.13,1.17,119.75,74.23
OCT,4,8,0.026,0.020,0.72,0.0097,14,10,14,1.6,102.93,71.73
OCT,4,9,0.039,0.046,0.57,0.005,17,18,16.94,2.8,77.33,61.42
OCT,4,10,0.045,0.030,0.53,0.0029,19,17,18.11,3.92,68.33,56.96
OCT,4,11,0.047,0.009,0.55,0.0031,16,14,19.71,4.27,67.42,52.92
OCT,4,12,0.048,0.008,0.56,0.0033,12,12,21.93,3.94,67.14,44.74
OCT,4,13,0.049,0.003,0.56,0.0028,14,11,23.84,3.54,75.56,37.58
OCT,4,14,0.051,0.010,0.55,0.0035,15,10,25.48,3.72,69.66,30.83
OCT,4,15,0.049,0.002,0.55,0.003,13,11,26.79,3.82,92.77,18.47
OCT,4,16,0.051,0.003,0.54,0.0027,16,11,27.32,3.93,92.84,18.18
OCT,4,17,0.055,0.013,0.53,0.0027,24,11,26.96,4.71,61.69,17.64
OCT,4,18,0.054,0.061,0.53,0.0034,52,14,25.74,5.32,65.42,17.59
OCT,4,19,0.052,0.002,0.54,0.0036,85,20,23.23,4.93,52.86,23.76
OCT,4,20,0.051,0.001,0.54,0.0038,43,14,20.95,4.08,53.96,25.67
OCT,4,21,0.053,0.001,0.54,0.0036,26,15,19.7,3.16,49.64,22.71
OCT,4,22,0.053,0.001,0.53,NA,21,13,18.56,3.03,44.98,26.82
OCT,4,23,0.053,0.001,0.52,0.0025,18,11,17.59,3.28,48.82,31.9
OCT,5,0,0.052,0.001,0.51,0.0019,21,16,16.58,3.02,49.58,39.86
OCT,5,1,0.050,0.001,0.51,NA,18,17,15.76,2.7,50.54,45.29
OCT,5,2,0.046,0.029,0.52,NA,22,15,14.84,2.16,68.06,50.58
OCT,5,3,0.048,0.001,0.51,0.0022,20,13,14.49,2.69,54.47,53.19
OCT,5,4,0.045,0.019,0.52,0.0044,19,10,13.79,2.2,77.31,60.48
OCT,5,5,0.030,0.018,0.57,0.01,28,19,12.01,1.11,112.91,66.35
OCT,5,6,0.017,0.012,0.77,0.0212,43,24,11.5,0.67,155.45,66.24
OCT,5,7,0.009,0.015,0.98,0.0285,57,27,11.16,1.12,125.14,68.47
OCT,5,8,0.016,0.011,0.93,0.0212,66,43,11.4,1.49,125.52,70.46
OCT,5,9,0.028,0.038,0.81,0.0149,54,42,14.41,2.07,102.36,61.91
OCT,5,10,0.042,0.022,0.66,0.0083,49,33,16.77,2.63,87.54,51.66
OCT,5,11,0.054,0.010,0.57,0.0042,29,21,19.12,2.82,71.42,41.16
OCT,5,12,0.059,0.006,0.58,0.0038,43,17,20.66,2.75,71.59,35.91
OCT,5,13,0.062,0.003,0.57,0.004,29,15,22.28,3.05,67.33,31.66
OCT,5,14,0.065,0.010,0.58,0.0044,25,18,23.88,3.71,78.47,25.46
OCT,5,15,0.065,0.009,0.62,0.0058,23,13,25.17,2.29,122.23,22.86
OCT,5,16,0.064,0.019,0.65,0.0076,25,18,26.16,1.93,140.58,20.68
OCT,5,17,0.061,0.015,0.69,0.008,72,18,26.12,2.31,114.16,20.13
OCT,5,18,0.058,0.002,0.63,0.0052,41,28,25.22,3.45,76.42,20.2
OCT,5,19,0.052,0.002,0.60,NA,40,24,23.25,3.45,50.04,26.5
OCT,5,20,0.049,0.002,0.58,NA,31,34,21.36,3.39,58.27,31.41
OCT,5,21,0.050,0.001,0.56,NA,26,14,20.01,3.32,52.33,33.22
OCT,5,22,0.051,0.001,0.54,NA,19,15,18.92,3.23,44.87,32.84
OCT,5,23,0.049,0.005,0.54,0.0039,19,12,17.87,2.73,61.09,36.71
OCT,6,0,0.046,0.014,0.54,0.0052,20,11,17.06,2.6,78.35,40.08
OCT,6,1,0.039,0.040,0.58,NA,27,18,15.69,1.65,94.62,45.79
OCT,6,2,0.041,0.037,0.59,NA,24,14,15.31,1.32,92.29,46.03
OCT,6,3,0.040,0.015,0.56,0.0065,23,13,14.75,1.93,107.06,45.63
OCT,6,4,0.041,0.020,0.56,0.0055,18,18,14.34,1.94,91.32,46.66
OCT,6,5,0.040,0.030,0.56,NA,22,16,14.66,1.7,69.03,45.24
OCT,6,6,0.034,0.007,0.67,NA,18,18,14.67,0.69,81.33,45.83
OCT,6,7,0.017,0.011,0.90,0.0257,34,14,14.04,1.4,97.5,48.4
OCT,6,8,0.021,0.015,0.82,0.022,46,18,14.04,1.73,101.31,49.67
OCT,6,9,0.040,0.017,0.70,0.0113,39,20,15.98,2.01,68.59,45.1
OCT,6,10,0.051,0.008,0.60,0.006,24,18,17.88,3.98,76.46,37.23
OCT,6,11,0.051,0.035,0.66,0.0077,27,17,20.05,3.27,95.37,32.21
OCT,6,12,0.055,0.019,0.65,0.0072,31,24,22.55,3.66,99.36,23.58
OCT,6,13,0.062,0.025,0.60,0.0058,46,20,24.28,3.06,82.08,19.59
OCT,6,14,0.065,0.009,0.67,0.0047,46,26,25.7,3.23,66.7,15.11
OCT,6,15,0.062,0.001,0.60,0.0041,38,23,26.73,3.25,99.24,11.87
OCT,6,16,0.065,0.005,0.61,NA,26,15,26.75,3.55,80.01,13.11
OCT,6,17,0.059,0.010,0.63,0.0061,39,14,25.99,3.62,69.63,13.34
OCT,6,18,0.054,0.001,0.61,0.0055,30,10,24.73,4.45,64.92,12.04
OCT,6,19,0.052,0.001,0.60,0.0057,26,16,23.22,4.5,48.31,13.43
OCT,6,20,0.053,0.001,0.59,0.0039,27,8,21.95,5.07,49.71,15.85
OCT,6,21,0.054,0.001,0.57,NA,23,9,21,4.91,45.12,20.19
OCT,6,22,0.053,0.024,0.56,NA,21,11,19.95,3.19,75.09,23.34
OCT,6,23,0.047,0.033,0.58,NA,21,15,18.92,2.78,87.47,25.56
OCT,7,0,0.041,0.043,0.62,0.0106,29,18,17.78,2.98,89.62,25.13
OCT,7,1,0.035,0.093,0.62,NA,23,19,17,2.27,83.63,27.38
OCT,7,2,0.039,0.069,0.63,NA,38,26,16.55,3.04,93.01,28.25
OCT,7,3,0.034,0.019,0.62,NA,30,28,15.9,2.39,101.91,29.75
OCT,7,4,0.038,0.033,0.60,NA,24,20,15.41,2.66,96.99,33.7
OCT,7,5,0.036,0.022,0.62,NA,24,21,14.55,2.22,102.85,39.12
