DATOS HORARIOS 2021_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEB,1,0,0.0604,0.0343,3.559,0.0067,154,13,154,8,60,57,625.8
FEB,1,1,0.0604,0.0467,3.816,0.0074,192,12,192.1,7.7,74,57,626
FEB,1,2,0.0607,0.0571,4.335,0.0072,250,14,249.7,5.6,67,58,626.1
FEB,1,3,0.0581,0.0367,3.125,0.008,283,17,283.4,4.8,70,60,626.1
FEB,1,4,0.0548,0.0935,7.259,0.0088,273,13,272.9,4.8,59,61,626.1
FEB,1,5,0.0564,0.0558,4.699,0.0084,267,18,267.3,5.2,60,61,625.9
FEB,1,6,0.0538,0.0335,3.106,0.0076,112,18,111.9,4.6,67,62,626.1
FEB,1,7,0.0486,0.0487,4.214,0.0097,112,14,111.6,5.5,59,65,626.3
FEB,1,8,0.0495,0.0247,2.637,0.0072,93,16,92.6,4,55,68,626.6
FEB,1,9,0.0552,0.0082,1.99,0.0057,52,11,51.7,3.5,53,63,627.2
FEB,1,10,0.0579,0.0294,2.791,0.0058,39,1,38.9,5.4,67,58,627.5
FEB,1,11,0.0606,0.0191,3.291,0.0061,31,5,31.4,6.6,65,54,627.4
FEB,1,12,0.0646,0.061,2.518,0.0073,9,34,8.6,5.6,73,49,627
FEB,1,13,0.0691,0.0822,1.985,0.0083,10,21,10.4,6.4,80,43,626.3
FEB,1,14,0.0721,0.0464,2.001,0.0081,8,21,8.2,5.6,92,37,625.4
FEB,1,15,0.074,0.044,2.024,0.0082,15,20,14.5,5.5,97,32,624.7
FEB,1,16,0.0748,0.0442,2.024,0.0079,13,20,13.3,5.2,92,31,624.1
FEB,1,17,0.0742,0.0503,1.987,0.0078,22,11,21.6,5.3,92,31,623.9
FEB,1,18,0.0681,0.0508,2.014,0.0093,27,22,26.9,5.3,96,33,623.9
FEB,1,19,0.0579,0.0751,2.007,0.0122,37,17,36.9,5,94,36,624.3
FEB,1,20,0.0556,0.1461,2.062,0.011,65,29,64.5,4.8,71,39,625
FEB,1,21,0.0551,0.0262,2.222,0.0077,76,17,76.2,3.4,54,38,625.6
FEB,1,22,0.0544,0.0072,1.97,0.0071,32,8,32.2,2.6,52,39,625.9
FEB,1,23,0.0452,0.1248,2,0.0126,21,6,21.2,3.2,86,45,626
FEB,2,0,0.0435,0.1069,1.945,0.0114,32,43,32.2,3.9,91,51,626
FEB,2,1,0.0449,0.0995,1.95,0.011,68,27,68.2,3.7,85,54,626.1
FEB,2,2,0.0515,0.1593,2.604,0.0092,51,14,50.8,3.7,68,55,626.2
FEB,2,3,0.0491,0.1059,4.264,0.0094,47,7,46.7,3.8,62,59,626
FEB,2,4,0.0488,0.1106,2.237,0.0097,50,7,49.9,3.9,75,61,625.9
FEB,2,5,0.0458,0.0707,1.91,0.0101,41,19,40.6,4.6,80,65,625.6
FEB,2,6,0.0397,0.0958,1.919,0.0129,42,18,41.9,3.1,90,67,625.7
FEB,2,7,0.0383,0.0853,1.93,0.0141,47,22,46.5,3.8,85,68,626
FEB,2,8,0.0338,0.0732,2.045,0.0141,50,NA,49.7,3.8,98,68,626.4
FEB,2,9,0.0376,0.0574,2.129,0.0134,43,NA,42.9,3.9,103,66,626.7
FEB,2,10,0.0461,0.0971,2.094,0.014,50,20,49.7,3.3,95,60,627
FEB,2,11,0.0506,0.0815,2.18,0.0119,45,38,45.2,3.2,107,55,626.8
FEB,2,12,0.0577,0.1186,2.163,0.0137,42,29,41.6,2.3,113,47,626.2
FEB,2,13,0.0626,0.0657,2.084,0.012,30,33,30.1,2.1,123,36,625.4
FEB,2,14,0.0677,0.0406,2.126,0.011,30,18,29.5,2.1,148,30,624.4
FEB,2,15,0.0694,0.0183,2.356,0.0133,17,17,17.3,2.1,230,27,623.5
FEB,2,16,0.0771,0.0317,2.296,0.013,14,14,13.5,1.6,200,22,622.7
FEB,2,17,0.0795,0.0209,2.309,0.0128,19,14,19.4,2,220,21,622.5
FEB,2,18,0.0795,0.0239,2.449,0.0153,28,16,28.1,1.5,263,20,622.5
FEB,2,19,0.0639,0.0179,2.787,0.0227,38,20,38.4,1.7,295,22,622.7
FEB,2,20,0.0368,0.0126,3.05,0.0337,50,18,50.3,0.9,200,26,623
FEB,2,21,0.0422,0.0085,2.499,0.0219,75,29,75.1,2.1,60,23,623.5
FEB,2,22,0.0446,0.03,2.045,0.013,106,10,106.3,2.2,71,20,623.9
FEB,2,23,0.0331,0.1152,2.058,0.0189,153,12,153.4,2.3,102,23,624.1
FEB,3,0,0.0324,0.097,2.008,0.0194,148,43,147.7,2.6,93,27,624.3
FEB,3,1,0.0298,0.2822,1.976,0.0228,103,23,103.3,2.8,90,31,624.1
FEB,3,2,0.0325,0.1268,1.962,0.0191,103,91,102.9,2.5,97,32,624
FEB,3,3,0.0317,0.1042,1.95,0.0164,102,32,102.5,2.5,106,37,623.9
FEB,3,4,0.0315,0.0573,1.961,0.0148,87,34,86.9,1.9,111,40,623.8
FEB,3,5,0.0335,0.0168,1.988,0.0136,47,16,46.9,2.3,112,42,623.9
FEB,3,6,0.0337,0.0177,2.019,0.0154,45,9,44.7,2.4,104,45,623.9
FEB,3,7,0.0273,0.0634,2.229,0.0237,58,12,58.1,1.9,95,48,624.2
FEB,3,8,0.0279,0.1072,2.424,0.0227,80,26,80.2,0.8,87,49,624.6
FEB,3,9,0.03,0.1161,2.338,0.022,49,43,48.7,2.1,98,44,625
FEB,3,10,,0.1025,2.343,0.0203,34,35,33.5,2.2,104,39,625.3
FEB,3,11,,0.1157,2.21,0.0194,55,40,55.5,2.1,115,33,625.3
FEB,3,12,,0.0635,2.162,0.0148,62,40,61.9,1.7,144,25,624.8
FEB,3,13,,0.0456,2.45,0.0152,49,NA,49,1.6,172,20,624.3
FEB,3,14,,0.0702,2.992,0.0168,41,NA,41.4,1.5,206,16,623.6
FEB,3,15,,0.0603,2.907,0.0176,23,28,22.8,1.6,232,14,622.7
FEB,3,16,,0.042,2.503,0.0117,21,30,20.8,1.8,277,13,622.2
FEB,3,17,,0.0313,2.585,0.0151,29,24,29.1,1.2,210,11,621.7
FEB,3,18,,0.0194,2.56,0.0188,48,19,47.8,1.7,238,11,621.8
FEB,3,19,,0.0144,3.113,0.0366,36,22,36,1.7,246,12,621.9
FEB,3,20,,0.0082,3.378,0.0387,67,19,66.6,1.6,252,16,622.3
FEB,3,21,,0.0081,3.728,0.0369,69,16,69.5,0.7,200,20,622.6
FEB,3,22,,0.0116,3.091,0.034,82,15,81.7,0.9,144,23,623.1
FEB,3,23,,0.0097,3.838,0.0323,94,24,93.9,0.6,199,26,623.4
FEB,4,0,,0.0124,2.774,0.0301,313,30,313.2,1.1,132,28,623.7
FEB,4,1,,0.0125,2.856,0.0292,155,33,155,0.4,154,31,623.7
FEB,4,2,,0.0184,2.842,0.0276,80,36,79.9,0.4,189,35,623.8
FEB,4,3,,0.0214,2.237,0.026,65,34,64.8,0.4,145,39,624
FEB,4,4,,0.0101,2.226,0.0248,57,32,57.5,0.4,114,41,624.1
FEB,4,5,,0.0095,2.236,0.0232,58,35,57.8,0.4,102,43,624.1
FEB,4,6,,0.0151,2.301,0.0229,61,29,60.7,0.4,89,44,624.2
FEB,4,7,,0.0128,2.339,0.0212,59,30,58.7,1,118,46,624.6
FEB,4,8,,0.0139,2.705,0.0191,73,15,72.8,0.7,103,42,625.1
FEB,4,9,,0.0275,2.755,0.0209,70,16,70,1.5,117,36,625.6
FEB,4,10,,0.0485,2.444,0.0213,71,38,70.7,0.9,143,34,626
FEB,4,11,,0.0139,2.437,0.019,75,41,75,1.4,213,36,626.1
FEB,4,12,,0.0085,2.262,0.0049,52,30,51.6,1.9,230,34,625.6
FEB,4,13,,0.0088,2.281,0.0044,44,22,43.5,2,229,30,624.6
FEB,4,14,,0.0068,2.283,0.013,37,26,36.6,2.7,255,23,623.5
FEB,4,15,,0.0063,2.245,0.015,29,18,29.2,3,249,18,622.7
FEB,4,16,,0.0063,2.181,0.0144,32,15,32.4,3.7,270,17,622
FEB,4,17,0.0604,0.0063,2.299,0.0181,23,7,22.5,3.4,239,16,621.7
FEB,4,18,0.0521,0.0063,2.453,0.0248,34,9,34.4,2.9,237,13,621.6
FEB,4,19,0.0243,0.0063,3.036,0.0444,40,12,39.8,1.9,218,16,621.9
FEB,4,20,0.0133,0.0064,2.932,0.0441,53,16,53.2,2.1,207,17,622.2
FEB,4,21,0.0204,0.0061,2.657,0.034,80,17,79.5,1.6,233,16,622.7
FEB,4,22,0.0076,0.0063,2.896,0.0425,93,12,93.3,0.5,275,20,622.9
FEB,4,23,0.0035,0.007,2.83,0.0457,127,16,127.1,0.7,144,23,623.1
FEB,5,0,0.0046,0.0078,3.257,0.0449,108,19,108,0.4,185,25,623.2
FEB,5,1,0.0031,0.0076,2.828,0.0384,77,27,77.3,0.4,289,31,623.1
FEB,5,2,0.0023,0.0066,2.32,0.0363,48,40,48.4,0.5,282,32,622.9
FEB,5,3,0.0022,0.0074,2.369,0.0385,37,31,36.8,0.4,250,33,622.8
FEB,5,4,0.0014,0.0093,2.341,0.0348,33,37,33,0.4,275,37,622.8
FEB,5,5,0.0016,0.0082,2.396,0.0374,37,25,37.4,0.7,201,39,622.7
FEB,5,6,NA,0.0132,2.411,0.0332,42,31,42.1,0.5,237,42,622.8
FEB,5,7,NA,0.0297,2.559,0.0327,38,33,37.9,0.4,97,42,622.8
FEB,5,8,0.0027,0.0262,2.992,0.0367,68,32,67.8,0.5,105,42,623.3
FEB,5,9,0.0065,0.039,2.865,0.0399,78,24,77.6,0.9,103,40,623.8
FEB,5,10,0.0186,0.0843,2.506,0.0339,74,37,74.4,1.1,110,39,624.2
FEB,5,11,0.0363,0.0228,2.387,,76,46,76.4,0.7,207,32,624.1
FEB,5,12,0.0416,0.0126,2.336,,45,32,45.2,1.5,241,25,623.6
FEB,5,13,0.0521,0.0082,2.332,,37,23,37.4,2.5,252,19,622.5
FEB,5,14,0.053,0.0065,2.266,,44,15,43.7,3.6,220,16,621.2
FEB,5,15,0.0486,0.0061,2.294,,39,18,38.8,3.1,226,12,619.5
FEB,5,16,0.0438,0.0059,2.261,,42,12,41.8,3.9,238,6,619.7
FEB,5,17,0.0472,0.006,2.271,,47,7,47.2,4.3,245,7,619.4
FEB,5,18,0.0403,0.006,2.347,,41,5,40.8,3.9,255,6,619.4
FEB,5,19,0.0335,0.0057,2.165,,52,3,51.6,3.8,278,9,619.6
FEB,5,20,0.0113,0.006,2.813,,62,14,62.1,2.5,255,13,620.1
FEB,5,21,0.0175,0.0063,2.722,0.0468,113,8,113.4,2.5,224,18,620.7
FEB,5,22,0.0221,0.0061,2.337,0.0271,157,24,156.7,2.7,221,20,621.2
FEB,5,23,0.0123,0.0071,2.643,0.038,110,14,109.8,1.7,259,19,621.8
FEB,6,0,0.0069,0.0062,2.27,0.0362,99,28,99.2,1.1,263,24,621.9
FEB,6,1,0.0108,0.0067,2.258,0.0329,92,13,91.9,1.4,311,27,622
FEB,6,2,0.0133,0.0064,2.171,0.0284,91,14,91,1.2,229,29,622.1
FEB,6,3,0.0087,0.0065,2.195,0.0302,74,12,73.9,0.6,249,35,622
FEB,6,4,0.0051,0.0081,2.142,0.0402,72,14,71.7,0.9,259,42,621.9
FEB,6,5,0.0065,0.0079,2.135,0.0333,87,14,86.7,0.4,266,44,622
FEB,6,6,0.0018,0.0078,2.279,0.05,59,15,58.6,0.4,255,46,622
FEB,6,7,0.0005,0.0085,2.624,0.0746,64,25,63.8,0.4,251,48,622.3
FEB,6,8,0.0005,0.0084,3.026,0.1098,81,16,81.3,0.5,189,50,622.7
FEB,6,9,NA,0.0188,2.868,0.1169,97,30,96.6,0.8,94,46,622.9
FEB,6,10,0.0179,0.0096,2.522,0.0587,100,32,100.4,0.8,119,44,623.2
FEB,6,11,0.0344,0.0086,2.402,0.0355,83,42,83.1,1.4,196,42,623.3
FEB,6,12,0.0384,0.0069,2.251,0.0242,59,25,59.3,2.2,237,36,622.8
FEB,6,13,0.0379,0.0064,2.286,0.028,40,14,40.5,2.9,230,25,622.2
FEB,6,14,0.0371,0.0061,2.358,0.0247,32,13,31.7,3.4,241,18,621.3
FEB,6,15,0.0381,0.0063,2.237,0.0178,29,12,29.2,4.1,275,15,620.6
FEB,6,16,0.0402,0.006,2.312,0.022,31,24,30.6,3.7,248,15,620
FEB,6,17,0.0371,0.0058,2.204,0.0163,29,9,28.5,3.7,245,12,620
FEB,6,18,0.0314,0.0058,2.237,0.0178,23,16,22.6,4.6,230,9,620.2
FEB,6,19,0.0239,0.0061,2.431,0.0248,33,5,32.6,3.3,216,11,620.5
FEB,6,20,0.0182,0.0063,2.532,0.0281,43,7,43.3,3.2,234,13,620.9
FEB,6,21,0.0117,0.0062,2.799,0.0407,60,8,60.4,1.4,233,17,621.6
FEB,6,22,0.0068,0.0068,2.704,0.0487,79,8,79.4,1,170,20,622.2
FEB,6,23,0.0029,0.0088,2.754,0.0641,97,13,97,0.4,116,23,622.6
FEB,7,0,0.0011,0.0135,2.73,0.0671,72,13,71.8,0.4,214,25,622.8
FEB,7,1,0.0013,0.0108,2.807,0.0713,73,22,72.5,0.4,254,26,622.5
FEB,7,2,0.0027,0.008,2.46,0.0533,60,28,59.8,0.5,245,29,622.4
FEB,7,3,0.0034,0.0211,2.337,0.0497,59,24,58.8,1.5,87,37,622.4
FEB,7,4,0.0074,0.0189,2.174,0.0261,67,23,67.2,2.7,112,45,622.3
FEB,7,5,0.0103,0.0407,2.159,0.0248,58,20,58.3,2.5,97,46,622.1
FEB,7,6,0.0145,0.1332,2.108,0.0216,54,29,53.6,2.7,90,45,622.3
FEB,7,7,0.0102,0.0863,2.339,0.0227,60,32,60.2,2.4,98,52,622.7
FEB,7,8,0.0086,0.0519,2.458,0.0273,66,30,66.2,2.2,102,59,623.3
FEB,7,9,0.0151,0.1312,2.338,0.0323,75,21,75,2.8,94,60,623.6
FEB,7,10,0.0313,0.1085,2.145,0.0199,89,56,88.9,4.6,87,59,623.9
FEB,7,11,0.0389,0.0698,2.175,0.0198,59,49,58.9,4.2,96,54,624.1
FEB,7,12,0.0487,0.036,2.233,0.0166,27,36,26.6,2.7,124,45,623.6
FEB,7,13,0.0603,0.034,2.291,0.0156,36,32,36.1,1.7,144,35,622.7
FEB,7,14,0.0615,0.0318,2.198,0.011,40,30,39.6,1.5,141,28,621.8
FEB,7,15,0.0597,0.0089,2.208,0.011,35,27,35.4,1.8,171,26,620.9
FEB,7,16,0.056,0.0073,2.246,0.0116,39,17,38.8,2.1,234,23,620.3
FEB,7,17,0.0565,0.0069,2.198,0.0105,26,21,25.9,2.5,243,22,620.1
FEB,7,18,0.0577,0.0068,2.25,0.0121,33,17,32.9,2.1,267,22,620.1
FEB,7,19,0.0398,0.0066,2.436,0.0234,40,19,40,2.3,204,23,620.5
FEB,7,20,0.0299,0.0063,2.266,0.0146,53,20,53.4,3.7,161,25,621
FEB,7,21,0.0228,0.0066,2.379,0.0175,96,10,96.5,2.9,181,27,621.6
FEB,7,22,0.0211,0.0063,2.296,0.0176,94,16,93.8,2.5,209,24,622.1
FEB,7,23,0.0118,0.0063,2.375,0.0248,101,14,101.2,0.8,182,29,622.7
FEB,8,0,0.0127,0.0065,2.338,0.0219,88,13,87.7,0.6,282,35,623
FEB,8,1,0.016,0.0065,2.187,0.0169,84,15,83.7,0.4,276,39,622.9
FEB,8,2,0.0126,0.0064,2.097,0.0175,77,10,77,0.5,241,43,622.7
FEB,8,3,0.0152,0.0065,2.086,0.0174,66,15,65.8,0.5,281,46,622.5
FEB,8,4,0.01,0.0067,2.083,0.0196,56,10,56.5,0.4,294,48,622.4
FEB,8,5,0.0092,0.0073,2.118,0.0237,72,13,72.5,0.4,248,54,622.4
FEB,8,6,0.0043,0.0074,2.179,0.0407,64,18,63.7,0.4,286,56,622.8
FEB,8,7,0.0011,0.0076,2.491,0.0699,67,NA,67,0.4,271,54,623.3
FEB,8,8,0.0015,0.0074,2.707,0.0724,81,NA,80.5,0.4,129,56,623.7
FEB,8,9,0.006,0.0075,2.787,0.0588,104,29,103.8,0.5,241,51,624.4
FEB,8,10,0.0143,0.0075,2.68,0.0546,109,24,109,0.8,224,46,624.8
FEB,8,11,0.0298,0.0073,2.256,0.0248,95,22,94.6,1.5,285,44,624.8
FEB,8,12,0.0381,0.0072,2.216,0.0181,79,17,78.6,1.7,260,38,624.4
FEB,8,13,0.0423,0.0069,2.272,0.0192,58,14,58,2.6,249,30,623.7
FEB,8,14,0.0483,0.0067,2.166,0.0125,42,10,42.4,2.6,236,25,622.8
FEB,8,15,0.0415,NA,2.782,0.016,26,16,26,3.1,239,17,622.1
FEB,8,16,0.0379,NA,2.557,0.013,27,13,26.5,2.8,252,11,621.4
FEB,8,17,NA,0.0097,0.4,0.0112,35,10,35.2,2.6,243,9,621.1
FEB,8,18,NA,0.0102,0.474,0.0126,31,7,31.1,2.2,286,10,621.3
FEB,8,19,0.0284,0.0095,0.786,0.0309,47,5,47.2,1.4,287,13,621.4
FEB,8,20,0.0025,0.0137,2.889,0.1407,71,5,71.3,0.8,248,16,621.9
FEB,8,21,0.0003,0.0157,2.77,0.1387,97,27,96.7,0.9,227,20,622.6
FEB,8,22,0.0007,0.0143,1.514,0.0851,87,23,87.3,1.3,201,22,623.1
FEB,8,23,0.005,0.0131,1.035,0.0477,99,20,98.6,1.4,219,24,623.6
FEB,9,0,0.0044,0.0135,0.773,0.0507,62,1,61.5,NA,NA,21,NA
FEB,9,1,0.0044,0.0172,0.668,0.0513,67,0,66.7,NA,NA,21,NA
FEB,9,2,NA,0.017,0.532,0.0706,49,1,48.7,NA,NA,22,NA
FEB,9,3,NA,0.0134,0.341,0.0552,42,1,42.5,NA,NA,22,NA
FEB,9,4,NA,0.0132,0.33,0.0554,34,1,33.8,NA,NA,21,NA
FEB,9,5,0.0012,0.0156,0.371,0.0514,34,1,34.3,NA,NA,22,NA
FEB,9,6,NA,0.0159,0.42,0.1099,31,1,30.7,NA,NA,22,NA
FEB,9,7,NA,0.0145,0.824,0.1149,34,1,34.2,NA,NA,22,NA
FEB,9,8,NA,0.0156,1.036,0.1215,50,1,49.9,NA,NA,22,NA
FEB,9,9,0.0015,0.0183,1.563,0.1617,62,1,61.7,NA,NA,22,NA
FEB,9,10,0.0078,0.0157,0.751,0.0807,75,1,74.9,NA,NA,22,NA
FEB,9,11,0.025,0.0112,0.614,0.0445,60,1,59.9,NA,NA,22,NA
FEB,9,12,0.0388,0.0096,0.399,0.0245,43,1,42.7,NA,NA,22,NA
FEB,9,13,0.0474,0.0095,0.446,0.0212,36,2,36.2,NA,NA,22,NA
FEB,9,14,0.0553,0.0087,0.356,0.0173,33,2,33.3,NA,NA,22,NA
FEB,9,15,0.0541,0.0112,0.406,0.0192,16,2,15.8,NA,NA,21,NA
FEB,9,16,0.0634,0.0111,0.246,0.0121,41,14,40.8,1.6,195,17,621.7
FEB,9,17,0.062,0.0077,0.363,0.0131,61,11,60.6,1.8,222,16,621.4
