DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JUN,1,0,0.044,0.004,0.32,0.003,27.8,22.0,24.353833,2.777435,54.438,47.152433,618.887
JUN,1,1,0.041,0.006,0.41,0.003,22.9,19.1,23.8291,2.935115,48.06915,49.784617,618.753667
JUN,1,2,0.040,0.060,0.49,0.004,28.4,24.7,23.048283,2.584645,71.317117,52.97715,618.618333
JUN,1,3,0.030,0.019,0.28,0.008,28.4,22.9,22.059483,0.919005,112.659367,55.907117,618.405
JUN,1,4,0.028,0.043,0.29,0.010,33.5,22.8,21.4685,2.22805,125.932133,58.694383,618.437167
JUN,1,5,0.030,0.029,0.30,0.006,32.6,25.6,20.992583,3.004512,100.91615,60.274533,618.7865
JUN,1,6,0.028,0.042,0.38,0.012,40.0,37.2,20.675217,2.208352,92.45645,61.469783,619.0135
JUN,1,7,0.022,0.037,0.51,0.014,37.2,34.4,20.741667,1.126605,72.269667,63.681217,619.182
JUN,1,8,0.026,0.078,0.45,0.014,32.0,28.9,21.497783,3.82547,92.608683,62.284967,619.475667
JUN,1,9,0.035,0.060,0.48,0.010,41.8,40.4,22.820983,3.379778,89.275567,57.649917,619.516
JUN,1,10,0.042,0.044,0.40,0.010,30.9,31.0,24.218967,3.066282,100.44445,51.8583,619.274833
JUN,1,11,0.053,0.028,0.42,0.007,34.6,29.5,25.530767,3.070492,88.602383,45.923767,619.054167
JUN,1,12,0.056,0.026,0.40,0.008,25.0,23.0,27.149783,2.634945,116.699433,38.651733,618.651
JUN,1,13,0.060,0.018,0.48,0.010,24.6,23.2,28.382117,2.874092,152.374717,31.930933,618.043333
JUN,1,14,0.066,0.018,0.40,0.007,21.8,23.8,29.909017,2.009125,141.288483,27.750233,617.393333
JUN,1,15,0.063,0.030,0.73,0.011,23.4,19.4,31.726683,1.472175,229.489733,21.880433,616.638
JUN,1,16,0.063,0.023,0.42,0.008,25.1,27.8,32.183383,0.75718,175.791033,19.837817,615.920167
JUN,1,17,0.060,0.056,0.42,0.009,31.1,23.1,31.763017,3.451905,101.05185,22.359433,615.444333
JUN,1,18,0.050,0.131,0.41,0.014,66.8,21.4,29.9454,5.399557,93.57305,25.6314,615.270667
JUN,1,19,0.052,0.106,0.41,0.008,47.4,45.4,30.56135,4.403893,86.827233,24.414917,615.252
JUN,1,20,0.046,0.026,0.42,0.004,26.2,32.0,29.4016,5.067692,54.4984,28.529033,615.911
