DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
MARZO,1,0,0.029,0.003,0.59,0.012,45,21,22.15,227.50,0.45,32.23,622.57
MARZO,1,1,0.016,0.002,0.53,0.015,41,23,21.48,230.41,0.45,32.45,622.60
MARZO,1,2,0.011,0.003,0.55,0.019,41,25,20.11,284.24,0.45,35.79,622.82
MARZO,1,3,0.009,0.003,0.49,0.024,38,26,19.35,239.57,0.45,37.92,622.70
MARZO,1,4,0.020,0.003,0.50,0.016,41,25,19.02,223.59,0.45,39.25,622.50
MARZO,1,5,0.024,0.002,0.41,0.009,36,31,17.96,237.60,0.45,41.12,622.40
MARZO,1,6,0.019,0.002,0.48,0.013,27,27,17.36,227.45,0.45,42.90,622.57
MARZO,1,7,0.009,0.003,1.16,0.023,39,20,17.24,245.26,0.45,43.93,622.91
MARZO,1,8,0.008,0.010,1.37,0.022,69,22,15.35,148.78,0.45,47.21,623.38
MARZO,1,9,0.010,0.005,1.07,0.024,56,29,18.05,224.59,0.45,41.74,623.85
MARZO,1,10,0.022,0.003,0.92,0.019,52,30,19.93,271.84,0.45,39.13,624.22
MARZO,1,11,0.036,0.003,0.80,0.016,41,25,22.69,255.83,1.61,38.01,624.42
MARZO,1,12,0.046,0.003,0.69,0.011,33,25,24.87,219.27,1.24,31.70,624.04
MARZO,1,13,0.047,0.002,0.61,0.010,26,26,26.66,240.25,1.70,25.41,623.38
MARZO,1,14,0.052,0.001,0.53,0.007,29,25,27.76,258.17,2.67,22.70,622.60
MARZO,1,15,0.044,0.001,0.61,0.009,23,25,28.93,242.79,3.27,17.05,621.82
MARZO,1,16,0.048,0.001,0.61,0.009,32,23,29.60,250.78,4.07,15.65,621.24
MARZO,1,17,0.046,0.001,0.55,0.009,39,23,30.00,248.91,3.50,14.50,620.84
MARZO,1,18,0.042,0.001,0.68,0.013,31,23,29.76,244.38,3.33,15.93,620.89
MARZO,1,19,0.031,0.002,1.03,0.020,33,21,28.58,247.77,1.90,19.63,621.21
MARZO,1,20,0.015,0.002,1.24,0.028,44,21,26.86,250.17,1.14,22.00,621.63
MARZO,1,21,0.014,0.002,1.04,0.025,53,20,25.20,245.37,0.77,24.76,622.19
MARZO,1,22,0.020,0.002,0.86,0.020,55,22,23.66,223.79,0.87,28.36,622.47
MARZO,1,23,0.028,0.002,0.52,0.010,41,24,22.84,231.85,1.39,29.25,622.76
MARZO,2,0,0.026,0.001,0.43,0.010,28,23,21.34,273.23,0.92,32.32,622.73
MARZO,2,1,0.019,0.002,0.43,0.014,26,19,19.69,302.73,0.50,33.44,622.61
MARZO,2,2,0.015,0.002,0.44,0.017,32,17,18.79,279.60,0.49,33.60,622.35
MARZO,2,3,0.009,0.003,0.47,0.023,31,19,17.90,261.22,0.45,36.57,622.22
MARZO,2,4,0.008,0.003,0.46,0.020,33,22,16.93,229.79,0.45,38.65,621.64
MARZO,2,5,0.012,0.002,0.44,0.019,31,22,16.75,235.59,0.45,41.18,621.43
MARZO,2,6,0.009,0.003,0.52,0.020,30,20,15.62,273.70,0.47,43.71,621.66
MARZO,2,7,0.008,0.005,0.82,0.022,47,22,14.96,293.40,0.45,45.83,621.85
MARZO,2,8,0.008,0.007,2.03,0.023,67,30,14.70,272.00,0.45,47.28,622.18
MARZO,2,9,0.010,0.005,1.74,0.022,78,36,17.13,270.46,0.46,45.06,622.39
MARZO,2,10,0.026,0.002,0.74,0.011,41,28,19.28,235.71,1.14,46.01,622.53
MARZO,2,11,0.037,0.002,0.62,0.008,24,18,21.78,234.21,1.38,39.01,622.45
MARZO,2,12,0.042,0.001,0.65,0.009,20,16,24.02,240.50,2.54,30.60,621.75
MARZO,2,13,0.040,0.001,0.60,0.008,29,16,25.94,230.01,3.63,20.90,620.78
MARZO,2,14,0.040,0.001,0.60,0.009,30,18,27.83,232.29,3.60,18.65,619.82
MARZO,2,15,0.045,0.001,0.51,0.008,43,18,28.74,252.79,5.28,15.21,619.01
MARZO,2,16,0.046,0.001,0.53,0.007,54,19,29.48,259.95,5.21,11.36,618.30
MARZO,2,17,0.046,0.001,0.46,0.007,48,19,29.77,253.52,5.06,11.80,617.91
MARZO,2,18,0.043,0.001,0.51,0.010,42,22,29.71,251.78,4.94,11.84,617.87
MARZO,2,19,0.033,0.001,0.53,0.013,43,20,28.23,271.26,3.57,15.08,618.38
MARZO,2,20,0.019,0.001,0.94,0.022,43,17,26.24,261.65,2.66,20.23,618.88
MARZO,2,21,0.016,0.001,0.80,0.021,45,18,24.33,268.22,1.66,24.57,619.23
MARZO,2,22,0.017,0.001,0.74,0.020,59,22,23.05,252.67,0.99,26.67,619.56
MARZO,2,23,0.027,0.001,0.55,0.014,41,25,21.93,255.31,2.06,27.62,619.91
MARZO,3,0,0.029,0.001,0.46,0.012,39,23,21.00,255.59,1.37,29.33,620.08
MARZO,3,1,0.028,0.001,0.37,0.010,46,18,19.16,245.98,1.42,32.78,620.18
MARZO,3,2,0.028,0.001,0.38,0.009,39,16,17.59,277.98,0.50,35.73,620.13
MARZO,3,3,0.020,0.002,0.40,0.015,36,19,16.91,267.05,0.45,36.52,619.71
MARZO,3,4,0.019,0.001,0.40,0.015,40,18,16.65,295.27,0.45,36.64,619.28
MARZO,3,5,0.010,0.002,0.47,0.024,48,20,15.82,245.33,0.45,38.72,619.00
MARZO,3,6,0.008,0.002,0.49,0.023,45,22,14.59,143.74,0.45,39.22,619.01
MARZO,3,7,0.008,0.017,0.92,0.023,43,20,14.55,89.22,0.45,38.88,619.20
MARZO,3,8,0.010,0.007,1.47,0.022,71,20,14.24,102.17,0.45,41.66,619.69
MARZO,3,9,0.025,0.027,0.98,0.023,80,30,15.84,103.55,0.61,38.61,620.35
MARZO,3,10,0.030,0.046,0.69,0.019,78,35,19.17,114.78,0.70,33.38,620.59
MARZO,3,11,0.044,0.006,0.62,0.012,53,34,22.00,197.32,0.45,26.66,620.66
MARZO,3,12,0.057,0.009,0.60,0.013,41,32,24.08,212.03,0.70,23.58,620.10
MARZO,3,13,0.063,0.008,0.68,0.014,40,27,25.39,227.91,1.68,22.71,619.52
MARZO,3,14,0.058,0.004,0.58,0.010,36,25,26.85,244.12,1.79,20.45,618.66
MARZO,3,15,0.048,0.001,0.58,0.008,25,24,28.45,216.58,3.21,17.02,617.75
MARZO,3,16,0.042,0.001,0.53,0.008,29,18,29.59,250.88,4.80,13.69,617.03
MARZO,3,17,0.041,0.001,0.50,0.007,32,18,30.03,244.85,4.85,13.11,616.67
MARZO,3,18,0.042,0.001,0.71,0.010,30,21,29.86,252.52,4.11,15.61,616.83
MARZO,3,19,0.039,0.001,0.50,0.007,36,21,28.33,278.72,3.38,18.14,617.26
MARZO,3,20,0.018,0.002,1.08,0.025,45,21,26.60,258.28,1.44,24.34,617.96
MARZO,3,21,0.024,0.002,0.80,0.016,45,21,24.99,231.24,2.80,32.13,618.64
MARZO,3,22,0.027,0.001,0.53,0.009,38,20,23.65,227.54,3.43,35.36,619.13
MARZO,3,23,0.022,0.001,0.51,0.009,26,20,21.97,228.27,1.43,38.27,619.60
