DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JUNIO,1,0,0.037,0.002,0.36,0.007,37,26,26.09,0.45,209.70,40.44,621.55
JUNIO,1,1,0.031,0.003,0.44,0.009,35,26,25.01,0.45,216.14,43.91,621.63
JUNIO,1,2,0.028,0.005,0.43,0.011,31,22,24.32,0.45,167.32,45.50,621.90
JUNIO,1,3,0.019,0.011,0.45,0.020,32,23,23.34,0.45,122.77,48.05,621.78
JUNIO,1,4,0.017,0.006,0.49,0.020,42,25,23.05,0.45,258.44,49.13,621.78
JUNIO,1,5,0.028,0.004,0.43,0.010,35,30,22.35,0.45,247.53,50.15,622.02
JUNIO,1,6,0.009,0.003,0.63,0.023,33,28,20.75,0.45,258.56,53.64,622.23
JUNIO,1,7,0.016,0.003,0.63,0.015,33,28,20.80,0.45,219.02,53.13,622.72
JUNIO,1,8,0.015,0.003,0.96,0.018,38,30,22.25,0.45,248.56,49.39,623.02
JUNIO,1,9,0.028,0.002,0.67,0.011,28,29,24.04,0.82,267.78,47.63,623.29
JUNIO,1,10,0.036,0.003,0.75,0.010,37,27,25.90,1.80,251.89,44.93,623.50
JUNIO,1,11,NA,NA,NA,NA,26,27,27.46,1.55,241.26,37.85,623.37
JUNIO,1,12,NA,NA,NA,NA,28,6,28.75,2.07,248.30,33.53,623.03
JUNIO,1,13,NA,NA,NA,NA,30,4,30.19,2.96,258.24,28.98,622.68
JUNIO,1,14,NA,NA,NA,NA,NA,NA,31.43,3.00,258.60,26.13,622.04
JUNIO,1,15,NA,NA,NA,NA,NA,NA,32.64,1.49,235.65,23.62,621.37
JUNIO,1,16,NA,NA,NA,NA,NA,NA,33.55,1.00,221.13,21.43,620.81
JUNIO,1,17,0.062,0.001,0.58,0.010,27,21,34.37,0.94,226.90,18.81,620.34
JUNIO,1,18,0.059,0.001,0.65,0.011,31,28,34.27,1.62,235.82,17.37,620.22
JUNIO,1,19,0.050,0.001,0.75,0.016,34,24,33.77,1.59,236.09,16.96,620.32
JUNIO,1,20,0.036,0.001,0.93,0.023,36,21,32.41,0.57,213.77,18.59,620.55
JUNIO,1,21,0.033,0.002,0.70,0.017,48,17,30.63,0.80,167.03,23.49,621.12
JUNIO,1,22,0.031,0.001,0.65,0.013,43,26,29.25,0.55,184.20,26.15,621.64
JUNIO,1,23,0.029,0.002,0.51,0.012,48,22,27.34,0.45,117.76,32.91,622.30
JUNIO,2,0,0.023,0.002,0.53,0.014,39,24,25.78,0.45,169.40,36.85,622.48
JUNIO,2,1,0.010,0.003,0.54,0.023,31,28,24.28,0.45,261.20,39.90,622.67
JUNIO,2,2,0.022,0.001,0.42,0.015,32,26,24.27,0.45,255.59,42.75,622.70
JUNIO,2,3,0.021,0.001,0.37,0.014,32,28,23.28,0.45,239.17,44.13,622.60
JUNIO,2,4,0.027,0.001,0.32,0.009,21,22,22.42,0.45,247.90,44.91,622.46
JUNIO,2,5,0.017,0.001,0.36,0.015,30,17,21.57,0.45,254.34,47.51,622.68
JUNIO,2,6,0.020,0.001,0.36,0.013,28,20,20.93,0.45,230.68,49.04,622.69
JUNIO,2,7,0.010,0.001,0.55,0.021,30,20,20.57,0.45,276.22,50.87,623.10
JUNIO,2,8,0.018,0.002,0.80,0.019,35,21,22.90,0.45,198.64,47.05,623.31
JUNIO,2,9,0.027,0.001,0.70,0.016,35,33,24.79,0.45,252.82,44.38,623.44
JUNIO,2,10,0.040,0.001,0.60,0.010,36,24,26.08,0.52,248.48,41.17,623.43
JUNIO,2,11,0.050,0.001,0.44,0.007,29,18,28.13,0.64,246.68,31.80,623.03
JUNIO,2,12,0.061,0.001,0.39,0.006,25,26,29.59,0.74,243.00,27.60,622.58
JUNIO,2,13,0.062,0.001,0.39,0.007,21,24,31.75,0.58,223.99,21.43,621.85
JUNIO,2,14,0.058,0.000,0.41,0.006,20,23,33.59,0.64,262.81,14.57,621.09
JUNIO,2,15,0.061,0.000,0.40,0.008,21,23,34.73,0.69,236.72,10.48,620.32
JUNIO,2,16,0.062,0.000,0.32,0.006,20,27,35.57,0.54,226.99,7.77,619.73
JUNIO,2,17,0.062,0.000,0.35,0.009,21,22,36.18,0.53,216.36,7.18,619.11
JUNIO,2,18,0.060,0.000,0.43,0.010,24,21,36.31,0.55,236.80,7.22,618.85
JUNIO,2,19,0.042,0.000,0.80,0.024,30,19,35.77,0.53,229.64,7.72,618.82
