DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JULIO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JULIO,1,1,0.010,0.006,0.454,0.007,8,19,18.78,0.47,65.36,86.98,624.40
JULIO,1,2,0.012,0.007,0.400,0.008,9,12,19.14,0.45,80.02,84.38,624.15
JULIO,1,3,0.009,0.008,0.331,0.009,9,11,19.13,0.45,105.45,83.16,623.83
JULIO,1,4,0.009,0.008,0.325,0.010,10,10,19.05,0.46,101.57,82.49,623.72
JULIO,1,5,0.008,0.010,0.294,0.011,16,19,19.03,0.45,94.02,81.27,623.50
JULIO,1,6,0.008,0.014,0.299,0.009,10,18,19.29,0.47,102.04,79.53,623.81
JULIO,1,7,0.008,0.014,0.369,0.010,13,14,19.20,0.48,76.42,81.04,624.19
JULIO,1,8,0.008,0.012,0.436,0.012,13,16,20.39,0.45,82.70,77.92,624.31
JULIO,1,9,0.009,0.013,0.569,0.013,24,26,21.25,0.45,128.14,73.71,624.68
JULIO,1,10,0.011,0.011,0.495,0.012,18,18,23.05,0.52,130.57,67.31,624.91
JULIO,1,11,0.018,0.012,0.412,0.007,14,29,24.70,0.48,121.19,57.69,624.82
JULIO,1,12,0.028,0.008,0.421,0.006,15,20,25.81,0.53,147.31,52.54,624.53
JULIO,1,13,0.034,0.005,0.375,0.004,10,11,27.27,0.47,137.54,47.07,624.02
JULIO,1,14,0.036,0.004,0.374,0.005,5,11,28.22,0.54,133.93,42.97,623.29
JULIO,1,15,0.040,0.003,0.353,0.003,7,11,28.72,0.45,152.00,39.91,622.35
JULIO,1,16,0.045,0.003,0.450,0.005,5,11,29.25,0.68,264.27,41.21,621.72
JULIO,1,17,0.044,0.002,0.469,0.006,40,12,27.63,1.98,184.71,47.56,621.30
JULIO,1,18,0.029,0.003,0.564,0.009,54,25,22.35,3.01,195.08,65.28,621.72
JULIO,1,19,0.029,0.030,0.559,0.009,13,10,21.89,3.85,96.02,67.38,622.82
JULIO,1,20,0.030,0.033,1.483,0.007,18,17,20.86,0.94,60.27,71.30,623.02
JULIO,1,21,0.036,0.020,0.664,0.007,8,13,20.82,0.45,68.71,69.60,623.25
JULIO,1,22,0.022,0.027,0.634,0.014,17,13,21.27,0.46,148.26,69.78,623.68
JULIO,1,23,0.016,0.012,0.480,0.016,16,18,20.38,0.45,142.77,76.65,624.24
JULIO,2,0,0.020,0.014,0.452,0.015,19,20,20.54,0.45,112.94,73.13,624.49
JULIO,2,1,0.022,0.017,0.420,0.013,17,27,20.37,0.45,157.04,73.32,624.22
JULIO,2,2,0.021,0.011,0.362,0.013,13,8,20.17,0.45,268.17,72.87,623.92
JULIO,2,3,0.014,0.007,0.357,0.017,12,10,19.83,0.45,275.42,77.20,623.60
JULIO,2,4,0.014,0.006,0.357,0.016,17,21,19.81,0.45,200.60,78.23,623.38
JULIO,2,5,0.016,0.005,0.353,0.012,16,19,19.85,0.45,177.01,77.31,623.10
