DATOS MÓVILES 2010_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,ENE,1,0,NA,NA,NA,NA,NA
2010,ENE,1,1,NA,NA,NA,NA,NA
2010,ENE,1,2,NA,NA,NA,NA,NA
2010,ENE,1,3,NA,NA,NA,NA,NA
2010,ENE,1,4,NA,NA,NA,NA,NA
2010,ENE,1,5,NA,NA,NA,NA,NA
2010,ENE,1,6,NA,NA,NA,NA,NA
2010,ENE,1,7,NA,NA,NA,NA,1.087142857
2010,ENE,1,8,NA,NA,NA,NA,1.11875
2010,ENE,1,9,NA,NA,NA,NA,0.92
2010,ENE,1,10,NA,NA,NA,NA,0.85625
2010,ENE,1,11,NA,NA,NA,NA,0.8525
2010,ENE,1,12,NA,NA,NA,NA,0.81875
2010,ENE,1,13,NA,NA,NA,NA,0.77125
2010,ENE,1,14,NA,NA,NA,NA,0.7775
2010,ENE,1,15,NA,NA,NA,NA,0.73625
2010,ENE,1,16,NA,NA,NA,NA,0.59625
2010,ENE,1,17,NA,NA,NA,NA,0.4325
2010,ENE,1,18,NA,NA,NA,NA,0.31625
2010,ENE,1,19,NA,NA,NA,NA,0.26125
2010,ENE,1,20,NA,NA,NA,NA,0.2575
2010,ENE,1,21,NA,NA,NA,NA,0.2675
2010,ENE,1,22,NA,NA,NA,NA,0.2475
2010,ENE,1,23,NA,71.98608696,51.16304348,NA,0.2475
2010,ENE,2,0,NA,70.97833333,53.16125,NA,0.24
2010,ENE,2,1,NA,59.02666667,56.46625,NA,0.23
2010,ENE,2,2,NA,47.16791667,59.30458333,NA,0.21875
2010,ENE,2,3,NA,44.28791667,61.50958333,NA,0.19375
2010,ENE,2,4,NA,43.32875,63.82041667,NA,0.17125
2010,ENE,2,5,NA,42.16791667,64.77333333,NA,0.1475
2010,ENE,2,6,NA,42.52458333,66.97916667,NA,0.12875
2010,ENE,2,7,NA,42.42625,68.675,NA,0.1175
2010,ENE,2,8,NA,41.49,68.54125,NA,0.1225
2010,ENE,2,9,NA,41.095,68.75041667,NA,0.14125
2010,ENE,2,10,NA,40.355,67.81083333,NA,0.1725
2010,ENE,2,11,NA,40.51291667,68.58625,NA,0.22125
2010,ENE,2,12,NA,39.94708333,68.03666667,NA,0.2775
2010,ENE,2,13,NA,40.39375,67.5075,NA,0.34
2010,ENE,2,14,NA,41.17,66.82166667,NA,0.4025
2010,ENE,2,15,NA,41.57208333,65.83416667,NA,0.4875
2010,ENE,2,16,NA,40.87166667,65.11708333,NA,0.52625
2010,ENE,2,17,NA,40.08083333,64.73166667,NA,0.63625
2010,ENE,2,18,NA,39.10791667,64.22,NA,0.74625
2010,ENE,2,19,NA,37.61625,62.9825,NA,0.80375
2010,ENE,2,20,NA,35.91291667,61.40708333,NA,0.86
2010,ENE,2,21,NA,34.04458333,59.70416667,NA,0.875
2010,ENE,2,22,NA,32.46625,57.89291667,NA,0.925
2010,ENE,2,23,NA,31.11291667,56.505,NA,0.94625
2010,ENE,3,0,NA,29.67958333,53.55875,NA,0.985
2010,ENE,3,1,NA,28.6025,50.38166667,NA,0.93875
2010,ENE,3,2,NA,27.78333333,47.41708333,NA,0.86625
2010,ENE,3,3,NA,27.20208333,44.43416667,NA,0.80375
2010,ENE,3,4,NA,26.35291667,41.30125,NA,0.73125
2010,ENE,3,5,NA,25.78083333,39.2925,NA,0.68125
2010,ENE,3,6,NA,24.78375,36.69041667,NA,0.5875
