DATOS MÓVILES 2010_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,OCT,1,0,NA,31.33478261,29.6,16.57142857,0.614285714
2010,OCT,1,1,21.13,29.90478261,30.03304348,16.39857143,0.605714286
2010,OCT,1,2,15.77,29.29521739,29.6626087,16.7,0.581428571
2010,OCT,1,3,16.77,29.41652174,29.98304348,16.82285714,0.57
2010,OCT,1,4,14.33,29.86521739,29.28304348,16.40428571,0.598571429
2010,OCT,1,5,NA,30.35,29.94565217,15.85571429,0.612857143
2010,OCT,1,6,NA,30.92913043,30.36565217,15.05857143,0.631428571
2010,OCT,1,7,NA,32.00608696,30.18913043,14.11142857,0.725714286
2010,OCT,1,8,NA,31.93478261,30.69913043,13.90375,0.77125
2010,OCT,1,9,NA,32.67043478,31.04173913,13.98375,0.825
2010,OCT,1,10,NA,31.72,31.55217391,14.75375,0.85
2010,OCT,1,11,10.22,30.6173913,31.7326087,15.6425,0.865
2010,OCT,1,12,11.23,30.25956522,32.14043478,16.5125,0.86625
2010,OCT,1,13,13.05,30.31565217,32.13782609,17.09375,0.89375
2010,OCT,1,14,15.21,30.59,32.20565217,18.1825,0.91625
2010,OCT,1,15,20.06,30.66391304,32.49565217,19.03375,0.8725
2010,OCT,1,16,26.89,31.28608696,32.8273913,19.73625,0.82375
2010,OCT,1,17,29.38,31.72565217,33.26913043,20.145,0.7575
2010,OCT,1,18,31.07,32.58826087,34.55695652,19.9125,0.7175
2010,OCT,1,19,30.5,33.25565217,36.13521739,19.26375,0.74125
2010,OCT,1,20,30.58,34.39869565,38.17869565,18.34,0.83625
2010,OCT,1,21,27.38,35.29478261,39.50913043,17.7125,0.9125
2010,OCT,1,22,26.64,36.00652174,39.65217391,16.89,0.9175
2010,OCT,1,23,24.49,35.73347826,38.88913043,16.60125,0.91125
2010,OCT,2,0,23.54,35.00375,38.03791667,16.19125,0.9025
2010,OCT,2,1,20.38,35.50875,36.515,15.905,0.90125
2010,OCT,2,2,18.84,36.31541667,36.99541667,15.17625,0.91375
2010,OCT,2,3,18.68,36.51416667,36.36166667,14.86125,0.85375
2010,OCT,2,4,16.6,36.12541667,35.12541667,14.97125,0.715
2010,OCT,2,5,NA,35.39,34.30333333,15.03375,0.61125
2010,OCT,2,6,NA,34.86541667,34.69375,14.79375,0.57625
2010,OCT,2,7,NA,34.19541667,34.60833333,14.22875,0.61875
2010,OCT,2,8,NA,33.92416667,34.14083333,13.85625,0.67625
2010,OCT,2,9,NA,33.73208333,35.0275,13.7,0.7275
2010,OCT,2,10,15.43,34.09625,35.7175,13.7875,0.76
2010,OCT,2,11,NA,34.6075,35.82833333,14.18125,0.7925
2010,OCT,2,12,13.87,34.85583333,35.37625,14.8725,0.815
2010,OCT,2,13,15.68,34.60083333,35.21416667,15.29,0.8225
2010,OCT,2,14,16.09,34.22208333,34.87458333,16.10875,0.82125
2010,OCT,2,15,17.35,34.155,34.64333333,16.9925,0.76
2010,OCT,2,16,18.34,33.86458333,34.29708333,17.5225,0.69375
2010,OCT,2,17,19.52,33.27333333,33.83291667,17.815,0.63875
2010,OCT,2,18,20.73,32.44416667,32.59541667,17.955,0.6025
2010,OCT,2,19,21.91,32.12791667,31.09041667,17.895,0.575
2010,OCT,2,20,21.71,31.13875,29.1575,17.36,0.56
2010,OCT,2,21,21.91,30.56708333,27.91708333,17.18875,0.54125
2010,OCT,2,22,22.43,29.89041667,27.41,16.79375,0.5225
2010,OCT,2,23,20.36,29.71625,27.49208333,16.535,0.52
2010,OCT,3,0,21.63,30.49583333,28.24916667,16.54375,0.50875
2010,OCT,3,1,20.3,30.53958333,28.87458333,16.60125,0.49875
2010,OCT,3,2,16.79,29.71416667,28.29375,16.62,0.49375
2010,OCT,3,3,17.27,29.46833333,28.00708333,16.3475,0.49625
2010,OCT,3,4,15.44,30.0475,28.46625,16.24125,0.50375
2010,OCT,3,5,NA,30.37166667,28.32708333,16.21875,0.5025
2010,OCT,3,6,NA,30.335,28.02083333,15.94375,0.50875
2010,OCT,3,7,NA,29.79416667,27.87,15.4725,0.525
2010,OCT,3,8,NA,29.63958333,27.61333333,15.28375,0.55875
2010,OCT,3,9,NA,29.02333333,26.90125,15.2425,0.5925
2010,OCT,3,10,NA,28.54541667,26.00083333,15.53875,0.62
2010,OCT,3,11,NA,28.69833333,25.73166667,16.55125,0.63625
2010,OCT,3,12,NA,29.25333333,25.71958333,17.305,0.64375
2010,OCT,3,13,NA,29.34666667,25.485,17.89,0.66
2010,OCT,3,14,NA,29.47791667,25.29041667,18.2725,0.675
2010,OCT,3,15,9.89,29.28916667,25.12958333,18.9675,0.665
2010,OCT,3,16,13.19,29.38,25.06125,19.585,0.64375
2010,OCT,3,17,15.11,29.80666667,25.30458333,20.375,0.6275
2010,OCT,3,18,16.16,29.71583333,25.93833333,20.87375,0.6075
2010,OCT,3,19,16.81,30.07333333,26.25166667,20.46875,0.60875
2010,OCT,3,20,15.8,30.12458333,26.5875,20.1975,0.61125
2010,OCT,3,21,14.01,29.98541667,27.36333333,20.58125,0.59875
2010,OCT,3,22,14.45,30.35416667,29.11416667,21.26125,0.57875
2010,OCT,3,23,NA,30.86875,30.23875,21.765,0.56125
2010,OCT,4,0,NA,30.4275,31.65791667,21.635,0.5525
2010,OCT,4,1,NA,29.91083333,31.59041667,21.11375,0.56625
2010,OCT,4,2,17.65,29.7125,31.81083333,20.105,0.6325
2010,OCT,4,3,13.4,29.69583333,31.04125,19.93625,0.63
2010,OCT,4,4,NA,28.83125,30.23583333,20.0125,0.61625
2010,OCT,4,5,NA,28.78791667,30.6575,18.83875,0.705
2010,OCT,4,6,NA,28.77875,29.98291667,18.16125,0.7475
2010,OCT,4,7,NA,28.24083333,29.78041667,17.29125,0.79375
2010,OCT,4,8,NA,27.68666667,30.63125,16.8575,0.98125
2010,OCT,4,9,14.26,27.44166667,30.61708333,17.48125,1.04
2010,OCT,4,10,10.47,26.9575,30.24791667,18.55,0.9975
2010,OCT,4,11,10.43,26.67333333,30.16833333,19.755,1.0075
2010,OCT,4,12,9.68,25.9175,29.96666667,20.2275,1.05625
2010,OCT,4,13,8.81,26.00916667,30.07041667,21.41,1.0175
2010,OCT,4,14,11.08,25.97666667,30.19291667,21.6525,1
2010,OCT,4,15,13.21,26.02291667,30.31,22.14,0.98125
2010,OCT,4,16,14.87,25.81583333,30.47291667,22.8875,0.8125
2010,OCT,4,17,15.97,25.515,30.33791667,22.0975,0.74875
2010,OCT,4,18,17.52,25.51166667,29.83833333,21.03625,0.75375
2010,OCT,4,19,16,24.99333333,29.56375,19.685,0.7325
2010,OCT,4,20,14.28,25.17625,29.2375,18.97,0.68
2010,OCT,4,21,13.1,25.44041667,28.45208333,18.44125,0.6175
2010,OCT,4,22,12,25.3475,26.67,18.815,0.57625
2010,OCT,4,23,10.71,24.96291667,25.19958333,19.14625,0.53125
2010,OCT,5,0,9.5,24.55333333,22.74333333,19.11,0.4925
2010,OCT,5,1,NA,24.36875,21.51291667,19.03625,0.4775
2010,OCT,5,2,NA,24.2725,20.98375,19.05125,0.4925
2010,OCT,5,3,NA,24.04958333,20.79583333,19.41375,0.4825
2010,OCT,5,4,NA,23.93208333,20.24166667,19.61625,0.46625
2010,OCT,5,5,NA,23.14916667,18.92041667,19.71625,0.46
2010,OCT,5,6,NA,22.56625,18.6275,19.08125,0.475
2010,OCT,5,7,NA,22.48416667,18.67291667,18.17,0.52875
2010,OCT,5,8,NA,23.3025,18.04166667,17.18625,0.65
2010,OCT,5,9,NA,23.23166667,17.9275,17.45625,0.7175
2010,OCT,5,10,NA,23.18708333,17.83041667,18.53375,0.6875
2010,OCT,5,11,14.47,22.74458333,17.6175,19.08625,0.71125
2010,OCT,5,12,15.18,22.89916667,17.55125,19.625,0.75
2010,OCT,5,13,16.69,22.7425,17.43416667,19.8125,0.78875
2010,OCT,5,14,18.23,22.78208333,17.41541667,20.78125,0.8
2010,OCT,5,15,20.33,23.0375,17.40375,21.69625,0.80375
2010,OCT,5,16,22.32,23.05291667,17.34083333,22.565,0.7475
2010,OCT,5,17,22.55,23.37125,17.24625,22.1825,0.71625
2010,OCT,5,18,22.7,23.3925,17.12,21.105,0.73
2010,OCT,5,19,22.62,23.23833333,17.04666667,20.03375,0.73375
2010,OCT,5,20,21.69,23.56375,16.97791667,19.19625,0.72
2010,OCT,5,21,20.55,23.6825,16.93208333,18.6525,0.70375
2010,OCT,5,22,19.45,23.84875,16.90791667,18.0375,0.6825
2010,OCT,5,23,20.3,23.77333333,17.28416667,17.54625,0.64
