DATOS MÓVILES 2011_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2011,MZO,1,0,NA,92.41916667,21.11625,NA,2.02
2011,MZO,1,1,NA,97.01583333,23.66208333,NA,1.945
2011,MZO,1,2,NA,100.1695833,25.09458333,NA,1.92375
2011,MZO,1,3,NA,102.46625,26.48291667,NA,1.77125
2011,MZO,1,4,NA,104.2041667,28.38583333,NA,1.685
2011,MZO,1,5,NA,105.8870833,29.88166667,NA,1.5925
2011,MZO,1,6,NA,107.7270833,31.945,NA,1.63375
2011,MZO,1,7,NA,109.2554167,33.70625,NA,1.72875
2011,MZO,1,8,NA,109.34625,35.435,NA,1.82
2011,MZO,1,9,NA,108.04125,36.67166667,NA,1.9175
2011,MZO,1,10,NA,106.7191667,37.58916667,NA,1.89375
2011,MZO,1,11,NA,106.9583333,38.39583333,NA,1.8975
2011,MZO,1,12,NA,107.8904167,39.39125,NA,1.8375
2011,MZO,1,13,NA,109.6991667,40.62916667,NA,1.77875
2011,MZO,1,14,NA,110.4875,41.02791667,NA,1.7025
2011,MZO,1,15,NA,109.50375,41.40916667,NA,1.6375
2011,MZO,1,16,NA,108.0320833,41.43541667,NA,1.565
2011,MZO,1,17,NA,106.6591667,41.555,NA,1.50375
2011,MZO,1,18,NA,105.4354167,41.66,NA,1.5175
2011,MZO,1,19,NA,104.2941667,41.89833333,NA,1.56625
2011,MZO,1,20,NA,102.3120833,42.11083333,NA,1.66375
2011,MZO,1,21,NA,100.6579167,42.28166667,NA,1.70625
2011,MZO,1,22,NA,97.08416667,41.9225,NA,1.71375
2011,MZO,1,23,NA,93.63416667,41.64416667,NA,1.68875
2011,MZO,2,0,NA,88.96208333,41.0575,NA,1.63875
2011,MZO,2,1,NA,85.45875,40.26333333,NA,1.5825
2011,MZO,2,2,NA,83.2875,41.5175,NA,1.51125
2011,MZO,2,3,NA,81.59416667,41.82916667,NA,1.43625
2011,MZO,2,4,NA,79.77916667,40.35958333,NA,1.31125
2011,MZO,2,5,NA,77.85916667,39.56625,NA,1.23875
2011,MZO,2,6,NA,76.16541667,38.00875,NA,1.19625
2011,MZO,2,7,NA,75.44708333,36.97708333,NA,1.205
2011,MZO,2,8,NA,76.46375,35.59833333,NA,1.34375
2011,MZO,2,9,NA,79.33916667,34.67166667,NA,1.52875
2011,MZO,2,10,NA,81.70708333,34.175,NA,1.645
2011,MZO,2,11,NA,82.67375,33.98666667,NA,1.715
