DATOS MÓVILES 2011_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2011,AGO,1,0,10.4,19.92916667,40.25416667,NA,2.4625
2011,AGO,1,1,21.06,19.63583333,42.3625,NA,2.51875
2011,AGO,1,2,26.6,20.34666667,43.91875,NA,2.6
2011,AGO,1,3,NA,19.96458333,42.09041667,NA,2.595
2011,AGO,1,4,1.91,19.29958333,40.41041667,NA,2.57
2011,AGO,1,5,5.06,19.00291667,39.00541667,NA,2.55
2011,AGO,1,6,3.66,18.48416667,39.015,NA,2.53375
2011,AGO,1,7,7.7,18.08625,38.8875,NA,2.5225
2011,AGO,1,8,20.24,18.65083333,41.93708333,NA,2.52125
2011,AGO,1,9,29.74,18.8525,42.51541667,NA,2.53625
2011,AGO,1,10,8.26,19.065,41.84,NA,2.515
2011,AGO,1,11,5.96,18.89333333,42.28083333,NA,2.5275
2011,AGO,1,12,10.1,19.17625,42.09541667,NA,2.54875
2011,AGO,1,13,7.38,19.625,43.2025,NA,2.575
2011,AGO,1,14,7.78,20.46833333,44.69875,NA,2.60125
2011,AGO,1,15,8.21,20.995,45.22625,NA,2.62625
2011,AGO,1,16,4.49,21.25,46.25291667,NA,2.5925
2011,AGO,1,17,1.43,20.89041667,45.29416667,NA,2.525
2011,AGO,1,18,1,20.59583333,45.40833333,NA,2.48
2011,AGO,1,19,NA,20.85375,44.6125,NA,2.47375
2011,AGO,1,20,1.34,20.32916667,42.98375,NA,2.46625
2011,AGO,1,21,NA,20.53625,43.02333333,NA,2.46125
2011,AGO,1,22,NA,20.49208333,42.945,NA,2.44625
2011,AGO,1,23,NA,20.3225,40.62583333,NA,2.41
2011,AGO,2,0,NA,19.88,37.55916667,NA,2.38375
2011,AGO,2,1,11.68,19.53666667,35.95833333,NA,2.37625
2011,AGO,2,2,11.05,18.79708333,33.53208333,NA,2.36
2011,AGO,2,3,2.13,18.65833333,33.09583333,NA,2.3375
2011,AGO,2,4,NA,18.82958333,33.04333333,NA,2.31125
2011,AGO,2,5,NA,18.74375,32.90666667,NA,2.2875
2011,AGO,2,6,7.42,18.84291667,34.28791667,NA,2.28375
2011,AGO,2,7,15.09,19.60791667,35.94416667,NA,2.32625
2011,AGO,2,8,11.56,19.08458333,34.085,NA,2.3525
2011,AGO,2,9,9.38,18.895,32.62958333,NA,2.37625
2011,AGO,2,10,7.19,18.68583333,33.11416667,NA,2.4275
2011,AGO,2,11,4.93,18.59958333,32.88083333,NA,2.45875
2011,AGO,2,12,4.64,18.38083333,33.51458333,NA,2.48875
2011,AGO,2,13,5.51,18.27625,32.82125,NA,2.5225
2011,AGO,2,14,4.47,18.04375,31.34583333,NA,2.54625
2011,AGO,2,15,6.65,17.73916667,30.36083333,NA,2.5375
2011,AGO,2,16,4.77,18.14458333,29.73625,NA,2.5375
2011,AGO,2,17,5.46,19.00458333,31.10125,NA,2.525
2011,AGO,2,18,4.25,19.72958333,32.8275,NA,2.5
2011,AGO,2,19,7.18,20.4425,34.54125,NA,2.49625
2011,AGO,2,20,10.46,31.56,36.78375,NA,2.5225
2011,AGO,2,21,9.5,37.92625,38.25958333,NA,2.5325
2011,AGO,2,22,NA,38.37583333,38.27541667,NA,2.525
2011,AGO,2,23,NA,38.45375,38.60833333,NA,2.50625
2011,AGO,3,0,NA,38.73666667,40.50833333,NA,2.49375
2011,AGO,3,1,15.33,39.27625,41.85416667,NA,2.52375
2011,AGO,3,2,5.23,39.58583333,42.04291667,NA,2.52875
2011,AGO,3,3,9.35,39.90916667,44.69333333,NA,2.55
2011,AGO,3,4,12.27,40.27666667,46.445,NA,2.53375
2011,AGO,3,5,11.69,41.10708333,48.13,NA,2.52375
2011,AGO,3,6,15.15,41.15458333,46.78666667,NA,2.525
2011,AGO,3,7,36.92,41.20416667,44.96833333,NA,2.6
2011,AGO,3,8,26.76,42.29416667,43.92791667,NA,2.64375
2011,AGO,3,9,17.56,43.21833333,44.96666667,NA,2.6325
2011,AGO,3,10,14.89,44.12333333,44.40208333,NA,2.64
2011,AGO,3,11,9.47,44.81375,43.96916667,NA,2.64375
2011,AGO,3,12,4.98,45.26166667,42.87791667,NA,2.65
2011,AGO,3,13,3.77,45.37875,41.81583333,NA,2.66
2011,AGO,3,14,4.69,44.75916667,41.07708333,NA,2.67875
2011,AGO,3,15,6.58,44.63791667,41.4075,NA,2.63
2011,AGO,3,16,9.14,44.36166667,41.03916667,NA,2.61875
2011,AGO,3,17,NA,43.7625,39.57041667,NA,2.605
2011,AGO,3,18,NA,43.05291667,37.78166667,NA,2.59125
2011,AGO,3,19,NA,42.5125,36.02583333,NA,2.57
2011,AGO,3,20,NA,31.81208333,34.31083333,NA,2.565
2011,AGO,3,21,4.37,26.71416667,33.10708333,NA,2.56375
2011,AGO,3,22,12.43,27.13958333,34.31166667,NA,2.56
2011,AGO,3,23,13.27,28.05583333,36.535,NA,2.5925
2011,AGO,4,0,9.82,28.50333333,37.61583333,NA,2.575
2011,AGO,4,1,9.5,28.66541667,35.81083333,NA,2.57625
2011,AGO,4,2,13.38,28.15208333,33.81083333,NA,2.57375
2011,AGO,4,3,23.96,27.97,31.19208333,NA,2.57125
2011,AGO,4,4,19.77,28.02208333,29.70166667,NA,2.55625
2011,AGO,4,5,14.07,27.7175,28.63,NA,2.5375
2011,AGO,4,6,16.43,28.02,29.42666667,NA,2.525
2011,AGO,4,7,25.89,28.05958333,29.69583333,NA,2.5675
2011,AGO,4,8,68.58,27.42666667,29.8425,NA,2.6525
2011,AGO,4,9,78.34,27.06791667,28.0625,NA,2.76875
2011,AGO,4,10,49.1,26.81083333,27.28666667,NA,2.8325
2011,AGO,4,11,23.17,26.5825,26.07833333,NA,2.8725
2011,AGO,4,12,18.32,26.46625,24.96041667,NA,2.92
2011,AGO,4,13,14.96,26.00083333,24.65791667,NA,2.97375
2011,AGO,4,14,10.48,26.32333333,24.63708333,NA,3.00875
2011,AGO,4,15,7.25,26.23166667,23.75125,NA,2.93375
2011,AGO,4,16,6.56,26.215,23.86833333,NA,2.87125
2011,AGO,4,17,7.28,26.50208333,24.93875,NA,2.79875
2011,AGO,4,18,2.76,26.88041667,25.17166667,NA,2.75875
2011,AGO,4,19,6.14,27.0025,25.48458333,NA,2.74375
2011,AGO,4,20,15.61,28.17166667,24.97416667,NA,2.76625
2011,AGO,4,21,21.49,27.18958333,24.70708333,NA,2.805
2011,AGO,4,22,21.52,26.83916667,24.03166667,NA,2.81125
2011,AGO,4,23,12.23,26.43375,22.01166667,NA,2.8175
2011,AGO,5,0,9.77,26.67583333,20.25375,NA,2.80375
2011,AGO,5,1,11.52,26.89375,20.79458333,NA,2.77125
2011,AGO,5,2,11.08,28.345,22.56708333,NA,2.75875
2011,AGO,5,3,17.66,29.67583333,26.3325,NA,2.82875
2011,AGO,5,4,16.28,30.78333333,28.46916667,NA,2.8275
2011,AGO,5,5,12.77,31.15125,29.14916667,NA,2.75125
2011,AGO,5,6,10.2,31.64041667,28.56458333,NA,2.72
2011,AGO,5,7,25.38,31.9825,30.18666667,NA,2.745
2011,AGO,5,8,12.94,32.51541667,31.75833333,NA,2.74375
2011,AGO,5,9,16.84,32.285,32.77416667,NA,2.75625
2011,AGO,5,10,13.13,31.9775,33.12125,NA,2.77375
2011,AGO,5,11,9.51,32.04875,32.94041667,NA,2.71
2011,AGO,5,12,14.05,31.90833333,33.01125,NA,2.6875
2011,AGO,5,13,12.15,32.4825,33.19041667,NA,2.715
2011,AGO,5,14,9.28,32.70375,33.35291667,NA,2.74375
2011,AGO,5,15,5.76,32.78625,33.36333333,NA,2.72625
2011,AGO,5,16,8.51,32.74875,32.85875,NA,2.75125
2011,AGO,5,17,8.24,32.56875,31.83291667,NA,2.75625
2011,AGO,5,18,5.65,32.78625,31.63166667,NA,2.75375
2011,AGO,5,19,8.3,33.295,31.35375,NA,2.76125
2011,AGO,5,20,7.03,33.37333333,31.33083333,NA,2.75625
2011,AGO,5,21,5.44,33.83833333,31.32208333,NA,2.74125
2011,AGO,5,22,7.82,33.40458333,30.77375,NA,2.72125
2011,AGO,5,23,7.61,32.98458333,30.2275,NA,2.71875
2011,AGO,6,0,9.12,32.4475,29.03291667,NA,2.70875
2011,AGO,6,1,10.21,31.8925,27.33041667,NA,2.70125
2011,AGO,6,2,16.45,30.92333333,25.45958333,NA,2.68875
2011,AGO,6,3,16.38,29.74958333,21.63458333,NA,2.655
2011,AGO,6,4,33.12,28.86666667,19.44625,NA,2.63
2011,AGO,6,5,28.61,28.71458333,18.29708333,NA,2.6175
2011,AGO,6,6,19.73,28.42958333,18.06666667,NA,2.6125
2011,AGO,6,7,47.45,28.3175,16.15541667,NA,2.61875
2011,AGO,6,8,40.62,27.79416667,14.36041667,NA,2.63625
2011,AGO,6,9,38.5,27.99875,14.02208333,NA,2.6725
2011,AGO,6,10,41.26,28.99041667,17.145,NA,2.82875
2011,AGO,6,11,27.36,30.13083333,19.82625,NA,2.9875
2011,AGO,6,12,16.9,31.1275,21.37916667,NA,3.08
2011,AGO,6,13,11.93,31.6025,22.38916667,NA,3.1275
2011,AGO,6,14,9.23,31.81583333,23.3975,NA,3.18
2011,AGO,6,15,8.36,32.64375,23.80625,NA,3.1875
2011,AGO,6,16,8.31,32.84083333,24.56125,NA,3.19125
2011,AGO,6,17,7.9,33.50708333,24.83583333,NA,3.1675
2011,AGO,6,18,16.81,34.22125,24.91333333,NA,3.06875
2011,AGO,6,19,16.63,34.29666667,25.31666667,NA,2.96625
2011,AGO,6,20,33.46,34.85916667,25.73916667,NA,2.9725
2011,AGO,6,21,48.82,36.11375,26.27875,NA,3.01875
2011,AGO,6,22,60.62,37.79333333,26.845,NA,3.07375
2011,AGO,6,23,44.3,39.04958333,27.26041667,NA,3.12375
2011,AGO,7,0,30.69,39.87666667,27.52208333,NA,3.13125
2011,AGO,7,1,33.1,40.27041667,27.9175,NA,3.165
2011,AGO,7,2,14.28,40.84583333,27.885,NA,3.1225
2011,AGO,7,3,13.71,40.83916667,27.75375,NA,3.09125
2011,AGO,7,4,7.37,40.62875,27.49083333,NA,2.99375
2011,AGO,7,5,6.25,40.19458333,27.31,NA,2.895
2011,AGO,7,6,8.6,40.20291667,27.23208333,NA,2.77625
2011,AGO,7,7,11.51,39.57,27.12875,NA,2.7
2011,AGO,7,8,11.18,39.6,26.97125,NA,2.665
2011,AGO,7,9,16.07,38.93541667,26.04083333,NA,2.63
2011,AGO,7,10,8.33,37.29875,22.23708333,NA,2.6175
2011,AGO,7,11,7.54,35.48166667,19.38583333,NA,2.6075
2011,AGO,7,12,4.97,33.8725,17.66916667,NA,2.61
2011,AGO,7,13,5.05,32.59541667,16.44625,NA,2.61625
2011,AGO,7,14,4.28,32.02083333,15.27125,NA,2.62
2011,AGO,7,15,2.83,31.06,14.8275,NA,2.6025
2011,AGO,7,16,2.51,30.42041667,14.03916667,NA,2.58125
2011,AGO,7,17,NA,29.29625,13.72666667,NA,2.5425
2011,AGO,7,18,3.11,28.34708333,13.62458333,NA,2.5325
2011,AGO,7,19,5.25,28.12375,13.28875,NA,2.53375
2011,AGO,7,20,NA,27.10208333,12.8575,NA,2.53875
2011,AGO,7,21,19.62,25.05625,12.77666667,NA,2.6
2011,AGO,7,22,11.06,23.775,12.72416667,NA,2.6225
2011,AGO,7,23,17.61,22.71166667,12.61708333,NA,2.66375
2011,AGO,8,0,12.58,22.04541667,12.4475,NA,2.68375
2011,AGO,8,1,15.03,21.49208333,12.03125,NA,2.70125
2011,AGO,8,2,22.25,21.02291667,12.07375,NA,2.70625
2011,AGO,8,3,22.86,21.18125,12.12333333,NA,2.69375
2011,AGO,8,4,19.51,21.20916667,12.18791667,NA,2.68125
2011,AGO,8,5,29.32,21.71666667,12.28416667,NA,2.62125
2011,AGO,8,6,36.05,22.01208333,12.3975,NA,2.61875
2011,AGO,8,7,75.58,22.88083333,12.51833333,NA,2.67
2011,AGO,8,8,93.17,23.44708333,12.67375,NA,2.77375
2011,AGO,8,9,73.63,24.68583333,12.90041667,NA,2.84
2011,AGO,8,10,60.62,26.065,13.23916667,NA,2.89
2011,AGO,8,11,36.13,27.64166667,13.36125,NA,2.93375
2011,AGO,8,12,14.55,28.60375,13.40041667,NA,2.97125
2011,AGO,8,13,8.2,29.02125,13.40208333,NA,2.99125
2011,AGO,8,14,4.29,29.01166667,13.38958333,NA,2.985
2011,AGO,8,15,4.53,28.97166667,13.38916667,NA,2.90875
2011,AGO,8,16,3.87,28.9925,13.38625,NA,2.79875
2011,AGO,8,17,4.36,29.09833333,13.39833333,NA,2.745
2011,AGO,8,18,3.46,29.27416667,13.39708333,NA,2.7025
2011,AGO,8,19,14.36,28.62166667,13.32166667,NA,2.7
2011,AGO,8,20,21.46,28.33333333,13.33125,NA,2.73
2011,AGO,8,21,11.03,29.24541667,12.87333333,NA,2.74625
2011,AGO,8,22,5.51,29.43583333,12.35625,NA,2.755
2011,AGO,8,23,4.29,29.45125,12.03208333,NA,2.75625
2011,AGO,9,0,10.56,29.13375,12.59583333,NA,2.75625
2011,AGO,9,1,21.26,29.53125,13.62791667,NA,2.73125
2011,AGO,9,2,64.7,29.51125,13.92041667,NA,2.72125
