DATOS MÓVILES 2011_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2011,SEP,1,0,12.74,32.46833333,40.84666667,NA,2.81375
2011,SEP,1,1,12,31.64583333,39.18,NA,2.77875
2011,SEP,1,2,12.72,31.27625,39.05375,NA,2.7375
2011,SEP,1,3,10.86,31.32416667,37.7175,NA,2.69875
2011,SEP,1,4,10.25,31.88458333,36.53333333,NA,2.64875
2011,SEP,1,5,11.13,31.57125,32.51416667,NA,2.59
2011,SEP,1,6,15.63,31.56208333,30.78458333,NA,2.55875
2011,SEP,1,7,16.21,31.69416667,30.21041667,NA,2.57125
2011,SEP,1,8,22.88,31.76875,28.48833333,NA,2.63
2011,SEP,1,9,32.56,32.07,26.55625,NA,2.695
2011,SEP,1,10,28.92,32.75291667,25.57375,NA,2.74125
2011,SEP,1,11,22.02,33.01875,24.33958333,NA,2.78125
2011,SEP,1,12,15.38,33.29125,23.20583333,NA,2.83125
2011,SEP,1,13,11.01,32.46708333,21.93625,NA,2.86
2011,SEP,1,14,10.16,31.52166667,21.60375,NA,2.86375
2011,SEP,1,15,8.74,29.86125,21.52208333,NA,2.85875
2011,SEP,1,16,9.51,34.26083333,21.405,NA,2.8275
2011,SEP,1,17,11.56,34.5175,21.18,NA,2.80375
2011,SEP,1,18,13.66,33.8875,21.10291667,NA,2.85625
2011,SEP,1,19,19.14,33.40583333,20.76166667,NA,2.8925
2011,SEP,1,20,20.28,33.12333333,20.05416667,NA,2.9
2011,SEP,1,21,19.38,32.16958333,19.88041667,NA,2.915
2011,SEP,1,22,17.93,30.77291667,19.66833333,NA,2.94
2011,SEP,1,23,17.31,29.96583333,19.60166667,NA,2.945
2011,SEP,2,0,14.06,29.68291667,19.56208333,NA,2.9225
2011,SEP,2,1,12.01,29.38041667,19.37458333,NA,2.87375
2011,SEP,2,2,12.15,28.58,17.00916667,NA,2.7725
2011,SEP,2,3,14.46,28.08416667,16.115,NA,2.69625
2011,SEP,2,4,21.02,28.2775,14.81708333,NA,2.63625
2011,SEP,2,5,19.38,28.66708333,15.1875,NA,2.58375
2011,SEP,2,6,15.72,28.21916667,15.38583333,NA,2.5525
2011,SEP,2,7,19.77,27.59041667,14.14416667,NA,2.59125
2011,SEP,2,8,29.17,26.71583333,13.90708333,NA,2.67125
2011,SEP,2,9,36.41,26.57791667,13.79833333,NA,2.7375
2011,SEP,2,10,34.99,26.82375,13.3175,NA,2.7875
2011,SEP,2,11,24.33,25.94666667,12.90333333,NA,2.84625
2011,SEP,2,12,19.34,25.815,12.80458333,NA,2.9175
2011,SEP,2,13,14.43,26.10375,12.74041667,NA,2.96
2011,SEP,2,14,9.57,26.3125,12.48583333,NA,2.9825
2011,SEP,2,15,9.07,27.00416667,12.45,NA,2.95875
2011,SEP,2,16,10.66,22.28583333,12.44541667,NA,2.9375
2011,SEP,2,17,11.08,21.87666667,12.42125,NA,2.92625
2011,SEP,2,18,12,22.85541667,12.40541667,NA,2.94875
2011,SEP,2,19,13.21,23.78875,12.36583333,NA,2.9675
2011,SEP,2,20,14.26,24.6475,12.34666667,NA,2.97625
2011,SEP,2,21,14.64,25.65083333,12.34708333,NA,3.01
2011,SEP,2,22,15.26,26.52625,12.36083333,NA,3.04375
2011,SEP,2,23,14.8,26.68083333,12.34416667,NA,3.03625
2011,SEP,3,0,12.73,27.01291667,12.345,NA,2.98375
2011,SEP,3,1,11.01,27.14166667,12.33833333,NA,2.93875
2011,SEP,3,2,9.5,26.89166667,12.38958333,NA,2.87125
2011,SEP,3,3,8.6,26.78625,13.30666667,NA,2.805
2011,SEP,3,4,8.29,25.66375,13.52916667,NA,2.73625
2011,SEP,3,5,8.94,24.53541667,13.13083333,NA,2.66875
2011,SEP,3,6,8.02,24.15041667,12.87458333,NA,2.61375
2011,SEP,3,7,9.81,23.92916667,12.81541667,NA,2.62
2011,SEP,3,8,13.55,23.79083333,12.72958333,NA,2.68375
2011,SEP,3,9,14.47,22.71291667,12.60166667,NA,2.73125
2011,SEP,3,10,16.64,21.44333333,12.55583333,NA,2.8
2011,SEP,3,11,20.44,21.13416667,12.55875,NA,2.89125
2011,SEP,3,12,24.17,20.29333333,12.5775,NA,2.98875
2011,SEP,3,13,23.51,19.82333333,12.605,NA,3.05875
2011,SEP,3,14,20.59,19.77166667,12.62666667,NA,3.11875
2011,SEP,3,15,20.01,19.10833333,12.65041667,NA,3.1425
2011,SEP,3,16,17.22,18.58458333,12.64416667,NA,3.09875
2011,SEP,3,17,16.84,18.03958333,12.64708333,NA,3.12625
2011,SEP,3,18,18.39,16.48708333,12.65916667,NA,3.15375
2011,SEP,3,19,20.33,15.575,12.66708333,NA,3.1625
2011,SEP,3,20,20.78,14.54875,12.67791667,NA,3.1575
2011,SEP,3,21,23.84,13.80541667,12.68666667,NA,3.2025
2011,SEP,3,22,25.01,13.24166667,12.69791667,NA,3.2525
2011,SEP,3,23,22.79,12.98875,12.71041667,NA,3.25875
2011,SEP,4,0,20,12.64458333,12.72916667,NA,3.26875
2011,SEP,4,1,18.5,12.83458333,12.76041667,NA,3.23
2011,SEP,4,2,19,12.95583333,12.7225,NA,3.16625
2011,SEP,4,3,19.6,12.63666667,11.78291667,NA,3.0925
2011,SEP,4,4,20.1,12.55583333,11.47541667,NA,3.02875
2011,SEP,4,5,18.9,12.40541667,11.19708333,NA,2.93375
2011,SEP,4,6,18,12.3,11.06583333,NA,2.82375
2011,SEP,4,7,17.5,12.29,10.92083333,NA,2.7875
2011,SEP,4,8,19.3,12.12875,10.86791667,NA,2.8125
2011,SEP,4,9,22.3,12.19791667,10.85833333,NA,2.8375
2011,SEP,4,10,23,12.32458333,10.81083333,NA,2.8625
2011,SEP,4,11,22,12.22541667,10.75625,NA,2.875
2011,SEP,4,12,20.2,12.12375,10.70583333,NA,2.8875
2011,SEP,4,13,18.6,12.17166667,10.65916667,NA,2.9125
2011,SEP,4,14,15,12.2625,10.60416667,NA,2.925
2011,SEP,4,15,14.9,13.32666667,10.58083333,NA,2.95
2011,SEP,4,16,13.5,12.98875,10.57541667,NA,2.9375
2011,SEP,4,17,16.3,12.91625,10.58166667,NA,2.95
2011,SEP,4,18,17.7,13.72333333,10.76291667,NA,2.975
2011,SEP,4,19,18.8,13.75708333,10.91375,NA,3.0125
2011,SEP,4,20,18.3,14.3,11.27166667,NA,3
2011,SEP,4,21,14.8,14.405,11.51583333,NA,2.9625
2011,SEP,4,22,11.2,14.6825,12.57416667,NA,2.95
2011,SEP,4,23,10.7,15.3875,14.67916667,NA,2.9
2011,SEP,5,0,11.9,16.1875,18.60416667,NA,2.875
2011,SEP,5,1,11.62,16.60791667,19.68166667,NA,2.8025
2011,SEP,5,2,11.47,16.845,21.64166667,NA,2.7275
2011,SEP,5,3,10.37,17.575,23.04458333,NA,2.635
2011,SEP,5,4,9.68,18.17208333,24.66916667,NA,2.60375
2011,SEP,5,5,10.25,18.37083333,24.95416667,NA,2.59375
2011,SEP,5,6,16.58,19.08583333,25.43375,NA,2.6125
2011,SEP,5,7,20.08,19.91833333,26.76375,NA,2.63375
2011,SEP,5,8,22.97,20.83416667,28.06625,NA,2.66375
2011,SEP,5,9,21.45,21.44375,29.54625,NA,2.7
2011,SEP,5,10,16.07,22.02875,31.205,NA,2.7375
2011,SEP,5,11,12.99,23.205,32.65666667,NA,2.7625
2011,SEP,5,12,15.01,24.67708333,34.01875,NA,2.78125
2011,SEP,5,13,11.78,25.90208333,35.52166667,NA,2.805
2011,SEP,5,14,11.72,27.095,37.41375,NA,2.8025
2011,SEP,5,15,12.43,28.2675,39.30041667,NA,2.8125
2011,SEP,5,16,9.2,31.60333333,40.83583333,NA,2.79625
2011,SEP,5,17,7.36,33.86708333,41.85541667,NA,2.76875
2011,SEP,5,18,9.23,34.97291667,43.2975,NA,2.745
2011,SEP,5,19,7.66,36.34958333,43.82666667,NA,2.7425
2011,SEP,5,20,6.12,37.13208333,43.81125,NA,2.73125
2011,SEP,5,21,8.96,38.64291667,46.21916667,NA,2.73
2011,SEP,5,22,7.34,39.53708333,45.28875,NA,2.71
2011,SEP,5,23,7.38,39.98041667,46.9,NA,2.70625
2011,SEP,6,0,8.02,41.005,45.27041667,NA,2.68375
2011,SEP,6,1,7.13,41.88458333,46.82083333,NA,2.68375
2011,SEP,6,2,7.81,43.22083333,45.69083333,NA,2.6725
2011,SEP,6,3,8.32,43.76625,45.24916667,NA,2.6575
2011,SEP,6,4,7.34,44.35333333,44.22291667,NA,2.64375
2011,SEP,6,5,7.77,45.32541667,47.47041667,NA,2.6625
2011,SEP,6,6,8.68,46.11833333,48.64083333,NA,2.655
2011,SEP,6,7,7.97,46.00041667,50.01208333,NA,2.6275
2011,SEP,6,8,9.4,46.26625,50.70666667,NA,2.6175
2011,SEP,6,9,12.23,46.80333333,50.83,NA,2.615
2011,SEP,6,10,15.89,47.32083333,52.53625,NA,2.685
2011,SEP,6,11,17.21,47.48625,53.40291667,NA,2.77625
2011,SEP,6,12,11.44,47.28291667,54.14583333,NA,2.8425
2011,SEP,6,13,12.33,46.93958333,54.26083333,NA,2.84625
2011,SEP,6,14,9.92,46.21208333,53.95166667,NA,2.87
