DATOS MÓVILES 2011_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2011,DIC,1,0,NA,46.68,38.15869565,27.62714286,3.101428571
2011,DIC,1,1,33.66,49.12,36.75043478,21.26285714,3.131428571
2011,DIC,1,2,32.26,51.35391304,35.69782609,17.62571429,3.09
2011,DIC,1,3,33.61,53.63695652,34.51695652,16.14571429,2.792857143
2011,DIC,1,4,34.68,55.30652174,33.75913043,14.80285714,2.334285714
2011,DIC,1,5,34.59,56.5126087,32.51521739,13.34714286,2.235714286
2011,DIC,1,6,34.29,57.44043478,32.45608696,12.64714286,2.188571429
2011,DIC,1,7,32.36,58.14347826,31.56347826,12.47857143,2.157142857
2011,DIC,1,8,34.6,60.25913043,31.06043478,12.495,2.26375
2011,DIC,1,9,33.23,61.50913043,31.88782609,13.0325,2.34375
2011,DIC,1,10,35.81,63.63217391,32.09956522,13.72125,2.395
2011,DIC,1,11,41.73,67.07434783,29.93,15.5425,2.43
2011,DIC,1,12,35.5,70.55478261,28.34608696,19.79125,2.455
2011,DIC,1,13,28.46,70.86434783,27.22,26.295,2.47625
2011,DIC,1,14,29.32,76.61869565,26.08347826,33.18875,2.5125
2011,DIC,1,15,29.87,81.22913043,25.17391304,40.39,2.5225
2011,DIC,1,16,31,85.26913043,24.51,47.29375,2.4325
2011,DIC,1,17,28.67,89.21826087,24.08652174,54.35875,2.35125
2011,DIC,1,18,41.22,93.56782609,23.93217391,59.07875,2.325
2011,DIC,1,19,71.95,101.2026087,23.77608696,58.11375,2.49875
2011,DIC,1,20,81.68,109.2447826,23.48695652,54.04875,2.8175
2011,DIC,1,21,79.34,118.3895652,23.7573913,48.5125,3.38625
2011,DIC,1,22,72.08,136.373913,23.65652174,43.55,4.06375
2011,DIC,1,23,59,141.4008696,22.77086957,36.255,4.31875
2011,DIC,2,0,56.35,144.0120833,22.42625,29.14375,4.46375
2011,DIC,2,1,50.18,146.8554167,21.51375,21.41125,4.55
2011,DIC,2,2,49.85,148.4254167,21.11875,16.10875,4.55
2011,DIC,2,3,48.21,150.9241667,20.59791667,16.85,4.365
2011,DIC,2,4,55,154.8645833,20.605,17.20875,4.04875
2011,DIC,2,5,49.33,157.5829167,20.14791667,18.16875,3.47875
2011,DIC,2,6,45.56,159.885,18.84291667,17.17625,2.79625
2011,DIC,2,7,45.13,162.51625,18.42208333,18.18625,2.57
2011,DIC,2,8,44,164.47375,18.42458333,19.3075,2.50875
2011,DIC,2,9,44.84,166.28625,17.69916667,19.80625,2.49125
2011,DIC,2,10,45.7,167.99875,17.83291667,20.56375,2.51
2011,DIC,2,11,44.52,167.7083333,18.04875,21.695,2.505
2011,DIC,2,12,43.16,168.4270833,18.68041667,25.63875,2.48875
2011,DIC,2,13,35.27,171.8275,18.88875,31.1975,2.475
2011,DIC,2,14,27.06,170.51875,19.00166667,39.46875,2.44875
2011,DIC,2,15,28.97,169.755,19.07166667,47.235,2.39625
2011,DIC,2,16,26.96,169.1954167,19.10458333,54.89375,2.26875
2011,DIC,2,17,28.92,167.7775,19.12083333,61.50875,2.1675
2011,DIC,2,18,41.57,166.1983333,19.16333333,65.13875,2.135
2011,DIC,2,19,65.61,163.9658333,19.22458333,62.8575,2.3075
2011,DIC,2,20,66.61,165.0104167,19.34208333,58.38125,2.675
2011,DIC,2,21,63.29,166.8379167,19.26166667,50.73,2.89375
2011,DIC,2,22,58.52,156.41375,19.02541667,41.43,3.10625
2011,DIC,2,23,49.79,152.4870833,19.22875,33.34125,3.17
2011,DIC,3,0,48.1,149.2129167,19.38166667,24.85125,3.2275
2011,DIC,3,1,35.26,145.3441667,19.295,18.36875,3.23625
2011,DIC,3,2,39.65,143.96625,19.03208333,13.73375,3.19625
2011,DIC,3,3,40.56,141.3475,18.7225,13.30875,2.975
2011,DIC,3,4,38.17,137.3408333,17.73958333,13.22875,2.5675
2011,DIC,3,5,36.61,134.5183333,17.51041667,13.36375,2.30625
2011,DIC,3,6,36.48,132.3358333,17.95125,13.21875,2.0625
2011,DIC,3,7,33.59,129.8208333,17.71583333,12.5275,1.9725
2011,DIC,3,8,33.24,127.1916667,17.57916667,12.27625,1.98875
2011,DIC,3,9,35.99,125.2458333,17.4025,12.11625,2.0225
2011,DIC,3,10,32.76,122.4095833,17.11583333,13.4675,2.0475
2011,DIC,3,11,34.86,120.9383333,16.67791667,16.65125,2.065
2011,DIC,3,12,29.48,118.7145833,16.30375,22.70375,2.0775
2011,DIC,3,13,29.78,116.535,16.09625,29.98125,2.11125
2011,DIC,3,14,28.82,114.7820833,15.925,38.4375,2.13625
2011,DIC,3,15,27.17,113.4004167,15.79958333,47.29375,2.14
2011,DIC,3,16,29.86,113.0716667,15.69916667,54.43875,2.06125
2011,DIC,3,17,29.26,112.9408333,15.60916667,59.6775,2.00875
2011,DIC,3,18,32.47,112.8475,15.49041667,62.8325,1.97125
2011,DIC,3,19,48.38,112.29625,15.31958333,61.55875,1.995
2011,DIC,3,20,49.29,107.9191667,14.99833333,55.7575,2.0725
2011,DIC,3,21,42.25,101.9533333,14.72791667,48.24375,2.16625
2011,DIC,3,22,39.39,99.52916667,14.38458333,39.63625,2.31375
2011,DIC,3,23,40.37,99.8375,14.05166667,30.54625,2.53
2011,DIC,4,0,40.04,100.5033333,13.88,23.08125,2.695
2011,DIC,4,1,38,101.1504167,13.86375,17.015,2.78625
2011,DIC,4,2,35.62,101.1308333,13.86083333,12.03375,2.86125
2011,DIC,4,3,36.95,101.30625,13.93166667,9.7875,2.8275
2011,DIC,4,4,35.01,101.52125,13.98625,9.33625,2.755
2011,DIC,4,5,32.23,102.4745833,13.7825,9.47125,2.665
2011,DIC,4,6,32.73,103.2420833,13.05458333,9.3025,2.50625
2011,DIC,4,7,28.87,103.8545833,12.90583333,9.41875,2.285
2011,DIC,4,8,31.24,103.1579167,12.69791667,9.895,2.13625
2011,DIC,4,9,32.05,102.2904167,12.37708333,10.93625,2.06875
2011,DIC,4,10,48.22,102.8920833,13.21,12.015,2.0425
2011,DIC,4,11,36.66,101.7508333,13.85083333,15.72875,2.04
2011,DIC,4,12,25.93,100.7970833,13.35791667,22.0275,2.015
2011,DIC,4,13,23.44,101.413913,13.17375,29.76625,1.98625
