DATOS MÓVILES 2013_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,JUL,1,0,9.842425062,35.67291667,25.83958333,23.6725,NA
2013,JUL,1,1,11.32242506,35.9825,25.81208333,22.07375,NA
2013,JUL,1,2,11.32242506,37.22291667,27.08291667,20.5075,NA
2013,JUL,1,3,11.31242506,38.62458333,28.60208333,19.20375,NA
2013,JUL,1,4,10.76242506,38.99333333,29.46875,18.7,NA
2013,JUL,1,5,10.15242506,39.54333333,31.09625,17.87875,NA
2013,JUL,1,6,11.89242506,40.52375,32.9875,17.0575,NA
2013,JUL,1,7,11.40242506,42.01916667,33.28416667,15.89125,NA
2013,JUL,1,8,9.792425062,42.88166667,33.915,14.73875,NA
2013,JUL,1,9,4.682425062,44.33875,36.97041667,15.78625,NA
2013,JUL,1,10,NA,45.36,39.48083333,16.90625,NA
2013,JUL,1,11,NA,46.67291667,41.77583333,18.315,NA
2013,JUL,1,12,8.182425062,47.44375,42.25083333,18.69875,NA
2013,JUL,1,13,11.99242506,48.16166667,42.82208333,19.95,NA
2013,JUL,1,14,13.82242506,48.60166667,43.13666667,21.92,NA
2013,JUL,1,15,13.50242506,48.39833333,42.77541667,24.51,NA
2013,JUL,1,16,13.32242506,48.80375,42.45541667,27.28,NA
2013,JUL,1,17,8.032425062,48.71083333,42.10458333,28.25,NA
2013,JUL,1,18,8.492425062,48.89333333,42.06666667,28.71875,NA
2013,JUL,1,19,13.59242506,48.75291667,41.23583333,28.9275,NA
2013,JUL,1,20,15.60242506,49.29125,40.50541667,29.12875,NA
2013,JUL,1,21,14.97242506,50.26333333,40.27583333,28.2425,NA
2013,JUL,1,22,14.23242506,49.83083333,39.33291667,27.09375,NA
2013,JUL,1,23,12.25242506,49.63125,38.46625,25.435,NA
2013,JUL,2,0,7.172425062,49.195,37.18,23.8425,NA
2013,JUL,2,1,7.172425062,48.45583333,36.04375,21.8075,NA
2013,JUL,2,2,5.712425062,47.77958333,34.645,20.285,NA
2013,JUL,2,3,6.772425062,47.31083333,33.615,18.98375,NA
2013,JUL,2,4,7.852425062,47.58375,32.82875,18.2175,NA
2013,JUL,2,5,7.342425062,47.60041667,31.64541667,17.795,NA
2013,JUL,2,6,10.90242506,47.35916667,31.06125,17.255,NA
2013,JUL,2,7,12.08242506,47.28208333,30.99583333,16.6075,NA
2013,JUL,2,8,10.86242506,47.98958333,30.67125,15.52,NA
2013,JUL,2,9,6.382425062,48.45083333,29.7175,15.015,NA
2013,JUL,2,10,NA,49.04083333,30.34708333,14.98375,NA
2013,JUL,2,11,1.922425062,47.96375,28.805,15.26,NA
2013,JUL,2,12,2.522425062,47.95458333,29.15916667,16.31125,NA
2013,JUL,2,13,7.882425062,47.80458333,28.80583333,17.4825,NA
2013,JUL,2,14,8.832425062,47.54333333,28.57333333,19.0475,NA
2013,JUL,2,15,6.422425062,47.9375,28.76208333,21.105,NA
2013,JUL,2,16,7.052425062,47.99583333,28.92458333,23.3375,NA
2013,JUL,2,17,7.332425062,48.49625,29.24708333,25.07625,NA
2013,JUL,2,18,8.722425062,48.69375,29.10375,26.07125,NA
2013,JUL,2,19,11.03242506,49.61166667,29.4675,26.79375,NA
2013,JUL,2,20,13.46242506,49.3375,29.54541667,26.8075,NA
2013,JUL,2,21,11.81242506,49.11708333,29.60458333,26.26875,NA
2013,JUL,2,22,10.65242506,49.31833333,29.67291667,25.4,NA
2013,JUL,2,23,9.062425062,50.22708333,30.27,24.03625,NA
2013,JUL,3,0,7.242425062,52.94791667,31.23458333,22.43125,NA
2013,JUL,3,1,6.252425062,53.91625,31.89708333,21.47125,NA
2013,JUL,3,2,7.862425062,53.78375,32.06291667,21.11625,NA
2013,JUL,3,3,7.922425062,53.38208333,31.66916667,20.59,NA
2013,JUL,3,4,8.732425062,52.79416667,31.485,20.2025,NA
2013,JUL,3,5,8.872425062,52.58,31.38583333,20.1325,NA
2013,JUL,3,6,9.702425062,51.38791667,29.80583333,20.12875,NA
2013,JUL,3,7,12.41242506,50.57208333,29.75708333,19.92875,NA
2013,JUL,3,8,13.59242506,49.08666667,29.77375,20.13625,NA
2013,JUL,3,9,4.882425062,47.64875,28.32916667,20.255,NA
2013,JUL,3,10,7.342425062,45.58833333,25.04916667,20.29,NA
2013,JUL,3,11,11.37242506,46.33958333,24.70291667,20.215,NA
2013,JUL,3,12,10.25242506,46.075,24.31541667,20.54625,NA
2013,JUL,3,13,9.772425062,45.94333333,24.31833333,21.23375,NA
2013,JUL,3,14,7.122425062,46.00958333,24.70125,21.6025,NA
2013,JUL,3,15,9.092425062,46.35125,25.17833333,22.78125,NA
2013,JUL,3,16,9.552425062,46.32583333,25.43208333,23.86,NA
2013,JUL,3,17,11.88242506,45.88833333,25.42416667,24.4725,NA
2013,JUL,3,18,12.61242506,45.48291667,25.48875,24.8675,NA
2013,JUL,3,19,12.67242506,45.88291667,25.27708333,24.57,NA
2013,JUL,3,20,13.98242506,44.53041667,25.42125,23.23,NA
2013,JUL,3,21,13.17242506,44.415,25.50833333,22.04875,NA
2013,JUL,3,22,3.212425062,43.94083333,25.56458333,21.6025,NA
2013,JUL,3,23,5.112425062,42.15083333,25.0375,20.76,NA
2013,JUL,4,0,8.602425062,39.00458333,24.11458333,20.06,NA
2013,JUL,4,1,9.362425062,37.90125,23.34333333,19.46375,NA
2013,JUL,4,2,8.142425062,37.32333333,22.98125,19.1025,NA
2013,JUL,4,3,8.952425062,36.93208333,22.84625,19.3375,NA
2013,JUL,4,4,10.64242506,36.68708333,22.59583333,19.56375,NA
2013,JUL,4,5,12.18242506,36.06291667,22.17375,19.4225,NA
2013,JUL,4,6,12.23242506,35.69791667,22.07625,19.05375,NA
2013,JUL,4,7,14.55242506,34.33708333,21.24833333,18.315,NA
2013,JUL,4,8,16.31242506,33.32583333,20.60416667,17.26,NA
2013,JUL,4,9,11.80242506,32.70208333,19.63208333,16.15125,NA
2013,JUL,4,10,12.16242506,33.79166667,19.32041667,14.94,NA
2013,JUL,4,11,11.81242506,33.5625,18.82041667,14.58875,NA
2013,JUL,4,12,3.662425062,35.10416667,18.93666667,15.3825,NA
2013,JUL,4,13,9.392425062,35.97166667,18.79833333,16.67875,NA
2013,JUL,4,14,9.202425062,36.9925,18.76166667,18.22,NA
2013,JUL,4,15,7.182425062,37.73916667,18.95291667,20.5325,NA
