DATOS MÓVILES 2013_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,NOV,1,0,11.06,48.55458333,11.9425,9.68875,1
2013,NOV,1,1,10.01,48.98458333,11.95458333,7.27125,1.04375
2013,NOV,1,2,9.51,49.10416667,11.96666667,5.6825,1.05625
2013,NOV,1,3,9.36,49.21125,11.98375,5.57,0.9975
2013,NOV,1,4,8.72,49.53,12.00875,5.7175,0.8725
2013,NOV,1,5,9.04,50.00166667,12.0275,5.8375,0.71875
2013,NOV,1,6,8.83,50.16666667,12.04458333,6.08125,0.575
2013,NOV,1,7,8.74,50.4875,12.05875,6.24375,0.4675
2013,NOV,1,8,9.83,51.57708333,12.08291667,6.2725,0.4125
2013,NOV,1,9,8.3,52.43166667,12.13958333,6.2375,0.64
2013,NOV,1,10,9.76,52.29666667,12.18458333,7.04625,0.8125
2013,NOV,1,11,10.27,52.28083333,12.19291667,8.67875,0.91375
2013,NOV,1,12,10.04,52.27875,12.20833333,11.34625,0.975
2013,NOV,1,13,8.91,52.49833333,12.23708333,14.965,1.00875
2013,NOV,1,14,8.85,53.17333333,12.33333333,20.07125,1.03875
2013,NOV,1,15,9.41,54.30166667,12.43083333,24.83375,1.07
2013,NOV,1,16,10.26,54.82375,12.48916667,28.2325,1.0775
2013,NOV,1,17,10.3,55.05916667,12.50916667,31.44125,0.82
2013,NOV,1,18,11.65,54.46666667,12.49083333,33.09875,0.63625
2013,NOV,1,19,17.9,54.56166667,12.47708333,31.79375,0.585
2013,NOV,1,20,13.85,53.64708333,12.44041667,29.5025,0.61375
2013,NOV,1,21,14.85,52.8125,12.41208333,25.94,0.69375
2013,NOV,1,22,13.14,51.55666667,12.38041667,20.9575,0.77375
2013,NOV,1,23,14.11,52.81208333,12.37291667,16.06125,0.86875
2013,NOV,2,0,13.1,53.69625,12.37958333,12.59375,0.95875
2013,NOV,2,1,13.24,55.05541667,12.43333333,9.44,1.04375
2013,NOV,2,2,12.53,57.08583333,12.50375,6.92125,1.13
2013,NOV,2,3,11.11,57.92666667,12.555,6.4125,1.155
2013,NOV,2,4,10.96,58.71166667,12.61166667,5.925,1.13875
2013,NOV,2,5,9.96,58.67583333,12.63333333,6.3425,1.085
2013,NOV,2,6,7.77,58.06041667,12.67125,7.56625,1.0225
2013,NOV,2,7,7.22,57.09375,12.75958333,9.20875,0.93125
2013,NOV,2,8,7.46,54.3475,12.76791667,10.89375,0.8375
2013,NOV,2,9,7.4,51.97875,12.86416667,12.78625,0.76375
2013,NOV,2,10,7.01,51.28541667,13.52666667,15.16625,0.695
2013,NOV,2,11,5.91,50.91541667,14.11291667,17.99625,0.63375
2013,NOV,2,12,5.03,50.7125,14.51125,21.3875,0.5875
2013,NOV,2,13,6.19,50.49875,14.85875,24.375,0.58625
2013,NOV,2,14,5.67,49.58958333,15.22875,26.63875,0.62625
2013,NOV,2,15,5.76,48.40083333,15.63916667,28.4575,0.6625
2013,NOV,2,16,5.59,47.68083333,16.32333333,30.3925,0.715
2013,NOV,2,17,5.47,48.11041667,16.99333333,31.41125,0.73625
2013,NOV,2,18,6.57,48.39875,17.90041667,31.20125,0.71125
2013,NOV,2,19,12.1,46.51375,18.65125,30.49625,0.68125
2013,NOV,2,20,5.17,44.0925,19.50541667,29.65375,0.64125
2013,NOV,2,21,6.31,42.19833333,20.93166667,28.43,0.64375
2013,NOV,2,22,8.36,41.61375,22.51041667,26.465,0.785
2013,NOV,2,23,9.16,40.1475,24.20541667,24.705,1.07125
2013,NOV,3,0,8.52,38.91541667,25.6775,23.1375,1.38125
2013,NOV,3,1,8.27,37.31791667,27.02708333,22.205,1.6475
2013,NOV,3,2,4.75,34.86791667,28.88,23.12875,1.85375
2013,NOV,3,3,4.36,33.61458333,30.55333333,24.26,1.98625
2013,NOV,3,4,5.32,32.50875,31.37666667,24.35125,2.06
2013,NOV,3,5,7.38,32.40916667,32.265,24.075,2.0375
2013,NOV,3,6,7.87,33.09666667,33.18166667,24.12375,1.835
2013,NOV,3,7,8.6,34.05541667,34.09583333,23.82125,1.49
2013,NOV,3,8,5.7,35.20958333,34.93916667,23.91,1.10375
2013,NOV,3,9,6.11,36.35375,35.85916667,24.26125,0.77875
2013,NOV,3,10,5.78,36.94041667,35.97666667,23.68375,0.555
2013,NOV,3,11,7.21,38.09416667,36.31375,22.89625,0.4175
2013,NOV,3,12,7.54,38.83625,36.12166667,23.4675,0.35
2013,NOV,3,13,8.14,39.25166667,35.88208333,25.00625,0.32
2013,NOV,3,14,8.46,39.84208333,35.53041667,26.91875,0.31375
2013,NOV,3,15,7.33,40.19083333,35.12708333,29.1675,0.325
2013,NOV,3,16,7.32,40.35416667,34.50375,30.6125,0.34125
2013,NOV,3,17,7.55,39.45833333,33.87875,31.97875,0.36
2013,NOV,3,18,9.41,38.63541667,33.01708333,32.2125,0.37875
2013,NOV,3,19,13.65,38.38291667,32.3,31.0225,0.41125
2013,NOV,3,20,16.33,39.78625,31.49791667,28.5425,0.46125
2013,NOV,3,21,17.35,41.11416667,30.14,25.29,0.53375
2013,NOV,3,22,12.47,41.64416667,28.62125,22.17875,0.595
2013,NOV,3,23,10.64,41.24916667,26.96083333,19.10375,0.63375
2013,NOV,4,0,9.92,40.89625,25.50833333,16.295,0.65625
2013,NOV,4,1,8.95,40.53458333,24.125,13.52125,0.66125
2013,NOV,4,2,10.52,40.80375,22.19416667,10.8225,0.65875
2013,NOV,4,3,11.16,41.30625,20.45708333,9.70125,0.63625
2013,NOV,4,4,8.8,41.10666667,19.55666667,9.925,0.585
2013,NOV,4,5,9.71,40.86166667,18.62458333,10.1675,0.4975
2013,NOV,4,6,9.5,40.7125,17.65083333,9.9825,0.41625
2013,NOV,4,7,10.26,40.71125,16.63416667,9.4375,0.35375
2013,NOV,4,8,10.17,41.71958333,15.78,8.72,0.36875
2013,NOV,4,9,8.25,42.23166667,14.72916667,7.94875,0.5
2013,NOV,4,10,11.34,42.73416667,13.89708333,8.31375,0.595
2013,NOV,4,11,9.54,41.76541667,12.95625,9.895,0.67
2013,NOV,4,12,8.89,41.18333333,12.73375,11.35875,0.72125
2013,NOV,4,13,8.14,40.38666667,12.59208333,13.2825,0.75625
2013,NOV,4,14,7.69,39.63041667,12.47333333,15.25625,0.78125
2013,NOV,4,15,8.92,39.27875,12.36375,17.1575,0.80875
2013,NOV,4,16,9.57,39.10375,12.2675,19.21875,0.77625
2013,NOV,4,17,9.56,38.99,12.19458333,20.96875,0.645
