DATOS MÓVILES 2014_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,ABR,1,0,13.77,60.93166667,11.8275,12.1725,0.6925
2014,ABR,1,1,12.67,59.94208333,11.655,9.36375,0.80875
2014,ABR,1,2,11.82,60.965,11.68625,6.81375,0.9075
2014,ABR,1,3,12.31,61.90583333,11.835,4.9725,0.97875
2014,ABR,1,4,11.58,62.65916667,12.03958333,4.3075,1.0075
2014,ABR,1,5,10.81,62.935,12.25916667,4.2475,0.94875
2014,ABR,1,6,9.59,63.09375,12.43833333,4.2325,0.8325
2014,ABR,1,7,9.37,63.12583333,12.61416667,4.22875,0.71625
2014,ABR,1,8,9.8,62.29208333,12.77583333,4.22875,0.655
2014,ABR,1,9,11.04,62.15833333,12.89875,4.5525,0.6575
2014,ABR,1,10,9.26,61.06791667,12.89875,5.99375,0.6825
2014,ABR,1,11,7.37,61.78833333,13.21541667,7.97625,0.69375
2014,ABR,1,12,5.25,63.45041667,13.10375,11.02875,0.68
2014,ABR,1,13,4.42,64.47583333,13.19541667,14.08875,0.6725
2014,ABR,1,14,3.97,65.62583333,13.28083333,17.1125,0.6625
2014,ABR,1,15,4.28,66.54541667,13.385,20.2,0.65125
2014,ABR,1,16,5.15,67.1225,13.57541667,23.4075,0.61375
2014,ABR,1,17,6.14,68.55782609,13.8825,25.90875,0.53625
2014,ABR,1,18,7.08,68.58478261,14.23166667,27.0375,0.4525
2014,ABR,1,19,9.06,69.34304348,14.6125,27.405,0.4025
2014,ABR,1,20,8.38,69.48956522,15.10791667,25.88,0.3925
2014,ABR,1,21,8,68.87695652,15.535,24.265,0.3925
2014,ABR,1,22,5.05,65.65,15.87375,23.14625,0.3875
2014,ABR,1,23,4.18,63.45043478,16.30958333,22.08,0.36125
2014,ABR,2,0,5.13,62.31217391,16.68625,20.78,0.32625
2014,ABR,2,1,3.97,61.63913043,16.96333333,20.18,0.29
2014,ABR,2,2,3.97,59.81695652,16.64458333,19.4575,0.25
2014,ABR,2,3,5.49,58.07565217,16.32791667,18.50625,0.205
2014,ABR,2,4,3.97,56.52304348,15.99083333,18.43875,0.1525
2014,ABR,2,5,4.42,55.4326087,15.6825,17.9175,0.09375
2014,ABR,2,6,5.89,55.12347826,15.44666667,16.5075,0.0525
2014,ABR,2,7,7.8,55.05478261,15.27083333,14.49875,0.03375
2014,ABR,2,8,9.03,55.7826087,15.10375,12.59125,0.0675
2014,ABR,2,9,9.63,56.28217391,15.16,10.3875,0.14875
2014,ABR,2,10,7.44,55.79043478,15.42041667,9.53,0.235
2014,ABR,2,11,5.57,55.22304348,15.26708333,10.22125,0.2975
2014,ABR,2,12,4.41,54.48956522,15.28875,11.185,0.34375
2014,ABR,2,13,3.97,53.45565217,15.1,12.67125,0.3775
2014,ABR,2,14,4.59,53.05652174,14.93416667,15.0575,0.41
2014,ABR,2,15,5.96,52.30565217,14.71541667,17.7875,0.43625
2014,ABR,2,16,6.63,52.03086957,14.42208333,20.53875,0.41875
2014,ABR,2,17,6.4,50.98375,14.02291667,23.36125,0.3525
2014,ABR,2,18,8.48,50.97708333,13.55833333,24.88625,0.28625
2014,ABR,2,19,10.62,49.79916667,13.055,24.7825,0.2525
2014,ABR,2,20,13.51,50.66,12.47375,23.43625,0.25875
2014,ABR,2,21,12.62,50.27125,11.9225,21.66625,0.29625
2014,ABR,2,22,10.84,50.14166667,11.32916667,21.36,0.33125
2014,ABR,2,23,10.02,49.32291667,10.59541667,19.36,0.355
2014,ABR,3,0,8.71,50.01541667,9.935833333,17.31625,0.3675
2014,ABR,3,1,7.78,51.26833333,9.47,15.335,0.37625
2014,ABR,3,2,7.02,52.01,9.37,13.825,0.375
2014,ABR,3,3,6.77,52.99708333,9.2525,12.56375,0.35375
2014,ABR,3,4,9.03,53.63083333,9.24,11.62625,0.305
2014,ABR,3,5,9.09,53.99208333,9.229166667,10.93375,0.23375
2014,ABR,3,6,8.26,54.46,9.212083333,8.4525,0.16625
2014,ABR,3,7,8.73,55.00041667,9.227916667,7.71125,0.12375
2014,ABR,3,8,9.91,55.41791667,9.621666667,7.04375,0.155
2014,ABR,3,9,8.08,54.21291667,9.954583333,6.31625,0.21
2014,ABR,3,10,5.78,53.69791667,9.90625,6.4625,0.2575
2014,ABR,3,11,5.09,52.66458333,9.909583333,7.445,0.2875
2014,ABR,3,12,3.97,52.54833333,9.932916667,9.27375,0.305
2014,ABR,3,13,3.97,52.53666667,9.995833333,11.515,0.3175
2014,ABR,3,14,3.97,52.55458333,10.12125,13.71875,0.3325
2014,ABR,3,15,4.45,52.66208333,10.26541667,16.325,0.34375
2014,ABR,3,16,4.17,52.7025,10.40833333,19.07125,0.29
2014,ABR,3,17,4.59,53.08333333,10.5325,21.60875,0.2125
2014,ABR,3,18,7.68,53.21541667,10.63958333,22.87125,0.14875
2014,ABR,3,19,9.77,54.09958333,10.72166667,22.975,0.1175
2014,ABR,3,20,13.74,54.20208333,10.795,21.37125,0.13625
2014,ABR,3,21,13.91,54.49541667,10.87666667,19.4,0.19375
2014,ABR,3,22,12.77,55.69583333,10.95333333,17.1825,0.25625
2014,ABR,3,23,12.62,55.77,11.115,14.70875,0.37125
2014,ABR,4,0,11.35,55.22083333,11.24791667,12.91,0.445
2014,ABR,4,1,11.51,55.87083333,11.32958333,10.48375,0.49625
2014,ABR,4,2,7.8,56.19041667,11.37875,8.99875,0.5275
