DATOS MÓVILES 2014_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,MAY,1,0,4.77,74.93333333,36.735,13.61625,0.1775
2014,MAY,1,1,6.18,74.49541667,41.72208333,12.4925,0.22875
2014,MAY,1,2,7.57,74.15541667,46.27083333,10.9925,0.38
2014,MAY,1,3,7.4,73.15083333,50.28541667,10.30875,0.585
2014,MAY,1,4,5.84,71.9375,52.87583333,10.1275,0.73125
2014,MAY,1,5,4.43,71.58916667,54.40375,9.945,0.8025
2014,MAY,1,6,5.09,70.59708333,55.28333333,9.63,0.855
2014,MAY,1,7,5.49,68.8375,55.98041667,9.02,0.895
2014,MAY,1,8,6.41,60.25916667,56.68166667,8.27,0.92125
2014,MAY,1,9,5.95,57.78875,55.94291667,8.76125,0.875
2014,MAY,1,10,6.33,56.49708333,54.93041667,9.85875,0.72625
2014,MAY,1,11,6.02,55.17583333,53.74291667,11.91875,0.51625
2014,MAY,1,12,4.82,56.71583333,52.93833333,14.52625,0.36125
2014,MAY,1,13,4.58,55.47166667,52.6725,16.13125,0.29
2014,MAY,1,14,3.97,54.89333333,52.4075,18.0775,0.25875
2014,MAY,1,15,3.97,55.42166667,52.14666667,19.92375,0.2325
2014,MAY,1,16,5.41,55.58125,51.89416667,21.67125,0.2025
2014,MAY,1,17,5.71,55.2625,51.62125,22.31375,0.175
2014,MAY,1,18,6.42,54.87375,51.32083333,22.15375,0.15
2014,MAY,1,19,7.94,54.40666667,50.95333333,20.8675,0.13
2014,MAY,1,20,10.56,54.34458333,50.6,18.3475,0.11625
2014,MAY,1,21,10.48,49.72916667,47.39458333,16.6725,0.12375
2014,MAY,1,22,6.6,48.46833333,43.52916667,15.38,0.1275
2014,MAY,1,23,6.21,47.92916667,38.57083333,14.1725,0.125
2014,MAY,2,0,7.44,48.06125,33.68,12.71375,0.125
2014,MAY,2,1,6.36,47.68583333,28.6325,11.65625,0.125
2014,MAY,2,2,5.62,47.1725,24.09125,11.60625,0.12875
2014,MAY,2,3,5.2,46.92666667,19.51208333,11.84375,0.13625
2014,MAY,2,4,6.54,46.90458333,16.69083333,12.19,0.13625
2014,MAY,2,5,8.02,47.24708333,15.10458333,11.95125,0.12625
2014,MAY,2,6,7.44,47.63625,14.06208333,11.715,0.12625
2014,MAY,2,7,10.46,48.445,13.17791667,10.75375,0.1625
2014,MAY,2,8,9.83,49.70833333,11.83458333,10.1875,0.225
2014,MAY,2,9,7.99,49.10833333,8.989166667,9.84375,0.29375
2014,MAY,2,10,6.74,47.88291667,6.767916667,9.28,0.35375
2014,MAY,2,11,7.14,47.18416667,6.120416667,8.64875,0.4175
2014,MAY,2,12,7.99,44.41083333,6.05,8.93875,0.47375
2014,MAY,2,13,6.71,44.37041667,6.05,9.9875,0.50875
2014,MAY,2,14,4.91,44.87458333,6.05,10.65625,0.51625
2014,MAY,2,15,7.08,44.8875,6.05,12.13875,0.5025
2014,MAY,2,16,8,45.01125,6.0725,13.06625,0.46875
2014,MAY,2,17,8.44,45.32,6.129166667,13.32,0.435
2014,MAY,2,18,7.92,45.78458333,6.215416667,12.995,0.40625
2014,MAY,2,19,6.01,49.17208333,6.251666667,13.0125,0.345
2014,MAY,2,20,9.37,49.7925,6.297916667,12.10875,0.30875
2014,MAY,2,21,7.4,52.0025,6.32375,11.3825,0.2925
2014,MAY,2,22,5.16,51.02041667,6.302083333,10.86125,0.27
2014,MAY,2,23,9.43,50.6475,6.682083333,9.3875,0.2575
2014,MAY,3,0,9.95,50.46166667,7.285,8.56875,0.24125
2014,MAY,3,1,8.65,50.9925,8.6275,7.78,0.20375
2014,MAY,3,2,7.47,51.63791667,10.61375,7.2925,0.16625
2014,MAY,3,3,9.02,51.55,13.57916667,6.33875,0.14875
2014,MAY,3,4,6.72,50.90416667,14.57625,6.16,0.1175
