DATOS MÓVILES 2014_CRUZ ROJA,,,,,,,,
,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,JUN,1,0,6.53,22.04913043,8.82875,13.72,0.09375
2014,JUN,1,1,7.25,22.65826087,10.92625,12.48875,0.09875
2014,JUN,1,2,8.88,23.1126087,13.41541667,10.87,0.115
2014,JUN,1,3,7.74,23.44652174,14.72541667,9.2025,0.13375
2014,JUN,1,4,6.74,23.66956522,15.41833333,8.12375,0.16
2014,JUN,1,5,5.8,23.6173913,16.64625,7.67,0.175
2014,JUN,1,6,6.35,23.53826087,16.615,6.83,0.18625
2014,JUN,1,7,5.75,23.55173913,16.39166667,6.6125,0.1975
2014,JUN,1,8,7.23,24.06782609,16.47,6.06125,0.21875
2014,JUN,1,9,5.9,24.1273913,17.26333333,7.115,0.2475
2014,JUN,1,10,3.97,23.98695652,17.44916667,9.09,0.26375
2014,JUN,1,11,3.97,24.07956522,17.92625,11.27625,0.27375
2014,JUN,1,12,4.79,24.49782609,18.5875,13.4575,0.26875
2014,JUN,1,13,5.11,24.50291667,19.02375,15.48125,0.26625
2014,JUN,1,14,5.51,25.02416667,19.80458333,17.9425,0.2675
2014,JUN,1,15,5.8,25.16625,20.83791667,19.965,0.2725
2014,JUN,1,16,5.39,25.38708333,20.92875,22.1075,0.26
2014,JUN,1,17,5.75,25.29166667,21.02333333,22.98375,0.22875
2014,JUN,1,18,5.86,25.19666667,21.09375,23.3925,0.1925
2014,JUN,1,19,6.82,25.4825,21.1675,23.60625,0.15875
2014,JUN,1,20,7.41,26.02125,21.22916667,23.145,0.13125
2014,JUN,1,21,5.51,26.15541667,21.33375,22.20125,0.1075
2014,JUN,1,22,7.75,25.68833333,21.74,21.04875,0.08375
2014,JUN,1,23,9.05,25.57,23.35708333,19.8375,0.06625
2014,JUN,2,0,8.17,25.74208333,26.82458333,18.615,0.0725
2014,JUN,2,1,7.82,25.68791667,31.53458333,17.1825,0.0875
2014,JUN,2,2,9.6,25.70666667,32.52916667,15.35875,0.155
2014,JUN,2,3,7.06,25.85041667,34.23625,14.20625,0.2325
2014,JUN,2,4,6.17,25.91583333,36.01333333,13.68375,0.29375
2014,JUN,2,5,7.05,26.295,36.74375,13.19875,0.37625
2014,JUN,2,6,8.44,26.74625,37.8175,12.31625,0.45125
