DATOS MÓVILES 2015_ CRUZ ROJA,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,MO3,MSO2,MCO,MNO2,MPM10
2015,DIC,1,0,23.42458333,49.7675,1.579166667,18.60833333,87.35833333
2015,DIC,1,1,23.52333333,47.97,1.59,18.67333333,88.46375
2015,DIC,1,2,23.22041667,46.86,1.609583333,18.50916667,89.36916667
2015,DIC,1,3,22.94458333,45.59708333,1.62875,18.59541667,91.78458333
2015,DIC,1,4,22.52958333,44.55208333,1.640416667,18.70958333,94.37
2015,DIC,1,5,22.07291667,43.47458333,1.645833333,18.82875,96.16375
2015,DIC,1,6,21.81083333,42.09791667,1.657916667,18.96666667,97.095
2015,DIC,1,7,21.68708333,40.60875,1.674583333,19.04666667,97.92666667
2015,DIC,1,8,21.60833333,39.85333333,1.689583333,19.19,98.93458333
2015,DIC,1,9,21.45833333,38.72208333,1.705,19.20791667,100.1770833
2015,DIC,1,10,21.20708333,37.30625,1.7175,19.34166667,101.05875
2015,DIC,1,11,21.47416667,35.42125,1.733333333,19.32791667,101.76125
2015,DIC,1,12,21.83,33.2325,1.747083333,19.37333333,102.1204167
2015,DIC,1,13,22.03416667,32.16208333,1.765,19.35666667,102.5791667
2015,DIC,1,14,22.24291667,30.41541667,1.774166667,19.41958333,102.9791667
2015,DIC,1,15,21.92083333,27.09416667,1.779166667,19.19083333,102.3629167
2015,DIC,1,16,21.58083333,24.63708333,1.79,19.0825,100.3566667
2015,DIC,1,17,21.59125,24.06041667,1.79,19.03958333,98.41375
2015,DIC,1,18,21.9725,23.77833333,1.775833333,18.97041667,98.03208333
2015,DIC,1,19,22.18291667,23.55041667,1.711666667,18.96333333,97.70458333
2015,DIC,1,20,22.28291667,23.24,1.555833333,18.97916667,96.24166667
2015,DIC,1,21,22.50416667,22.8575,1.515416667,18.93375,93.36375
2015,DIC,1,22,22.635,22.53166667,1.48375,18.885,89.88875
2015,DIC,1,23,22.86625,22.18,1.492916667,18.88833333,86.61125
2015,DIC,2,0,22.7075,21.96583333,1.550416667,19.12,86.30333333
2015,DIC,2,1,22.4475,21.79958333,1.577916667,19.36541667,86.87708333
2015,DIC,2,2,22.46541667,21.695,1.585,19.69666667,88.535
2015,DIC,2,3,22.46833333,21.64375,1.587083333,19.79625,89.38
2015,DIC,2,4,22.46958333,21.54083333,1.586666667,19.83666667,89.05833333
2015,DIC,2,5,22.505,21.38916667,1.59,19.9425,89.11125
2015,DIC,2,6,22.56708333,21.20958333,1.59625,19.96875,89.49375
2015,DIC,2,7,22.54958333,20.89916667,1.60875,20.0425,90.07458333
2015,DIC,2,8,22.5425,20.64083333,1.649583333,20.10083333,91.72208333
2015,DIC,2,9,22.54083333,20.16166667,1.667083333,20.35666667,93.82916667
2015,DIC,2,10,22.62625,20.04958333,1.7,20.77708333,96.24791667
2015,DIC,2,11,22.8275,19.98291667,1.702083333,21.08875,98.2
2015,DIC,2,12,23.13791667,19.88458333,1.699583333,21.1625,98.41083333
2015,DIC,2,13,23.22708333,19.78125,1.692916667,21.0925,98.22583333
2015,DIC,2,14,23.14875,19.70125,1.692083333,21.04666667,98.37916667
2015,DIC,2,15,23.32833333,19.6075,1.68,21.04583333,98.41916667
2015,DIC,2,16,23.27291667,19.51041667,1.671666667,20.93958333,98.26583333
2015,DIC,2,17,23.32,19.41458333,1.665,20.94625,98.11541667
2015,DIC,2,18,23.38291667,19.34958333,1.666666667,20.87791667,97.94208333
2015,DIC,2,19,23.21333333,19.325,1.68125,20.805,97.71416667
2015,DIC,2,20,23.41541667,19.58625,1.649583333,20.54833333,97.84333333
2015,DIC,2,21,23.93166667,20.62416667,1.62125,20.33458333,97.92541667
2015,DIC,2,22,24.42583333,21.375,1.56375,19.98208333,96.35125
2015,DIC,2,23,24.71708333,23.23208333,1.5275,19.64333333,94.39458333
2015,DIC,3,0,25.28375,24.83583333,1.45875,19.16416667,92.0575
2015,DIC,3,1,25.86666667,25.77083333,1.424583333,18.6475,89.28041667
2015,DIC,3,2,26.395,26.53875,1.402083333,18.33125,85.72625
2015,DIC,3,3,26.81416667,27.9675,1.38375,17.98708333,82.3125
2015,DIC,3,4,27.36333333,29.02375,1.371666667,17.78,79.99083333
2015,DIC,3,5,27.9475,29.87,1.35875,17.6125,77.73541667
2015,DIC,3,6,28.5,30.6325,1.34125,17.37291667,75.75083333
2015,DIC,3,7,29.03416667,31.71583333,1.307916667,17.22125,73.50583333
2015,DIC,3,8,29.63541667,32.62625,1.235416667,17.04916667,70.18666667
2015,DIC,3,9,30.01041667,33.61916667,1.194166667,16.89583333,66.00666667
2015,DIC,3,10,30.31125,34.41583333,1.142083333,16.37375,61.8525
2015,DIC,3,11,29.85958333,35.70375,1.122916667,15.96416667,58.13
2015,DIC,3,12,29.00875,36.6475,1.10875,15.60583333,56.39333333
2015,DIC,3,13,28.23458333,37.41708333,1.095833333,15.44208333,55.18291667
2015,DIC,3,14,27.52083333,38.06625,1.087083333,15.24333333,54.11833333
2015,DIC,3,15,26.76166667,39.11541667,1.0825,15.0825,53.77083333
2015,DIC,3,16,26.36875,39.33916667,1.07375,15.00375,54.44208333
2015,DIC,3,17,25.665,39.46875,1.066666667,14.92708333,54.41041667
2015,DIC,3,18,25.14083333,39.58083333,1.04375,14.78041667,53.90458333
2015,DIC,3,19,26.0775,39.80333333,0.960416667,14.44208333,52.90041667
2015,DIC,3,20,26.75208333,39.66666667,0.917916667,14.17208333,49.74458333
2015,DIC,3,21,26.69833333,39.4925,0.906666667,14.11083333,46.11291667
2015,DIC,3,22,26.89291667,39.34333333,0.898333333,14.12583333,44.78041667
2015,DIC,3,23,27.045,38.18083333,0.890833333,14.18416667,43.95541667
2015,DIC,4,0,27.00375,37.59708333,0.882916667,14.32708333,43.90375
2015,DIC,4,1,27.07416667,37.67583333,0.874166667,14.50791667,44.58083333
2015,DIC,4,2,27.37958333,37.95125,0.865833333,14.525,45.01
2015,DIC,4,3,27.61375,37.61375,0.858333333,14.65333333,45.15291667
2015,DIC,4,4,27.68583333,38.08375,0.852083333,14.83708333,44.9725
2015,DIC,4,5,27.82041667,38.49791667,0.845833333,14.92166667,45.175
2015,DIC,4,6,27.82458333,39.20083333,0.839583333,15.02541667,45.5875
2015,DIC,4,7,27.76791667,39.47166667,0.832916667,15.14,45.72416667
2015,DIC,4,8,27.62458333,39.88666667,0.83125,15.3475,45.63
2015,DIC,4,9,27.52708333,40.365,0.834583333,15.50875,45.58
2015,DIC,4,10,27.57291667,40.69625,0.839583333,15.7175,46.05208333
2015,DIC,4,11,27.95875,40.405,0.836666667,15.78083333,46.45041667
2015,DIC,4,12,28.36916667,40.41166667,0.830416667,15.85083333,46.5225
2015,DIC,4,13,28.59833333,41.15416667,0.828333333,15.84666667,46.45166667
2015,DIC,4,14,28.73125,42.03625,0.823333333,15.9025,46.39333333
2015,DIC,4,15,28.7225,42.20125,0.819583333,15.95083333,45.99125
2015,DIC,4,16,28.65833333,42.94916667,0.8175,15.98541667,44.67625
2015,DIC,4,17,28.65,43.88166667,0.81625,16.02916667,44.00291667
2015,DIC,4,18,28.42208333,44.66125,0.82875,16.17583333,43.74458333
2015,DIC,4,19,27.74416667,44.66,0.862916667,16.53583333,43.84375
2015,DIC,4,20,27.67666667,44.6225,0.878333333,16.78708333,44.91541667
2015,DIC,4,21,27.74416667,45.30791667,0.882083333,16.81625,45.44625
2015,DIC,4,22,27.55708333,45.75916667,0.882916667,16.835,45.99916667
2015,DIC,4,23,27.66833333,46.67916667,0.883333333,16.92208333,46.27583333
2015,DIC,5,0,27.895,47.83625,0.884166667,16.97583333,46.75583333
2015,DIC,5,1,28.00666667,48.58041667,0.885833333,17.01,46.7975
2015,DIC,5,2,27.90458333,49.21375,0.8875,17.11041667,47.17458333
2015,DIC,5,3,27.94291667,49.27541667,0.889583333,17.14125,46.98416667
2015,DIC,5,4,27.77416667,49.49041667,0.89125,17.15083333,46.85791667
2015,DIC,5,5,27.75125,49.91166667,0.892916667,17.15583333,46.55583333
2015,DIC,5,6,27.56291667,49.84125,0.894583333,17.17833333,46.0725
2015,DIC,5,7,27.39208333,50.12,0.896666667,17.16375,45.99458333
2015,DIC,5,8,27.35333333,50.45041667,0.8925,17.13708333,46.22791667
2015,DIC,5,9,27.46458333,50.9,0.888333333,17.09666667,46.54958333
2015,DIC,5,10,27.54125,51.16791667,0.884166667,17.05166667,46.41041667
2015,DIC,5,11,27.47125,51.52208333,0.884583333,17.06375,46.48666667
2015,DIC,5,12,27.42208333,52.00666667,0.88625,17.0875,46.68791667
2015,DIC,5,13,27.45333333,51.85291667,0.888333333,17.10833333,46.76458333
2015,DIC,5,14,27.53583333,51.54875,0.887916667,17.06208333,46.71916667
2015,DIC,5,15,27.72583333,51.52958333,0.889583333,17.00541667,46.89083333
2015,DIC,5,16,27.99083333,51.09125,0.887916667,16.96125,47.04416667
2015,DIC,5,17,28.39125,50.34083333,0.886666667,16.88541667,46.95541667
2015,DIC,5,18,29.22666667,49.63208333,0.872916667,16.67541667,46.60333333
2015,DIC,5,19,30.075,49.58166667,0.8425,16.32166667,45.93375
2015,DIC,5,20,30.05875,50.11041667,0.82875,16.19583333,44.95458333
2015,DIC,5,21,30.16083333,49.22041667,0.827916667,16.16958333,44.3275
2015,DIC,5,22,30.09083333,50.01666667,0.83375,16.11958333,43.84708333
2015,DIC,5,23,30.02541667,49.98416667,0.839583333,16.00375,44.62291667
2015,DIC,6,0,29.8675,49.06,0.845416667,15.95833333,45.01125
2015,DIC,6,1,29.47416667,49.05791667,0.845416667,16.00041667,44.295
2015,DIC,6,2,29.44916667,48.39666667,0.847083333,16.0125,43.78083333
2015,DIC,6,3,29.7525,47.72666667,0.846666667,15.97041667,43.57083333
2015,DIC,6,4,30.36333333,46.96208333,0.84625,15.76083333,43.22875
2015,DIC,6,5,30.39125,48.07208333,0.87,15.65916667,43.64583333
2015,DIC,6,6,30.68875,49.09,0.869166667,15.64625,45.32541667
2015,DIC,6,7,31.3925,48.55541667,0.875,15.48958333,46.9525
2015,DIC,6,8,31.67291667,48.045,0.871666667,15.33416667,47.6975
2015,DIC,6,9,32.09666667,46.89166667,0.86375,15.10041667,46.79541667
2015,DIC,6,10,32.33625,46.37791667,0.857083333,14.91083333,45.73291667
2015,DIC,6,11,32.36375,46.21958333,0.853333333,14.77125,44.88541667
2015,DIC,6,12,32.47833333,45.46083333,0.850416667,14.6275,44.27291667
2015,DIC,6,13,32.5625,44.68625,0.8475,14.54708333,43.75333333
2015,DIC,6,14,32.65708333,43.87583333,0.845833333,14.4625,43.01291667
2015,DIC,6,15,32.79625,43.12208333,0.842083333,14.39625,42.1875
2015,DIC,6,16,32.81583333,42.99041667,0.839583333,14.25583333,41.6
2015,DIC,6,17,32.78375,43.0625,0.83625,14.12625,41.2575
2015,DIC,6,18,32.56208333,42.97583333,0.8325,14.01916667,41.43458333
2015,DIC,6,19,32.495,42.815,0.828333333,13.93,41.75791667
2015,DIC,6,20,32.68625,42.30916667,0.82375,13.73666667,41.58916667
2015,DIC,6,21,32.86,42.08125,0.819583333,13.71208333,41.16666667
2015,DIC,6,22,33.37583333,40.43375,0.810833333,13.70166667,40.60416667
2015,DIC,6,23,33.71458333,38.915,0.801666667,13.71083333,39.34166667
2015,DIC,7,0,34.20041667,37.65833333,0.7925,13.63625,37.84416667
2015,DIC,7,1,34.94791667,35.87666667,0.788333333,13.45666667,37.03291667
2015,DIC,7,2,35.43583333,34.76291667,0.781666667,13.28416667,36.15458333
2015,DIC,7,3,35.49166667,35.08958333,0.777083333,13.24666667,35.36375
2015,DIC,7,4,35.44875,35.3475,0.772916667,13.40666667,35.47916667
2015,DIC,7,5,35.78458333,33.1025,0.744166667,13.42291667,35.5425
2015,DIC,7,6,35.38833333,36.46125,0.745833333,13.57458333,35.0125
2015,DIC,7,7,34.87583333,39.17958333,0.73875,13.83333333,37.27666667
2015,DIC,7,8,34.46541667,38.4975,0.761666667,14.08166667,39.34708333
2015,DIC,7,9,34.05458333,40.59916667,0.772916667,14.38666667,41.13875
2015,DIC,7,10,34.11333333,40.50541667,0.776666667,14.58833333,42.91
2015,DIC,7,11,34.25291667,40.35375,0.78375,14.85458333,44.1675
2015,DIC,7,12,34.40291667,40.515,0.7875,15.09708333,44.90875
2015,DIC,7,13,34.59791667,40.92333333,0.79125,15.31208333,45.67833333
2015,DIC,7,14,34.78,41.56,0.797083333,15.58083333,46.83666667
2015,DIC,7,15,34.89375,42.06625,0.803333333,15.70166667,48.33375
2015,DIC,7,16,34.91958333,42.71916667,0.814166667,15.93083333,49.77625
2015,DIC,7,17,34.87708333,43.73583333,0.82625,16.23708333,51.27083333
2015,DIC,7,18,34.6325,44.55041667,0.851666667,16.72416667,52.34708333
2015,DIC,7,19,34.10375,44.83541667,0.883333333,17.27791667,53.165
2015,DIC,7,20,33.95416667,44.82,0.894166667,17.63583333,53.72375
2015,DIC,7,21,34.05916667,44.46166667,0.899166667,17.84875,54.29833333
2015,DIC,7,22,33.69583333,44.56125,0.906666667,18.03666667,54.74458333
2015,DIC,7,23,32.97916667,45.0575,0.91625,18.27458333,55.24375
2015,DIC,8,0,32.80916667,45.26958333,0.920416667,18.41583333,56.25333333
2015,DIC,8,1,32.19791667,45.61125,0.9275,18.5825,57.09708333
2015,DIC,8,2,31.71583333,46.10458333,0.93375,18.71083333,58.00166667
2015,DIC,8,3,31.3425,46.03166667,0.93875,18.66791667,58.65666667
