DATOS MÓVILES 2016_ CRUZ ROJA,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MZO,1,0,5.76,55.904,NA,NA,NA
MZO,1,1,5.55,55.395,NA,NA,NA
MZO,1,2,9.37,55.109,NA,NA,NA
MZO,1,3,7.47,54.666,NA,NA,NA
MZO,1,4,7.48,54.672,NA,NA,NA
MZO,1,5,10.35,54.6675,NA,NA,NA
MZO,1,6,12.8,55.116,NA,NA,NA
MZO,1,7,8.63,56.365,NA,NA,NA
MZO,1,8,9.95,56.6605,NA,NA,NA
MZO,1,9,10.94,57.7205,NA,NA,NA
MZO,1,10,5.86,59.4985,NA,NA,NA
MZO,1,11,5.4,59.604,NA,NA,NA
MZO,1,12,6.13,60.3735,NA,NA,NA
MZO,1,13,3.48,61.459,NA,NA,NA
MZO,1,14,2.01,61.8995,NA,NA,NA
MZO,1,15,4.04,61.856,NA,NA,NA
MZO,1,16,3.57,63.048,NA,NA,NA
MZO,1,17,NA,63.6735,NA,NA,NA
MZO,1,18,NA,63.17380952,NA,NA,NA
MZO,1,19,NA,62.68818182,NA,NA,NA
MZO,1,20,NA,63.97521739,NA,NA,NA
MZO,1,21,14.23,62.68916667,NA,NA,NA
MZO,1,22,8.07,62.49375,NA,NA,NA
MZO,1,23,5.99,62.68916667,NA,NA,NA
MZO,2,0,8.67,62.67208333,NA,NA,NA
MZO,2,1,6.29,62.95916667,NA,NA,NA
MZO,2,2,10.6,62.98208333,NA,NA,NA
MZO,2,3,1.3,64.09541667,NA,13.075,NA
MZO,2,4,3.64,63.08291667,NA,12.82428571,NA
MZO,2,5,5.02,62.87625,NA,12.42625,NA
MZO,2,6,4.32,62.3725,NA,11.68,NA
MZO,2,7,4.39,61.16666667,NA,11.3775,NA
MZO,2,8,10.38,60.48791667,NA,10.345,NA
MZO,2,9,9.73,59.35666667,NA,9.66875,NA
MZO,2,10,4.59,57.32041667,NA,11.20375,NA
MZO,2,11,0.87,56.56208333,NA,12.76375,NA
MZO,2,12,1.1,55.44583333,NA,15.74125,NA
MZO,2,13,1.96,53.86458333,NA,19.535,NA
MZO,2,14,2.16,53.5875,NA,23.48625,NA
MZO,2,15,1.92,55.93833333,75.61111111,27.4775,NA
MZO,2,16,3.02,55.18916667,75.61111111,32.87625,NA
MZO,2,17,0.08,55.16375,75.61111111,37.61625,NA
MZO,2,18,1.33,55.32333333,75.61111111,39.98375,NA
MZO,2,19,4.19,55.41333333,75.61111111,39.255,NA
MZO,2,20,4.26,54.335,71.86736842,36.86,NA
MZO,2,21,4.39,55.64041667,70.69157895,33.99125,NA
MZO,2,22,4.79,55.805,67.06736842,29.98125,NA
MZO,2,23,5.95,55.5,64.71157895,25.255,NA
MZO,3,0,5.16,55.70416667,58.43947368,21.25625,NA
MZO,3,1,6.71,55.3425,47.38684211,16.98625,NA
MZO,3,2,9.58,55.25916667,45.4135,12.68875,NA
MZO,3,3,8.94,53.69791667,43.8125,10.4425,NA
MZO,3,4,10.45,54.06625,39.6075,8.66625,NA
MZO,3,5,5.26,53.88333333,33.608,8.45125,NA
MZO,3,6,8.19,53.94333333,28.145,8.4475,NA
MZO,3,7,9.85,54.15541667,26.584,8.725,NA
MZO,3,8,15.23,54.54958333,26.168,7.16875,NA
MZO,3,9,12.37,55.07791667,25.887,7.145,NA
MZO,3,10,9.55,55.55875,21.009,9.24,NA
MZO,3,11,3.3,56.61916667,16.8055,12.38375,NA
MZO,3,12,NA,56.7025,15.27526316,17.2275,NA
MZO,3,13,NA,56.96666667,14.38722222,22.45875,NA
MZO,3,14,NA,58.05708333,NA,29.21625,NA
MZO,3,15,NA,57.30125,NA,36.775,NA
MZO,3,16,NA,57.71458333,NA,44.5375,NA
MZO,3,17,NA,57.80583333,NA,50.8775,NA
MZO,3,18,NA,56.93416667,NA,55.40625,NA
MZO,3,19,NA,56.11291667,NA,57.9575,NA
MZO,3,20,NA,54.98875,NA,57.6,NA
MZO,3,21,6.49,54.17041667,NA,54.53375,NA
MZO,3,22,4.91,54.04333333,NA,50.22125,NA
MZO,3,23,4.71,53.85708333,NA,45.29,NA
MZO,4,0,4.25,53.45333333,NA,41.6375,NA
MZO,4,1,4.23,53.28541667,NA,38.74142857,NA
MZO,4,2,4.38,53.19333333,NA,35.12142857,NA
MZO,4,3,4.07,53.42041667,NA,30.58857143,NA
MZO,4,4,4.08,53.42333333,NA,26.05571429,NA
MZO,4,5,4.4,53.50333333,NA,24.80571429,NA
MZO,4,6,3.74,53.45416667,NA,22.40714286,NA
MZO,4,7,4.1,53.72375,NA,18.52285714,NA
MZO,4,8,4.42,54.09791667,NA,13.81428571,NA
MZO,4,9,6.32,55.9725,NA,12.37,NA
MZO,4,10,NA,56.89708333,NA,11.59625,NA
MZO,4,11,NA,56.7775,NA,13.395,NA
MZO,4,12,NA,57.34291667,NA,18.25125,NA
MZO,4,13,0.29,57.15166667,NA,21.1975,NA
MZO,4,14,0.08,55.90416667,42.03222222,25.48125,NA
MZO,4,15,NA,54.86375,40.55052632,31.57875,NA
MZO,4,16,NA,54.91083333,39.8775,37.55125,NA
MZO,4,17,NA,54.94,39.36857143,43.04125,NA
MZO,4,18,NA,55.61708333,39.03090909,45.545,NA
MZO,4,19,NA,56.51608696,37.8273913,45.3325,NA
MZO,4,20,NA,57.29272727,41.08208333,42.83375,NA
MZO,4,21,NA,57.88761905,41.09458333,40.89875,NA
MZO,4,22,NA,57.92142857,39.36583333,39.60125,NA
MZO,4,23,NA,58.59904762,37.21695652,38.00875,NA
MZO,5,0,NA,58.3052381,38.55565217,35.895,NA
MZO,5,1,NA,58.2,37.92608696,32.45375,NA
MZO,5,2,NA,58.37047619,36.89652174,29.4075,NA
MZO,5,3,NA,59.18571429,40.89913043,27.91,NA
MZO,5,4,NA,59.98904762,44.32826087,28.18,NA
MZO,5,5,NA,60.18809524,44.24043478,26.12375,NA
MZO,5,6,NA,60.4552381,45.61695652,23.4975,NA
MZO,5,7,11.15,61.00666667,46.7626087,19.80375,NA
MZO,5,8,15.77,61.53,46.39086957,15.945,NA
MZO,5,9,11.85,60.33238095,46.26,14.01625,NA
MZO,5,10,0.08,60.37095238,43.53565217,14.39,NA
MZO,5,11,0.97,59.80857143,43.24,15.89,NA
MZO,5,12,17.14,59.75428571,50.50521739,17.75875,NA
MZO,5,13,3.91,62.24142857,54.2673913,21.31375,NA
MZO,5,14,NA,62.26,55.36434783,25.3375,NA
MZO,5,15,1.82,62.18904762,55.73565217,31.02375,NA
MZO,5,16,NA,62.31238095,55.02217391,37.73625,NA
MZO,5,17,0.08,62.01857143,53.89826087,43.20375,NA
MZO,5,18,0.08,62.37714286,52.5873913,45.82625,NA
MZO,5,19,11.55,62.31454545,52.16086957,46.1,NA
MZO,5,20,NA,62.17347826,47.66565217,44.385,NA
MZO,5,21,NA,61.75666667,48.96636364,42.61875,NA
MZO,5,22,NA,61.19666667,59.06772727,38.47,NA
MZO,5,23,15.95,62.16333333,66.03043478,31.785,NA
MZO,6,0,8.78,64.32166667,68.46217391,25.10125,NA
MZO,6,1,7.39,66.12791667,70.52913043,19.65625,NA
MZO,6,2,7.49,67.43041667,76.17304348,14.65125,NA
MZO,6,3,3.83,68.115,74.35217391,11.06875,NA
MZO,6,4,1.75,68.73708333,72.89391304,8.2425,NA
MZO,6,5,NA,69.25375,73.10565217,5.5475,NA
MZO,6,6,0.08,69.55,71.7526087,3.8975,NA
MZO,6,7,3.58,69.09625,73.09434783,3.8975,NA
MZO,6,8,0.38,69.19958333,74.52217391,4.03,NA
MZO,6,9,0.27,68.24875,76.32347826,4.51375,NA
MZO,6,10,0.08,67.47125,81.11913043,6.07625,NA
MZO,6,11,NA,68.7825,79.41869565,9.12375,NA
MZO,6,12,NA,68.54458333,71.4626087,13.67125,NA
MZO,6,13,NA,66.00375,66.62826087,18.6775,NA
MZO,6,14,NA,65.73166667,64.33869565,24.32875,NA
MZO,6,15,NA,65.51916667,66.24409091,30.26375,NA
MZO,6,16,NA,64.72666667,65.78909091,36.30625,NA
MZO,6,17,NA,63.97083333,65.70909091,41.86375,NA
MZO,6,18,NA,62.90916667,65.71090909,46.03,NA
MZO,6,19,NA,62.05333333,65.71090909,46.9475,NA
MZO,6,20,41.43,61.79041667,65.32863636,42.67875,NA
MZO,6,21,45.27,62.81541667,62.78347826,41.87142857,NA
MZO,6,22,28.32,67.90708333,53.22,36.55857143,NA
MZO,6,23,NA,69.265,43.80086957,32.03285714,NA
MZO,7,0,NA,68.84583333,39.09391304,26.80428571,NA
