DATOS MÓVILES 2016_ CRUZ ROJA,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
SEP,1,0,NA,35.51,47.96375,NA,NA
SEP,1,1,NA,34.79125,49.385,NA,NA
SEP,1,2,NA,34.26625,48.08791667,NA,NA
SEP,1,3,NA,33.2225,46.00333333,NA,NA
SEP,1,4,NA,33.24208333,45.14,NA,NA
SEP,1,5,NA,32.70708333,43.80916667,NA,NA
SEP,1,6,NA,32.9325,43.36041667,NA,NA
SEP,1,7,NA,31.98416667,42.88791667,NA,NA
SEP,1,8,NA,30.34916667,36.81083333,NA,NA
SEP,1,9,NA,29.54625,35.3525,NA,NA
SEP,1,10,NA,28.87791667,35.14333333,NA,NA
SEP,1,11,NA,28.625,34.7475,NA,NA
SEP,1,12,NA,27.87833333,35.08416667,NA,NA
SEP,1,13,NA,27.05458333,35.08791667,NA,NA
SEP,1,14,NA,27.19208333,35.66958333,NA,NA
SEP,1,15,NA,26.57375,35.91125,NA,NA
SEP,1,16,NA,25.95958333,36.48791667,NA,NA
SEP,1,17,NA,25.87833333,38.00625,NA,NA
SEP,1,18,NA,26.71166667,38.15,NA,NA
SEP,1,19,NA,25.53458333,38.29958333,NA,NA
SEP,1,20,NA,24.95875,43.64625,NA,NA
SEP,1,21,NA,24.07916667,48.11708333,NA,NA
SEP,1,22,NA,24.97458333,49.67791667,NA,NA
SEP,1,23,NA,24.34916667,48.20083333,NA,NA
SEP,2,0,NA,23.88041667,49.13208333,NA,NA
SEP,2,1,NA,23.23333333,50.72583333,NA,NA
SEP,2,2,NA,23.02916667,52.94583333,NA,NA
SEP,2,3,NA,22.51375,50.34833333,NA,NA
SEP,2,4,NA,21.05875,48.09625,NA,NA
SEP,2,5,NA,20.84083333,45.14583333,NA,NA
SEP,2,6,NA,19.76708333,45.63666667,NA,NA
SEP,2,7,NA,19.83333333,48.00125,NA,NA
SEP,2,8,NA,20.3375,48.44708333,NA,NA
SEP,2,9,NA,20.19291667,48.94333333,NA,NA
SEP,2,10,NA,19.82708333,48.46875,NA,NA
SEP,2,11,NA,20.12125,47.6875,NA,NA
SEP,2,12,NA,20.11666667,46.99416667,NA,NA
SEP,2,13,NA,20.08375,47.02166667,NA,NA
SEP,2,14,NA,20.0025,46.4825,NA,NA
SEP,2,15,NA,20.60458333,46.51291667,NA,NA
SEP,2,16,NA,21.10166667,45.61333333,NA,NA
SEP,2,17,NA,20.71833333,43.66833333,NA,NA
SEP,2,18,NA,19.67458333,43.56208333,NA,NA
SEP,2,19,NA,20.23,42.29125,NA,NA
SEP,2,20,NA,20.02625,36.77208333,NA,NA
SEP,2,21,NA,19.60083333,31.80333333,NA,NA
SEP,2,22,NA,18.20583333,30.96625,NA,NA
SEP,2,23,NA,18.13833333,28.47083333,NA,NA
SEP,3,0,NA,17.61333333,28.34375,NA,NA
SEP,3,1,NA,18.42625,27.31333333,NA,NA
SEP,3,2,NA,18.13125,27.97458333,NA,NA
SEP,3,3,NA,17.75541667,31.89083333,NA,NA
SEP,3,4,NA,18.54291667,30.17416667,NA,NA
SEP,3,5,NA,17.915,31.06625,NA,NA
SEP,3,6,NA,17.73833333,30.91208333,NA,NA
SEP,3,7,NA,17.54625,27.58625,NA,NA
SEP,3,8,NA,16.23416667,26.03,NA,NA
SEP,3,9,NA,15.99541667,24.67916667,NA,NA
SEP,3,10,NA,15.45583333,25.29291667,NA,NA
SEP,3,11,NA,15.35,26.09458333,NA,NA
SEP,3,12,NA,15.10958333,26.75583333,NA,NA
SEP,3,13,NA,15.34875,27.17083333,NA,NA
SEP,3,14,NA,15.76916667,27.7325,NA,NA
SEP,3,15,NA,15.66166667,27.57125,NA,NA
SEP,3,16,NA,15.6275,27.9775,NA,NA
SEP,3,17,NA,15.78458333,28.06916667,NA,NA
SEP,3,18,NA,15.56333333,28.05,NA,NA
SEP,3,19,NA,15.56625,28.05875,NA,NA
SEP,3,20,NA,15.27958333,28.06458333,NA,NA
SEP,3,21,NA,15.44791667,28.06458333,NA,NA
SEP,3,22,NA,15.56375,26.12166667,NA,NA
SEP,3,23,NA,15.12333333,27.58833333,NA,NA
SEP,4,0,NA,15.99583333,25.63083333,NA,NA
SEP,4,1,NA,15.46833333,23.47333333,NA,NA
SEP,4,2,NA,15.245,24.57666667,NA,NA
SEP,4,3,NA,15.34708333,24.96458333,NA,NA
SEP,4,4,NA,15.15291667,26.09583333,NA,NA
SEP,4,5,NA,14.90958333,28.63375,NA,NA
SEP,4,6,NA,14.6925,28.36458333,NA,NA
SEP,4,7,NA,14.33833333,29.78208333,NA,NA
SEP,4,8,NA,14.71375,33.38416667,NA,NA
SEP,4,9,NA,14.68458333,35.76166667,NA,NA
SEP,4,10,NA,15.40333333,37.2275,NA,NA
SEP,4,11,NA,15.85125,38.01083333,NA,NA
SEP,4,12,NA,16.47416667,38.37958333,NA,NA
SEP,4,13,NA,15.7875,38.635,NA,NA
SEP,4,14,NA,15.6975,39.55333333,NA,NA
SEP,4,15,NA,15.68416667,40.11333333,NA,NA
SEP,4,16,NA,15.57166667,40.17375,NA,NA
SEP,4,17,NA,15.54086957,40.97083333,NA,NA
SEP,4,18,NA,16.03869565,41.44458333,NA,NA
SEP,4,19,NA,15.58608696,41.59541667,NA,NA
SEP,4,20,NA,16.03391304,41.70416667,NA,NA
SEP,4,21,NA,16.04478261,41.80666667,NA,NA
SEP,4,22,NA,15.95869565,41.86666667,NA,NA
SEP,4,23,NA,15.93391304,40.34625,NA,NA
SEP,5,0,NA,15.34913043,38.84708333,NA,NA
SEP,5,1,NA,14.86869565,37.38041667,NA,NA
SEP,5,2,NA,14.64826087,31.37416667,NA,NA
SEP,5,3,NA,14.16565217,26.76125,NA,NA
SEP,5,4,NA,13.39826087,25.39583333,NA,NA
SEP,5,5,NA,13.41434783,21.79833333,NA,NA
SEP,5,6,NA,13.86869565,21.68708333,NA,NA
SEP,5,7,NA,14.6426087,20.05833333,NA,NA
SEP,5,8,NA,14.86869565,16.57916667,NA,NA
SEP,5,9,NA,14.99956522,14.22958333,NA,NA
SEP,5,10,NA,15.48173913,12.665,NA,NA
SEP,5,11,NA,16.15086957,11.66666667,NA,NA
SEP,5,12,NA,17.03608696,10.50041667,NA,NA
SEP,5,13,NA,18.3126087,9.220416667,NA,NA
SEP,5,14,NA,18.20347826,7.530833333,NA,NA
SEP,5,15,NA,17.90043478,6.867916667,NA,NA
SEP,5,16,NA,17.76,6.490833333,NA,NA
SEP,5,17,NA,17.90541667,5.670416667,NA,NA
SEP,5,18,NA,18.29416667,5.29,NA,NA
SEP,5,19,NA,18.74083333,5.21,NA,NA
SEP,5,20,NA,18.88208333,5.169166667,NA,NA
SEP,5,21,NA,19.45375,5.146666667,NA,NA
