DATOS MÓVILES 2017_CRUZ ROJA,,,,,,,,,
,,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO,MPM2.5
2017,AGO,1,0,0.43,2.685,9.591666667,4.61625,19.29875,19.39571429
2017,AGO,1,1,0.67,2.767916667,9.45375,5.6875,17.09,18.75428571
2017,AGO,1,2,0.57,2.763333333,9.340833333,5.98,16.7275,18.17809524
2017,AGO,1,3,0.5,2.75875,9.241666667,6.4325,16.8875,17.56238095
2017,AGO,1,4,0.89,2.78375,9.30375,9.33125,15.86375,17.17952381
2017,AGO,1,5,0.49,2.8275,9.398333333,10.6275,15.1575,16.71190476
2017,AGO,1,6,0.59,2.839166667,9.62,15.0725,13.88375,16.5685
2017,AGO,1,7,0.87,2.865833333,9.810833333,17.3325,18.06625,16.8165
2017,AGO,1,8,0.91,2.90125,9.967916667,18.82125,25.9425,16.56
2017,AGO,1,9,0.98,2.92375,10.15958333,20.39875,35.8875,17.1485
2017,AGO,1,10,0.81,3.00625,10.15208333,24.795,45.05125,17.4445
2017,AGO,1,11,0.65,3.03375,10.27333333,27.535,48.2825,17.2695
2017,AGO,1,12,0.64,3.052916667,10.61541667,27.295,50.72625,17.117
2017,AGO,1,13,0.62,3.094166667,11.055,27.94375,51.9975,16.688
2017,AGO,1,14,0.64,3.095833333,11.00333333,24.99,54.06,16.374
2017,AGO,1,15,0.91,3.094166667,10.92791667,24.15375,51.17125,15.6765
2017,AGO,1,16,0.65,3.109583333,10.9875,23.87375,45.48,15.1525
2017,AGO,1,17,0.8,3.097083333,10.94291667,22.855,37.62125,14.5865
2017,AGO,1,18,0.65,3.056666667,10.93125,18.24,28.9175,14.0015
2017,AGO,1,19,0.66,3.001666667,10.98916667,15.085,26.40375,13.71619048
2017,AGO,1,20,0.64,2.971666667,11.11583333,12.5025,25.40375,13.47857143
2017,AGO,1,21,0.58,2.969166667,11.13833333,10.64625,25.83625,12.9647619
2017,AGO,1,22,0.66,3.00875,11.16833333,10.26875,25.99875,12.56428571
2017,AGO,1,23,1.19,3.019583333,11.14333333,9.93875,27.64875,12.68318182
2017,AGO,2,0,0.78,2.965833333,11.15875,14.17625,26.81125,12.74695652
2017,AGO,2,1,0.97,2.877916667,11.14166667,18.07625,25.66125,13.27043478
2017,AGO,2,2,0.74,2.910833333,11.135,19.24125,24.93125,13.53545455
2017,AGO,2,3,1.2,2.96875,11.27583333,29.7425,24.5,13.86190476
2017,AGO,2,4,0.83,2.948333333,11.145,31.3125,25.70375,14.19619048
2017,AGO,2,5,0.54,2.95,11.04166667,31.5575,23.5975,14.414
2017,AGO,2,6,0.57,2.99875,10.85291667,30.8125,21.66375,14.414
2017,AGO,2,7,0.7,2.995,10.85041667,29.91,19.985,13.88157895
2017,AGO,2,8,0.98,2.997083333,10.97541667,24.86625,21.3575,13.85222222
2017,AGO,2,9,0.86,3.025833333,10.94416667,22.6525,29.31375,NA
2017,AGO,2,10,0.66,3.02375,10.94041667,23.95125,37.08125,NA
2017,AGO,2,11,0.48,3.047083333,10.54125,14.39125,41.8675,NA
2017,AGO,2,12,NA,3.04875,10.46652174,13.94714286,42.81875,NA
2017,AGO,2,13,NA,3.014166667,10.31863636,15.07666667,46.48875,NA
2017,AGO,2,14,NA,2.974166667,10.28047619,NA,51.7975,NA
2017,AGO,2,15,NA,2.945416667,10.14190476,NA,56.1925,NA
2017,AGO,2,16,0.64,2.9175,10.0815,NA,57.79,NA
2017,AGO,2,17,0.71,2.87,10.17894737,NA,52.19875,NA
2017,AGO,2,18,0.47,2.84875,10.50368421,NA,47.035,NA
2017,AGO,2,19,0.6,2.8775,11.18894737,NA,44.8575,NA
2017,AGO,2,20,0.81,2.911666667,12.15789474,11.66666667,50.75875,NA
2017,AGO,2,21,0.65,2.88125,13.04736842,10.38,54.98,NA
2017,AGO,2,22,0.56,2.7375,13.79210526,9.375,52.66625,NA
2017,AGO,2,23,0.54,2.588333333,14.89894737,5.11,50.5025,NA
2017,AGO,3,0,0.44,2.47125,15.67631579,3.39875,51.04125,NA
2017,AGO,3,1,0.38,2.435,16.50526316,3.34625,50.3925,NA
2017,AGO,3,2,0.48,2.4275,17.57263158,6.15875,50.7825,NA
2017,AGO,3,3,0.52,2.445,17.90842105,9.02875,51.575,NA
2017,AGO,3,4,0.43,2.452083333,18.39631579,11.96375,44.19875,NA
2017,AGO,3,5,0.36,2.439166667,19.09473684,15.9175,38.40125,NA
2017,AGO,3,6,0.39,2.43625,19.76842105,16.65625,39.245,NA
2017,AGO,3,7,0.57,2.432916667,20.22578947,18.3175,38.14,NA
2017,AGO,3,8,0.74,2.419166667,20.39315789,19.67,38.0325,NA
2017,AGO,3,9,0.87,2.367083333,20.68684211,19.5775,41.795,NA
2017,AGO,3,10,0.7,2.324583333,21.28315789,18.89375,42.89125,NA
2017,AGO,3,11,NA,2.257391304,22.31944444,22.09375,45.92125,NA
2017,AGO,3,12,0.5,2.210434783,22.26684211,24.15375,48.6275,NA
2017,AGO,3,13,0.55,2.152173913,22.166,21.4575,51.845,NA
2017,AGO,3,14,NA,2.123913043,22.10857143,22.7575,52.54375,NA
