DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
JUN,1,0,9.82,30.99590909,51.16958333,31.38916667,25.06125,0.3725
JUN,1,1,18.2,30.855,50.62458333,32.11041667,23.1075,0.37
JUN,1,2,18.36,29.37952381,50.61916667,35.41083333,21.06875,0.37625
JUN,1,3,22.7,29.5835,51.73375,41.18166667,19.18625,0.38125
JUN,1,4,23.7,31.257,52.82333333,46.23625,17.29,0.385
JUN,1,5,10.73,31.12157895,52.67958333,47.67583333,16.68375,0.38875
JUN,1,6,12.9,30.89,51.81541667,53.41125,15.5375,0.4025
JUN,1,7,12.42,30.58555556,50.32291667,54.62583333,14.14125,0.42875
JUN,1,8,8.55,NA,48.095,53.10458333,13.9,0.4475
JUN,1,9,10.27,NA,44.77,50.91916667,14.76125,0.4625
JUN,1,10,13.77,NA,42.86416667,49.82833333,16.015,0.5025
JUN,1,11,10.28,NA,41.54875,49.01375,18.09125,0.53625
JUN,1,12,13.73,NA,40.24958333,48.78833333,20.00125,0.5475
JUN,1,13,14.5,NA,39.72291667,49.14041667,21.0275,0.5575
JUN,1,14,8.31,NA,39.53083333,48.97875,22.42,0.54625
JUN,1,15,6.71,NA,38.58083333,49.27458333,24.3125,0.53
JUN,1,16,6.39,NA,38.25666667,49.70041667,25.385,0.51625
JUN,1,17,5.13,NA,37.51208333,49.53875,26.295,0.49625
JUN,1,18,5.45,NA,36.80583333,49.5325,27.09375,0.45625
JUN,1,19,5.17,NA,36.86958333,49.54583333,26.93375,0.41875
JUN,1,20,5.82,NA,37.19708333,49.57166667,27.0475,0.40875
JUN,1,21,5.08,NA,37.6575,49.59458333,27.4175,0.395
JUN,1,22,5.3,NA,37.7925,49.61208333,27.76375,0.39375
JUN,1,23,7.99,NA,37.765,51.0725,27.1725,0.4025
JUN,2,0,5.46,NA,37.88041667,51.07625,27.25,0.39375
JUN,2,1,4.56,NA,36.42375,46.34708333,27.19,0.3925
JUN,2,2,3.9,NA,34.61,42.62958333,27.1925,0.3875
JUN,2,3,4.32,NA,32.96708333,36.83458333,27.0525,0.38875
JUN,2,4,3.48,NA,31.43333333,31.36,27.03375,0.3875
JUN,2,5,4.84,NA,30.73916667,29.46041667,26.4375,0.38875
JUN,2,6,8.04,NA,30.67916667,23.55,25.13125,0.39875
JUN,2,7,13.84,20.57888889,30.64708333,22.04875,23.70125,0.4075
JUN,2,8,8.74,21.14157895,30.91541667,21.60791667,22.55625,0.425
JUN,2,9,7.44,21.37421053,30.94,20.84083333,21.885,0.455
JUN,2,10,6.67,20.975,30.41833333,18.53458333,21.23125,0.48125
JUN,2,11,6.48,21.24526316,29.87791667,17.20291667,21.27125,0.51125
JUN,2,12,7.65,21.24526316,29.95916667,17.04125,21.6675,0.595
JUN,2,13,8.15,21.09421053,30.04875,16.7575,22.64875,0.62
JUN,2,14,7.94,21.09421053,30.09125,16.69833333,24.1125,0.64
JUN,2,15,8.31,21.44421053,30.44791667,17.11541667,26.24625,0.64
JUN,2,16,6.01,21.74222222,30.47583333,17.03916667,28.055,0.64375
JUN,2,17,4.6,22.36611111,30.47166667,17.13958333,29.45875,0.62125
JUN,2,18,4.63,22.72611111,30.43083333,17.19666667,30.605,0.5975
JUN,2,19,4.45,23.10888889,30.41791667,17.175,31.08375,0.56625
JUN,2,20,4.79,23.16555556,30.06,17.12916667,30.99375,0.48
JUN,2,21,5.82,22.74,29.38708333,17.0925,30.50625,0.4525
JUN,2,22,4.94,22.33388889,29.21416667,17.06458333,30.10375,0.42
JUN,2,23,9.11,22.00666667,28.91375,17.29541667,29.0975,0.40375
JUN,3,0,9.14,22.22388889,29.13666667,18.36708333,27.5125,0.39125
JUN,3,1,11.79,22.66333333,29.54333333,22.03708333,25.44,0.42125
JUN,3,2,9.8,22.66333333,30.46625,24.92416667,23.4975,0.4375
JUN,3,3,4.39,22.66333333,30.70958333,25.0025,22.32125,0.4425
JUN,3,4,5.17,NA,30.61,25.15541667,21.2425,0.4475
JUN,3,5,4.73,NA,30.64041667,25.20083333,20.1475,0.45125
JUN,3,6,5.3,NA,30.39,25.22708333,18.8975,0.45875
JUN,3,7,11.72,NA,30.30208333,27.78833333,17.3975,0.51375
JUN,3,8,12.06,NA,30.29666667,30.71875,16.31,0.58125
JUN,3,9,7.63,NA,30.08583333,31.86375,16.3125,0.56375
JUN,3,10,7.54,NA,29.75458333,33.20583333,16.52375,0.56625
JUN,3,11,9.69,NA,29.70333333,34.27916667,16.12375,0.56625
JUN,3,12,9.95,NA,29.74416667,34.7425,16.06,0.5625
JUN,3,13,10.16,NA,29.84916667,35.17333333,16.1275,0.5575
JUN,3,14,9.97,NA,29.93916667,35.86708333,16.30625,0.55375
JUN,3,15,9.44,NA,30.09916667,35.93541667,17.215,0.495
JUN,3,16,9.11,20.775,30.06541667,36.60625,17.98375,0.41875
JUN,3,17,8.59,21.16888889,30.50958333,37.75708333,18.18625,0.39875
JUN,3,18,6.76,21.38166667,30.43625,39.43166667,18.4525,0.41125
JUN,3,19,4.96,21.18666667,30.25541667,39.86208333,18.74875,0.415
JUN,3,20,4.22,21.10055556,30.07833333,39.92833333,18.81125,0.415
JUN,3,21,3.76,21.345,31.09708333,39.98083333,18.7225,0.415
JUN,3,22,3.5,21.63777778,31.28583333,40.0075,18.38625,0.40875
JUN,3,23,3.19,21.43277778,31.19125,38.27958333,17.97875,0.4
JUN,4,0,2.99,NA,30.18708333,36.87208333,17.67,0.39375
JUN,4,1,5.02,NA,29.25041667,33.74541667,17.32125,0.39375
JUN,4,2,8.91,NA,28.48458333,32.70333333,16.33125,0.3625
JUN,4,3,7.09,NA,28.44958333,33.86541667,15.54125,0.35875
JUN,4,4,9.81,21.405,28.57458333,37.62791667,14.435,0.41375
JUN,4,5,7.97,NA,28.36125,41.87291667,13.49375,0.4425
JUN,4,6,15.6,NA,28.5325,48.82458333,12.2975,0.53875
JUN,4,7,16.81,NA,29.275,51.90625,11.1525,0.6275
JUN,4,8,11.3,NA,28.97583333,49.71875,10.32375,0.67375
JUN,4,9,9.29,NA,28.62458333,49.44,9.9075,0.70125
JUN,4,10,10.54,NA,28.58625,49.46416667,10.19875,0.72125
JUN,4,11,16.96,NA,28.59208333,49.98791667,10.625,0.725
JUN,4,12,12.33,NA,28.77625,50.03,11.84625,0.675
