DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
JUL,1,0,10.35,NA,43.31708333,20.40916667,19.6975,0.43
JUL,1,1,8.44,NA,43.27791667,20.03458333,17.37375,0.39875
JUL,1,2,9.26,NA,43.0775,19.99416667,16.13875,0.37
JUL,1,3,10.75,NA,42.92208333,19.985,15.01625,0.34
JUL,1,4,12.55,32.84388889,42.82458333,20.04041667,14.32,0.29375
JUL,1,5,13.54,32.02,42.70958333,20.23916667,13.34125,0.27
JUL,1,6,17.32,31.71368421,42.8025,20.49666667,12.965,0.21
JUL,1,7,18.55,31.69894737,42.85875,20.78666667,12.01125,0.21625
JUL,1,8,14.33,30.65777778,41.35125,21.33166667,10.59375,0.23125
JUL,1,9,10.05,30.77052632,40.85166667,21.7575,9.7025,0.24625
JUL,1,10,9.47,29.42684211,40.84958333,21.39541667,9.4775,0.26875
JUL,1,11,12.84,29.1745,40.60041667,21.29,9.61625,0.29875
JUL,1,12,13.6,29.68761905,40.95541667,21.39583333,10.3725,0.3225
JUL,1,13,15.12,30.41863636,41.18791667,21.32125,11.29125,0.3475
JUL,1,14,10.84,30.12136364,41.105,20.79916667,13.9175,0.35875
JUL,1,15,13.54,29.47090909,40.51458333,19.97958333,16.4175,0.355
JUL,1,16,12.91,28.28181818,39.77916667,18.64625,18.6125,0.35375
JUL,1,17,12.96,27.08590909,39.23833333,18.14708333,20.5225,0.37
JUL,1,18,7.81,26.0847619,38.32666667,18.01333333,22.05625,0.35375
JUL,1,19,6.59,26.09857143,38.63583333,17.93791667,23.26875,0.3275
JUL,1,20,8.35,25.8452381,38.175,17.88083333,23.40375,0.31125
JUL,1,21,11.53,25.58409091,39.58875,17.89833333,23.58875,0.30125
JUL,1,22,11.17,26.10136364,39.60708333,17.84083333,22.82,0.29875
JUL,1,23,8.63,26.33409091,39.02208333,17.81333333,22.5425,0.28375
JUL,2,0,8.35,26.58954545,39.48458333,17.80958333,22.30625,0.26125
JUL,2,1,11.72,27.09545455,39.75625,17.82458333,21.1925,0.2375
JUL,2,2,11.75,27.72136364,40.21916667,17.96458333,19.845,0.2375
JUL,2,3,16,28.20227273,40.77708333,18.13708333,18.3125,0.24125
JUL,2,4,10.03,28.72772727,41.46875,18.19833333,17.74125,0.235
JUL,2,5,17.26,28.95454545,42.59791667,18.09208333,16.2075,0.22625
JUL,2,6,13.42,29.54318182,43.79333333,18.25458333,14.1825,0.22625
JUL,2,7,14.96,30.08727273,44.6825,17.98916667,11.84625,0.26375
JUL,2,8,11.33,30.03347826,45.98708333,17.06,9.9,0.29875
JUL,2,9,9.32,29.6473913,47.04125,16.41291667,9.0725,0.345
JUL,2,10,8.8,29.57652174,46.95833333,16.5525,8.76625,0.37125
JUL,2,11,9.28,29.79652174,47.29333333,16.52,9.10875,0.38875
JUL,2,12,10.29,29.69391304,47.27041667,16.06375,9.4425,0.41625
JUL,2,13,13.1,29.21652174,48.23916667,16.01583333,10.58625,0.42875
JUL,2,14,11.5,29.11913043,47.53869565,16.32083333,12.155,0.43375
JUL,2,15,11.11,28.79304348,47.06636364,16.03041667,13.86625,0.415
JUL,2,16,10.52,27.75608696,46.42590909,16.80833333,15.5075,0.42
JUL,2,17,8.61,27.40173913,46.94227273,16.97083333,17.03125,0.38625
JUL,2,18,7.34,27.29958333,47.66681818,16.82083333,18.4275,0.3625
JUL,2,19,8.77,27.25875,48.71363636,16.81083333,19.44625,0.3475
JUL,2,20,9.37,27.54916667,49.43863636,16.805,20.13625,0.3275
JUL,2,21,11.55,27.62833333,48.65454545,16.87583333,20.22875,0.32875
JUL,2,22,13.01,27.70708333,49.78909091,17.32041667,19.4,0.3575
JUL,2,23,12.45,27.85,50.95227273,17.38625,18.64875,0.3425
JUL,3,0,10.26,28.11041667,51.53681818,17.47666667,17.99125,0.3075
JUL,3,1,14.86,28.16375,52.93227273,18.27291667,15.9925,0.2875
JUL,3,2,14.92,28.67291667,53.69272727,18.33833333,13.81875,0.27875
JUL,3,3,12.56,28.87666667,54.33681818,20.17708333,11.8825,0.265
JUL,3,4,10.28,29.165,54.69136364,20.33333333,10.1675,0.24875
JUL,3,5,12.24,29.2775,54.26636364,20.42791667,9.045,0.225
JUL,3,6,10.99,29.25166667,53.45727273,20.265,8.50125,0.17625
JUL,3,7,11.08,29.14041667,52.19545455,20.31583333,8.065,0.1725
JUL,3,8,14.74,28.85,51.44681818,20.8975,6.81625,0.19625
JUL,3,9,13.8,28.96125,50.62181818,21.61375,6.825,0.2175
JUL,3,10,13.2,29.37333333,51.03181818,22.22791667,7.28375,0.22875
JUL,3,11,15.69,29.69666667,51.01363636,21.77333333,7.905,0.26125
JUL,3,12,12.22,29.50791667,50.21,20.95958333,9.34875,0.2875
JUL,3,13,10.78,29.01875,48.53318182,20.03875,10.85375,0.3025
JUL,3,14,9.6,28.07583333,47.82652174,19.48291667,13.345,0.3125
JUL,3,15,14.4,27.69166667,47.4375,20.63416667,15.68125,0.345
JUL,3,16,15.57,28.44625,48.03833333,21.18291667,18.75125,0.36625
JUL,3,17,12.92,29.04041667,47.31375,21.38791667,21.56125,0.37125
JUL,3,18,13.3,29.2475,47.45,21.6625,22.995,0.38375
JUL,3,19,12.96,29.06625,47.72291667,21.92125,23.835,0.38375
JUL,3,20,17.17,28.70375,47.53041667,24.07958333,23.21875,0.37875
JUL,3,21,14.83,28.99521739,47.10208333,24.39291667,22.48375,0.3875
JUL,3,22,16.33,28.84086957,45.74666667,24.70166667,20.6675,0.39375
JUL,3,23,12.4,28.25956522,44.48458333,25.19208333,19.1925,0.36625
JUL,4,0,10.91,27.77478261,43.68416667,25.2175,17.66625,0.33
JUL,4,1,12.28,27.10521739,42.32125,24.48708333,15.8325,0.31
JUL,4,2,14.5,25.85956522,41.42458333,24.68458333,14.2175,0.295
