DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,1,0,10.88,NA,40.18791667,38.24166667,21.13857143,0.495
AGO,1,1,2.28,NA,39.22708333,34.67166667,20.18333333,0.505714286
AGO,1,2,1.48,NA,38.60458333,30.28916667,NA,0.558333333
AGO,1,3,2.52,14.65666667,37.74208333,28.88083333,NA,NA
AGO,1,4,2.59,14.14157895,37.47875,28.54541667,NA,NA
AGO,1,5,6.42,13.9895,37.72291667,28.29791667,NA,NA
AGO,1,6,4.48,14.02157895,37.64625,28.03125,NA,NA
AGO,1,7,8.98,14.46789474,37.16041667,26.63291667,NA,NA
AGO,1,8,6.02,12.69052632,36.84041667,21.64708333,NA,NA
AGO,1,9,3.63,12.115,36.86791667,19.67916667,NA,NA
AGO,1,10,3.52,12.34904762,37.24375,18.79958333,NA,NA
AGO,1,11,6.81,12.34904762,37.33625,18.1125,NA,NA
AGO,1,12,6.04,13.01904762,37.88291667,17.09416667,NA,0.311666667
AGO,1,13,4.78,12.77666667,34.36166667,15.98708333,NA,0.304285714
AGO,1,14,2.59,12.21904762,27.27875,15.32708333,NA,0.29
AGO,1,15,2.34,12.06428571,25.37833333,14.50458333,NA,0.25375
AGO,1,16,3.6,11.67809524,25.33166667,13.42166667,NA,0.2525
AGO,1,17,2.8,11.67809524,25.31291667,12.74708333,NA,0.267142857
AGO,1,18,3.1,11.6705,25.47458333,12.77291667,NA,0.26
AGO,1,19,3.72,11.6525,25.79791667,12.75125,NA,0.221666667
AGO,1,20,5.59,11.966,25.85208333,12.78333333,NA,0.168333333
AGO,1,21,4.24,11.6215,26.27583333,12.73875,NA,NA
AGO,1,22,2.61,11.17,26.83083333,12.07416667,NA,NA
AGO,1,23,2.04,10.812,26.69416667,9.96,NA,NA
AGO,2,0,2.04,10.14,26.67416667,7.90375,NA,NA
AGO,2,1,2.15,10.472,26.76041667,7.969166667,NA,NA
AGO,2,2,1.68,10.758,26.83375,8.03625,NA,NA
