DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,1,0,16.24,20.23105263,30.91666667,18.19416667,16.2775,0.465
SEP,1,1,13.97,20.37578947,30.9275,18.88125,13.6475,0.4425
SEP,1,2,9.04,20.37578947,30.79666667,19.35083333,12.42625,0.39625
SEP,1,3,8.94,20.37578947,30.83,19.87125,11.665,0.34375
SEP,1,4,9.13,20.60222222,30.29791667,20.21458333,11.3025,0.2875
SEP,1,5,9.99,NA,29.88083333,20.29916667,11.30625,0.25625
SEP,1,6,13.59,NA,29.22791667,20.48166667,10.58875,0.24625
SEP,1,7,19.33,NA,27.97541667,20.54958333,9.68625,0.27
SEP,1,8,21.65,NA,26.25958333,19.91583333,9.50625,0.3125
SEP,1,9,18.26,NA,25.39625,19.15791667,9.42125,0.3525
SEP,1,10,12.06,NA,24.16041667,17.89875,9.63375,0.37
SEP,1,11,9.83,NA,23.97041667,16.96291667,10.14625,0.38375
SEP,1,12,11.38,NA,23.43916667,16.58125,11.4,0.40875
SEP,1,13,12.05,NA,23.53375,16.30333333,13.14125,0.4325
SEP,1,14,10.13,NA,23.6375,16.25791667,15.55625,0.445
SEP,1,15,10.16,NA,23.71583333,16.20875,18.455,0.435
SEP,1,16,9.76,NA,23.26708333,15.91541667,20.85875,0.405
SEP,1,17,9.43,NA,22.72083333,15.50583333,23.12875,0.38
SEP,1,18,11.47,NA,22.39,15.31291667,24.62125,0.38125
SEP,1,19,13.83,NA,22.30666667,15.22208333,24.12125,0.395
SEP,1,20,14.2,NA,21.38375,15.15958333,23.13125,0.39
SEP,1,21,16.79,NA,21.0325,15.13583333,21.5825,0.40375
SEP,1,22,16.89,NA,20.93583333,15.12708333,19.2925,0.41875
SEP,1,23,16.33,NA,20.56916667,14.90333333,16.8,0.42375
SEP,2,0,16.98,NA,19.35208333,14.52583333,14.56875,0.42375
SEP,2,1,16.75,NA,19.41625,13.4825,12.13,0.425
SEP,2,2,15.2,NA,19.66,13.0075,9.99875,0.41375
SEP,2,3,8.62,NA,19.84625,12.61625,10.075,0.39375
SEP,2,4,7.22,NA,20.16625,12.35833333,10.30375,0.37625
SEP,2,5,8.56,NA,20.10125,12.28125,10.61375,0.345
SEP,2,6,9.97,NA,20.465,12.09833333,11.2275,0.3225
SEP,2,7,15.93,NA,20.3125,12.02125,11.3175,0.31375
SEP,2,8,13.91,NA,20.03166667,11.95958333,11.79,0.3225
SEP,2,9,9.49,NA,19.39958333,11.91291667,12.65875,0.31625
SEP,2,10,10.57,NA,19.915,11.95541667,13.5,0.32125
SEP,2,11,10.8,NA,20.19666667,12.16833333,14.1475,0.335
SEP,2,12,14.64,NA,21.45083333,14.10458333,14.885,0.40375
SEP,2,13,16.57,NA,22.91625,15.80208333,15.5275,0.4525
SEP,2,14,11.52,NA,23.54625,15.91,15.99125,0.46375
SEP,2,15,8.81,NA,23.4125,16.09875,18.01625,0.46125
SEP,2,16,7.28,NA,23.2925,16.22375,20.07,0.44875
SEP,2,17,8.37,NA,22.84375,16.22416667,22.105,0.44625
SEP,2,18,7.97,NA,22.53541667,16.2275,24.02,0.4425
SEP,2,19,11.65,NA,22.08416667,16.23958333,24.3725,0.44125
SEP,2,20,13.98,NA,22.27291667,16.24583333,24.03375,0.39125
SEP,2,21,16.29,NA,22.40583333,16.23666667,23.15,0.37125
SEP,2,22,11.7,NA,22.87,16.2075,22.525,0.365
SEP,2,23,11.67,NA,22.62875,16.15416667,21.27375,0.355
SEP,3,0,11.5,NA,22.59458333,15.99416667,19.79875,0.34375
SEP,3,1,9.58,NA,22.14625,15.90291667,17.81875,0.33375
SEP,3,2,7.79,NA,21.78583333,15.84583333,15.87375,0.32
SEP,3,3,6.57,NA,21.32458333,15.6725,15.58125,0.29625
SEP,3,4,7.96,NA,20.87875,15.57166667,15.71875,0.27
SEP,3,5,13.2,NA,21.26375,15.71958333,15.3125,0.245
SEP,3,6,18.6,NA,21.35666667,15.8625,14.74125,0.26875
SEP,3,7,25.65,NA,21.67666667,15.95291667,13.63625,0.31875
SEP,3,8,22.66,NA,21.97083333,16.07916667,12.62875,0.365
SEP,3,9,21.43,NA,22.81583333,16.19416667,11.97375,0.40625
SEP,3,10,22.58,NA,23.65,16.565,11.58125,0.45
SEP,3,11,15.61,NA,24.61375,17.93625,11.40375,0.5025
SEP,3,12,12.73,NA,23.52708333,16.55375,11.69625,0.53625
SEP,3,13,13.06,NA,21.92083333,15.89083333,12.90875,0.57125
SEP,3,14,12.98,NA,20.97541667,16.80666667,14.24,0.55375
SEP,3,15,11.86,NA,21.12416667,17.41791667,16.01875,0.52
SEP,3,16,8.58,NA,21.07458333,17.99333333,18.1,0.50625
SEP,3,17,9.86,NA,21.49708333,19.10875,19.94625,0.52
SEP,3,18,14.91,NA,21.69875,19.37333333,20.9375,0.50875
SEP,3,19,20.46,NA,21.84625,19.42916667,21.37375,0.5075
SEP,3,20,28.44,NA,22.73291667,19.46833333,21.04,0.55
SEP,3,21,20.64,NA,23.67333333,19.51666667,20.37625,0.5425
SEP,3,22,12.14,NA,23.66541667,19.54791667,20.0375,0.53
SEP,3,23,12.49,NA,23.875,19.61541667,19.39375,0.52375
SEP,4,0,10.84,NA,24.00166667,19.64875,18.34625,0.4925
SEP,4,1,14.63,NA,24.44916667,19.7,17.00125,0.44125
SEP,4,2,15.6,NA,25.035,20.07416667,15.85875,0.41625
SEP,4,3,19.45,NA,25.7075,20.33083333,14.49125,0.375
SEP,4,4,16.68,NA,26.62791667,20.49708333,13.645,0.3075
SEP,4,5,15.33,NA,27.14333333,20.50875,13.325,0.2775
SEP,4,6,23.04,18.13666667,27.66666667,20.44916667,11.75625,0.2875
SEP,4,7,21.75,18.48277778,29.05875,20.46125,10.55625,0.35625
SEP,4,8,21.52,19.26578947,32.05916667,20.45958333,9.3475,0.47
