DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ENE,1,0,4.65,2.75,1.327,NA,40,19
ENE,1,1,3.24,2.97,1.462,11.13,51,25
ENE,1,2,2.32,3.13,1.531,12.03,58,35
ENE,1,3,2.10,3.50,1.708,14.19,75,43
ENE,1,4,2.21,3.69,1.751,10.61,92,59
ENE,1,5,2.54,3.74,1.608,9.08,102,70
ENE,1,6,2.65,3.74,1.461,8.44,108,73
ENE,1,7,2.83,3.70,1.413,7.78,115,75
ENE,1,8,3.04,3.65,1.345,6.05,119,80
ENE,1,9,4.27,3.59,1.264,6.83,121,82
ENE,1,10,7.51,3.52,1.205,6.40,125,85
ENE,1,11,13.42,3.51,1.039,7.78,127,88
ENE,1,12,18.93,3.47,0.883,3.68,130,90
ENE,1,13,22.93,3.42,0.789,0.44,131,93
ENE,1,14,27.40,3.35,0.695,0.53,132,93
ENE,1,15,31.29,3.29,0.584,0.85,132,94
ENE,1,16,34.89,3.24,0.526,1.05,133,94
ENE,1,17,36.88,3.17,0.469,1.56,132,94
ENE,1,18,34.75,3.11,0.423,2.24,132,95
ENE,1,19,28.85,3.06,0.412,14.90,132,95
ENE,1,20,23.38,3.03,0.619,20.99,133,94
ENE,1,21,19.19,3.01,0.950,18.58,135,96
ENE,1,22,14.65,2.98,1.251,17.15,137,97
ENE,1,23,10.75,2.89,1.343,14.66,136,98
ENE,2,0,6.96,2.85,1.371,14.56,133,96
ENE,2,1,3.88,2.66,1.394,12.01,125,93
ENE,2,2,3.31,2.48,1.400,5.89,119,84
ENE,2,3,4.16,2.10,1.338,1.35,102,76
ENE,2,4,5.15,1.87,1.090,0.20,86,61
ENE,2,5,5.56,1.76,0.733,0.20,76,51
ENE,2,6,6.31,1.69,0.413,4.46,70,46
ENE,2,7,6.88,1.66,0.305,0.20,64,41
ENE,2,8,7.40,1.64,0.248,0.20,60,37
ENE,2,9,7.95,1.71,0.204,0.41,57,34
ENE,2,10,8.47,1.75,0.181,1.65,55,31
ENE,2,11,8.95,1.69,0.174,0.43,52,29
ENE,2,12,10.12,1.71,0.183,4.53,50,26
ENE,2,13,13.09,1.88,0.205,6.52,50,25
ENE,2,14,15.60,2.12,0.218,4.05,51,25
ENE,2,15,18.64,2.17,0.234,2.63,52,26
ENE,2,16,21.46,2.19,0.237,0.20,52,26
ENE,2,17,23.36,2.20,0.255,1.35,53,26
ENE,2,18,23.90,2.21,0.296,8.72,53,26
