DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
JUL,1,0,22.22,35.63,NA,0.29,54,19
JUL,1,1,18.83,32.08,NA,5.64,53,18
JUL,1,2,16.30,29.11,NA,5.49,53,17
JUL,1,3,15.68,26.99,NA,2.88,53,17
JUL,1,4,15.85,26.85,NA,3.12,53,17
JUL,1,5,14.87,30.66,NA,3.47,53,17
JUL,1,6,12.73,33.24,NA,5.79,53,18
JUL,1,7,10.40,33.23,NA,12.91,53,18
JUL,1,8,8.99,32.54,NA,7.70,53,17
JUL,1,9,9.22,35.02,NA,9.57,54,17
JUL,1,10,10.95,36.63,NA,4.23,55,18
JUL,1,11,12.48,36.94,NA,5.40,56,19
JUL,1,12,15.66,36.92,NA,8.31,56,19
JUL,1,13,19.77,35.60,NA,2.91,56,19
JUL,1,14,24.52,34.51,NA,2.14,47,18
JUL,1,15,30.07,33.61,NA,4.19,39,18
JUL,1,16,35.77,32.83,NA,1.19,39,17
JUL,1,17,39.46,32.63,NA,0.20,39,18
JUL,1,18,41.27,32.66,NA,0.20,34,17
JUL,1,19,41.09,32.70,NA,1.77,29,17
JUL,1,20,38.33,32.70,NA,2.65,29,17
JUL,1,21,34.50,32.70,NA,2.39,24,18
JUL,1,22,31.36,35.53,NA,6.71,24,18
JUL,1,23,27.47,36.42,NA,5.00,24,19
JUL,2,0,24.06,38.34,NA,3.32,23,18
JUL,2,1,21.97,38.41,NA,1.39,24,19
JUL,2,2,19.27,36.44,NA,4.09,24,19
JUL,2,3,17.58,35.61,NA,6.51,23,19
JUL,2,4,16.53,36.07,NA,6.54,24,19
JUL,2,5,16.50,32.27,NA,7.66,24,20
JUL,2,6,15.17,28.73,NA,8.52,23,20
JUL,2,7,13.32,27.98,NA,13.45,23,20
JUL,2,8,12.98,25.69,NA,13.65,24,20
JUL,2,9,14.16,21.42,NA,9.36,23,19
JUL,2,10,18.05,19.20,NA,6.95,23,18
JUL,2,11,22.18,19.51,NA,5.22,23,18
JUL,2,12,29.26,23.48,NA,9.11,25,19
JUL,2,13,38.22,25.88,NA,7.10,26,20
JUL,2,14,48.07,29.53,NA,6.75,28,22
JUL,2,15,58.24,31.50,NA,5.96,30,24
JUL,2,16,63.61,32.76,NA,4.44,32,25
JUL,2,17,64.62,33.82,NA,5.28,33,25
JUL,2,18,62.70,33.91,NA,5.28,35,26
JUL,2,19,61.13,33.91,NA,5.52,36,27
JUL,2,20,55.67,33.91,NA,4.60,35,27
JUL,2,21,48.37,34.17,NA,6.17,34,27
JUL,2,22,40.50,31.62,NA,4.81,34,27
JUL,2,23,32.74,29.76,NA,3.92,33,25
JUL,3,0,26.86,27.62,NA,1.10,33,25
JUL,3,1,23.87,27.52,NA,3.21,33,24
JUL,3,2,24.65,27.99,NA,1.12,33,24
JUL,3,3,25.46,26.71,NA,0.20,32,24
JUL,3,4,25.69,25.86,NA,0.20,32,23
JUL,3,5,24.80,25.83,NA,1.49,31,23
