DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,1,0,28.02,30.25,0.255,5.07,31,20
SEP,1,1,24.76,31.11,0.246,7.50,31,21
SEP,1,2,22.57,32.44,0.239,4.01,31,21
SEP,1,3,20.23,33.02,0.227,2.87,31,21
SEP,1,4,18.23,33.44,0.209,5.83,31,21
SEP,1,5,15.60,35.89,0.193,5.21,32,21
SEP,1,6,12.20,37.24,0.191,5.63,32,22
SEP,1,7,10.52,37.53,0.226,6.87,32,22
SEP,1,8,11.43,37.46,0.244,6.79,32,22
SEP,1,9,12.99,34.13,0.259,2.78,31,21
SEP,1,10,14.86,31.43,0.266,0.88,29,20
SEP,1,11,18.98,30.79,0.272,0.50,29,20
SEP,1,12,23.50,29.81,0.277,0.40,29,20
SEP,1,13,28.34,28.81,0.288,1.02,28,19
SEP,1,14,33.90,27.98,0.297,1.25,27,19
SEP,1,15,39.19,27.79,0.274,0.90,27,19
SEP,1,16,41.94,28.61,0.260,1.15,26,19
SEP,1,17,43.06,29.14,0.257,0.72,26,19
SEP,1,18,42.37,28.99,0.265,0.20,26,19
SEP,1,19,40.33,29.00,0.282,2.14,26,19
SEP,1,20,37.87,28.98,0.294,2.77,26,19
SEP,1,21,35.05,28.90,0.296,1.69,26,19
SEP,1,22,31.55,28.84,0.293,1.10,26,20
SEP,1,23,27.46,30.51,0.287,2.45,26,19
SEP,2,0,23.17,31.90,0.277,4.66,25,19
SEP,2,1,19.20,29.60,0.266,5.11,24,19
SEP,2,2,17.35,29.15,0.252,5.51,24,19
SEP,2,3,16.91,29.39,0.237,2.80,24,19
SEP,2,4,15.74,27.98,0.215,0.73,23,18
SEP,2,5,13.26,25.31,0.199,2.28,23,18
SEP,2,6,11.20,23.01,0.212,7.10,22,17
SEP,2,7,9.99,24.99,0.227,8.26,22,17
SEP,2,8,10.98,23.96,0.287,8.32,22,17
SEP,2,9,13.32,23.24,0.320,4.62,22,17
SEP,2,10,15.77,23.36,0.344,2.82,21,16
SEP,2,11,15.19,22.88,0.344,1.03,21,17
