DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
OCT,1,0,5.17,4.20,0.459,1.88,15,13
OCT,1,1,3.85,4.34,0.423,1.47,14,13
OCT,1,2,3.33,4.28,0.381,1.83,14,12
OCT,1,3,3.56,4.37,0.327,1.05,14,12
OCT,1,4,3.77,4.41,0.277,0.67,13,12
OCT,1,5,3.71,4.44,0.228,4.10,13,12
OCT,1,6,3.64,4.46,0.226,5.14,13,12
OCT,1,7,3.64,4.55,0.273,5.32,13,11
OCT,1,8,3.61,4.58,0.368,9.91,13,11
OCT,1,9,3.79,4.59,0.415,6.59,13,11
OCT,1,10,5.17,5.11,0.442,2.81,14,11
OCT,1,11,7.20,5.70,0.469,2.98,14,11
OCT,1,12,10.70,6.13,0.497,3.69,14,12
OCT,1,13,15.40,6.46,0.526,4.12,14,12
OCT,1,14,20.08,7.11,0.518,3.19,15,12
OCT,1,15,25.60,7.51,0.485,3.11,16,13
OCT,1,16,30.06,7.71,0.393,1.42,16,13
OCT,1,17,33.24,8.21,0.368,3.69,16,13
OCT,1,18,34.98,8.33,0.409,8.53,17,13
OCT,1,19,34.44,8.50,0.431,6.81,18,14
OCT,1,20,30.97,9.28,0.428,6.32,18,14
OCT,1,21,27.59,9.50,0.441,14.87,20,15
OCT,1,22,24.20,9.49,0.446,5.29,20,16
OCT,1,23,20.47,8.79,0.449,3.88,20,16
OCT,2,0,18.85,8.35,0.450,2.10,20,16
OCT,2,1,17.92,8.04,0.428,0.20,19,16
OCT,2,2,16.03,7.99,0.357,0.20,19,16
OCT,2,3,14.39,8.08,0.309,1.67,19,16
OCT,2,4,14.68,8.40,0.290,4.24,20,17
OCT,2,5,13.45,8.58,0.256,5.07,20,17
OCT,2,6,12.15,8.60,0.285,7.34,20,17
OCT,2,7,10.36,8.54,0.401,11.70,21,17
OCT,2,8,7.53,8.46,0.523,9.92,22,18
OCT,2,9,5.78,8.42,0.581,6.11,22,19
OCT,2,10,7.03,8.50,0.608,2.57,22,19
OCT,2,11,10.70,8.32,0.638,2.36,22,19
OCT,2,12,15.98,8.36,0.656,2.79,22,19
OCT,2,13,22.84,8.70,0.662,2.30,22,19
OCT,2,14,29.99,8.51,0.624,1.79,21,19
OCT,2,15,37.94,8.56,0.500,3.39,21,19
OCT,2,16,44.95,8.62,0.373,0.81,21,19
OCT,2,17,48.08,8.29,0.328,1.12,21,19
OCT,2,18,47.10,8.21,0.320,2.64,21,19
OCT,2,19,45.47,8.08,0.348,7.26,20,19
OCT,2,20,42.80,7.33,0.338,3.55,19,18
OCT,2,21,39.32,7.27,0.335,2.92,19,17
OCT,2,22,36.00,7.14,0.359,5.46,18,17
OCT,2,23,30.62,7.09,0.360,4.78,18,17
OCT,3,0,24.58,7.06,0.367,3.40,18,16
OCT,3,1,21.84,7.09,0.363,8.32,19,16
OCT,3,2,21.24,7.15,0.345,3.09,19,16
OCT,3,3,20.30,7.11,0.291,3.24,19,16
OCT,3,4,17.82,6.76,0.276,1.71,18,16
OCT,3,5,14.38,6.60,0.269,4.91,18,16
OCT,3,6,10.54,6.61,0.294,7.35,19,16
OCT,3,7,7.98,6.71,0.376,8.37,20,16
OCT,3,8,7.60,6.86,0.492,7.51,20,16
OCT,3,9,8.57,6.56,0.514,3.94,20,16
OCT,3,10,10.38,6.25,0.519,1.01,19,15
OCT,3,11,12.16,5.94,0.524,0.76,19,15
OCT,3,12,15.54,5.15,0.541,1.14,19,15
OCT,3,13,20.03,4.37,0.548,1.41,18,14
OCT,3,14,24.44,3.88,0.492,0.85,18,13
OCT,3,15,29.15,3.41,0.398,0.63,17,13
OCT,3,16,33.37,3.15,0.273,0.26,17,13
OCT,3,17,35.39,3.04,0.246,0.20,17,12
OCT,3,18,35.64,3.12,0.245,0.51,16,12
OCT,3,19,32.30,3.11,0.257,3.81,16,12
OCT,3,20,29.86,3.09,0.318,12.11,17,12
OCT,3,21,28.29,3.31,0.320,4.75,17,12
OCT,3,22,24.79,3.77,0.314,2.03,17,12
OCT,3,23,21.00,5.31,0.309,2.51,18,13
OCT,4,0,18.11,6.74,0.308,3.37,18,13
OCT,4,1,16.77,7.71,0.306,3.71,18,13
OCT,4,2,17.10,7.83,0.302,0.54,18,14
OCT,4,3,20.83,7.79,0.281,0.44,18,14
OCT,4,4,22.75,7.79,0.203,0.20,19,14
OCT,4,5,22.70,7.73,0.186,0.29,19,14
OCT,4,6,22.97,7.87,0.225,6.64,19,14
OCT,4,7,22.98,8.23,0.262,7.16,18,14
OCT,4,8,22.94,9.38,0.299,6.71,18,14
OCT,4,9,24.48,10.20,0.329,4.70,18,14
OCT,4,10,24.61,9.96,0.332,0.45,18,15
OCT,4,11,24.87,10.14,0.342,0.89,18,15
OCT,4,12,25.59,10.54,0.350,1.10,18,15
OCT,4,13,27.00,10.94,0.359,1.08,18,15
OCT,4,14,30.36,11.36,0.328,1.97,18,15
OCT,4,15,33.82,11.48,0.300,0.84,19,15
OCT,4,16,36.33,11.56,0.267,0.66,18,15
OCT,4,17,36.36,11.60,0.239,1.14,18,15
OCT,4,18,35.45,11.56,0.247,1.43,19,15
OCT,4,19,32.25,11.53,0.297,8.34,19,15
OCT,4,20,30.24,11.55,0.365,12.32,19,16
OCT,4,21,28.53,11.17,0.374,3.87,19,16
OCT,4,22,25.92,10.88,0.367,1.52,19,15
OCT,4,23,23.34,10.03,0.368,3.74,18,15
OCT,5,0,20.28,9.27,0.366,2.62,18,15
OCT,5,1,17.28,9.41,0.365,2.91,18,15
OCT,5,2,16.58,9.50,0.357,2.42,18,15
OCT,5,3,18.04,9.35,0.299,0.48,17,15
OCT,5,4,18.15,9.30,0.224,0.43,17,15
OCT,5,5,17.77,9.33,0.205,0.20,17,15
OCT,5,6,15.85,9.46,0.201,0.69,16,15
OCT,5,7,14.04,9.17,0.247,7.30,16,14
OCT,5,8,12.70,8.21,0.310,7.51,16,13
OCT,5,9,12.72,8.32,0.352,4.94,16,13
OCT,5,10,13.22,8.86,0.374,2.43,16,12
OCT,5,11,14.56,9.11,0.390,1.35,16,13
OCT,5,12,15.97,9.13,0.396,0.20,16,12
OCT,5,13,16.98,9.02,0.410,1.32,17,13
OCT,5,14,20.83,8.64,0.461,3.66,17,12
OCT,5,15,24.94,8.54,0.419,0.97,17,12
OCT,5,16,28.73,8.47,0.366,0.97,17,12
OCT,5,17,30.61,8.37,0.331,0.79,16,12
OCT,5,18,30.08,8.30,0.317,2.11,16,12
OCT,5,19,28.11,8.29,0.323,5.22,16,12
OCT,5,20,26.76,8.27,0.336,5.05,16,11
OCT,5,21,24.56,8.49,0.324,1.36,16,11
OCT,5,22,22.28,9.67,0.275,2.22,16,11
OCT,5,23,19.57,9.91,0.260,2.93,16,12
OCT,6,0,16.92,10.63,0.246,2.15,16,11
OCT,6,1,14.87,11.21,0.240,2.86,15,11
OCT,6,2,14.24,11.14,0.228,0.69,15,12
OCT,6,3,14.05,11.83,0.208,1.43,15,12
OCT,6,4,12.21,12.12,0.190,0.98,16,12
OCT,6,5,11.55,12.19,0.198,3.15,16,12
OCT,6,6,10.61,12.17,0.206,3.32,16,12
OCT,6,7,9.86,12.01,0.226,2.79,16,12
OCT,6,8,10.15,11.98,0.280,5.79,15,12
OCT,6,9,11.16,11.97,0.305,4.54,15,12
OCT,6,10,13.60,12.14,0.323,2.45,15,12
OCT,6,11,16.08,11.90,0.325,0.24,14,12
OCT,6,12,20.00,11.93,0.335,0.98,14,12
OCT,6,13,24.07,11.95,0.335,1.22,14,12
OCT,6,14,27.87,12.18,0.346,2.04,14,12
OCT,6,15,31.85,12.37,0.338,0.98,14,12
OCT,6,16,35.60,12.36,0.291,0.39,14,12
OCT,6,17,37.98,12.37,0.263,0.25,14,12
OCT,6,18,37.97,12.37,0.251,0.89,14,12
OCT,6,19,37.73,12.38,0.262,3.10,14,12
OCT,6,20,37.26,12.38,0.262,2.51,13,12
OCT,6,21,35.66,12.15,0.253,1.01,13,12
OCT,6,22,34.32,12.32,0.234,3.10,13,12
OCT,6,23,32.42,13.13,0.223,1.89,13,12
OCT,7,0,29.82,13.45,0.218,2.32,14,12
OCT,7,1,27.44,12.60,0.217,2.04,14,12
OCT,7,2,25.96,13.14,0.215,2.46,14,12
OCT,7,3,24.63,13.09,0.201,2.19,14,12
OCT,7,4,22.73,13.72,0.194,4.18,14,12
OCT,7,5,19.88,13.76,0.201,3.37,14,12
OCT,7,6,16.79,13.71,0.248,10.03,14,12
OCT,7,7,14.07,14.40,0.308,10.06,15,12
OCT,7,8,11.49,14.33,0.372,8.99,16,13
OCT,7,9,10.52,14.62,0.405,3.78,16,13
OCT,7,10,9.55,14.06,0.411,0.77,16,13
OCT,7,11,9.48,14.08,0.431,2.11,16,13
OCT,7,12,10.10,14.04,0.441,2.21,16,13
OCT,7,13,12.35,13.99,0.441,1.22,16,14
OCT,7,14,15.02,13.84,0.412,1.95,16,14
OCT,7,15,17.58,13.75,0.356,0.64,17,13
OCT,7,16,20.01,13.76,0.296,0.20,17,13
OCT,7,17,20.43,13.84,0.268,0.75,17,13
OCT,7,18,20.46,13.87,0.272,1.95,17,13
OCT,7,19,19.28,13.87,0.267,2.10,22,13
OCT,7,20,18.03,13.86,0.268,2.45,25,13
OCT,7,21,17.31,13.86,0.268,0.85,25,13
OCT,7,22,16.08,12.27,0.250,0.20,25,13
OCT,7,23,14.48,10.68,0.245,0.64,25,12
OCT,8,0,12.58,9.80,0.238,2.15,24,12
OCT,8,1,11.52,10.00,0.231,2.08,24,12
OCT,8,2,10.47,10.54,0.217,1.26,24,12
OCT,8,3,9.82,10.52,0.199,1.50,24,12
OCT,8,4,9.33,10.38,0.184,2.32,24,12
OCT,8,5,8.11,11.33,0.176,2.76,24,12
OCT,8,6,7.26,12.19,0.180,2.88,23,12
OCT,8,7,6.89,12.46,0.186,3.06,23,12
OCT,8,8,8.67,13.12,0.192,2.99,22,12
OCT,8,9,11.56,12.48,0.198,2.03,22,12
OCT,8,10,15.57,12.42,0.201,0.20,21,12
OCT,8,11,19.71,12.19,0.203,0.20,21,12
OCT,8,12,23.33,11.78,0.210,0.22,21,12
OCT,8,13,27.56,11.57,0.214,0.27,21,11
OCT,8,14,31.35,11.73,0.214,0.49,21,11
OCT,8,15,34.91,12.13,0.213,0.61,21,12
OCT,8,16,36.97,12.33,0.210,0.20,21,12
OCT,8,17,37.29,12.82,0.211,0.20,21,12
OCT,8,18,36.24,13.28,0.218,0.85,21,12
