DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,1,0,37.61,48.46,46.70,0.89,29.16,16,4.07
JUN,1,1,35.64,44.88,50.71,1.05,30.02,18,4.31
JUN,1,2,34.25,41.41,51.45,1.18,25.83,17,4.63
JUN,1,3,42.09,39.47,51.62,1.19,20.77,18,NA
JUN,1,4,39.57,38.28,52.20,1.30,16.24,14,NA
JUN,1,5,36.42,37.45,52.62,1.29,16.24,11,3.00
JUN,1,6,36.49,37.24,52.56,1.16,14.82,11,2.58
JUN,1,7,31.67,36.72,52.51,1.17,15.52,11,5.59
JUN,1,8,37.71,36.73,52.60,1.18,12.67,13,2.51
JUN,1,9,45.77,38.00,50.12,1.04,16.51,14,1.35
JUN,1,10,46.67,39.55,47.90,0.93,16.33,18,2.56
JUN,1,11,48.38,40.33,47.15,0.93,18.04,23,3.61
JUN,1,12,43.55,40.83,47.09,0.83,27.04,NA,6.79
JUN,1,13,55.96,43.27,47.43,0.76,24.73,NA,4.79
JUN,1,14,61.06,46.35,47.50,0.77,25.03,NA,4.07
JUN,1,15,63.55,50.33,47.88,0.76,23.77,20,3.83
JUN,1,16,58.19,52.89,47.93,0.74,26.68,18,3.03
JUN,1,17,59.19,54.57,47.92,0.72,20.75,13,2.74
JUN,1,18,54.74,55.58,49.00,0.75,22.95,11,3.95
JUN,1,19,53.79,56.25,49.06,0.74,28.67,16,1.33
JUN,1,20,46.97,56.68,49.08,0.72,33.16,13,1.74
JUN,1,21,36.96,54.31,43.52,0.71,23.94,11,4.17
JUN,1,22,36.57,51.24,37.10,0.70,20.39,9,1.21
JUN,1,23,37.58,48.00,30.28,0.68,18.58,8,NA
JUN,2,0,36.02,45.23,23.71,0.66,16.57,7,NA
JUN,2,1,29.99,41.58,24.17,0.71,14.24,7,3.06
JUN,2,2,20.26,37.27,27.70,0.81,15.77,13,6.52
