DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,1,0,13.91,16.01,5.22,0.75,14,14,7.33,
AGO,1,1,9.41,14.69,5.3,0.73,11,12,9.25,
AGO,1,2,8.85,13.32,5.61,0.72,15,12,9.08,
AGO,1,3,11.22,12.05,5.78,0.71,17,13,6.63,
AGO,1,4,4.91,10.82,5.93,0.70,44,27,11.48,
AGO,1,5,2.43,9.25,6.01,0.68,34,27,14.8,
AGO,1,6,1.72,7.82,6.09,0.68,47,27,16.29,
AGO,1,7,2.45,6.86,6.14,0.72,40,28,15.69,
AGO,1,8,1.91,5.36,6.18,0.77,36,23,17.06,
AGO,1,9,NA,4.78,6.21,0.81,35,23,15.37,
AGO,1,10,3.9,4.08,5.75,0.88,38,24,17.64,
AGO,1,11,6.6,3.42,5.21,0.96,44,29,15.84,
AGO,1,12,16.4,5.06,4.97,1.03,35,31,11.17,
AGO,1,13,29.13,8.87,5.26,1.09,38,27,11.88,
AGO,1,14,38.85,14.18,5.4,1.13,36,27,6.94,
AGO,1,15,19.84,16.66,5.38,1.13,41,27,11.85,
AGO,1,16,24.46,19.88,5.38,1.11,31,31,8.5,
AGO,1,17,22.21,20.17,5.66,1.08,28,18,4.8,
AGO,1,18,16.91,21.8,6.06,1.01,24,18,7.4,
AGO,1,19,13.36,22.64,6.67,0.94,25,17,8.02,
AGO,1,20,9.43,21.77,6.88,0.90,28,19,13.35,
AGO,1,21,5.31,18.8,7.66,0.85,31,22,12.53,
AGO,1,22,8.72,15.03,7.99,0.82,31,26,11.47,
AGO,1,23,5.4,13.22,8.28,0.81,37,24,12.5,
AGO,2,0,4.26,10.7,8.74,0.80,47,42,12.72,
AGO,2,1,3.8,8.4,8.87,0.81,66,33,13.32,
AGO,2,2,5.38,6.96,8.64,0.81,101,99,13.06,
AGO,2,3,3.52,5.73,8.51,0.81,87,70,15.04,
AGO,2,4,4.32,5.09,8.53,0.78,81,82,7.27,
AGO,2,5,3.5,4.86,8.68,0.77,56,53,8.54,
AGO,2,6,2.51,4.09,9.16,0.77,64,49,14.62,
AGO,2,7,2.7,3.75,9.36,0.77,56,49,13.5,
AGO,2,8,1.93,3.46,9.47,0.77,39,37,13.69,
AGO,2,9,3.09,3.37,9.59,0.78,29,28,13.84,
AGO,2,10,5.76,3.42,9.89,0.81,31,28,9.61,
AGO,2,11,16.27,5.01,10.11,0.81,29,28,4.17,
AGO,2,12,20.77,7.07,10.54,0.84,26,23,5.17,
AGO,2,13,24.66,9.71,10.56,0.90,26,24,8.75,
AGO,2,14,25.67,12.61,10.67,0.93,30,23,11.77,
AGO,2,15,25.78,15.49,10.87,0.98,34,26,10.31,
AGO,2,16,23.77,18.22,11.36,1.03,38,27,9.57,
AGO,2,17,23.53,20.78,11.23,1.00,31,29,3.5,
AGO,2,18,17.31,22.22,10.88,0.98,24,24,7.12,
AGO,2,19,15.97,22.18,10.25,0.98,20,22,7.45,
AGO,2,20,11.12,20.98,9.79,0.98,21,23,9.76,
AGO,2,21,9.48,19.08,8.76,0.95,27,23,12.63,
AGO,2,22,20.5,18.43,8.35,0.89,24,25,2.28,
AGO,2,23,16.09,17.22,8.05,0.84,19,16,1.82,
AGO,3,0,4.5,14.81,9.69,0.81,21,18,4.55,
AGO,3,1,12.09,13.38,13.36,0.85,20,16,5.24,
AGO,3,2,4.51,11.78,16.4,0.93,23,14,7.09,
AGO,3,3,7.49,10.72,19.11,0.94,26,28,5.48,
AGO,3,4,9.84,10.56,20.38,0.92,24,28,3.16,
AGO,3,5,6.31,10.17,20.77,0.88,19,21,3.35,
AGO,3,6,2.3,7.89,20.72,0.89,18,19,9.91,
AGO,3,7,2.14,6.15,20.74,0.93,21,16,18.26,
AGO,3,8,2.05,5.84,20.87,0.92,26,16,13.74,
AGO,3,9,4.38,4.88,21.07,0.90,25,16,7.02,
AGO,3,10,9.31,5.48,22.24,0.86,22,15,3.22,
AGO,3,11,17.89,6.78,22.85,0.85,18,26,1.42,
AGO,3,12,18.93,7.91,23.13,0.85,22,21,4.89,
AGO,3,13,23.8,10.1,23.46,0.88,20,19,5.13,
AGO,3,14,30.48,13.62,24.37,0.90,21,18,4.22,
AGO,3,15,32.14,17.37,24.82,0.88,25,22,7.51,
AGO,3,16,34.55,21.43,24.47,0.87,29,25,7.41,
AGO,3,17,23.01,23.76,24.37,0.88,34,23,9.09,
AGO,3,18,23.56,25.54,24.33,0.86,29,18,7.93,
AGO,3,19,22.18,26.08,24.33,0.87,23,20,10.16,
AGO,3,20,12.69,25.3,24.33,0.89,20,21,17.98,
AGO,3,21,7.44,23.26,24.28,0.88,21,19,20.33,
AGO,3,22,2.57,19.77,24.26,0.88,23,18,21.03,
AGO,3,23,4.74,16.34,24.24,0.87,24,20,18.67,
AGO,4,0,2.2,12.3,22.15,0.87,27,23,19.24,
AGO,4,1,2.62,9.75,18.28,0.85,28,23,15.72,
AGO,4,2,2.86,7.16,15.18,0.83,27,19,15.23,
AGO,4,3,1.68,4.6,12.62,0.80,27,17,15.05,
AGO,4,4,1.7,3.23,11.88,0.76,36,22,13.88,
AGO,4,5,1.83,2.53,11.58,0.75,35,21,14.45,
AGO,4,6,2.49,2.52,11.38,0.74,43,23,13.62,
AGO,4,7,2.15,2.19,11.29,0.80,101,25,13.81,
AGO,4,8,1.67,2.13,11.09,0.83,112,42,13.89,
AGO,4,9,2.66,2.13,11.04,0.85,112,57,12.66,
AGO,4,10,8.86,2.88,9.7,0.86,85,61,5.93,
AGO,4,11,18.5,4.98,9.27,0.87,55,40,6.39,
AGO,4,12,33.36,8.94,9.19,0.87,45,34,6.4,
AGO,4,13,39.1,13.6,9.24,0.87,43,34,6.17,
AGO,4,14,46.64,19.12,8.27,0.86,45,33,5.16,
AGO,4,15,50.4,25.15,7.72,0.79,80,31,3.77,
AGO,4,16,52.6,31.52,7.8,0.74,62,25,3.54,
AGO,4,17,50.92,37.55,8.38,0.71,44,25,6.55,
AGO,4,18,33.18,40.59,9.74,0.70,50,30,6.62,
AGO,4,19,36.78,42.87,10.08,0.70,49,31,10.65,
AGO,4,20,24.71,41.79,10.87,0.71,46,25,13.12,
AGO,4,21,26.68,40.24,11.08,0.71,41,27,6.96,
AGO,4,22,23.07,37.29,11.18,0.70,34,24,10.81,
AGO,4,23,19.68,33.45,11.26,0.70,27,23,11.95,
AGO,5,0,19.4,29.3,11.36,0.69,22,19,9.9,
AGO,5,1,8.02,23.94,11.62,0.69,27,19,11.01,
AGO,5,2,16.09,21.8,11.87,0.68,33,32,2.44,
AGO,5,3,12.25,18.74,12.02,0.67,24,23,6.58,
AGO,5,4,2.02,15.9,11.65,0.65,32,27,16.6,
AGO,5,5,2.25,12.85,11.55,0.65,27,27,12.45,
AGO,5,6,2.44,10.27,11.46,0.65,23,23,11.73,
AGO,5,7,3.89,8.3,11.56,0.73,25,21,14.12,
AGO,5,8,7.73,6.84,11.73,0.78,30,21,11.92,
AGO,5,9,4.49,6.4,12.77,0.81,30,24,10.94,
AGO,5,10,12.48,5.94,14.06,0.82,29,27,3.12,
AGO,5,11,18.39,6.71,15.47,0.84,26,23,1.16,
AGO,5,12,24.12,9.48,15.53,0.86,22,21,1.27,
AGO,5,13,28.54,12.76,15.47,0.90,18,18,1.62,
AGO,5,14,31.67,16.41,15.69,0.93,19,18,3.26,
AGO,5,15,34.46,20.24,16.09,0.89,21,20,2.94,
AGO,5,16,36.38,23.82,16.56,0.85,22,19,1.97,
AGO,5,17,37.5,27.94,16.88,0.84,31,20,2.93,
AGO,5,18,35.82,30.86,16.2,0.84,33,21,1.53,
AGO,5,19,27.82,32.04,16.78,0.83,88,21,6.09,
AGO,5,20,28.05,32.53,16.14,0.82,91,23,12.11,
AGO,5,21,13.53,30.65,16.06,0.81,76,24,22.11,
AGO,5,22,12.55,28.26,16,0.77,63,21,10.52,
AGO,5,23,12.74,25.55,17.54,0.76,39,17,8.66,
AGO,6,0,5.59,21.7,19.44,0.73,41,24,7.25,
AGO,6,1,4.89,17.63,21.62,0.70,39,20,9.45,
AGO,6,2,5.07,13.78,23.9,0.72,34,25,13.87,
AGO,6,3,5.57,11,26.48,0.70,36,23,10.43,
